* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -27.9 dBFS, measurement signal peak level -20.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 06/01/2024 4:28:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0238 ms (-8.2 mm, -0.32 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Turbo 1100 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 57.271 -106.6508
1.015000 57.494 -108.1880
1.030000 57.715 -109.6747
1.044000 57.920 -111.0118
1.060000 58.150 -112.4738
1.075000 58.362 -113.7746
1.090000 58.571 -115.0018
1.106000 58.789 -116.2244
1.120000 58.980 -117.2258
1.138000 59.223 -118.4271
1.150000 59.386 -119.1780
1.172000 59.682 -120.4597
1.180000 59.789 -120.8977
1.206000 60.137 -122.2296
1.220000 60.323 -122.8951
1.241000 60.601 -123.8359
1.250000 60.720 -124.2209
1.265000 60.917 -124.8420
1.280000 61.113 -125.4416
1.315000 61.566 -126.7839
1.320000 61.630 -126.9718
1.340000 61.885 -127.7205
1.360000 62.138 -128.4735
1.380000 62.389 -129.2421
1.400000 62.638 -130.0375
1.430000 63.005 -131.3058
1.450000 63.247 -132.2180
1.475000 63.544 -133.4468
1.500000 63.838 -134.7296
1.525000 64.129 -136.0474
1.550000 64.416 -137.3927
1.575000 64.699 -138.7580
1.600000 64.978 -140.1360
1.625000 65.255 -141.5191
1.650000 65.527 -142.8999
1.675000 65.796 -144.2711
1.700000 66.062 -145.6250
1.725000 66.324 -146.9543
1.750000 66.583 -148.2515
1.775000 66.838 -149.5093
1.800000 67.090 -150.7200
1.825000 67.338 -151.8763
1.850000 67.583 -152.9755
1.875000 67.824 -154.0276
1.900000 68.061 -155.0376
1.925000 68.294 -156.0103
1.950000 68.523 -156.9505
1.975000 68.750 -157.8627
2.000000 68.972 -158.7517
2.030000 69.236 -159.7946
2.060000 69.494 -160.8191
2.090000 69.749 -161.8333
2.120000 69.999 -162.8453
2.140000 70.164 -163.5228
2.180000 70.489 -164.8955
2.200000 70.649 -165.5954
2.240000 70.963 -167.0015
2.270000 71.194 -168.0526
2.300000 71.420 -169.0993
2.330000 71.641 -170.1405
2.360000 71.859 -171.1753
2.400000 72.143 -172.5427
2.430000 72.352 -173.5577
2.470000 72.625 -174.8948
2.500000 72.827 -175.8839
2.540000 73.091 -177.1823
2.580000 73.351 -178.4560
2.620000 73.603 -179.7119
2.650000 73.789 179.3573
2.690000 74.031 178.1320
2.720000 74.208 177.2257
2.760000 74.440 176.0351
2.800000 74.667 174.8660
2.850000 74.945 173.4368
2.900000 75.216 172.0458
2.950000 75.481 170.6967
3.000000 75.739 169.3989
3.040000 75.939 168.3939
3.070000 76.087 167.6565
3.110000 76.279 166.6912
3.150000 76.468 165.7421
3.200000 76.699 164.5714
3.250000 76.925 163.4095
3.300000 77.147 162.2474
3.350000 77.364 161.0826
3.400000 77.575 159.9223
3.450000 77.780 158.7733
3.500000 77.980 157.6422
3.550000 78.177 156.5357
3.600000 78.369 155.4604
3.650000 78.558 154.4232
3.700000 78.744 153.4305
3.750000 78.926 152.4814
3.820000 79.173 151.2106
3.870000 79.346 150.3330
3.950000 79.615 148.9586
4.000000 79.781 148.1053
4.060000 79.976 147.0764
4.120000 80.166 146.0523
4.180000 80.353 145.0398
4.250000 80.565 143.8804
4.310000 80.744 142.9113
4.370000 80.919 141.9706
4.440000 81.121 140.9160
4.500000 81.290 140.0489
4.550000 81.428 139.3471
4.620000 81.619 138.3885
4.680000 81.779 137.5818
4.750000 81.963 136.6485
4.820000 82.144 135.7203
4.870000 82.270 135.0656
4.940000 82.445 134.1619
5.000000 82.592 133.4005
5.080000 82.784 132.4059
5.150000 82.949 131.5566
5.220000 83.112 130.7289
5.300000 83.293 129.8063
5.380000 83.472 128.9043
5.450000 83.625 128.1283
5.520000 83.775 127.3621
5.600000 83.944 126.5025
5.700000 84.151 125.4516
5.800000 84.352 124.4232
5.900000 84.549 123.4138
6.000000 84.742 122.4257
6.080000 84.893 121.6501
6.150000 85.022 120.9817
6.220000 85.150 120.3220
6.300000 85.294 119.5802
6.400000 85.469 118.6716
6.500000 85.641 117.7793
6.600000 85.809 116.8984
6.700000 85.974 116.0283
6.800000 86.134 115.1711
6.900000 86.291 114.3270
7.000000 86.444 113.4967
7.100000 86.594 112.6811
7.200000 86.740 111.8783
7.300000 86.883 111.0864
7.400000 87.023 110.3041
7.500000 87.159 109.5323
7.620000 87.319 108.6208
7.750000 87.487 107.6526
7.880000 87.650 106.7047
8.000000 87.796 105.8458
8.120000 87.939 105.0011
8.250000 88.089 104.1028
8.380000 88.236 103.2207
8.500000 88.368 102.4198
8.620000 88.497 101.6326
8.750000 88.633 100.7930
8.850000 88.736 100.1556
9.000000 88.887 99.2145
9.120000 89.005 98.4727
9.250000 89.130 97.6789
9.380000 89.252 96.8961
9.500000 89.363 96.1821
9.620000 89.471 95.4763
9.750000 89.586 94.7210
9.880000 89.698 93.9742
10.000000 89.800 93.2920
10.150000 89.924 92.4492
10.300000 90.046 91.6167
10.440000 90.157 90.8489
10.600000 90.280 89.9820
10.750000 90.393 89.1786
10.900000 90.504 88.3848
11.060000 90.619 87.5491
11.200000 90.717 86.8270
11.380000 90.839 85.9129
11.500000 90.919 85.3124
11.720000 91.062 84.2315
11.800000 91.113 83.8454
12.060000 91.274 82.6156
12.200000 91.360 81.9693
12.410000 91.485 81.0195
12.500000 91.539 80.6184
12.650000 91.627 79.9589
12.800000 91.714 79.3072
13.150000 91.915 77.8093
13.200000 91.943 77.5969
13.400000 92.055 76.7506
13.600000 92.165 75.9083
13.800000 92.272 75.0689
14.000000 92.375 74.2355
14.300000 92.523 72.9996
14.500000 92.617 72.1905
14.750000 92.730 71.2014
15.000000 92.838 70.2397
15.250000 92.942 69.3073
15.500000 93.043 68.4016
15.750000 93.142 67.5202
16.000000 93.239 66.6581
16.250000 93.334 65.8108
16.500000 93.426 64.9758
16.750000 93.516 64.1509
17.000000 93.604 63.3353
17.250000 93.689 62.5289
17.500000 93.771 61.7319
17.750000 93.850 60.9446
18.000000 93.927 60.1672
18.250000 94.001 59.4000
18.500000 94.073 58.6436
18.750000 94.142 57.8983
19.000000 94.209 57.1643
19.250000 94.275 56.4417
19.500000 94.339 55.7298
19.750000 94.401 55.0281
20.000000 94.462 54.3353
20.299999 94.534 53.5144
20.600000 94.603 52.7041
20.900000 94.671 51.9041
21.200001 94.736 51.1153
21.400000 94.778 50.5961
21.799999 94.860 49.5743
22.000000 94.900 49.0720
22.400000 94.977 48.0841
22.700001 95.033 47.3578
23.000000 95.087 46.6439
23.299999 95.139 45.9428
23.600000 95.190 45.2542
24.000000 95.256 44.3542
24.299999 95.303 43.6910
24.700001 95.365 42.8202
25.000000 95.409 42.1761
25.400000 95.466 41.3295
25.799999 95.520 40.4988
26.200001 95.572 39.6844
26.500000 95.609 39.0833
26.900000 95.657 38.2924
27.200001 95.692 37.7061
27.600000 95.736 36.9336
28.000000 95.779 36.1735
28.500000 95.830 35.2418
29.000000 95.879 34.3255
29.500000 95.926 33.4197
30.000000 95.969 32.5270
30.400000 96.002 31.8283
30.700001 96.026 31.3152
31.100000 96.057 30.6431
31.500000 96.088 29.9788
32.000000 96.125 29.1525
32.500000 96.159 28.3354
33.000000 96.189 27.5422
33.500000 96.217 26.7802
34.000000 96.246 26.0401
34.500000 96.275 25.3058
35.000000 96.302 24.5717
35.500000 96.327 23.8444
36.000000 96.350 23.1318
36.500000 96.372 22.4338
37.000000 96.393 21.7446
37.500000 96.413 21.0614
38.200001 96.438 20.1210
38.700001 96.454 19.4653
39.500000 96.478 18.4443
40.000000 96.493 17.8206
40.599998 96.509 17.0831
41.200001 96.524 16.3546
41.799999 96.536 15.6360
42.500000 96.548 14.8181
43.099998 96.557 14.1345
43.700001 96.566 13.4586
44.400002 96.573 12.6761
45.000000 96.578 12.0153
45.500000 96.582 11.4706
46.200001 96.586 10.7107
46.799999 96.588 10.0677
47.500000 96.591 9.3347
48.200001 96.595 8.5930
48.700001 96.596 8.0466
49.400002 96.588 7.3004
50.000000 96.577 6.7309
50.799999 96.573 6.0510
51.500000 96.578 5.4402
52.200001 96.581 4.7936
53.000000 96.579 4.0642
53.799999 96.574 3.3588
54.500000 96.568 2.7483
55.200001 96.560 2.1503
56.000000 96.549 1.4849
57.000000 96.535 0.6637
58.000000 96.521 -0.1516
59.000000 96.505 -0.9599
60.000000 96.488 -1.7599
60.799999 96.473 -2.3868
61.500000 96.460 -2.9237
62.200001 96.446 -3.4517
63.000000 96.429 -4.0447
64.000000 96.406 -4.7707
65.000000 96.382 -5.4818
66.000000 96.357 -6.1708
67.000000 96.333 -6.8506
68.000000 96.308 -7.5416
69.000000 96.280 -8.2227
70.000000 96.251 -8.8777
71.000000 96.222 -9.5156
72.000000 96.193 -10.1436
73.000000 96.163 -10.7612
74.000000 96.132 -11.3671
75.000000 96.101 -11.9624
76.199997 96.061 -12.6606
77.500000 96.018 -13.3954
78.800003 95.975 -14.1168
80.000000 95.933 -14.7684
81.199997 95.890 -15.4065
82.500000 95.841 -16.0764
83.800003 95.792 -16.7211
85.000000 95.748 -17.2961
86.199997 95.705 -17.8529
87.500000 95.661 -18.4482
88.500000 95.626 -18.8989
90.000000 95.575 -19.5489
91.199997 95.536 -20.0580
92.500000 95.496 -20.6125
93.800003 95.456 -21.1789
95.000000 95.420 -21.7219
96.199997 95.382 -22.2813
97.500000 95.339 -22.8993
98.800003 95.293 -23.5168
100.000000 95.247 -24.0597
101.500000 95.188 -24.6999
103.000000 95.128 -25.3146
104.400002 95.071 -25.8715
106.000000 95.004 -26.4933
107.500000 94.940 -27.0660
109.000000 94.876 -27.6278
110.599998 94.808 -28.2101
112.000000 94.750 -28.7057
113.800003 94.675 -29.3259
115.000000 94.625 -29.7325
117.199997 94.531 -30.4639
118.000000 94.496 -30.7245
120.599998 94.385 -31.5490
122.000000 94.325 -31.9808
124.099998 94.234 -32.6168
125.000000 94.195 -32.8841
126.500000 94.130 -33.3209
128.000000 94.065 -33.7475
131.500000 93.913 -34.7119
132.000000 93.891 -34.8459
134.000000 93.802 -35.3730
136.000000 93.715 -35.8894
138.000000 93.627 -36.3922
140.000000 93.538 -36.8795
143.000000 93.404 -37.5892
145.000000 93.316 -38.0465
147.500000 93.210 -38.5891
150.000000 93.104 -39.1239
152.500000 92.985 -39.6211
155.000000 92.866 -40.0815
157.500000 92.749 -40.5393
160.000000 92.634 -40.9757
162.500000 92.520 -41.3872
165.000000 92.403 -41.7724
167.500000 92.285 -42.1292
170.000000 92.165 -42.4519
172.500000 92.043 -42.7286
175.000000 91.921 -42.9518
177.500000 91.799 -43.1057
180.000000 91.681 -43.1769
182.500000 91.567 -43.1554
185.000000 91.465 -43.0298
187.500000 91.385 -42.8057
190.000000 91.338 -42.5342
192.500000 91.330 -42.3329
195.000000 91.354 -42.3445
197.500000 91.389 -42.6609
200.000000 91.410 -43.2744
203.000000 91.390 -44.2432
206.000000 91.318 -45.2363
209.000000 91.213 -46.1371
212.000000 91.090 -46.9075
214.000000 91.004 -47.3481
218.000000 90.827 -48.0893
220.000000 90.739 -48.4069
224.000000 90.564 -48.9626
227.000000 90.435 -49.3281
230.000000 90.309 -49.6639
233.000000 90.184 -49.9764
236.000000 90.060 -50.2585
240.000000 89.898 -50.5878
243.000000 89.779 -50.8214
247.000000 89.622 -51.1332
250.000000 89.506 -51.3470
254.000000 89.352 -51.5753
258.000000 89.201 -51.7897
262.000000 89.050 -51.9982
265.000000 88.937 -52.1461
269.000000 88.789 -52.3291
272.000000 88.679 -52.4480
276.000000 88.532 -52.5908
280.000000 88.385 -52.7202
285.000000 88.204 -52.8574
290.000000 88.024 -52.9736
295.000000 87.845 -53.0580
300.000000 87.668 -53.1180
