* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 30/07/2022 1:47:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: U12t L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 63.103 -94.6036
1.015000 63.291 -95.7987
1.030000 63.477 -96.9409
1.044000 63.649 -97.9644
1.060000 63.844 -99.0877
1.075000 64.025 -100.0999
1.090000 64.205 -101.0765
1.106000 64.395 -102.0834
1.120000 64.560 -102.9384
1.138000 64.769 -104.0075
1.150000 64.908 -104.7044
1.172000 65.160 -105.9563
1.180000 65.251 -106.4052
1.206000 65.544 -107.8505
1.220000 65.700 -108.6252
1.241000 65.932 -109.7912
1.250000 66.031 -110.2946
1.265000 66.195 -111.1416
1.280000 66.357 -112.0019
1.315000 66.731 -114.0832
1.320000 66.784 -114.3911
1.340000 66.995 -115.6545
1.360000 67.204 -116.9688
1.380000 67.411 -118.3154
1.400000 67.615 -119.6889
1.430000 67.918 -121.7897
1.450000 68.117 -123.2108
1.475000 68.363 -125.0025
1.500000 68.606 -126.8029
1.525000 68.844 -128.6033
1.550000 69.080 -130.3951
1.575000 69.312 -132.1693
1.600000 69.540 -133.9174
1.625000 69.764 -135.6306
1.650000 69.985 -137.3001
1.675000 70.202 -138.9172
1.700000 70.416 -140.4795
1.725000 70.625 -142.0022
1.750000 70.831 -143.4899
1.775000 71.033 -144.9465
1.800000 71.231 -146.3757
1.825000 71.425 -147.7812
1.850000 71.616 -149.1668
1.875000 71.804 -150.5363
1.900000 71.989 -151.8935
1.925000 72.170 -153.2421
1.950000 72.348 -154.5858
1.975000 72.524 -155.9285
2.000000 72.696 -157.2739
2.030000 72.899 -158.8960
2.060000 73.098 -160.5164
2.090000 73.291 -162.1302
2.120000 73.480 -163.7357
2.140000 73.603 -164.8004
2.180000 73.844 -166.9140
2.200000 73.961 -167.9617
2.240000 74.191 -170.0363
2.270000 74.358 -171.5719
2.300000 74.522 -173.0878
2.330000 74.683 -174.5824
2.360000 74.840 -176.0538
2.400000 75.043 -177.9883
2.430000 75.190 -179.4212
2.470000 75.380 178.6944
2.500000 75.518 177.3019
2.540000 75.697 175.4750
2.580000 75.869 173.6844
2.620000 76.037 171.9324
2.650000 76.159 170.6452
2.690000 76.318 168.9666
2.720000 76.434 167.7377
2.760000 76.583 166.1393
2.800000 76.726 164.5835
2.850000 76.896 162.6930
2.900000 77.060 160.8564
2.950000 77.218 159.0667
3.000000 77.370 157.3168
3.040000 77.489 155.9412
3.070000 77.576 154.9232
3.110000 77.687 153.5865
3.150000 77.794 152.2762
3.200000 77.923 150.6798
3.250000 78.047 149.1351
3.300000 78.168 147.6476
3.350000 78.288 146.2233
3.400000 78.406 144.8698
3.450000 78.519 143.5900
3.500000 78.629 142.3737
3.550000 78.736 141.2098
3.600000 78.841 140.0877
3.650000 78.946 138.9964
3.700000 79.051 137.9249
3.750000 79.156 136.8776
3.820000 79.301 135.4709
3.870000 79.404 134.5059
3.950000 79.568 133.0256
4.000000 79.670 132.1373
4.060000 79.795 131.1076
4.120000 79.920 130.1329
4.180000 80.046 129.2063
4.250000 80.193 128.1686
4.310000 80.319 127.3011
4.370000 80.445 126.4399
4.440000 80.592 125.4451
4.500000 80.719 124.6122
4.550000 80.825 123.9308
4.620000 80.973 122.9946
4.680000 81.099 122.2067
4.750000 81.244 121.3034
4.820000 81.388 120.4204
4.870000 81.491 119.8015
4.940000 81.633 118.9501
5.000000 81.754 118.2332
5.080000 81.913 117.2942
5.150000 82.049 116.4893
5.220000 82.185 115.7006
5.300000 82.338 114.8192
5.380000 82.489 113.9594
5.450000 82.620 113.2261
5.520000 82.750 112.5106
5.600000 82.897 111.7120
5.700000 83.080 110.7374
5.800000 83.262 109.7906
5.900000 83.444 108.8749
6.000000 83.625 107.9742
6.080000 83.769 107.2542
6.150000 83.895 106.6287
6.220000 84.020 106.0078
6.300000 84.163 105.3001
6.400000 84.339 104.4116
6.500000 84.513 103.5183
6.600000 84.684 102.6231
6.700000 84.852 101.7257
6.800000 85.014 100.8235
6.900000 85.171 99.9149
7.000000 85.324 99.0110
7.100000 85.471 98.1223
7.200000 85.612 97.2419
7.300000 85.748 96.3749
7.400000 85.880 95.5315
7.500000 86.008 94.7149
7.620000 86.156 93.7648
7.750000 86.314 92.7725
7.880000 86.471 91.8273
8.000000 86.614 90.9836
8.120000 86.759 90.1467
8.250000 86.918 89.2602
8.380000 87.077 88.3657
8.500000 87.225 87.5107
8.620000 87.373 86.6372
8.750000 87.529 85.6513
8.850000 87.646 84.8560
9.000000 87.814 83.6158
9.120000 87.938 82.5937
9.250000 88.060 81.4443
9.380000 88.170 80.2838
9.500000 88.257 79.2279
9.620000 88.331 78.1731
9.750000 88.398 77.0804
9.880000 88.451 76.0566
10.000000 88.489 75.1687
10.150000 88.530 74.1816
10.300000 88.561 73.3311
10.440000 88.592 72.6494
10.600000 88.633 72.0187
10.750000 88.680 71.5251
10.900000 88.743 71.0966
11.060000 88.825 70.6899
11.200000 88.911 70.3071
11.380000 89.038 69.7888
11.500000 89.128 69.3802
11.720000 89.300 68.5091
11.800000 89.361 68.1532
12.060000 89.549 66.8453
12.200000 89.637 66.0934
12.410000 89.752 64.9185
12.500000 89.795 64.4294
12.650000 89.858 63.6228
12.800000 89.913 62.8598
13.150000 90.025 61.2959
13.200000 90.041 61.0977
13.400000 90.107 60.3577
13.600000 90.183 59.6643
13.800000 90.267 58.9925
14.000000 90.362 58.2963
14.300000 90.512 57.1495
14.500000 90.610 56.3039
14.750000 90.724 55.1547
15.000000 90.820 53.9510
15.250000 90.898 52.7424
15.500000 90.956 51.5736
15.750000 91.000 50.4894
16.000000 91.037 49.5125
16.250000 91.072 48.6403
16.500000 91.110 47.8624
16.750000 91.156 47.1537
17.000000 91.212 46.4780
17.250000 91.277 45.8082
17.500000 91.350 45.1203
17.750000 91.428 44.3926
18.000000 91.507 43.6158
18.250000 91.584 42.7898
18.500000 91.657 41.9186
18.750000 91.721 41.0148
19.000000 91.776 40.0990
19.250000 91.820 39.1913
19.500000 91.853 38.3131
19.750000 91.879 37.4904
20.000000 91.899 36.7390
20.299999 91.923 35.9378
20.600000 91.952 35.2339
20.900000 91.994 34.5883
21.200001 92.049 33.9434
21.400000 92.092 33.4834
21.799999 92.181 32.4482
22.000000 92.221 31.8719
22.400000 92.283 30.6474
22.700001 92.310 29.7352
23.000000 92.324 28.8848
23.299999 92.330 28.1240
23.600000 92.336 27.4490
24.000000 92.351 26.6292
24.299999 92.367 26.0326
24.700001 92.387 25.2402
25.000000 92.399 24.6714
25.400000 92.413 23.9957
25.799999 92.436 23.4324
26.200001 92.480 22.9200
26.500000 92.529 22.5038
26.900000 92.605 21.8392
27.200001 92.663 21.2479
27.600000 92.731 20.3735
28.000000 92.789 19.4545
28.500000 92.851 18.2834
29.000000 92.902 17.0660
29.500000 92.932 15.8078
30.000000 92.936 14.6115
30.400000 92.928 13.7682
30.700001 92.923 13.2030
31.100000 92.923 12.4969
31.500000 92.927 11.7850
32.000000 92.927 10.8602
32.500000 92.910 9.9789
33.000000 92.887 9.2496
33.500000 92.880 8.6550
34.000000 92.895 8.0529
34.500000 92.921 7.3318
35.000000 92.939 6.5144
35.500000 92.942 5.7018
36.000000 92.943 4.9547
36.500000 92.950 4.2449
37.000000 92.965 3.5066
37.500000 92.980 2.7086
38.200001 92.988 1.5345
38.700001 92.982 0.7096
39.500000 92.957 -0.5054
40.000000 92.939 -1.1761
40.599998 92.923 -1.9030
41.200001 92.919 -2.6080
41.799999 92.921 -3.3669
42.500000 92.914 -4.3328
43.099998 92.892 -5.1418
43.700001 92.865 -5.8636
44.400002 92.843 -6.6460
45.000000 92.827 -7.3417
45.500000 92.811 -7.9315
46.200001 92.786 -8.7148
46.799999 92.769 -9.3624
47.500000 92.751 -10.1655
48.200001 92.721 -10.9814
48.700001 92.694 -11.5097
49.400002 92.663 -12.1833
50.000000 92.643 -12.7727
50.799999 92.609 -13.5869
51.500000 92.575 -14.2523
52.200001 92.547 -14.8909
53.000000 92.517 -15.6733
53.799999 92.477 -16.4772
54.500000 92.437 -17.1321
55.200001 92.401 -17.7499
56.000000 92.364 -18.4520
57.000000 92.322 -19.3419
58.000000 92.279 -20.2419
59.000000 92.232 -21.1215
60.000000 92.184 -21.9590
60.799999 92.144 -22.6042
61.500000 92.108 -23.1453
62.200001 92.074 -23.6700
63.000000 92.036 -24.2681
64.000000 91.986 -25.0107
65.000000 91.937 -25.7367
66.000000 91.890 -26.4642
67.000000 91.843 -27.2136
68.000000 91.789 -27.9713
69.000000 91.728 -28.6694
70.000000 91.673 -29.3125
71.000000 91.622 -29.9645
72.000000 91.569 -30.6348
73.000000 91.511 -31.2936
74.000000 91.451 -31.9158
75.000000 91.394 -32.5049
76.199997 91.332 -33.2004
77.500000 91.268 -33.9498
78.800003 91.204 -34.7174
80.000000 91.136 -35.4308
81.199997 91.059 -36.1005
82.500000 90.975 -36.7284
83.800003 90.903 -37.3447
85.000000 90.834 -37.9349
86.199997 90.762 -38.4429
87.500000 90.696 -38.9128
88.500000 90.652 -39.2815
90.000000 90.585 -39.9075
91.199997 90.521 -40.4625
92.500000 90.445 -41.0634
93.800003 90.378 -41.6671
95.000000 90.331 -42.2761
96.199997 90.289 -42.9377
97.500000 90.246 -43.6090
98.800003 90.208 -44.2612
100.000000 90.157 -44.8218
101.500000 90.084 -45.3518
103.000000 90.013 -45.8810
104.400002 89.933 -46.4086
106.000000 89.842 -47.0088
107.500000 89.759 -47.6253
109.000000 89.676 -48.1824
110.599998 89.604 -48.7354
112.000000 89.538 -49.2657
113.800003 89.436 -49.8218
115.000000 89.374 -50.1433
117.199997 89.271 -50.8775
118.000000 89.232 -51.1876
120.599998 89.104 -52.1616
122.000000 89.045 -52.6167
124.099998 88.965 -53.2118
125.000000 88.931 -53.4484
126.500000 88.868 -53.8417
128.000000 88.795 -54.2313
131.500000 88.614 -55.0659
132.000000 88.591 -55.1880
134.000000 88.501 -55.6945
136.000000 88.415 -56.1832
138.000000 88.332 -56.6421
140.000000 88.251 -57.0504
143.000000 88.128 -57.6193
145.000000 88.038 -57.9962
147.500000 87.935 -58.4507
150.000000 87.856 -58.8971
152.500000 87.791 -59.2961
155.000000 87.727 -59.7208
157.500000 87.657 -60.3000
160.000000 87.576 -60.9608
162.500000 87.491 -61.5117
165.000000 87.393 -61.9651
167.500000 87.286 -62.3391
170.000000 87.189 -62.6506
172.500000 87.117 -62.9010
175.000000 87.058 -63.1031
177.500000 87.008 -63.3260
180.000000 86.969 -63.6338
182.500000 86.932 -63.9199
185.000000 86.898 -64.1250
187.500000 86.875 -64.4233
190.000000 86.865 -64.9200
192.500000 86.844 -65.4962
195.000000 86.788 -66.0828
197.500000 86.696 -66.7758
200.000000 86.624 -67.4352
203.000000 86.630 -68.2387
206.000000 86.612 -69.0422
209.000000 86.535 -69.7161
212.000000 86.451 -70.4120
214.000000 86.401 -70.8441
218.000000 86.312 -71.6130
220.000000 86.269 -72.0018
224.000000 86.178 -72.7390
227.000000 86.107 -73.2084
230.000000 86.038 -73.6848
233.000000 85.967 -74.1456
236.000000 85.899 -74.5824
240.000000 85.822 -75.1121
243.000000 85.779 -75.5161
247.000000 85.738 -76.0592
250.000000 85.731 -76.7675
254.000000 85.614 -78.0011
258.000000 85.428 -78.3360
262.000000 85.342 -78.3240
265.000000 85.313 -78.5419
269.000000 85.268 -79.0623
272.000000 85.222 -79.4355
276.000000 85.165 -79.8570
280.000000 85.120 -80.4182
285.000000 85.066 -81.1470
290.000000 85.003 -81.7960
295.000000 84.926 -82.4278
300.000000 84.854 -83.0369
304.000000 84.842 -83.6047
307.000000 84.839 -84.0375
311.000000 84.816 -84.5262
315.000000 84.790 -84.9244
320.000000 84.758 -85.4426
