* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11/06/2023 12:59:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: U12t M15 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 59.318 -120.1982
1.015000 59.594 -120.4739
1.030000 59.865 -120.8222
1.044000 60.115 -121.2128
1.060000 60.396 -121.7302
1.075000 60.657 -122.2782
1.090000 60.914 -122.8809
1.106000 61.184 -123.5774
1.120000 61.418 -124.2269
1.138000 61.715 -125.1087
1.150000 61.910 -125.7211
1.172000 62.264 -126.8838
1.180000 62.391 -127.3164
1.206000 62.800 -128.7444
1.220000 63.017 -129.5193
1.241000 63.339 -130.6764
1.250000 63.475 -131.1670
1.265000 63.701 -131.9728
1.280000 63.926 -132.7586
1.315000 64.442 -134.4817
1.320000 64.515 -134.7120
1.340000 64.806 -135.5849
1.360000 65.093 -136.3848
1.380000 65.376 -137.1485
1.400000 65.655 -137.8824
1.430000 66.065 -138.9364
1.450000 66.333 -139.6141
1.475000 66.663 -140.4402
1.500000 66.987 -141.2507
1.525000 67.306 -142.0538
1.550000 67.619 -142.8576
1.575000 67.928 -143.6702
1.600000 68.232 -144.4998
1.625000 68.532 -145.3545
1.650000 68.828 -146.2426
1.675000 69.120 -147.1720
1.700000 69.409 -148.1470
1.725000 69.692 -149.1575
1.750000 69.970 -150.1980
1.775000 70.243 -151.2630
1.800000 70.511 -152.3475
1.825000 70.774 -153.4463
1.850000 71.034 -154.5541
1.875000 71.289 -155.6657
1.900000 71.540 -156.7760
1.925000 71.788 -157.8796
1.950000 72.033 -158.9715
1.975000 72.274 -160.0464
2.000000 72.512 -161.0991
2.030000 72.794 -162.3277
2.060000 73.071 -163.5350
2.090000 73.342 -164.7275
2.120000 73.607 -165.9066
2.140000 73.781 -166.6859
2.180000 74.122 -168.2302
2.200000 74.290 -168.9961
2.240000 74.619 -170.5173
2.270000 74.861 -171.6508
2.300000 75.098 -172.7794
2.330000 75.333 -173.9047
2.360000 75.564 -175.0278
2.400000 75.865 -176.5163
2.430000 76.086 -177.6242
2.470000 76.373 -179.0908
2.500000 76.583 179.8163
2.540000 76.858 178.3678
2.580000 77.127 176.9279
2.620000 77.389 175.4954
2.650000 77.582 174.4251
2.690000 77.835 173.0026
2.720000 78.021 171.9363
2.760000 78.263 170.5128
2.800000 78.498 169.0916
2.850000 78.784 167.3254
2.900000 79.061 165.5794
2.950000 79.331 163.8627
3.000000 79.592 162.1844
3.040000 79.797 160.8757
3.070000 79.947 159.9144
3.110000 80.142 158.6567
3.150000 80.332 157.4226
3.200000 80.562 155.9072
3.250000 80.785 154.4147
3.300000 81.002 152.9373
3.350000 81.212 151.4670
3.400000 81.417 149.9971
3.450000 81.614 148.5299
3.500000 81.805 147.0732
3.550000 81.989 145.6348
3.600000 82.168 144.2227
3.650000 82.342 142.8446
3.700000 82.510 141.5086
3.750000 82.674 140.2168
3.820000 82.893 138.4708
3.870000 83.043 137.2625
3.950000 83.274 135.3845
4.000000 83.414 134.2386
4.060000 83.576 132.8849
4.120000 83.733 131.5562
4.180000 83.883 130.2577
4.250000 84.052 128.7876
4.310000 84.192 127.5714
4.370000 84.329 126.4008
4.440000 84.485 125.0977
4.500000 84.614 124.0307
4.550000 84.718 123.1728
4.620000 84.862 122.0132
4.680000 84.983 121.0520
4.750000 85.124 119.9654
4.820000 85.262 118.9271
4.870000 85.359 118.2126
4.940000 85.493 117.2450
5.000000 85.609 116.4411
5.080000 85.763 115.4011
5.150000 85.898 114.5336
5.220000 86.033 113.6997
5.300000 86.187 112.7741
5.380000 86.342 111.8623
5.450000 86.479 111.0782
5.520000 86.617 110.3154
5.600000 86.775 109.4572
5.700000 86.972 108.3835
5.800000 87.169 107.2979
5.900000 87.366 106.2134
6.000000 87.560 105.1209
6.080000 87.713 104.2346
6.150000 87.844 103.4509
6.220000 87.975 102.6609
6.300000 88.120 101.7510
6.400000 88.296 100.6039
6.500000 88.464 99.4397
6.600000 88.626 98.2637
6.700000 88.780 97.0909
6.800000 88.925 95.9282
6.900000 89.061 94.7667
7.000000 89.190 93.6195
7.100000 89.312 92.4993
7.200000 89.425 91.3988
7.300000 89.531 90.3226
7.400000 89.632 89.2810
7.500000 89.727 88.2770
7.620000 89.834 87.1165
7.750000 89.946 85.9139
7.880000 90.053 84.7733
8.000000 90.149 83.7676
8.120000 90.244 82.7946
8.250000 90.347 81.7848
8.380000 90.449 80.8040
8.500000 90.543 79.9119
8.620000 90.638 79.0385
8.750000 90.740 78.0974
8.850000 90.817 77.3733
9.000000 90.933 76.2909
9.120000 91.022 75.4241
9.250000 91.117 74.4826
9.380000 91.209 73.5426
9.500000 91.291 72.6785
9.620000 91.370 71.8165
9.750000 91.452 70.8904
9.880000 91.531 69.9748
10.000000 91.602 69.1379
10.150000 91.688 68.1043
10.300000 91.770 67.0854
10.440000 91.845 66.1437
10.600000 91.928 65.0779
10.750000 92.004 64.0865
10.900000 92.076 63.0987
11.060000 92.151 62.0513
11.200000 92.212 61.1408
11.380000 92.286 59.9800
11.500000 92.332 59.2195
11.720000 92.410 57.8519
11.800000 92.437 57.3690
12.060000 92.517 55.8529
12.200000 92.558 55.0763
12.410000 92.618 53.9624
12.500000 92.645 53.5007
12.650000 92.689 52.7548
12.800000 92.735 52.0247
13.150000 92.849 50.3622
13.200000 92.866 50.1251
13.400000 92.934 49.1763
13.600000 93.001 48.2163
13.800000 93.065 47.2495
14.000000 93.124 46.2791
14.300000 93.201 44.8470
14.500000 93.247 43.9222
14.750000 93.297 42.8165
15.000000 93.343 41.7745
15.250000 93.388 40.7904
15.500000 93.434 39.8545
15.750000 93.482 38.9503
16.000000 93.531 38.0604
16.250000 93.581 37.1770
16.500000 93.630 36.2950
16.750000 93.677 35.4139
17.000000 93.721 34.5374
17.250000 93.761 33.6684
17.500000 93.799 32.8092
17.750000 93.834 31.9617
18.000000 93.867 31.1262
18.250000 93.897 30.3029
18.500000 93.925 29.4916
18.750000 93.950 28.6927
19.000000 93.974 27.9062
19.250000 93.996 27.1326
19.500000 94.017 26.3722
19.750000 94.036 25.6259
20.000000 94.054 24.8939
20.299999 94.075 24.0343
20.600000 94.095 23.1920
20.900000 94.115 22.3619
21.200001 94.135 21.5376
21.400000 94.148 20.9891
21.799999 94.169 19.8995
22.000000 94.177 19.3637
22.400000 94.189 18.3245
22.700001 94.197 17.5826
23.000000 94.205 16.8689
23.299999 94.216 16.1699
23.600000 94.228 15.4680
24.000000 94.242 14.5089
24.299999 94.247 13.7817
24.700001 94.243 12.8442
25.000000 94.235 12.1994
25.400000 94.226 11.4357
25.799999 94.230 10.7426
26.200001 94.247 10.0372
26.500000 94.266 9.4590
26.900000 94.288 8.6178
27.200001 94.297 7.9590
27.600000 94.301 7.0961
28.000000 94.299 6.2820
28.500000 94.300 5.3131
29.000000 94.304 4.3310
29.500000 94.300 3.3226
30.000000 94.282 2.3530
30.400000 94.262 1.6465
30.700001 94.248 1.1613
31.100000 94.231 0.5627
31.500000 94.219 0.0010
32.000000 94.214 -0.6818
32.500000 94.220 -1.3909
33.000000 94.231 -2.1892
33.500000 94.235 -3.0995
34.000000 94.221 -4.0658
34.500000 94.186 -4.9977
35.000000 94.141 -5.8436
35.500000 94.094 -6.6101
36.000000 94.045 -7.3105
36.500000 93.997 -7.9294
37.000000 93.958 -8.4595
37.500000 93.936 -8.9493
38.200001 93.924 -9.7122
38.700001 93.913 -10.3214
39.500000 93.883 -11.1903
40.000000 93.877 -11.6184
40.599998 93.898 -12.1720
41.200001 93.932 -12.9476
41.799999 93.944 -13.9367
42.500000 93.911 -15.1359
43.099998 93.853 -16.0399
43.700001 93.784 -16.7722
44.400002 93.716 -17.4365
45.000000 93.681 -17.9868
45.500000 93.660 -18.5496
46.200001 93.613 -19.4758
46.799999 93.548 -20.2246
47.500000 93.468 -20.9589
48.200001 93.387 -21.6221
48.700001 93.323 -21.9968
49.400002 93.257 -22.2720
50.000000 93.253 -22.4775
50.799999 93.288 -23.2112
51.500000 93.280 -24.1957
52.200001 93.230 -25.0815
53.000000 93.170 -25.8882
53.799999 93.119 -26.6539
54.500000 93.073 -27.2880
55.200001 93.030 -27.8833
56.000000 92.984 -28.5630
57.000000 92.920 -29.3918
58.000000 92.852 -30.1737
59.000000 92.783 -30.8990
60.000000 92.719 -31.5988
60.799999 92.670 -32.1959
61.500000 92.623 -32.7302
62.200001 92.574 -33.2449
63.000000 92.520 -33.8148
64.000000 92.453 -34.5234
65.000000 92.388 -35.1962
66.000000 92.328 -35.8651
67.000000 92.264 -36.5465
68.000000 92.196 -37.1652
69.000000 92.134 -37.7436
70.000000 92.074 -38.3394
71.000000 92.010 -38.9473
72.000000 91.943 -39.5430
73.000000 91.874 -40.1124
74.000000 91.808 -40.6691
75.000000 91.743 -41.2267
76.199997 91.666 -41.9047
77.500000 91.579 -42.5977
78.800003 91.499 -43.2207
80.000000 91.434 -43.8289
81.199997 91.360 -44.4929
82.500000 91.267 -45.1273
83.800003 91.182 -45.6763
85.000000 91.113 -46.1780
86.199997 91.051 -46.7084
87.500000 90.981 -47.3219
88.500000 90.923 -47.7781
90.000000 90.834 -48.4451
91.199997 90.756 -48.9537
92.500000 90.672 -49.4315
93.800003 90.596 -49.8882
95.000000 90.528 -50.3320
96.199997 90.454 -50.7786
97.500000 90.369 -51.2271
98.800003 90.284 -51.6261
100.000000 90.222 -51.9849
101.500000 90.159 -52.6267
103.000000 90.078 -53.3376
104.400002 89.997 -53.9041
106.000000 89.909 -54.4318
107.500000 89.831 -54.8891
109.000000 89.750 -55.3424
110.599998 89.661 -55.8237
112.000000 89.581 -56.2343
113.800003 89.476 -56.7325
115.000000 89.404 -57.0657
117.199997 89.279 -57.6942
118.000000 89.241 -57.9376
120.599998 89.137 -58.7440
122.000000 89.088 -59.0762
124.099998 89.002 -59.4292
125.000000 88.953 -59.5448
126.500000 88.858 -59.6835
128.000000 88.768 -59.8258
131.500000 88.631 -60.3300
132.000000 88.621 -60.4115
134.000000 88.591 -60.8127
136.000000 88.550 -61.3815
138.000000 88.492 -62.0513
140.000000 88.433 -62.7257
143.000000 88.325 -63.5806
145.000000 88.225 -64.1332
147.500000 88.072 -65.0468
150.000000 87.915 -65.7485
152.500000 87.857 -65.9592
155.000000 87.812 -66.2570
157.500000 87.717 -66.5967
160.000000 87.619 -66.9356
162.500000 87.565 -67.2703
165.000000 87.532 -67.6753
167.500000 87.482 -68.1271
170.000000 87.417 -68.6362
172.500000 87.343 -69.2167
175.000000 87.262 -69.7810
177.500000 87.180 -70.2764
180.000000 87.102 -70.7172
182.500000 87.029 -71.1217
185.000000 86.964 -71.4998
187.500000 86.905 -71.8685
190.000000 86.847 -72.2709
192.500000 86.789 -72.7334
195.000000 86.736 -73.1812
197.500000 86.691 -73.5376
200.000000 86.642 -73.9160
203.000000 86.548 -74.4519
206.000000 86.451 -74.9571
209.000000 86.371 -75.4309
212.000000 86.300 -75.8536
214.000000 86.256 -76.1183
218.000000 86.178 -76.6312
220.000000 86.142 -76.8813
224.000000 86.072 -77.3911
227.000000 86.022 -77.7922
230.000000 85.974 -78.2285
233.000000 85.927 -78.6862
236.000000 85.880 -79.1293
240.000000 85.817 -79.6995
243.000000 85.766 -80.1179
247.000000 85.678 -80.6893
250.000000 85.617 -81.1044
254.000000 85.584 -81.6592
258.000000 85.551 -82.2039
262.000000 85.502 -82.7278
265.000000 85.465 -83.1107
269.000000 85.415 -83.6354
272.000000 85.379 -84.0442
276.000000 85.333 -84.5813
280.000000 85.288 -85.1015
285.000000 85.237 -85.7346
290.000000 85.193 -86.3638
295.000000 85.153 -86.9944
300.000000 85.111 -87.6183
304.000000 85.079 -88.1322
307.000000 85.056 -88.5179
311.000000 85.028 -89.0234
315.000000 85.002 -89.5248
