* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11/06/2023 12:55:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: U12t M20 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 59.829 -113.1259
1.015000 60.124 -114.5551
1.030000 60.415 -115.8813
1.044000 60.685 -117.0340
1.060000 60.992 -118.2585
1.075000 61.277 -119.3240
1.090000 61.560 -120.3169
1.106000 61.859 -121.3042
1.120000 62.119 -122.1141
1.138000 62.450 -123.0909
1.150000 62.669 -123.7076
1.172000 63.066 -124.7800
1.180000 63.209 -125.1550
1.206000 63.669 -126.3357
1.220000 63.914 -126.9571
1.241000 64.276 -127.8861
1.250000 64.430 -128.2874
1.265000 64.684 -128.9662
1.280000 64.936 -129.6636
1.315000 65.512 -131.4039
1.320000 65.593 -131.6693
1.340000 65.913 -132.7838
1.360000 66.229 -133.9769
1.380000 66.538 -135.2035
1.400000 66.843 -136.4557
1.430000 67.289 -138.3714
1.450000 67.581 -139.6662
1.475000 67.939 -141.2959
1.500000 68.289 -142.9292
1.525000 68.633 -144.5563
1.550000 68.970 -146.1676
1.575000 69.301 -147.7535
1.600000 69.627 -149.3044
1.625000 69.947 -150.8105
1.650000 70.262 -152.2624
1.675000 70.572 -153.6503
1.700000 70.877 -154.9693
1.725000 71.175 -156.2307
1.750000 71.466 -157.4412
1.775000 71.751 -158.6073
1.800000 72.029 -159.7353
1.825000 72.302 -160.8315
1.850000 72.570 -161.9023
1.875000 72.832 -162.9541
1.900000 73.089 -163.9931
1.925000 73.342 -165.0257
1.950000 73.591 -166.0583
1.975000 73.836 -167.0972
2.000000 74.077 -168.1486
2.030000 74.362 -169.4334
2.060000 74.640 -170.7231
2.090000 74.910 -172.0099
2.120000 75.174 -173.2920
2.140000 75.346 -174.1434
2.180000 75.682 -175.8360
2.200000 75.846 -176.6762
2.240000 76.167 -178.3421
2.270000 76.402 -179.5770
2.300000 76.632 179.2023
2.330000 76.858 177.9976
2.360000 77.081 176.8102
2.400000 77.370 175.2460
2.430000 77.580 174.0849
2.470000 77.852 172.5549
2.500000 78.050 171.4223
2.540000 78.308 169.9341
2.580000 78.558 168.4733
2.620000 78.801 167.0422
2.650000 78.980 165.9900
2.690000 79.215 164.6171
2.720000 79.387 163.6135
2.760000 79.609 162.3126
2.800000 79.824 161.0484
2.850000 80.084 159.5101
2.900000 80.335 158.0069
2.950000 80.578 156.5265
3.000000 80.815 155.0566
3.040000 81.001 153.8801
3.070000 81.137 152.9972
3.110000 81.313 151.8235
3.150000 81.484 150.6581
3.200000 81.692 149.2207
3.250000 81.894 147.8133
3.300000 82.091 146.4454
3.350000 82.284 145.1264
3.400000 82.473 143.8660
3.450000 82.656 142.6639
3.500000 82.834 141.5082
3.550000 83.007 140.3868
3.600000 83.176 139.2876
3.650000 83.343 138.1982
3.700000 83.506 137.1067
3.750000 83.667 136.0128
3.820000 83.886 134.4966
3.870000 84.038 133.4288
3.950000 84.276 131.7555
4.000000 84.422 130.7367
4.060000 84.594 129.5475
4.120000 84.763 128.4001
4.180000 84.928 127.2866
4.250000 85.117 126.0160
4.310000 85.274 124.9394
4.370000 85.429 123.8632
4.440000 85.606 122.6065
4.500000 85.753 121.5371
4.550000 85.874 120.6530
4.620000 86.039 119.4282
4.680000 86.177 118.3926
4.750000 86.333 117.2029
4.820000 86.485 116.0313
4.870000 86.591 115.2049
4.940000 86.735 114.0620
5.000000 86.855 113.0951
5.080000 87.009 111.8229
5.150000 87.139 110.7244
5.220000 87.265 109.6415
5.300000 87.403 108.4261
5.380000 87.537 107.2379
5.450000 87.649 106.2201
5.520000 87.757 105.2208
5.600000 87.876 104.1039
5.700000 88.020 102.7502
5.800000 88.159 101.4485
5.900000 88.292 100.1963
6.000000 88.421 98.9860
6.080000 88.523 98.0435
6.150000 88.610 97.2407
6.220000 88.696 96.4576
6.300000 88.793 95.5829
6.400000 88.913 94.5136
6.500000 89.033 93.4767
6.600000 89.152 92.4692
6.700000 89.270 91.4766
6.800000 89.387 90.4904
6.900000 89.503 89.5184
7.000000 89.618 88.5545
7.100000 89.731 87.5928
7.200000 89.843 86.6350
7.300000 89.952 85.6816
7.400000 90.059 84.7314
7.500000 90.162 83.7820
7.620000 90.281 82.6467
7.750000 90.405 81.4311
7.880000 90.522 80.2297
8.000000 90.625 79.1366
8.120000 90.724 78.0680
8.250000 90.825 76.9357
8.380000 90.921 75.8324
8.500000 91.007 74.8433
8.620000 91.090 73.8812
8.750000 91.177 72.8658
8.850000 91.243 72.1048
9.000000 91.340 70.9932
9.120000 91.417 70.1209
9.250000 91.499 69.1946
9.380000 91.580 68.2830
9.500000 91.653 67.4492
9.620000 91.726 66.6248
9.750000 91.802 65.7399
9.880000 91.877 64.8611
10.000000 91.944 64.0572
10.150000 92.024 63.0653
10.300000 92.100 62.0869
10.440000 92.169 61.1905
10.600000 92.244 60.1879
10.750000 92.311 59.2693
10.900000 92.377 58.3741
11.060000 92.444 57.4424
11.200000 92.503 56.6441
11.380000 92.576 55.6405
11.500000 92.624 54.9797
11.720000 92.712 53.7866
11.800000 92.743 53.3556
12.060000 92.841 51.9648
12.200000 92.891 51.2218
12.410000 92.962 50.1161
12.500000 92.991 49.6483
12.650000 93.037 48.8751
12.800000 93.080 48.1163
13.150000 93.171 46.4109
13.200000 93.184 46.1759
13.400000 93.231 45.2569
13.600000 93.277 44.3703
13.800000 93.323 43.5120
14.000000 93.369 42.6758
14.300000 93.439 41.4462
14.500000 93.485 40.6360
14.750000 93.541 39.6272
15.000000 93.595 38.6225
15.250000 93.645 37.6259
15.500000 93.692 36.6417
15.750000 93.735 35.6761
16.000000 93.774 34.7328
16.250000 93.811 33.8122
16.500000 93.846 32.9139
16.750000 93.879 32.0356
17.000000 93.911 31.1752
17.250000 93.942 30.3311
17.500000 93.972 29.5021
17.750000 94.000 28.6869
18.000000 94.028 27.8841
18.250000 94.054 27.0925
18.500000 94.079 26.3110
18.750000 94.103 25.5388
19.000000 94.125 24.7769
19.250000 94.146 24.0262
19.500000 94.164 23.2881
19.750000 94.182 22.5643
20.000000 94.199 21.8542
20.299999 94.218 21.0189
20.600000 94.236 20.1981
20.900000 94.254 19.3884
21.200001 94.270 18.5874
21.400000 94.279 18.0586
21.799999 94.296 17.0176
22.000000 94.303 16.5072
22.400000 94.316 15.5085
22.700001 94.324 14.7784
23.000000 94.332 14.0621
23.299999 94.339 13.3574
23.600000 94.345 12.6635
24.000000 94.352 11.7552
24.299999 94.357 11.0877
24.700001 94.364 10.2135
25.000000 94.369 9.5656
25.400000 94.375 8.7051
25.799999 94.379 7.8456
26.200001 94.380 6.9919
26.500000 94.379 6.3620
26.900000 94.374 5.5436
27.200001 94.369 4.9479
27.600000 94.363 4.1749
28.000000 94.357 3.4192
28.500000 94.350 2.4874
29.000000 94.341 1.5620
29.500000 94.329 0.6451
30.000000 94.314 -0.2523
30.400000 94.300 -0.9484
30.700001 94.289 -1.4567
31.100000 94.275 -2.1204
31.500000 94.262 -2.7769
32.000000 94.246 -3.5958
32.500000 94.227 -4.4049
33.000000 94.206 -5.1853
33.500000 94.187 -5.9357
34.000000 94.171 -6.6806
34.500000 94.154 -7.4391
35.000000 94.131 -8.1941
35.500000 94.104 -8.9085
36.000000 94.077 -9.5704
36.500000 94.055 -10.2083
37.000000 94.037 -10.8602
37.500000 94.016 -11.5364
38.200001 93.980 -12.4867
38.700001 93.948 -13.1416
39.500000 93.897 -14.1340
40.000000 93.867 -14.7277
40.599998 93.835 -15.4385
41.200001 93.806 -16.1710
41.799999 93.775 -16.9200
42.500000 93.734 -17.7807
43.099998 93.696 -18.4834
43.700001 93.656 -19.1328
44.400002 93.614 -19.8251
45.000000 93.584 -20.4170
45.500000 93.556 -20.9258
46.200001 93.508 -21.5937
46.799999 93.469 -22.1044
47.500000 93.430 -22.7753
48.200001 93.365 -23.5377
48.700001 93.296 -23.9493
49.400002 93.223 -24.2177
50.000000 93.218 -24.4725
50.799999 93.234 -25.3512
51.500000 93.195 -26.3837
52.200001 93.123 -27.2234
53.000000 93.056 -27.9873
53.799999 93.004 -28.7601
54.500000 92.956 -29.4026
55.200001 92.913 -29.9939
56.000000 92.866 -30.6559
57.000000 92.803 -31.4359
58.000000 92.740 -32.1642
59.000000 92.674 -32.8851
60.000000 92.606 -33.6105
60.799999 92.549 -34.2026
61.500000 92.495 -34.7085
62.200001 92.442 -35.1898
63.000000 92.385 -35.7222
64.000000 92.318 -36.3771
65.000000 92.254 -37.0192
66.000000 92.193 -37.6650
67.000000 92.128 -38.3076
68.000000 92.062 -38.9330
69.000000 91.997 -39.5455
70.000000 91.932 -40.1538
71.000000 91.867 -40.7530
72.000000 91.803 -41.3358
73.000000 91.740 -41.9139
74.000000 91.675 -42.4802
75.000000 91.608 -43.0168
76.199997 91.530 -43.6366
77.500000 91.446 -44.3140
78.800003 91.360 -44.9829
80.000000 91.281 -45.5723
81.199997 91.206 -46.1427
82.500000 91.127 -46.7538
83.800003 91.048 -47.3480
85.000000 90.974 -47.8866
86.199997 90.898 -48.4240
87.500000 90.816 -48.9839
88.500000 90.755 -49.4054
90.000000 90.666 -50.0422
91.199997 90.595 -50.5404
92.500000 90.520 -51.0626
93.800003 90.445 -51.5677
95.000000 90.376 -52.0198
96.199997 90.308 -52.4705
97.500000 90.233 -52.9645
98.800003 90.157 -53.4533
100.000000 90.087 -53.8816
101.500000 90.004 -54.3928
103.000000 89.925 -54.9036
104.400002 89.851 -55.3769
106.000000 89.764 -55.9004
107.500000 89.683 -56.3732
109.000000 89.603 -56.8386
110.599998 89.519 -57.3349
112.000000 89.446 -57.7635
113.800003 89.357 -58.3029
115.000000 89.298 -58.6548
117.199997 89.189 -59.2751
118.000000 89.149 -59.4911
120.599998 89.021 -60.1856
122.000000 88.953 -60.5580
124.099998 88.855 -61.0988
125.000000 88.813 -61.3238
126.500000 88.745 -61.6882
128.000000 88.677 -62.0446
131.500000 88.527 -62.8621
132.000000 88.507 -62.9799
134.000000 88.427 -63.4550
136.000000 88.340 -63.9210
138.000000 88.251 -64.3813
140.000000 88.169 -64.8617
143.000000 88.059 -65.4979
145.000000 87.973 -65.8663
147.500000 87.816 -66.3625
150.000000 87.661 -66.6964
152.500000 87.619 -67.2569
155.000000 87.577 -67.9698
157.500000 87.501 -68.4230
160.000000 87.404 -68.8412
162.500000 87.309 -69.3036
165.000000 87.225 -69.7341
167.500000 87.142 -70.0991
170.000000 87.056 -70.4329
172.500000 86.976 -70.7708
175.000000 86.904 -71.1171
177.500000 86.837 -71.4572
180.000000 86.775 -71.7772
182.500000 86.717 -72.1083
185.000000 86.659 -72.4882
187.500000 86.597 -72.8804
190.000000 86.531 -73.2354
192.500000 86.466 -73.5568
195.000000 86.418 -73.8654
197.500000 86.397 -74.1853
200.000000 86.375 -74.5487
203.000000 86.312 -74.9150
206.000000 86.254 -75.3274
209.000000 86.208 -75.9048
212.000000 86.156 -76.4930
214.000000 86.116 -76.8628
218.000000 86.030 -77.5530
220.000000 85.989 -77.8763
224.000000 85.908 -78.4930
227.000000 85.849 -78.9313
230.000000 85.793 -79.3627
233.000000 85.739 -79.7914
236.000000 85.687 -80.2078
240.000000 85.619 -80.7490
243.000000 85.570 -81.1236
247.000000 85.496 -81.4886
250.000000 85.446 -81.7774
254.000000 85.400 -82.4493
258.000000 85.358 -83.1169
262.000000 85.311 -83.6511
265.000000 85.274 -84.0370
269.000000 85.227 -84.5522
272.000000 85.192 -84.9403
276.000000 85.148 -85.4508
280.000000 85.108 -85.9473
285.000000 85.063 -86.5645
290.000000 85.020 -87.1880
295.000000 84.980 -87.8245
300.000000 84.943 -88.4510
304.000000 84.914 -88.9415
307.000000 84.893 -89.3043
311.000000 84.868 -89.7894
315.000000 84.846 -90.2851
