* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11/06/2023 1:00:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: U12t MX L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 40.407 -132.6512
1.015000 40.598 -130.7534
1.030000 40.844 -128.9367
1.044000 41.122 -127.2859
1.060000 41.492 -125.4562
1.075000 41.885 -123.7997
1.090000 42.318 -122.2038
1.106000 42.817 -120.5725
1.120000 43.282 -119.2086
1.138000 43.912 -117.5470
1.150000 44.348 -116.4997
1.172000 45.173 -114.7120
1.180000 45.478 -114.1063
1.206000 46.480 -112.3097
1.220000 47.018 -111.4561
1.241000 47.815 -110.3333
1.250000 48.150 -109.9121
1.265000 48.695 -109.2930
1.280000 49.220 -108.7808
1.315000 50.339 -108.0212
1.320000 50.485 -107.9644
1.340000 51.023 -107.8724
1.360000 51.496 -108.0438
1.380000 51.939 -108.5798
1.400000 52.355 -109.4479
1.430000 52.934 -111.2856
1.450000 53.292 -112.8094
1.475000 53.713 -114.9798
1.500000 54.108 -117.3726
1.525000 54.482 -119.9096
1.550000 54.838 -122.5128
1.575000 55.180 -125.1042
1.600000 55.513 -127.6055
1.625000 55.841 -129.9388
1.650000 56.168 -132.0260
1.675000 56.498 -133.7889
1.700000 56.829 -135.2175
1.725000 57.148 -136.4738
1.750000 57.455 -137.5911
1.775000 57.750 -138.5926
1.800000 58.034 -139.5013
1.825000 58.308 -140.3404
1.850000 58.574 -141.1330
1.875000 58.830 -141.9023
1.900000 59.080 -142.6713
1.925000 59.323 -143.4633
1.950000 59.560 -144.3013
1.975000 59.793 -145.2085
2.000000 60.021 -146.2080
2.030000 60.291 -147.5552
2.060000 60.551 -149.0155
2.090000 60.800 -150.5573
2.120000 61.040 -152.1639
2.140000 61.194 -153.2627
2.180000 61.491 -155.5040
2.200000 61.634 -156.6366
2.240000 61.910 -158.9008
2.270000 62.110 -160.5782
2.300000 62.303 -162.2193
2.330000 62.491 -163.8072
2.360000 62.674 -165.3258
2.400000 62.908 -167.2964
2.430000 63.074 -168.7544
2.470000 63.285 -170.6685
2.500000 63.436 -172.0794
2.540000 63.627 -173.9241
2.580000 63.808 -175.7235
2.620000 63.980 -177.4732
2.650000 64.103 -178.7504
2.690000 64.261 179.5969
2.720000 64.373 178.4007
2.760000 64.513 176.8674
2.800000 64.643 175.3950
2.850000 64.793 173.6244
2.900000 64.929 171.9125
2.950000 65.054 170.2393
3.000000 65.169 168.5843
3.040000 65.254 167.2585
3.070000 65.313 166.2469
3.110000 65.383 164.8829
3.150000 65.445 163.5221
3.200000 65.514 161.8605
3.250000 65.574 160.2841
3.300000 65.629 158.8371
3.350000 65.682 157.5641
3.400000 65.730 156.4975
3.450000 65.768 155.6117
3.500000 65.798 154.8743
3.550000 65.825 154.2540
3.600000 65.853 153.7193
3.650000 65.884 153.2387
3.700000 65.924 152.7810
3.750000 65.968 152.3531
3.820000 66.029 151.8563
3.870000 66.077 151.5749
3.950000 66.170 151.2527
4.000000 66.244 151.1320
4.060000 66.353 151.0788
4.120000 66.481 151.1978
4.180000 66.626 151.4437
4.250000 66.814 151.7891
4.310000 66.990 152.0481
4.370000 67.181 152.1924
4.440000 67.425 152.2284
4.500000 67.655 152.2119
4.550000 67.857 152.1557
4.620000 68.148 151.9982
4.680000 68.399 151.7769
4.750000 68.690 151.4056
4.820000 68.990 150.9235
4.870000 69.207 150.5155
4.940000 69.511 149.8593
5.000000 69.764 149.2219
5.080000 70.086 148.2640
5.150000 70.360 147.2968
5.220000 70.627 146.2309
5.300000 70.918 144.9337
5.380000 71.192 143.5990
5.450000 71.415 142.3921
5.520000 71.625 141.1231
5.600000 71.849 139.6362
5.700000 72.107 137.7899
5.800000 72.336 135.9868
5.900000 72.538 134.1850
6.000000 72.717 132.4325
6.080000 72.847 131.0976
6.150000 72.948 129.9608
6.220000 73.038 128.8553
6.300000 73.130 127.6496
6.400000 73.237 126.2614
6.500000 73.329 125.0097
6.600000 73.409 123.8790
6.700000 73.485 122.8687
6.800000 73.559 121.9820
6.900000 73.629 121.2217
7.000000 73.699 120.5716
7.100000 73.777 120.0185
7.200000 73.860 119.5835
7.300000 73.948 119.2405
7.400000 74.047 118.9485
7.500000 74.156 118.7105
7.620000 74.300 118.5016
7.750000 74.473 118.2923
7.880000 74.665 118.0988
8.000000 74.856 117.9199
8.120000 75.057 117.6863
8.250000 75.290 117.3894
8.380000 75.531 117.0182
8.500000 75.758 116.5814
8.620000 75.990 116.0662
8.750000 76.238 115.4075
8.850000 76.426 114.8227
9.000000 76.703 113.8289
9.120000 76.911 112.9465
9.250000 77.125 111.8901
9.380000 77.324 110.7634
9.500000 77.489 109.6862
9.620000 77.637 108.5587
9.750000 77.778 107.3383
9.880000 77.897 106.1321
10.000000 77.988 105.0338
10.150000 78.080 103.7610
10.300000 78.147 102.5873
10.440000 78.196 101.6236
10.600000 78.238 100.7043
10.750000 78.272 100.0045
10.900000 78.310 99.4767
11.060000 78.358 99.0705
11.200000 78.417 98.7998
11.380000 78.512 98.5640
11.500000 78.590 98.3977
11.720000 78.763 98.0871
11.800000 78.831 97.9339
12.060000 79.073 97.2851
12.200000 79.203 96.8248
12.410000 79.397 95.9962
12.500000 79.474 95.6113
12.650000 79.598 94.9189
12.800000 79.713 94.2116
13.150000 79.951 92.5771
13.200000 79.983 92.3550
13.400000 80.108 91.4926
13.600000 80.235 90.6731
13.800000 80.365 89.8765
14.000000 80.503 89.0722
14.300000 80.715 87.7869
14.500000 80.855 86.8621
14.750000 81.022 85.6233
15.000000 81.170 84.3443
15.250000 81.299 83.0834
15.500000 81.410 81.8921
15.750000 81.509 80.8196
16.000000 81.606 79.8777
16.250000 81.704 79.0484
16.500000 81.809 78.3075
16.750000 81.923 77.6173
17.000000 82.042 76.9469
17.250000 82.166 76.2820
17.500000 82.291 75.6117
17.750000 82.417 74.9289
18.000000 82.541 74.2238
18.250000 82.660 73.4897
18.500000 82.772 72.7226
18.750000 82.873 71.9284
19.000000 82.960 71.1362
19.250000 83.033 70.3767
19.500000 83.094 69.6817
19.750000 83.150 69.0785
20.000000 83.210 68.5510
20.299999 83.294 67.9674
20.600000 83.393 67.3486
20.900000 83.500 66.6099
21.200001 83.598 65.7271
21.400000 83.653 65.0863
21.799999 83.733 63.8430
22.000000 83.766 63.3050
22.400000 83.844 62.4271
22.700001 83.937 61.8411
23.000000 84.064 61.1472
23.299999 84.205 60.2133
23.600000 84.335 59.0128
24.000000 84.445 57.2247
24.299999 84.479 56.0383
24.700001 84.508 54.9964
25.000000 84.570 54.5856
25.400000 84.753 54.1121
25.799999 85.013 53.0682
26.200001 85.234 51.1706
26.500000 85.308 49.4161
26.900000 85.259 47.3402
27.200001 85.140 46.4412
27.600000 84.981 46.3944
28.000000 84.945 47.2834
28.500000 85.137 48.3480
29.000000 85.420 48.2128
29.500000 85.608 47.1434
30.000000 85.672 46.1496
30.400000 85.698 45.7215
30.700001 85.732 45.5302
31.100000 85.805 45.2366
31.500000 85.888 44.7520
32.000000 85.973 43.9318
32.500000 86.031 43.0796
33.000000 86.086 42.2730
33.500000 86.148 41.4346
34.000000 86.207 40.5318
34.500000 86.257 39.6340
35.000000 86.305 38.8001
35.500000 86.359 38.0107
36.000000 86.416 37.2275
36.500000 86.469 36.4576
37.000000 86.517 35.7342
37.500000 86.565 35.0651
38.200001 86.635 34.1609
38.700001 86.685 33.4931
39.500000 86.751 32.3814
40.000000 86.784 31.6961
40.599998 86.823 30.9001
41.200001 86.868 30.0925
41.799999 86.916 29.2306
42.500000 86.965 28.1818
43.099998 86.999 27.3243
43.700001 87.033 26.5518
44.400002 87.081 25.7058
45.000000 87.119 24.9743
45.500000 87.138 24.4118
46.200001 87.165 23.7925
46.799999 87.207 23.2575
47.500000 87.235 22.3031
48.200001 87.158 21.4012
48.700001 87.068 21.3285
49.400002 87.059 21.9530
50.000000 87.210 22.1460
50.799999 87.425 20.8826
51.500000 87.460 19.2475
52.200001 87.428 18.2366
53.000000 87.478 17.5911
53.799999 87.606 16.4824
54.500000 87.671 15.0815
55.200001 87.660 13.8280
56.000000 87.629 12.9452
57.000000 87.648 12.1177
58.000000 87.664 11.0417
59.000000 87.631 10.1059
60.000000 87.622 9.4457
60.799999 87.654 8.7989
61.500000 87.687 8.0180
62.200001 87.705 7.1112
63.000000 87.701 6.0625
64.000000 87.668 4.9579
65.000000 87.643 4.1453
66.000000 87.623 3.4180
67.000000 87.595 2.8995
68.000000 87.593 2.3963
69.000000 87.551 1.6249
70.000000 87.449 1.1722
71.000000 87.394 0.8765
72.000000 87.318 0.1903
73.000000 87.187 -0.0664
74.000000 87.147 0.1098
75.000000 87.195 0.1876
76.199997 87.387 0.0841
77.500000 87.634 -1.1158
78.800003 87.801 -2.4618
80.000000 87.909 -3.7501
81.199997 87.951 -4.9291
82.500000 87.929 -6.1376
83.800003 87.879 -7.0654
85.000000 87.851 -8.0138
86.199997 87.832 -9.0472
87.500000 87.810 -10.1668
88.500000 87.802 -10.8095
90.000000 87.803 -11.7252
91.199997 87.779 -12.2621
92.500000 87.767 -12.7847
93.800003 87.761 -13.5709
95.000000 87.745 -14.5048
96.199997 87.741 -15.3963
97.500000 87.784 -16.3754
98.800003 87.838 -17.5141
100.000000 87.814 -18.5532
101.500000 87.693 -18.9783
103.000000 87.616 -18.8962
104.400002 87.575 -19.1583
106.000000 87.507 -19.9408
107.500000 87.444 -20.6707
109.000000 87.427 -21.4364
110.599998 87.416 -22.3828
112.000000 87.390 -23.1839
113.800003 87.349 -24.1148
115.000000 87.323 -24.7116
117.199997 87.285 -25.7234
118.000000 87.268 -26.1015
120.599998 87.153 -27.1914
122.000000 87.077 -27.6811
124.099998 86.978 -28.3738
125.000000 86.953 -28.6461
126.500000 86.935 -29.1362
128.000000 86.917 -29.5959
131.500000 86.903 -30.2593
132.000000 86.905 -30.3848
134.000000 86.900 -31.0873
136.000000 86.879 -31.7593
138.000000 86.885 -32.4251
140.000000 86.905 -33.0997
143.000000 86.896 -34.2500
145.000000 86.864 -35.1660
147.500000 86.789 -36.6007
150.000000 86.702 -37.8687
152.500000 86.697 -38.4351
155.000000 86.710 -39.2004
157.500000 86.663 -39.9181
160.000000 86.612 -40.8361
162.500000 86.550 -41.6356
165.000000 86.515 -42.4159
167.500000 86.451 -43.2222
170.000000 86.407 -43.8674
172.500000 86.373 -44.6995
175.000000 86.303 -45.4700
177.500000 86.250 -46.1006
180.000000 86.210 -46.8675
182.500000 86.141 -47.5929
185.000000 86.065 -48.0927
187.500000 86.014 -48.5405
190.000000 85.975 -49.0576
192.500000 85.930 -49.5226
195.000000 85.902 -49.9013
197.500000 85.907 -50.3704
200.000000 85.921 -50.9625
203.000000 85.927 -51.6426
206.000000 85.919 -52.4284
209.000000 85.891 -53.3287
212.000000 85.855 -54.1920
214.000000 85.828 -54.7200
218.000000 85.769 -55.7136
220.000000 85.739 -56.1831
224.000000 85.683 -57.0429
227.000000 85.646 -57.6625
230.000000 85.613 -58.3049
233.000000 85.582 -58.9783
236.000000 85.553 -59.6773
240.000000 85.519 -60.5760
243.000000 85.492 -61.2279
247.000000 85.435 -62.2071
250.000000 85.394 -62.9224
254.000000 85.378 -63.6927
258.000000 85.359 -64.4502
262.000000 85.324 -65.2563
265.000000 85.298 -65.8543
269.000000 85.265 -66.6288
272.000000 85.241 -67.2042
276.000000 85.213 -67.9620
280.000000 85.185 -68.7063
285.000000 85.150 -69.6366
290.000000 85.116 -70.5700
295.000000 85.087 -71.4976
300.000000 85.063 -72.4159
304.000000 85.045 -73.1410
307.000000 85.032 -73.6766
311.000000 85.016 -74.3837
315.000000 85.001 -75.0870
320.000000 84.986 -75.9559
325.000000 84.975 -76.8238
330.000000 84.967 -77.7053
335.000000 84.960 -78.5978
