* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 11/06/2023 12:48:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: U12t MX R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 60.433 112.0917
1.015000 60.236 111.5818
1.030000 60.030 111.1517
1.044000 59.829 110.8036
1.060000 59.591 110.4709
1.075000 59.359 110.2245
1.090000 59.120 110.0435
1.106000 58.860 109.9252
1.120000 58.628 109.8869
1.138000 58.325 109.9300
1.150000 58.120 110.0181
1.172000 57.744 110.3074
1.180000 57.606 110.4546
1.206000 57.161 111.0931
1.220000 56.924 111.5412
1.241000 56.573 112.3549
1.250000 56.425 112.7569
1.265000 56.182 113.4997
1.280000 55.945 114.3354
1.315000 55.421 116.6585
1.320000 55.350 117.0342
1.340000 55.076 118.6497
1.360000 54.811 120.5057
1.380000 54.529 122.7401
1.400000 54.233 125.3158
1.430000 53.773 129.7159
1.450000 53.465 132.9382
1.475000 53.087 137.2078
1.500000 52.727 141.6599
1.525000 52.395 146.2023
1.550000 52.101 150.7425
1.575000 51.856 155.1883
1.600000 51.671 159.4473
1.625000 51.555 163.4273
1.650000 51.520 167.0358
1.675000 51.575 170.1806
1.700000 51.737 172.8851
1.725000 52.019 175.4240
1.750000 52.406 177.8101
1.775000 52.881 -179.9625
1.800000 53.426 -177.8994
1.825000 54.025 -176.0063
1.850000 54.660 -174.2889
1.875000 55.315 -172.7531
1.900000 55.972 -171.4045
1.925000 56.614 -170.2489
1.950000 57.224 -169.2920
1.975000 57.785 -168.5394
2.000000 58.281 -167.9971
2.030000 58.771 -167.6491
2.060000 59.204 -167.7937
2.090000 59.601 -168.4057
2.120000 59.965 -169.4059
2.140000 60.192 -170.2491
2.180000 60.610 -172.2534
2.200000 60.804 -173.3674
2.240000 61.167 -175.7016
2.270000 61.421 -177.4527
2.300000 61.663 -179.1160
2.330000 61.898 179.3877
2.360000 62.127 178.1340
2.400000 62.411 176.6154
2.430000 62.602 175.4946
2.470000 62.830 174.0250
2.500000 62.984 172.9421
2.540000 63.170 171.5246
2.580000 63.337 170.1383
2.620000 63.489 168.7843
2.650000 63.596 167.7905
2.690000 63.731 166.4953
2.720000 63.824 165.5340
2.760000 63.930 164.2475
2.800000 64.017 162.9728
2.850000 64.105 161.4243
2.900000 64.175 159.9600
2.950000 64.234 158.6163
3.000000 64.287 157.4299
3.040000 64.330 156.6160
3.070000 64.355 156.0690
3.110000 64.375 155.4123
3.150000 64.386 154.8396
3.200000 64.393 154.2432
3.250000 64.403 153.7815
3.300000 64.423 153.4563
3.350000 64.465 153.2696
3.400000 64.528 153.2579
3.450000 64.599 153.4852
3.500000 64.679 153.8872
3.550000 64.773 154.3927
3.600000 64.885 154.9304
3.650000 65.018 155.4291
3.700000 65.177 155.8177
3.750000 65.366 156.1411
3.820000 65.676 156.6136
3.870000 65.923 156.9232
3.950000 66.344 157.2849
4.000000 66.614 157.3791
4.060000 66.939 157.3149
4.120000 67.283 157.1061
4.180000 67.642 156.7670
4.250000 68.067 156.1997
4.310000 68.424 155.5603
4.370000 68.762 154.7740
4.440000 69.136 153.6231
4.500000 69.450 152.4351
4.550000 69.704 151.3432
4.620000 70.042 149.7206
4.680000 70.313 148.2997
4.750000 70.603 146.6463
4.820000 70.870 144.9033
4.870000 71.047 143.6178
4.940000 71.275 141.7982
5.000000 71.453 140.2525
5.080000 71.666 138.2488
5.150000 71.826 136.4853
5.220000 71.963 134.7321
5.300000 72.098 132.7982
5.380000 72.214 131.0026
5.450000 72.298 129.5462
5.520000 72.362 128.1638
5.600000 72.419 126.7013
5.700000 72.480 125.0950
5.800000 72.535 123.7774
5.900000 72.573 122.7217
6.000000 72.616 121.8817
6.080000 72.667 121.3396
6.150000 72.720 121.0020
6.220000 72.779 120.7722
6.300000 72.859 120.5828
6.400000 72.984 120.3567
6.500000 73.144 120.1865
6.600000 73.331 120.0685
6.700000 73.535 119.8720
6.800000 73.752 119.5163
6.900000 73.991 119.0630
7.000000 74.234 118.4950
7.100000 74.466 117.7867
7.200000 74.695 116.9184
7.300000 74.916 115.9352
7.400000 75.119 114.8939
7.500000 75.299 113.7798
7.620000 75.492 112.3505
7.750000 75.670 110.8461
7.880000 75.810 109.3956
8.000000 75.913 108.1269
8.120000 76.000 107.0287
8.250000 76.071 106.0123
8.380000 76.134 105.1814
8.500000 76.197 104.6119
8.620000 76.261 104.2234
8.750000 76.347 103.9174
8.850000 76.430 103.7673
9.000000 76.578 103.6547
9.120000 76.718 103.5219
9.250000 76.897 103.3558
9.380000 77.090 103.1130
9.500000 77.274 102.7477
9.620000 77.467 102.2709
9.750000 77.671 101.6333
9.880000 77.862 100.8497
10.000000 78.030 100.0189
10.150000 78.215 98.9219
10.300000 78.373 97.7364
10.440000 78.498 96.6494
10.600000 78.609 95.4596
10.750000 78.693 94.4308
10.900000 78.762 93.5500
11.060000 78.823 92.7526
11.200000 78.879 92.1941
11.380000 78.953 91.6497
11.500000 79.013 91.3472
11.720000 79.145 90.9250
11.800000 79.201 90.7650
12.060000 79.410 90.2254
12.200000 79.531 89.8513
12.410000 79.719 89.1758
12.500000 79.797 88.8428
12.650000 79.923 88.2228
12.800000 80.039 87.5682
13.150000 80.269 85.9802
13.200000 80.297 85.7639
13.400000 80.401 84.9333
13.600000 80.499 84.2085
13.800000 80.596 83.5742
14.000000 80.702 83.0227
14.300000 80.880 82.2273
14.500000 81.011 81.6592
14.750000 81.182 80.8387
15.000000 81.345 79.8759
15.250000 81.489 78.8196
15.500000 81.607 77.7338
15.750000 81.698 76.7162
16.000000 81.773 75.8538
16.250000 81.846 75.1608
16.500000 81.929 74.6234
16.750000 82.033 74.1757
17.000000 82.158 73.7096
17.250000 82.298 73.1615
17.500000 82.444 72.4877
17.750000 82.581 71.6840
18.000000 82.702 70.8092
18.250000 82.804 69.9203
18.500000 82.889 69.0734
18.750000 82.963 68.3181
19.000000 83.035 67.6540
19.250000 83.111 67.0605
19.500000 83.194 66.5073
19.750000 83.284 65.9489
20.000000 83.375 65.3649
20.299999 83.483 64.6259
20.600000 83.585 63.8633
20.900000 83.678 63.1095
21.200001 83.767 62.3882
21.400000 83.825 61.9272
21.799999 83.942 61.0281
22.000000 84.001 60.5781
22.400000 84.117 59.6641
22.700001 84.199 58.9729
23.000000 84.276 58.2939
23.299999 84.350 57.6408
23.600000 84.424 57.0153
24.000000 84.525 56.2023
24.299999 84.602 55.5850
24.700001 84.703 54.7333
25.000000 84.774 54.0813
25.400000 84.859 53.2241
25.799999 84.938 52.4116
26.200001 85.014 51.6488
26.500000 85.071 51.0988
26.900000 85.146 50.3826
27.200001 85.201 49.8586
27.600000 85.272 49.1891
28.000000 85.342 48.5602
28.500000 85.435 47.8137
29.000000 85.534 47.0644
29.500000 85.635 46.2867
30.000000 85.738 45.4737
30.400000 85.820 44.7774
30.700001 85.881 44.2093
31.100000 85.953 43.3821
31.500000 86.007 42.5112
32.000000 86.046 41.4925
32.500000 86.072 40.6831
33.000000 86.115 40.0508
33.500000 86.188 39.4029
34.000000 86.268 38.5850
34.500000 86.326 37.6551
35.000000 86.358 36.8187
35.500000 86.390 36.1928
36.000000 86.450 35.6754
36.500000 86.536 35.0627
37.000000 86.623 34.2599
37.500000 86.687 33.3591
38.200001 86.742 32.2381
38.700001 86.785 31.5944
39.500000 86.885 30.5503
40.000000 86.947 29.7670
40.599998 86.997 28.7741
41.200001 87.022 27.8863
41.799999 87.044 27.1664
42.500000 87.082 26.4297
43.099998 87.119 25.7756
43.700001 87.144 25.1277
44.400002 87.168 24.4964
45.000000 87.205 23.9840
45.500000 87.243 23.4393
46.200001 87.269 22.5064
46.799999 87.265 21.7516
47.500000 87.269 20.9150
48.200001 87.261 19.8517
48.700001 87.212 19.1096
49.400002 87.123 18.6762
50.000000 87.136 18.7687
50.799999 87.304 18.3565
51.500000 87.432 17.1286
52.200001 87.474 15.8583
53.000000 87.503 14.8447
53.799999 87.552 13.9546
54.500000 87.584 13.2099
55.200001 87.611 12.5666
56.000000 87.639 11.8694
57.000000 87.662 11.0324
58.000000 87.687 10.1789
59.000000 87.704 9.1972
60.000000 87.709 8.2183
60.799999 87.717 7.4795
61.500000 87.730 6.8644
62.200001 87.750 6.2451
63.000000 87.767 5.5094
64.000000 87.768 4.6609
65.000000 87.759 3.9612
66.000000 87.753 3.2973
67.000000 87.748 2.5908
68.000000 87.744 1.7875
69.000000 87.740 0.9334
70.000000 87.744 0.0481
71.000000 87.742 -0.8484
72.000000 87.734 -1.5950
73.000000 87.727 -2.1952
74.000000 87.718 -2.6295
75.000000 87.732 -2.9878
76.199997 87.762 -3.6777
77.500000 87.764 -4.6877
78.800003 87.752 -5.6525
80.000000 87.769 -6.5390
81.199997 87.785 -7.4282
82.500000 87.823 -8.2712
83.800003 87.840 -9.2239
85.000000 87.826 -9.9394
86.199997 87.806 -10.5741
87.500000 87.791 -11.1747
88.500000 87.799 -11.7207
90.000000 87.802 -12.7582
91.199997 87.778 -13.6149
92.500000 87.737 -14.3405
93.800003 87.720 -15.0057
95.000000 87.709 -15.7550
96.199997 87.691 -16.5344
97.500000 87.681 -17.3436
98.800003 87.685 -18.1961
100.000000 87.669 -19.0343
101.500000 87.611 -19.7694
103.000000 87.573 -20.2753
104.400002 87.544 -20.8455
106.000000 87.506 -21.5939
107.500000 87.475 -22.3355
109.000000 87.449 -23.0893
110.599998 87.422 -23.8537
112.000000 87.395 -24.4790
113.800003 87.362 -25.2563
115.000000 87.342 -25.7767
117.199997 87.313 -26.7215
118.000000 87.303 -27.0573
120.599998 87.258 -28.1422
122.000000 87.224 -28.7551
124.099998 87.165 -29.6820
125.000000 87.145 -30.0702
126.500000 87.121 -30.7123
128.000000 87.102 -31.3170
131.500000 87.053 -32.6264
132.000000 87.044 -32.8267
134.000000 87.001 -33.6304
136.000000 86.963 -34.3349
138.000000 86.936 -35.0383
140.000000 86.891 -35.7974
143.000000 86.815 -36.8751
145.000000 86.786 -37.4936
147.500000 86.758 -37.9941
150.000000 86.741 -38.4630
152.500000 86.672 -39.5768
155.000000 86.576 -40.6812
157.500000 86.526 -41.5804
160.000000 86.486 -42.3083
162.500000 86.432 -42.9888
165.000000 86.379 -43.6824
167.500000 86.336 -44.3312
170.000000 86.299 -44.9167
172.500000 86.268 -45.4862
175.000000 86.249 -46.1158
177.500000 86.232 -46.8019
180.000000 86.209 -47.5025
182.500000 86.183 -48.2210
185.000000 86.152 -48.9499
187.500000 86.117 -49.6660
190.000000 86.080 -50.3653
192.500000 86.044 -51.0446
195.000000 86.005 -51.6973
197.500000 85.962 -52.3180
200.000000 85.921 -52.9199
203.000000 85.883 -53.6889
206.000000 85.849 -54.4630
209.000000 85.813 -55.1817
212.000000 85.774 -55.8853
214.000000 85.747 -56.3566
218.000000 85.695 -57.2759
220.000000 85.671 -57.7247
224.000000 85.624 -58.6175
227.000000 85.589 -59.2861
230.000000 85.556 -59.9384
233.000000 85.523 -60.5692
236.000000 85.490 -61.2000
240.000000 85.450 -62.0331
243.000000 85.418 -62.6552
247.000000 85.363 -63.5890
250.000000 85.325 -64.2664
254.000000 85.311 -64.9585
258.000000 85.296 -65.6573
262.000000 85.268 -66.4453
265.000000 85.245 -67.0412
269.000000 85.215 -67.8112
272.000000 85.193 -68.3760
276.000000 85.166 -69.1337
280.000000 85.138 -69.8921
285.000000 85.106 -70.8139
290.000000 85.077 -71.7097
295.000000 85.051 -72.5822
300.000000 85.029 -73.4317
304.000000 85.008 -74.0937
307.000000 84.992 -74.5818
311.000000 84.976 -75.2178
315.000000 84.967 -75.8275
320.000000 84.964 -76.5752
325.000000 84.973 -77.3271
330.000000 84.992 -78.1198
335.000000 85.015 -78.9962
340.000000 85.038 -79.9450
345.000000 85.064 -80.9500
350.000000 85.085 -81.9611
