* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 30/07/2022 1:44:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: U12t R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 54.655 -159.4871
1.015000 54.864 -158.9201
1.030000 55.082 -158.3920
1.044000 55.295 -157.9263
1.060000 55.547 -157.4262
1.075000 55.793 -156.9882
1.090000 56.045 -156.5800
1.106000 56.322 -156.1772
1.120000 56.569 -155.8523
1.138000 56.892 -155.4720
1.150000 57.111 -155.2419
1.172000 57.516 -154.8684
1.180000 57.664 -154.7480
1.206000 58.148 -154.4131
1.220000 58.408 -154.2685
1.241000 58.795 -154.0979
1.250000 58.960 -154.0418
1.265000 59.232 -153.9708
1.280000 59.501 -153.9279
1.315000 60.106 -153.9362
1.320000 60.190 -153.9496
1.340000 60.517 -154.0341
1.360000 60.832 -154.1780
1.380000 61.143 -154.4076
1.400000 61.450 -154.7171
1.430000 61.904 -155.3146
1.450000 62.202 -155.7908
1.475000 62.570 -156.4601
1.500000 62.932 -157.1982
1.525000 63.288 -157.9901
1.550000 63.638 -158.8210
1.575000 63.982 -159.6761
1.600000 64.320 -160.5406
1.625000 64.652 -161.3996
1.650000 64.977 -162.2385
1.675000 65.297 -163.0423
1.700000 65.610 -163.8153
1.725000 65.916 -164.6028
1.750000 66.215 -165.4066
1.775000 66.507 -166.2251
1.800000 66.794 -167.0569
1.825000 67.074 -167.9008
1.850000 67.348 -168.7552
1.875000 67.618 -169.6188
1.900000 67.882 -170.4901
1.925000 68.141 -171.3678
1.950000 68.396 -172.2504
1.975000 68.646 -173.1366
2.000000 68.892 -174.0250
2.030000 69.183 -175.0934
2.060000 69.466 -176.1781
2.090000 69.741 -177.2800
2.120000 70.009 -178.3954
2.140000 70.184 -179.1447
2.180000 70.524 179.3476
2.200000 70.690 178.5915
2.240000 71.015 177.0798
2.270000 71.251 175.9507
2.300000 71.483 174.8297
2.330000 71.710 173.7204
2.360000 71.933 172.6260
2.400000 72.222 171.1753
2.430000 72.431 170.0890
2.470000 72.701 168.6456
2.500000 72.898 167.5686
2.540000 73.152 166.1429
2.580000 73.397 164.7317
2.620000 73.636 163.3386
2.650000 73.810 162.3076
2.690000 74.037 160.9541
2.720000 74.203 159.9536
2.760000 74.416 158.6339
2.800000 74.621 157.3313
2.850000 74.866 155.7282
2.900000 75.101 154.1548
2.950000 75.327 152.6125
3.000000 75.545 151.1031
3.040000 75.714 149.9199
3.070000 75.837 149.0431
3.110000 75.994 147.8877
3.150000 76.146 146.7505
3.200000 76.328 145.3589
3.250000 76.502 144.0054
3.300000 76.671 142.6955
3.350000 76.835 141.4344
3.400000 76.994 140.2258
3.450000 77.146 139.0663
3.500000 77.291 137.9523
3.550000 77.431 136.8806
3.600000 77.567 135.8477
3.650000 77.700 134.8504
3.700000 77.833 133.8853
3.750000 77.963 132.9558
3.820000 78.138 131.7209
3.870000 78.260 130.8823
3.950000 78.452 129.6084
4.000000 78.573 128.8503
4.060000 78.719 127.9769
4.120000 78.865 127.1609
4.180000 79.010 126.3953
4.250000 79.179 125.5467
4.310000 79.325 124.8410
4.370000 79.473 124.1403
4.440000 79.648 123.3378
4.500000 79.800 122.6762
4.550000 79.928 122.1362
4.620000 80.107 121.3863
4.680000 80.261 120.7389
4.750000 80.441 119.9709
4.820000 80.622 119.2049
4.870000 80.752 118.6573
4.940000 80.933 117.8845
5.000000 81.087 117.2118
5.080000 81.286 116.2927
5.150000 81.459 115.4689
5.220000 81.629 114.6317
5.300000 81.819 113.6642
5.380000 82.002 112.6917
5.450000 82.155 111.8322
5.520000 82.304 110.9607
5.600000 82.468 109.9625
5.700000 82.663 108.7326
5.800000 82.845 107.5299
5.900000 83.016 106.3410
6.000000 83.177 105.1882
6.080000 83.300 104.3066
6.150000 83.402 103.5604
6.220000 83.500 102.8363
6.300000 83.608 102.0389
6.400000 83.741 101.0925
6.500000 83.870 100.2099
6.600000 83.995 99.3822
6.700000 84.121 98.5930
6.800000 84.248 97.8372
6.900000 84.376 97.1262
7.000000 84.505 96.4347
7.100000 84.636 95.7383
7.200000 84.770 95.0513
7.300000 84.904 94.3646
7.400000 85.037 93.6573
7.500000 85.168 92.9231
7.620000 85.324 92.0176
7.750000 85.484 91.0084
7.880000 85.633 89.9567
8.000000 85.761 88.9685
8.120000 85.875 87.9965
8.250000 85.983 86.9421
8.380000 86.078 85.9317
8.500000 86.154 85.0716
8.620000 86.217 84.2660
8.750000 86.280 83.4918
8.850000 86.326 82.9803
9.000000 86.389 82.3306
9.120000 86.448 81.9026
9.250000 86.517 81.5504
9.380000 86.597 81.2620
9.500000 86.686 81.0140
9.620000 86.789 80.8049
9.750000 86.912 80.5427
9.880000 87.051 80.2146
10.000000 87.190 79.8615
10.150000 87.366 79.2845
10.300000 87.548 78.5573
10.440000 87.711 77.7576
10.600000 87.885 76.6832
10.750000 88.032 75.5714
10.900000 88.155 74.3915
11.060000 88.264 73.0805
11.200000 88.339 71.9622
11.380000 88.407 70.5552
11.500000 88.441 69.6951
11.720000 88.478 68.2697
11.800000 88.491 67.8123
12.060000 88.523 66.5573
12.200000 88.549 65.9950
12.410000 88.600 65.2831
12.500000 88.630 64.9893
12.650000 88.690 64.5300
12.800000 88.760 64.0509
13.150000 88.957 62.7690
13.200000 88.987 62.5588
13.400000 89.108 61.6538
13.600000 89.222 60.6539
13.800000 89.328 59.5803
14.000000 89.421 58.4661
14.300000 89.537 56.7934
14.500000 89.601 55.7094
14.750000 89.669 54.4185
15.000000 89.730 53.2111
15.250000 89.785 52.0893
15.500000 89.837 51.0546
15.750000 89.890 50.1083
16.000000 89.945 49.2520
16.250000 90.007 48.4762
16.500000 90.079 47.7633
16.750000 90.164 47.0789
17.000000 90.262 46.3666
17.250000 90.367 45.5875
17.500000 90.473 44.7129
17.750000 90.570 43.7329
18.000000 90.646 42.6908
18.250000 90.698 41.6460
18.500000 90.724 40.6653
18.750000 90.730 39.8360
19.000000 90.729 39.2031
19.250000 90.732 38.7632
19.500000 90.754 38.4886
19.750000 90.804 38.2861
20.000000 90.882 38.0460
20.299999 91.004 37.5990
20.600000 91.136 36.8900
20.900000 91.255 35.9199
21.200001 91.342 34.7739
21.400000 91.379 33.9784
21.799999 91.411 32.4735
22.000000 91.413 31.8134
22.400000 91.411 30.6970
22.700001 91.417 29.9893
23.000000 91.439 29.3147
23.299999 91.472 28.6063
23.600000 91.510 27.8244
24.000000 91.554 26.6669
24.299999 91.574 25.7550
24.700001 91.580 24.5653
25.000000 91.572 23.7490
25.400000 91.554 22.8154
25.799999 91.542 22.0733
26.200001 91.549 21.4802
26.500000 91.572 21.0798
26.900000 91.624 20.5199
27.200001 91.674 20.0350
27.600000 91.743 19.2763
28.000000 91.802 18.4137
28.500000 91.850 17.2877
29.000000 91.873 16.2334
29.500000 91.883 15.3145
30.000000 91.893 14.5162
30.400000 91.908 13.9225
30.700001 91.924 13.4770
31.100000 91.949 12.8560
31.500000 91.975 12.1851
32.000000 92.004 11.2687
32.500000 92.021 10.2865
33.000000 92.022 9.2993
33.500000 92.008 8.3888
34.000000 91.995 7.6036
34.500000 91.998 6.8936
35.000000 92.016 6.1341
35.500000 92.028 5.2712
36.000000 92.017 4.4234
36.500000 91.991 3.7749
37.000000 91.981 3.3555
37.500000 92.010 2.9753
38.200001 92.080 2.1104
38.700001 92.105 1.2657
39.500000 92.081 0.0104
40.000000 92.057 -0.5956
40.599998 92.044 -1.2798
41.200001 92.038 -2.0577
41.799999 92.024 -2.9354
42.500000 91.988 -3.9994
43.099998 91.942 -4.8758
43.700001 91.886 -5.6343
44.400002 91.830 -6.2577
45.000000 91.823 -6.6259
45.500000 91.858 -7.0074
46.200001 91.931 -7.9421
46.799999 91.958 -9.0820
47.500000 91.918 -10.3774
48.200001 91.840 -11.2982
48.700001 91.791 -11.7708
49.400002 91.738 -12.3576
50.000000 91.697 -12.8312
50.799999 91.651 -13.4016
51.500000 91.628 -13.9169
52.200001 91.611 -14.5207
53.000000 91.589 -15.2881
53.799999 91.566 -16.0924
54.500000 91.543 -16.8362
55.200001 91.511 -17.5972
56.000000 91.463 -18.4035
57.000000 91.402 -19.2730
58.000000 91.350 -20.0963
59.000000 91.301 -20.9159
60.000000 91.256 -21.7579
60.799999 91.218 -22.4520
61.500000 91.183 -23.0450
62.200001 91.149 -23.6146
63.000000 91.111 -24.2284
64.000000 91.067 -24.9165
65.000000 91.030 -25.5625
66.000000 90.986 -26.2214
67.000000 90.929 -26.8464
68.000000 90.866 -27.4408
69.000000 90.802 -28.0879
70.000000 90.733 -28.8113
71.000000 90.662 -29.5558
72.000000 90.600 -30.3032
73.000000 90.546 -31.0555
74.000000 90.497 -31.7635
75.000000 90.453 -32.3989
76.199997 90.404 -33.0732
77.500000 90.348 -33.7391
78.800003 90.282 -34.3975
80.000000 90.210 -35.0273
81.199997 90.134 -35.6695
82.500000 90.055 -36.3985
83.800003 89.979 -37.1333
85.000000 89.915 -37.7827
86.199997 89.852 -38.4013
87.500000 89.780 -39.0098
88.500000 89.722 -39.4516
90.000000 89.632 -40.0864
91.199997 89.560 -40.5973
92.500000 89.486 -41.1798
93.800003 89.416 -41.7803
95.000000 89.358 -42.3742
96.199997 89.292 -43.0244
97.500000 89.198 -43.6750
98.800003 89.100 -44.1541
100.000000 89.027 -44.5398
101.500000 88.956 -45.1582
103.000000 88.880 -45.8621
104.400002 88.811 -46.4766
106.000000 88.723 -47.1579
107.500000 88.607 -47.5785
109.000000 88.495 -47.7392
110.599998 88.387 -47.9549
112.000000 88.288 -48.2204
113.800003 88.156 -48.4821
115.000000 88.082 -48.5475
117.199997 87.979 -48.5035
118.000000 87.954 -48.4417
120.599998 87.922 -48.4823
122.000000 87.916 -48.6944
124.099998 87.923 -49.1867
125.000000 87.923 -49.4959
126.500000 87.900 -50.0987
128.000000 87.845 -50.7873
131.500000 87.626 -52.1917
132.000000 87.599 -52.3470
134.000000 87.487 -52.8007
136.000000 87.411 -52.7427
138.000000 87.395 -52.9101
140.000000 87.362 -53.3130
143.000000 87.347 -53.5982
145.000000 87.355 -53.4654
147.500000 87.397 -53.4476
150.000000 87.378 -54.5088
152.500000 87.287 -55.7757
155.000000 87.203 -56.7521
157.500000 87.165 -57.4113
160.000000 87.152 -58.1708
162.500000 87.125 -58.9795
165.000000 87.053 -59.8977
167.500000 86.923 -60.6288
170.000000 86.821 -61.1740
172.500000 86.749 -61.7771
175.000000 86.679 -62.3933
177.500000 86.604 -62.9713
180.000000 86.525 -63.5564
182.500000 86.438 -64.1549
185.000000 86.353 -64.6945
187.500000 86.276 -65.1992
190.000000 86.198 -65.7094
192.500000 86.120 -66.1799
195.000000 86.041 -66.4766
197.500000 85.961 -66.5168
200.000000 85.898 -66.6314
203.000000 85.818 -67.2615
206.000000 85.743 -67.8165
209.000000 85.698 -68.1550
212.000000 85.661 -68.5187
214.000000 85.641 -68.8177
218.000000 85.608 -69.4867
220.000000 85.587 -69.9038
224.000000 85.517 -70.8274
227.000000 85.458 -71.4517
230.000000 85.398 -72.0448
233.000000 85.333 -72.6202
236.000000 85.267 -73.1725
240.000000 85.182 -73.8635
243.000000 85.123 -74.3468
247.000000 85.047 -74.9420
250.000000 84.993 -75.3559
254.000000 84.923 -75.8915
258.000000 84.850 -76.4195
262.000000 84.780 -76.9725
265.000000 84.732 -77.3863
269.000000 84.673 -77.9064
272.000000 84.630 -78.2716
276.000000 84.577 -78.7506
280.000000 84.527 -79.2460
285.000000 84.470 -79.8643
290.000000 84.418 -80.4756
295.000000 84.374 -81.0905
300.000000 84.328 -81.7397
304.000000 84.289 -82.3103
307.000000 84.260 -82.7297
311.000000 84.224 -83.2701
315.000000 84.191 -83.7972
320.000000 84.152 -84.4289
325.000000 84.115 -85.0574
