* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/07/2022 11:27:06 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: U6t L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 58.321 39.8138
1.015000 58.233 36.3670
1.030000 58.143 32.8154
1.044000 58.057 29.3954
1.060000 57.955 25.3750
1.075000 57.859 21.5093
1.090000 57.764 17.5620
1.106000 57.665 13.2747
1.120000 57.582 9.4688
1.138000 57.482 4.5168
1.150000 57.422 1.1878
1.172000 57.325 -4.9510
1.180000 57.295 -7.1888
1.206000 57.222 -14.4545
1.220000 57.199 -18.3467
1.241000 57.192 -24.1331
1.250000 57.199 -26.5872
1.265000 57.225 -30.6336
1.280000 57.272 -34.6154
1.315000 57.468 -43.5902
1.320000 57.506 -44.8300
1.340000 57.690 -49.6658
1.360000 57.927 -54.3419
1.380000 58.228 -59.0005
1.400000 58.585 -63.6379
1.430000 59.214 -70.5260
1.450000 59.684 -75.0536
1.475000 60.317 -80.6176
1.500000 60.988 -86.0518
1.525000 61.682 -91.3306
1.550000 62.388 -96.4286
1.575000 63.090 -101.3203
1.600000 63.775 -105.9801
1.625000 64.430 -110.3826
1.650000 65.041 -114.5023
1.675000 65.595 -118.3137
1.700000 66.092 -121.7742
1.725000 66.570 -124.8440
1.750000 67.031 -127.5636
1.775000 67.477 -129.9774
1.800000 67.908 -132.1299
1.825000 68.325 -134.0654
1.850000 68.729 -135.8283
1.875000 69.120 -137.4631
1.900000 69.501 -139.0141
1.925000 69.871 -140.5257
1.950000 70.232 -142.0423
1.975000 70.585 -143.6083
2.000000 70.929 -145.2681
2.030000 71.333 -147.4251
2.060000 71.720 -149.5925
2.090000 72.089 -151.7177
2.120000 72.441 -153.8018
2.140000 72.667 -155.1687
2.180000 73.101 -157.8501
2.200000 73.310 -159.1651
2.240000 73.713 -161.7454
2.270000 74.005 -163.6381
2.300000 74.289 -165.4955
2.330000 74.568 -167.3185
2.360000 74.842 -169.1080
2.400000 75.192 -171.4343
2.430000 75.443 -173.1327
2.470000 75.762 -175.3384
2.500000 75.991 -176.9504
2.540000 76.284 -179.0462
2.580000 76.565 178.9162
2.620000 76.835 176.9333
2.650000 77.031 175.4799
2.690000 77.287 173.5843
2.720000 77.473 172.2021
2.760000 77.710 170.4263
2.800000 77.935 168.7172
2.850000 78.201 166.6579
2.900000 78.452 164.6643
2.950000 78.692 162.7152
3.000000 78.922 160.7891
3.040000 79.101 159.2507
3.070000 79.230 158.0966
3.110000 79.394 156.5645
3.150000 79.550 155.0492
3.200000 79.736 153.1934
3.250000 79.913 151.3978
3.300000 80.083 149.6812
3.350000 80.248 148.0626
3.400000 80.409 146.5605
3.450000 80.561 145.1727
3.500000 80.705 143.8769
3.550000 80.843 142.6505
3.600000 80.977 141.4710
3.650000 81.109 140.3158
3.700000 81.240 139.1623
3.750000 81.369 138.0107
3.820000 81.542 136.4372
3.870000 81.662 135.3484
3.950000 81.852 133.6827
4.000000 81.970 132.6978
4.060000 82.113 131.5842
4.120000 82.256 130.5634
4.180000 82.398 129.6160
4.250000 82.563 128.5670
4.310000 82.705 127.6849
4.370000 82.847 126.7897
4.440000 83.014 125.7303
4.500000 83.159 124.8326
4.550000 83.279 124.0912
4.620000 83.446 123.0620
4.680000 83.589 122.1866
4.750000 83.753 121.1740
4.820000 83.918 120.1766
4.870000 84.034 119.4703
4.940000 84.196 118.4844
5.000000 84.331 117.6370
5.080000 84.507 116.4958
5.150000 84.657 115.4881
5.220000 84.804 114.4769
5.300000 84.967 113.3233
5.380000 85.124 112.1790
5.450000 85.256 111.1827
5.520000 85.383 110.1870
5.600000 85.524 109.0587
5.700000 85.691 107.6779
5.800000 85.850 106.3390
5.900000 86.000 105.0326
6.000000 86.143 103.7614
6.080000 86.254 102.7718
6.150000 86.347 101.9247
6.220000 86.438 101.0954
6.300000 86.538 100.1704
6.400000 86.662 99.0504
6.500000 86.782 97.9769
6.600000 86.900 96.9436
6.700000 87.016 95.9364
6.800000 87.131 94.9478
6.900000 87.245 93.9852
7.000000 87.358 93.0414
7.100000 87.469 92.1092
7.200000 87.580 91.1932
7.300000 87.689 90.2899
7.400000 87.796 89.3922
7.500000 87.901 88.4976
7.620000 88.025 87.4323
7.750000 88.155 86.2892
7.880000 88.280 85.1556
8.000000 88.392 84.1207
8.120000 88.499 83.1015
8.250000 88.611 82.0132
8.380000 88.717 80.9451
8.500000 88.812 79.9804
8.620000 88.903 79.0347
8.750000 88.999 78.0341
8.850000 89.070 77.2829
9.000000 89.174 76.1840
9.120000 89.255 75.3262
9.250000 89.341 74.4195
9.380000 89.425 73.5332
9.500000 89.502 72.7308
9.620000 89.578 71.9448
9.750000 89.660 71.1057
9.880000 89.740 70.2775
10.000000 89.814 69.5229
10.150000 89.904 68.5866
10.300000 89.994 67.6590
10.440000 90.075 66.7971
10.600000 90.166 65.8143
10.750000 90.249 64.8964
10.900000 90.328 63.9808
11.060000 90.409 63.0092
11.200000 90.476 62.1671
11.380000 90.558 61.0960
11.500000 90.609 60.3960
11.720000 90.696 59.1407
11.800000 90.726 58.6968
12.060000 90.820 57.3003
12.200000 90.868 56.5780
12.410000 90.939 55.5319
12.500000 90.970 55.0934
12.650000 91.021 54.3778
12.800000 91.072 53.6720
13.150000 91.190 52.0495
13.200000 91.207 51.8188
13.400000 91.272 50.8991
13.600000 91.334 49.9871
13.800000 91.393 49.0881
14.000000 91.449 48.2114
14.300000 91.528 46.9516
14.500000 91.580 46.1478
14.750000 91.649 45.1781
15.000000 91.722 44.2157
15.250000 91.798 43.2323
15.500000 91.875 42.2076
15.750000 91.945 41.1285
16.000000 92.004 40.0167
16.250000 92.049 38.9083
16.500000 92.079 37.8412
16.750000 92.097 36.8615
17.000000 92.111 35.9908
17.250000 92.129 35.2177
17.500000 92.155 34.5190
17.750000 92.193 33.8444
18.000000 92.240 33.1413
18.250000 92.291 32.3860
18.500000 92.340 31.5673
18.750000 92.379 30.7035
19.000000 92.406 29.8405
19.250000 92.422 29.0149
19.500000 92.430 28.2610
19.750000 92.436 27.5983
20.000000 92.449 27.0084
20.299999 92.476 26.3547
20.600000 92.518 25.6927
20.900000 92.570 24.9611
21.200001 92.621 24.1337
21.400000 92.650 23.5363
21.799999 92.688 22.3052
22.000000 92.697 21.7075
22.400000 92.702 20.6038
22.700001 92.704 19.8726
23.000000 92.710 19.2004
23.299999 92.723 18.5480
23.600000 92.742 17.8783
24.000000 92.765 16.9327
24.299999 92.776 16.2026
24.700001 92.780 15.2559
25.000000 92.779 14.5944
25.400000 92.779 13.7760
25.799999 92.786 12.9785
26.200001 92.796 12.1467
26.500000 92.798 11.4995
26.900000 92.790 10.6591
27.200001 92.777 10.0918
27.600000 92.762 9.4539
28.000000 92.766 8.9124
28.500000 92.803 8.2012
29.000000 92.857 7.2699
29.500000 92.894 6.1270
30.000000 92.898 4.9607
30.400000 92.886 4.1204
30.700001 92.876 3.5559
31.100000 92.868 2.8575
31.500000 92.867 2.1663
32.000000 92.867 1.2695
32.500000 92.859 0.3672
33.000000 92.844 -0.4738
33.500000 92.830 -1.2402
34.000000 92.824 -1.9881
34.500000 92.818 -2.7704
35.000000 92.804 -3.5685
35.500000 92.780 -4.3116
36.000000 92.757 -4.9677
36.500000 92.746 -5.5970
37.000000 92.741 -6.2923
37.500000 92.728 -7.0652
38.200001 92.682 -8.0897
38.700001 92.647 -8.6852
39.500000 92.625 -9.5912
40.000000 92.619 -10.2737
40.599998 92.594 -11.1613
41.200001 92.555 -11.9682
41.799999 92.519 -12.6610
42.500000 92.496 -13.4550
43.099998 92.480 -14.1999
43.700001 92.459 -14.9915
44.400002 92.419 -15.9205
45.000000 92.373 -16.6553
45.500000 92.331 -17.1821
46.200001 92.285 -17.8230
46.799999 92.259 -18.3995
47.500000 92.225 -19.1730
48.200001 92.171 -19.9077
48.700001 92.133 -20.3243
49.400002 92.104 -20.8519
50.000000 92.098 -21.4272
50.799999 92.074 -22.4122
51.500000 92.021 -23.2488
52.200001 91.962 -23.9272
53.000000 91.907 -24.6273
53.799999 91.853 -25.3334
54.500000 91.803 -25.8978
55.200001 91.760 -26.4235
56.000000 91.714 -27.0585
57.000000 91.646 -27.8387
58.000000 91.587 -28.5269
59.000000 91.546 -29.3235
60.000000 91.488 -30.3265
60.799999 91.406 -31.1011
61.500000 91.321 -31.5889
62.200001 91.248 -31.9365
63.000000 91.174 -32.3147
64.000000 91.070 -32.6231
65.000000 91.011 -32.6156
66.000000 91.022 -32.8939
67.000000 91.011 -33.6455
68.000000 90.960 -34.4205
69.000000 90.914 -35.1901
70.000000 90.861 -36.1324
71.000000 90.784 -37.0563
72.000000 90.711 -37.8395
73.000000 90.652 -38.5870
74.000000 90.598 -39.2999
75.000000 90.550 -39.9760
76.199997 90.492 -40.7371
77.500000 90.429 -41.5080
78.800003 90.361 -42.2319
80.000000 90.293 -42.8813
81.199997 90.220 -43.4774
82.500000 90.142 -44.0859
83.800003 90.066 -44.6437
85.000000 90.001 -45.1422
86.199997 89.936 -45.6240
87.500000 89.871 -46.1575
88.500000 89.818 -46.5934
90.000000 89.733 -47.2640
91.199997 89.658 -47.8196
92.500000 89.573 -48.3864
93.800003 89.495 -48.9058
95.000000 89.434 -49.3937
96.199997 89.377 -49.9000
97.500000 89.315 -50.4484
98.800003 89.250 -50.9867
100.000000 89.184 -51.4802
101.500000 89.089 -52.0279
103.000000 89.003 -52.4763
104.400002 88.942 -52.9174
106.000000 88.885 -53.5352
107.500000 88.834 -54.2328
109.000000 88.765 -55.0854
110.599998 88.627 -55.8982
112.000000 88.500 -56.0976
113.800003 88.427 -56.1922
115.000000 88.407 -56.4317
117.199997 88.340 -57.1615
118.000000 88.301 -57.3950
120.599998 88.177 -58.0120
122.000000 88.113 -58.3515
124.099998 88.019 -58.8975
125.000000 87.978 -59.1426
126.500000 87.907 -59.5488
128.000000 87.836 -59.9398
131.500000 87.680 -60.7850
132.000000 87.659 -60.8990
134.000000 87.573 -61.3415
136.000000 87.488 -61.7858
138.000000 87.401 -62.2324
140.000000 87.305 -62.6432
143.000000 87.134 -63.3270
145.000000 87.041 -63.6722
147.500000 87.068 -64.3489
150.000000 87.022 -65.0515
152.500000 86.784 -64.6518
155.000000 86.508 -63.7817
157.500000 86.379 -63.4314
160.000000 86.421 -63.3141
162.500000 86.590 -63.6291
165.000000 86.723 -65.2004
167.500000 86.816 -66.2469
170.000000 86.986 -65.6375
172.500000 87.046 -65.3310
175.000000 86.787 -65.8049
177.500000 86.626 -66.8030
180.000000 86.634 -68.2638
182.500000 86.602 -69.0161
185.000000 86.478 -69.4237
187.500000 86.385 -70.0709
190.000000 86.423 -70.9764
192.500000 86.431 -71.9103
195.000000 86.317 -72.2823
197.500000 86.253 -72.5746
200.000000 86.188 -73.2146
203.000000 85.997 -72.8069
206.000000 85.946 -72.1099
209.000000 86.042 -72.5031
212.000000 86.207 -73.1481
214.000000 86.369 -73.9390
218.000000 86.796 -77.1234
220.000000 86.789 -78.5084
224.000000 86.179 -77.7482
227.000000 85.775 -77.5801
230.000000 85.585 -78.9591
233.000000 85.333 -79.9673
236.000000 85.172 -79.3417
240.000000 85.374 -79.0525
243.000000 85.433 -79.3519
247.000000 85.361 -80.2950
250.000000 85.335 -80.9657
254.000000 85.296 -81.2509
258.000000 85.238 -81.5756
262.000000 85.199 -82.0479
265.000000 85.135 -82.3345
269.000000 85.023 -82.4036
272.000000 84.938 -82.4097
276.000000 84.873 -83.2049
280.000000 84.931 -84.3394
285.000000 85.031 -84.6542
290.000000 85.030 -84.9414
295.000000 84.948 -85.5811
300.000000 84.876 -86.0906
304.000000 84.859 -86.4008
307.000000 84.844 -86.6385
311.000000 84.826 -87.0670
315.000000 84.836 -87.5684
320.000000 84.854 -88.1799
