* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/07/2022 11:23:40 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: U6t R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 72.799 177.1238
1.015000 72.779 177.7721
1.030000 72.772 178.4743
1.044000 72.776 179.1824
1.060000 72.790 -179.9531
1.075000 72.814 -179.0956
1.090000 72.847 -178.1996
1.106000 72.891 -177.2086
1.120000 72.938 -176.3178
1.138000 73.007 -175.1488
1.150000 73.058 -174.3599
1.172000 73.163 -172.9060
1.180000 73.204 -172.3781
1.206000 73.347 -170.6819
1.220000 73.430 -169.7894
1.241000 73.560 -168.4923
1.250000 73.617 -167.9557
1.265000 73.715 -167.0921
1.280000 73.815 -166.2727
1.315000 74.052 -164.5694
1.320000 74.087 -164.3535
1.340000 74.223 -163.5679
1.360000 74.362 -162.8986
1.380000 74.511 -162.2946
1.400000 74.672 -161.7514
1.430000 74.929 -161.0465
1.450000 75.111 -160.6477
1.475000 75.346 -160.2262
1.500000 75.588 -159.8874
1.525000 75.835 -159.6281
1.550000 76.084 -159.4453
1.575000 76.333 -159.3356
1.600000 76.580 -159.2960
1.625000 76.822 -159.3232
1.650000 77.056 -159.4142
1.675000 77.280 -159.5658
1.700000 77.496 -159.7890
1.725000 77.711 -160.1177
1.750000 77.925 -160.5445
1.775000 78.138 -161.0594
1.800000 78.350 -161.6528
1.825000 78.559 -162.3146
1.850000 78.765 -163.0350
1.875000 78.969 -163.8041
1.900000 79.168 -164.6121
1.925000 79.364 -165.4490
1.950000 79.554 -166.3051
1.975000 79.740 -167.1703
2.000000 79.919 -168.0349
2.030000 80.127 -169.0641
2.060000 80.326 -170.1367
2.090000 80.518 -171.2631
2.120000 80.703 -172.4365
2.140000 80.823 -173.2416
2.180000 81.055 -174.8978
2.200000 81.167 -175.7450
2.240000 81.384 -177.4675
2.270000 81.541 -178.7763
2.300000 81.694 179.9077
2.330000 81.843 178.5913
2.360000 81.989 177.2805
2.400000 82.175 175.5074
2.430000 82.307 174.1501
2.470000 82.477 172.3119
2.500000 82.598 170.9179
2.540000 82.753 169.0472
2.580000 82.902 167.1725
2.620000 83.044 165.3045
2.650000 83.148 163.9143
2.690000 83.282 162.0835
2.720000 83.379 160.7222
2.760000 83.502 158.9044
2.800000 83.619 157.0878
2.850000 83.756 154.8262
2.900000 83.885 152.5835
2.950000 84.008 150.3691
3.000000 84.125 148.1925
3.040000 84.216 146.4836
3.070000 84.281 145.2128
3.110000 84.363 143.5299
3.150000 84.440 141.8640
3.200000 84.532 139.8117
3.250000 84.619 137.8003
3.300000 84.703 135.8377
3.350000 84.785 133.9319
3.400000 84.865 132.0857
3.450000 84.940 130.2885
3.500000 85.012 128.5403
3.550000 85.081 126.8416
3.600000 85.148 125.1930
3.650000 85.215 123.5951
3.700000 85.284 122.0485
3.750000 85.352 120.5568
3.820000 85.446 118.5608
3.870000 85.512 117.1958
3.950000 85.619 115.1060
4.000000 85.689 113.8527
4.060000 85.777 112.3984
4.120000 85.867 111.0165
4.180000 85.960 109.7013
4.250000 86.071 108.2334
4.310000 86.170 107.0171
4.370000 86.272 105.8252
4.440000 86.396 104.4757
4.500000 86.506 103.3667
4.550000 86.600 102.4680
4.620000 86.734 101.2360
4.680000 86.849 100.1927
4.750000 86.985 98.9816
4.820000 87.124 97.7938
4.870000 87.224 96.9584
4.940000 87.365 95.8024
5.000000 87.484 94.8199
5.080000 87.638 93.5157
5.150000 87.772 92.3815
5.220000 87.904 91.2576
5.300000 88.050 89.9898
5.380000 88.191 88.7442
5.450000 88.308 87.6698
5.520000 88.421 86.6070
5.600000 88.545 85.4147
5.700000 88.692 83.9724
5.800000 88.828 82.5895
5.900000 88.954 81.2574
6.000000 89.073 79.9859
6.080000 89.163 79.0196
6.150000 89.238 78.2109
6.220000 89.309 77.4346
6.300000 89.387 76.5855
6.400000 89.482 75.5787
6.500000 89.574 74.6391
6.600000 89.662 73.7618
6.700000 89.750 72.9301
6.800000 89.838 72.1374
6.900000 89.924 71.3938
7.000000 90.011 70.6815
7.100000 90.097 69.9833
7.200000 90.184 69.3091
7.300000 90.270 68.6525
7.400000 90.356 67.9995
7.500000 90.440 67.3480
7.620000 90.540 66.5733
7.750000 90.644 65.7317
7.880000 90.745 64.8844
8.000000 90.834 64.0997
8.120000 90.918 63.3119
8.250000 91.004 62.4539
8.380000 91.084 61.5948
8.500000 91.153 60.8025
8.620000 91.216 60.0101
8.750000 91.280 59.1574
8.850000 91.324 58.5057
9.000000 91.385 57.5362
9.120000 91.428 56.7753
9.250000 91.470 55.9637
9.380000 91.508 55.1708
9.500000 91.540 54.4611
9.620000 91.569 53.7708
9.750000 91.599 53.0467
9.880000 91.628 52.3511
10.000000 91.655 51.7309
10.150000 91.691 50.9754
10.300000 91.731 50.2467
10.440000 91.771 49.5685
10.600000 91.824 48.7920
10.750000 91.877 48.0481
10.900000 91.935 47.2703
11.060000 91.998 46.4060
11.200000 92.053 45.6085
11.380000 92.123 44.5326
11.500000 92.165 43.7936
11.720000 92.233 42.3926
11.800000 92.254 41.8853
12.060000 92.309 40.2408
12.200000 92.332 39.3956
12.410000 92.357 38.1870
12.500000 92.367 37.7010
12.650000 92.382 36.9331
12.800000 92.399 36.2112
13.150000 92.449 34.6931
13.200000 92.458 34.4887
13.400000 92.499 33.6959
13.600000 92.546 32.9103
13.800000 92.598 32.1280
14.000000 92.652 31.3356
14.300000 92.730 30.1409
14.500000 92.779 29.3479
14.750000 92.835 28.3720
15.000000 92.887 27.4184
15.250000 92.934 26.4830
15.500000 92.976 25.5625
15.750000 93.010 24.6539
16.000000 93.034 23.7705
16.250000 93.048 22.9322
16.500000 93.053 22.1570
16.750000 93.055 21.4632
17.000000 93.057 20.8418
17.250000 93.065 20.2663
17.500000 93.079 19.7057
17.750000 93.099 19.1171
18.000000 93.118 18.4813
18.250000 93.132 17.8067
18.500000 93.137 17.1124
18.750000 93.132 16.4422
19.000000 93.122 15.8293
19.250000 93.113 15.2792
19.500000 93.110 14.7843
19.750000 93.118 14.3008
20.000000 93.136 13.7783
20.299999 93.164 13.0599
20.600000 93.187 12.2300
20.900000 93.193 11.3372
21.200001 93.178 10.4732
21.400000 93.160 9.9628
21.799999 93.122 9.1485
22.000000 93.112 8.8317
22.400000 93.122 8.2723
22.700001 93.155 7.7895
23.000000 93.199 7.1739
23.299999 93.238 6.4118
23.600000 93.260 5.5489
24.000000 93.255 4.3889
24.299999 93.230 3.6141
24.700001 93.188 2.7831
25.000000 93.163 2.2914
25.400000 93.149 1.7235
25.799999 93.156 1.1417
26.200001 93.174 0.4814
26.500000 93.187 -0.0630
26.900000 93.201 -0.8228
27.200001 93.208 -1.3996
27.600000 93.214 -2.1690
28.000000 93.217 -2.9416
28.500000 93.212 -3.9047
29.000000 93.195 -4.8145
29.500000 93.171 -5.6192
30.000000 93.152 -6.3342
30.400000 93.143 -6.8930
30.700001 93.136 -7.3286
31.100000 93.122 -7.9342
31.500000 93.098 -8.5366
32.000000 93.056 -9.2173
32.500000 93.012 -9.7893
33.000000 92.979 -10.3162
33.500000 92.955 -10.8908
34.000000 92.930 -11.5436
34.500000 92.895 -12.2226
35.000000 92.857 -12.8661
35.500000 92.826 -13.4809
36.000000 92.805 -14.1317
36.500000 92.785 -14.8535
37.000000 92.756 -15.5969
37.500000 92.722 -16.2795
38.200001 92.688 -17.1212
38.700001 92.679 -17.7500
39.500000 92.655 -18.9335
40.000000 92.614 -19.6631
40.599998 92.547 -20.3424
41.200001 92.493 -20.8071
41.799999 92.466 -21.2243
42.500000 92.452 -21.8531
43.099998 92.433 -22.5190
43.700001 92.398 -23.2139
44.400002 92.341 -23.9660
45.000000 92.287 -24.5164
45.500000 92.246 -24.9048
46.200001 92.204 -25.4053
46.799999 92.181 -25.8883
47.500000 92.148 -26.5470
48.200001 92.099 -27.2057
48.700001 92.060 -27.6329
49.400002 92.005 -28.1979
50.000000 91.954 -28.6609
50.799999 91.888 -29.1934
51.500000 91.848 -29.6294
52.200001 91.822 -30.1866
53.000000 91.781 -30.9814
53.799999 91.718 -31.7563
54.500000 91.661 -32.3480
55.200001 91.610 -32.8997
56.000000 91.556 -33.5210
57.000000 91.487 -34.2672
58.000000 91.421 -34.9396
59.000000 91.364 -35.6041
60.000000 91.303 -36.3011
60.799999 91.248 -36.8321
61.500000 91.201 -37.2728
62.200001 91.154 -37.7037
63.000000 91.100 -38.1901
64.000000 91.030 -38.7888
65.000000 90.958 -39.3533
66.000000 90.891 -39.9102
67.000000 90.823 -40.5090
68.000000 90.752 -41.0790
69.000000 90.696 -41.6191
70.000000 90.651 -42.2722
71.000000 90.589 -42.9973
72.000000 90.513 -43.5667
73.000000 90.455 -44.0065
74.000000 90.408 -44.5203
75.000000 90.344 -45.0724
76.199997 90.251 -45.5981
77.500000 90.162 -46.0893
78.800003 90.080 -46.6342
80.000000 90.007 -47.1935
81.199997 89.934 -47.7815
82.500000 89.853 -48.4004
83.800003 89.776 -48.9710
85.000000 89.706 -49.4644
86.199997 89.636 -49.9357
87.500000 89.558 -50.4356
88.500000 89.498 -50.8106
90.000000 89.411 -51.3771
91.199997 89.344 -51.8464
92.500000 89.271 -52.3410
93.800003 89.201 -52.8094
95.000000 89.137 -53.2348
96.199997 89.070 -53.6598
97.500000 88.990 -54.0907
98.800003 88.913 -54.4613
100.000000 88.855 -54.8231
101.500000 88.783 -55.3845
103.000000 88.700 -55.9249
104.400002 88.626 -56.3533
106.000000 88.548 -56.8308
107.500000 88.472 -57.2821
109.000000 88.393 -57.7019
110.599998 88.312 -58.1118
112.000000 88.246 -58.4702
113.800003 88.165 -58.9576
115.000000 88.108 -59.2880
117.199997 88.003 -59.8601
118.000000 87.964 -60.0680
120.599998 87.837 -60.7320
122.000000 87.768 -61.0762
124.099998 87.672 -61.5769
125.000000 87.632 -61.7940
126.500000 87.565 -62.1443
128.000000 87.497 -62.4507
131.500000 87.338 -63.0783
132.000000 87.315 -63.1789
134.000000 87.214 -63.5983
136.000000 87.116 -63.9738
138.000000 87.032 -64.3204
140.000000 86.954 -64.6410
143.000000 86.837 -65.0359
145.000000 86.752 -65.2795
147.500000 86.640 -65.5539
150.000000 86.530 -65.8012
152.500000 86.426 -65.9511
155.000000 86.329 -65.9122
157.500000 86.235 -65.5999
160.000000 86.185 -65.0367
162.500000 86.225 -64.5587
165.000000 86.347 -64.5132
167.500000 86.488 -65.0684
170.000000 86.576 -66.0866
172.500000 86.595 -67.2441
175.000000 86.565 -68.3402
177.500000 86.508 -69.2867
180.000000 86.440 -70.0679
182.500000 86.369 -70.6818
185.000000 86.302 -71.1974
187.500000 86.240 -71.7429
190.000000 86.177 -72.3405
192.500000 86.109 -72.9077
195.000000 86.043 -73.4080
197.500000 85.988 -73.9192
200.000000 85.935 -74.5142
203.000000 85.857 -75.0885
206.000000 85.788 -75.3169
209.000000 85.737 -75.4828
212.000000 85.676 -75.8931
214.000000 85.628 -76.2927
218.000000 85.556 -77.0846
220.000000 85.534 -77.3801
224.000000 85.488 -77.7234
227.000000 85.448 -77.9533
230.000000 85.402 -78.3163
233.000000 85.352 -78.6887
236.000000 85.333 -79.0384
240.000000 85.341 -79.8936
243.000000 85.300 -80.6985
247.000000 85.175 -81.1848
250.000000 85.078 -81.2062
254.000000 85.033 -81.3204
258.000000 85.071 -81.5171
262.000000 85.054 -81.7279
265.000000 85.014 -82.1061
269.000000 85.018 -82.7595
272.000000 85.041 -83.2252
276.000000 85.043 -83.8385
280.000000 85.034 -84.4540
285.000000 85.015 -84.9923
290.000000 84.984 -85.5069
295.000000 84.973 -86.2567
300.000000 84.976 -86.9505
304.000000 84.956 -87.5672
307.000000 84.937 -88.0284
311.000000 84.911 -88.5941
315.000000 84.884 -89.1287
