* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/08/2025 9:11:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Unicrom L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 37.287 152.5740
0.732422 38.197 116.3873
1.098633 41.350 78.9015
1.464844 45.474 52.2841
1.831055 49.161 34.9522
2.197266 52.189 23.4114
2.563477 54.740 15.8398
2.929688 57.052 10.9064
3.295898 59.279 7.1546
3.662109 61.432 3.3122
4.028320 63.429 -1.2020
4.394531 65.190 -6.2697
4.760742 66.686 -11.4115
5.126953 67.946 -16.1113
5.493164 69.041 -20.0327
5.859375 70.057 -23.1550
6.225586 71.063 -25.7840
6.591797 72.077 -28.3786
6.958008 73.073 -31.2860
7.324219 74.001 -34.5884
7.690430 74.826 -38.1344
8.056641 75.539 -41.6711
8.422852 76.155 -44.9748
8.789062 76.706 -47.9363
9.155273 77.223 -50.5808
9.521484 77.724 -53.0227
9.887695 78.213 -55.3821
10.253906 78.684 -57.7205
10.620117 79.130 -60.0348
10.986328 79.554 -62.2992
11.352539 79.961 -64.5136
11.718750 80.355 -66.7180
12.084961 80.733 -68.9628
12.451172 81.085 -71.2608
12.817383 81.402 -73.5620
13.183594 81.682 -75.7727
13.549805 81.934 -77.8074
13.916016 82.176 -79.6422
14.282227 82.422 -81.3332
14.648438 82.677 -82.9840
15.014648 82.934 -84.6842
15.380859 83.181 -86.4604
15.747070 83.406 -88.2743
16.113281 83.607 -90.0568
16.479492 83.788 -91.7521
16.845703 83.957 -93.3434
17.211914 84.122 -94.8493
17.578125 84.285 -96.3035
17.944336 84.446 -97.7334
18.310547 84.602 -99.1531
18.676758 84.753 -100.5671
19.042969 84.896 -101.9760
19.409180 85.032 -103.3763
19.775391 85.158 -104.7582
20.141602 85.274 -106.1077
20.507812 85.384 -107.4131
20.874023 85.490 -108.6734
21.240234 85.592 -109.8972
21.606445 85.691 -111.0947
21.972656 85.787 -112.2682
22.338867 85.879 -113.4108
22.705078 85.969 -114.5167
23.071289 86.059 -115.5929
23.437500 86.150 -116.6613
23.803711 86.240 -117.7458
24.169922 86.326 -118.8542
24.536133 86.401 -119.9691
24.902344 86.466 -121.0560
25.268555 86.523 -122.0857
25.634766 86.578 -123.0534
26.000977 86.634 -123.9814
26.367188 86.693 -124.9035
26.733398 86.750 -125.8404
27.099609 86.802 -126.7866
27.465820 86.845 -127.7157
27.832031 86.883 -128.6004
28.198242 86.919 -129.4317
28.564453 86.958 -130.2244
28.930664 87.001 -131.0062
29.296875 87.046 -131.7992
29.663086 87.089 -132.6072
30.029297 87.128 -133.4186
30.395508 87.165 -134.2184
30.761719 87.199 -135.0003
31.127930 87.233 -135.7692
31.494141 87.265 -136.5317
31.860352 87.295 -137.2865
32.226562 87.322 -138.0221
32.592773 87.348 -138.7269
32.958984 87.375 -139.4028
33.325195 87.406 -140.0703
33.691406 87.439 -140.7561
34.057617 87.470 -141.4729
34.423828 87.494 -142.2059
34.790039 87.509 -142.9185
35.156250 87.518 -143.5764
35.522461 87.527 -144.1718
35.888672 87.542 -144.7305
36.254883 87.563 -145.2943
36.621094 87.586 -145.8917
36.987305 87.604 -146.5184
37.353516 87.616 -147.1442
37.719727 87.621 -147.7362
38.085938 87.626 -148.2828
38.452148 87.634 -148.7992
38.818359 87.646 -149.3133
39.184570 87.660 -149.8443
39.550781 87.672 -150.3922
39.916992 87.681 -150.9427
40.283203 87.688 -151.4811
40.649414 87.694 -152.0018
41.015625 87.700 -152.5098
41.381836 87.708 -153.0148
41.748047 87.716 -153.5246
42.114258 87.724 -154.0418
42.480469 87.729 -154.5619
42.846680 87.731 -155.0735
43.212891 87.731 -155.5621
43.579102 87.730 -156.0192
43.945312 87.733 -156.4518
44.311523 87.740 -156.8823
44.677734 87.748 -157.3342
45.043945 87.755 -157.8115
45.410156 87.755 -158.2902
45.776367 87.751 -158.7346
46.142578 87.747 -159.1286
46.508789 87.749 -159.4969
46.875000 87.758 -159.8913
47.241211 87.766 -160.3459
47.607422 87.762 -160.8381
47.973633 87.744 -161.2908
48.339844 87.718 -161.6249
48.706055 87.702 -161.8260
49.072266 87.709 -161.9739
49.438477 87.739 -162.2008
49.804688 87.777 -162.6016
50.170898 87.803 -163.1686
50.537109 87.803 -163.7991
50.903320 87.779 -164.3652
51.269531 87.746 -164.7946
51.635742 87.719 -165.1067
52.001953 87.706 -165.3835
52.368164 87.702 -165.6988
52.734375 87.698 -166.0656
53.100586 87.687 -166.4418
53.466797 87.672 -166.7784
53.833008 87.660 -167.0660
54.199219 87.657 -167.3420
54.565430 87.661 -167.6561
54.931641 87.665 -168.0283
55.297852 87.662 -168.4348
55.664062 87.650 -168.8293
56.030273 87.633 -169.1785
56.396484 87.618 -169.4811
56.762695 87.607 -169.7608
57.128906 87.600 -170.0424
57.495117 87.594 -170.3352
57.861328 87.586 -170.6333
58.227539 87.578 -170.9279
58.593750 87.570 -171.2169
58.959961 87.561 -171.5031
59.326172 87.552 -171.7877
59.692383 87.542 -172.0677
60.058594 87.533 -172.3408
60.424805 87.524 -172.6116
60.791016 87.517 -172.8903
61.157227 87.509 -173.1827
61.523438 87.498 -173.4822
61.889648 87.485 -173.7717
62.255859 87.470 -174.0376
62.622070 87.459 -174.2838
62.988281 87.451 -174.5327
63.354492 87.447 -174.8090
63.720703 87.440 -175.1194
64.086914 87.429 -175.4449
64.453125 87.411 -175.7524
64.819336 87.390 -176.0178
65.185547 87.372 -176.2434
65.551758 87.360 -176.4545
65.917969 87.351 -176.6791
66.284180 87.343 -176.9264
66.650391 87.331 -177.1812
67.016602 87.316 -177.4188
67.382812 87.302 -177.6260
67.749023 87.291 -177.8139
68.115234 87.285 -178.0094
68.481445 87.280 -178.2334
68.847656 87.273 -178.4833
69.213867 87.260 -178.7331
69.580078 87.243 -178.9523
69.946289 87.227 -179.1299
70.312500 87.217 -179.2856
70.678711 87.214 -179.4585
71.044922 87.213 -179.6809
71.411133 87.207 -179.9538
71.777344 87.193 179.7567
72.143555 87.169 179.4998
72.509766 87.142 179.3097
72.875977 87.119 179.1833
73.242188 87.106 179.0817
73.608398 87.101 178.9545
73.974609 87.100 178.7713
74.340820 87.096 178.5371
74.707031 87.085 178.2840
75.073242 87.068 178.0472
75.439453 87.049 177.8430
75.805664 87.031 177.6633
76.171875 87.017 177.4879
76.538086 87.004 177.3021
76.904297 86.989 177.1065
77.270508 86.974 176.9121
77.636719 86.957 176.7287
78.002930 86.940 176.5569
78.369141 86.925 176.3905
78.735352 86.910 176.2243
79.101562 86.895 176.0594
79.467773 86.881 175.9004
79.833984 86.868 175.7480
80.200195 86.857 175.5949
80.566406 86.847 175.4299
80.932617 86.837 175.2474
81.298828 86.825 175.0530
81.665039 86.809 174.8615
82.031250 86.791 174.6873
82.397461 86.772 174.5352
82.763672 86.756 174.3985
83.129883 86.742 174.2653
83.496094 86.729 174.1264
83.862305 86.717 173.9799
84.228516 86.705 173.8286
84.594727 86.692 173.6744
84.960938 86.680 173.5164
85.327148 86.667 173.3524
85.693359 86.653 173.1829
86.059570 86.638 173.0132
86.425781 86.621 172.8500
86.791992 86.604 172.6971
87.158203 86.587 172.5528
87.524414 86.571 172.4127
87.890625 86.554 172.2745
88.256836 86.538 172.1407
88.623047 86.522 172.0162
88.989258 86.508 171.9016
89.355469 86.495 171.7892
89.721680 86.486 171.6664
90.087891 86.476 171.5239
90.454102 86.465 171.3640
90.820312 86.450 171.2009
91.186523 86.432 171.0515
91.552734 86.414 170.9243
91.918945 86.398 170.8134
92.285156 86.384 170.7037
92.651367 86.371 170.5817
93.017578 86.358 170.4453
93.383789 86.343 170.3043
93.750000 86.326 170.1724
94.116211 86.308 170.0571
94.482422 86.292 169.9551
94.848633 86.279 169.8546
95.214844 86.267 169.7434
95.581055 86.256 169.6166
95.947266 86.243 169.4800
96.313477 86.228 169.3482
96.679688 86.211 169.2362
97.045898 86.195 169.1499
97.412109 86.185 169.0778
97.778320 86.179 168.9925
98.144531 86.177 168.8657
98.510742 86.172 168.6878
98.876953 86.159 168.4815
99.243164 86.134 168.2945
99.609375 86.103 168.1731
99.975586 86.074 168.1316
100.341797 86.054 168.1395
100.708008 86.045 168.1400
101.074219 86.041 168.0879
101.440430 86.036 167.9785
101.806641 86.024 167.8448
102.172852 86.007 167.7266
102.539062 85.989 167.6386
102.905273 85.974 167.5620
103.271484 85.961 167.4671
103.637695 85.948 167.3439
104.003906 85.929 167.2137
104.370117 85.907 167.1098
104.736328 85.887 167.0452
105.102539 85.874 166.9966
105.468750 85.868 166.9196
105.834961 85.863 166.7836
106.201172 85.854 166.5969
106.567383 85.834 166.4022
106.933594 85.807 166.2477
107.299805 85.778 166.1577
107.666016 85.754 166.1224
108.032227 85.737 166.1099
108.398438 85.728 166.0870
108.764648 85.724 166.0327
109.130859 85.720 165.9393
109.497070 85.714 165.8116
109.863281 85.701 165.6665
110.229492 85.681 165.5337
110.595703 85.656 165.4450
110.961914 85.632 165.4152
111.328125 85.616 165.4253
111.694336 85.609 165.4275
112.060547 85.608 165.3735
112.426758 85.605 165.2501
112.792969 85.592 165.0908
113.159180 85.568 164.9551
113.525391 85.541 164.8870
113.891602 85.519 164.8832
114.257812 85.508 164.8948
114.624023 85.506 164.8629
114.990234 85.506 164.7592
115.356445 85.499 164.6026
115.722656 85.482 164.4429
116.088867 85.459 164.3254
116.455078 85.436 164.2646
116.821289 85.419 164.2413
117.187500 85.408 164.2197
117.553711 85.403 164.1718
117.919922 85.397 164.0901
118.286133 85.388 163.9860
118.652344 85.376 163.8784
119.018555 85.359 163.7844
119.384766 85.341 163.7130
119.750977 85.322 163.6653
120.117188 85.305 163.6360
120.483398 85.291 163.6166
120.849609 85.279 163.5980
121.215820 85.269 163.5725
121.582031 85.260 163.5341
121.948242 85.253 163.4779
122.314453 85.244 163.4010
122.680664 85.234 163.3051
123.046875 85.220 163.1993
123.413086 85.202 163.0991
123.779297 85.181 163.0200
124.145508 85.160 162.9686
124.511719 85.143 162.9380
124.877930 85.129 162.9109
125.244141 85.119 162.8703
125.610352 85.109 162.8091
125.976562 85.098 162.7326
126.342773 85.085 162.6529
126.708984 85.070 162.5799
127.075195 85.055 162.5179
127.441406 85.040 162.4666
127.807617 85.025 162.4245
128.173828 85.012 162.3894
128.540039 85.001 162.3557
128.906250 84.991 162.3140
129.272461 84.981 162.2562
129.638672 84.970 162.1829
130.004883 84.955 162.1064
130.371094 84.937 162.0443
130.737305 84.919 162.0061
131.103516 84.903 161.9857
131.469727 84.890 161.9638
131.835938 84.880 161.9230
132.202148 84.869 161.8608
132.568359 84.855 161.7909
132.934570 84.838 161.7317
133.300781 84.822 161.6911
133.666992 84.808 161.6613
134.033203 84.798 161.6261
134.399414 84.788 161.5742
134.765625 84.778 161.5078
135.131836 84.765 161.4387
135.498047 84.751 161.3796
135.864258 84.736 161.3362
136.230469 84.723 161.3058
136.596680 84.711 161.2811
136.962891 84.702 161.2542
137.329102 84.693 161.2191
137.695312 84.683 161.1740
138.061523 84.672 161.1231
138.427734 84.659 161.0766
138.793945 84.645 161.0440
139.160156 84.631 161.0257
139.526367 84.620 161.0090
139.892578 84.610 160.9764
140.258789 84.599 160.9217
140.625000 84.584 160.8578
140.991211 84.565 160.8082
141.357422 84.546 160.7839
141.723633 84.532 160.7686
142.089844 84.521 160.7274
142.456055 84.509 160.6388
142.822266 84.489 160.5225
143.188477 84.458 160.4337
143.554688 84.424 160.4244
143.920898 84.396 160.4972
144.287109 84.384 160.5940
144.653320 84.385 160.6345
145.019531 84.388 160.5782
145.385742 84.381 160.4565
145.751953 84.363 160.3467
146.118164 84.339 160.3106
146.484375 84.323 160.3442
146.850586 84.320 160.3818
147.216797 84.325 160.3521
147.583008 84.328 160.2382
147.949219 84.319 160.0898
148.315430 84.299 159.9798
148.681641 84.279 159.9443
