* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/08/2025 9:12:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Unicrom R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 40.024 149.8950
0.732422 40.562 115.1083
1.098633 42.730 80.8244
1.464844 45.946 55.8978
1.831055 49.183 40.0986
2.197266 52.160 30.0021
2.563477 54.914 22.9119
2.929688 57.482 16.9810
3.295898 59.840 11.1689
3.662109 61.937 5.1757
4.028320 63.750 -0.8115
4.394531 65.297 -6.4252
4.760742 66.637 -11.3670
5.126953 67.849 -15.5747
5.493164 68.997 -19.2657
5.859375 70.106 -22.8019
6.225586 71.158 -26.4548
6.591797 72.120 -30.2568
6.958008 72.971 -34.0342
7.324219 73.723 -37.5578
7.690430 74.407 -40.7015
8.056641 75.062 -43.5223
8.422852 75.705 -46.2117
8.789062 76.328 -48.9501
9.155273 76.910 -51.7828
9.521484 77.432 -54.6113
9.887695 77.901 -57.2880
10.253906 78.337 -59.7368
10.620117 78.763 -62.0139
10.986328 79.186 -64.2646
11.352539 79.596 -66.6077
11.718750 79.970 -69.0428
12.084961 80.296 -71.4515
12.451172 80.580 -73.6831
12.817383 80.846 -75.6611
13.183594 81.118 -77.4411
13.549805 81.406 -79.1751
13.916016 81.701 -81.0058
14.282227 81.983 -82.9744
14.648438 82.234 -85.0103
15.014648 82.453 -86.9955
15.380859 82.651 -88.8484
15.747070 82.843 -90.5711
16.113281 83.036 -92.2321
16.479492 83.227 -93.9032
16.845703 83.407 -95.6028
17.211914 83.567 -97.2866
17.578125 83.709 -98.8856
17.944336 83.841 -100.3589
18.310547 83.974 -101.7218
18.676758 84.113 -103.0334
19.042969 84.256 -104.3544
19.409180 84.394 -105.7090
19.775391 84.521 -107.0761
20.141602 84.635 -108.4112
20.507812 84.741 -109.6794
20.874023 84.844 -110.8779
21.240234 84.949 -112.0361
21.606445 85.056 -113.1948
21.972656 85.161 -114.3812
22.338867 85.258 -115.5942
22.705078 85.343 -116.8067
23.071289 85.416 -117.9824
23.437500 85.481 -119.0947
23.803711 85.542 -120.1382
24.169922 85.603 -121.1270
24.536133 85.666 -122.0839
24.902344 85.730 -123.0279
25.268555 85.793 -123.9679
25.634766 85.854 -124.9038
26.000977 85.911 -125.8306
26.367188 85.964 -126.7421
26.733398 86.014 -127.6319
27.099609 86.062 -128.4946
27.465820 86.109 -129.3301
27.832031 86.157 -130.1477
28.198242 86.206 -130.9646
28.564453 86.256 -131.7972
28.930664 86.301 -132.6490
29.296875 86.340 -133.5049
29.663086 86.372 -134.3383
30.029297 86.400 -135.1277
30.395508 86.428 -135.8715
30.761719 86.459 -136.5905
31.127930 86.494 -137.3138
31.494141 86.528 -138.0598
31.860352 86.558 -138.8232
32.226562 86.581 -139.5788
32.592773 86.598 -140.2969
32.958984 86.614 -140.9611
33.325195 86.632 -141.5781
33.691406 86.656 -142.1747
34.057617 86.686 -142.7840
34.423828 86.717 -143.4289
34.790039 86.744 -144.1103
35.156250 86.764 -144.8062
35.522461 86.776 -145.4832
35.888672 86.783 -146.1143
36.254883 86.789 -146.6951
36.621094 86.800 -147.2455
36.987305 86.815 -147.7971
37.353516 86.831 -148.3709
37.719727 86.844 -148.9631
38.085938 86.851 -149.5499
38.452148 86.856 -150.1057
38.818359 86.861 -150.6239
39.184570 86.871 -151.1224
39.550781 86.886 -151.6304
39.916992 86.901 -152.1680
40.283203 86.914 -152.7320
40.649414 86.921 -153.2999
41.015625 86.923 -153.8444
41.381836 86.923 -154.3496
41.748047 86.924 -154.8179
42.114258 86.928 -155.2667
42.480469 86.936 -155.7181
42.846680 86.945 -156.1866
43.212891 86.950 -156.6710
43.579102 86.951 -157.1529
43.945312 86.946 -157.6060
44.311523 86.940 -158.0134
44.677734 86.937 -158.3832
45.043945 86.940 -158.7489
45.410156 86.948 -159.1490
45.776367 86.952 -159.5963
46.142578 86.949 -160.0645
46.508789 86.937 -160.5041
46.875000 86.923 -160.8839
47.241211 86.916 -161.2223
47.607422 86.918 -161.5812
47.973633 86.923 -162.0164
48.339844 86.919 -162.5244
48.706055 86.898 -163.0309
49.072266 86.864 -163.4376
49.438477 86.832 -163.6962
49.804688 86.821 -163.8559
50.170898 86.834 -164.0394
50.537109 86.863 -164.3571
50.903320 86.887 -164.8287
51.269531 86.891 -165.3723
51.635742 86.876 -165.8675
52.001953 86.854 -166.2392
52.368164 86.841 -166.5050
52.734375 86.844 -166.7532
53.100586 86.857 -167.0681
53.466797 86.866 -167.4675
53.833008 86.864 -167.8982
54.199219 86.850 -168.2859
54.565430 86.834 -168.5936
54.931641 86.824 -168.8454
55.297852 86.823 -169.1001
55.664062 86.825 -169.4020
56.030273 86.824 -169.7495
56.396484 86.814 -170.1044
56.762695 86.799 -170.4274
57.128906 86.784 -170.7090
57.495117 86.773 -170.9716
57.861328 86.766 -171.2469
58.227539 86.759 -171.5484
58.593750 86.749 -171.8639
58.959961 86.735 -172.1694
59.326172 86.721 -172.4510
59.692383 86.709 -172.7155
60.058594 86.700 -172.9819
60.424805 86.693 -173.2635
60.791016 86.684 -173.5566
61.157227 86.673 -173.8457
61.523438 86.660 -174.1184
61.889648 86.649 -174.3759
62.255859 86.639 -174.6301
62.622070 86.629 -174.8893
62.988281 86.617 -175.1473
63.354492 86.602 -175.3867
63.720703 86.588 -175.5953
64.086914 86.578 -175.7811
64.453125 86.573 -175.9718
64.819336 86.572 -176.1957
65.185547 86.569 -176.4601
65.551758 86.560 -176.7441
65.917969 86.544 -177.0143
66.284180 86.527 -177.2498
66.650391 86.512 -177.4571
67.016602 86.501 -177.6620
67.382812 86.492 -177.8861
67.749023 86.481 -178.1291
68.115234 86.469 -178.3719
68.481445 86.455 -178.5990
68.847656 86.445 -178.8174
69.213867 86.437 -179.0534
69.580078 86.429 -179.3269
69.946289 86.414 -179.6261
70.312500 86.390 -179.9064
70.678711 86.360 179.8812
71.044922 86.334 179.7513
71.411133 86.320 179.6660
71.777344 86.318 179.5568
72.143555 86.322 179.3717
72.509766 86.320 179.1130
72.875977 86.307 178.8345
73.242188 86.283 178.6025
73.608398 86.259 178.4492
73.974609 86.243 178.3508
74.340820 86.238 178.2463
74.707031 86.241 178.0807
75.073242 86.241 177.8406
75.439453 86.233 177.5565
75.805664 86.215 177.2770
76.171875 86.191 177.0375
76.538086 86.165 176.8445
76.904297 86.143 176.6818
77.270508 86.124 176.5283
77.636719 86.108 176.3719
78.002930 86.092 176.2118
78.369141 86.077 176.0521
78.735352 86.063 175.8965
79.101562 86.049 175.7466
79.467773 86.036 175.6015
79.833984 86.026 175.4576
80.200195 86.017 175.3080
80.566406 86.009 175.1454
80.932617 86.000 174.9686
81.298828 85.989 174.7856
81.665039 85.975 174.6109
82.031250 85.961 174.4534
82.397461 85.947 174.3090
82.763672 85.935 174.1630
83.129883 85.923 174.0037
83.496094 85.908 173.8355
83.862305 85.890 173.6774
84.228516 85.870 173.5477
84.594727 85.852 173.4468
84.960938 85.838 173.3537
85.327148 85.829 173.2413
85.693359 85.820 173.0983
86.059570 85.807 172.9371
86.425781 85.791 172.7827
86.791992 85.774 172.6503
87.158203 85.759 172.5330
87.524414 85.748 172.4091
87.890625 85.738 172.2617
88.256836 85.726 172.0936
88.623047 85.710 171.9243
88.989258 85.692 171.7732
89.355469 85.674 171.6448
89.721680 85.658 171.5284
90.087891 85.645 171.4099
90.454102 85.632 171.2841
90.820312 85.618 171.1576
91.186523 85.605 171.0382
91.552734 85.592 170.9255
91.918945 85.582 170.8082
92.285156 85.572 170.6730
92.651367 85.561 170.5151
93.017578 85.546 170.3440
93.383789 85.526 170.1798
93.750000 85.501 170.0448
94.116211 85.475 169.9531
94.482422 85.451 169.9041
94.848633 85.434 169.8816
95.214844 85.424 169.8578
95.581055 85.420 169.8040
95.947266 85.418 169.7029
96.313477 85.414 169.5563
96.679688 85.404 169.3840
97.045898 85.387 169.2138
97.412109 85.366 169.0681
97.778320 85.344 168.9558
98.144531 85.324 168.8721
98.510742 85.307 168.8049
98.876953 85.293 168.7404
99.243164 85.283 168.6664
99.609375 85.276 168.5719
99.975586 85.268 168.4496
100.341797 85.258 168.3011
100.708008 85.242 168.1413
101.074219 85.221 167.9964
101.440430 85.196 167.8913
101.806641 85.172 167.8344
102.172852 85.155 167.8082
102.539062 85.145 167.7760
102.905273 85.140 167.7039
103.271484 85.133 167.5833
103.637695 85.119 167.4396
104.003906 85.099 167.3167
104.370117 85.076 167.2475
104.736328 85.058 167.2284
105.102539 85.050 167.2169
105.468750 85.051 167.1588
105.834961 85.051 167.0267
106.201172 85.044 166.8412
106.567383 85.025 166.6586
106.933594 84.999 166.5325
107.299805 84.975 166.4761
107.666016 84.959 166.4542
108.032227 84.951 166.4107
108.398438 84.946 166.3127
108.764648 84.936 166.1731
109.130859 84.917 166.0376
109.497070 84.895 165.9465
109.863281 84.874 165.9037
110.229492 84.861 165.8761
110.595703 84.853 165.8234
110.961914 84.844 165.7309
111.328125 84.831 165.6188
111.694336 84.813 165.5219
112.060547 84.794 165.4590
112.426758 84.779 165.4188
112.792969 84.769 165.3712
113.159180 84.760 165.2940
113.525391 84.749 165.1903
113.891602 84.733 165.0847
114.257812 84.714 165.0026
114.624023 84.697 164.9510
114.990234 84.683 164.9145
115.356445 84.674 164.8660
115.722656 84.668 164.7859
116.088867 84.660 164.6727
116.455078 84.646 164.5424
116.821289 84.628 164.4193
117.187500 84.606 164.3244
117.553711 84.583 164.2666
117.919922 84.563 164.2397
118.286133 84.548 164.2268
118.652344 84.538 164.2083
119.018555 84.530 164.1712
119.384766 84.522 164.1140
119.750977 84.513 164.0440
120.117188 84.503 163.9710
120.483398 84.491 163.9002
120.849609 84.479 163.8317
121.215820 84.466 163.7639
121.582031 84.452 163.6985
121.948242 84.438 163.6405
122.314453 84.423 163.5943
122.680664 84.410 163.5576
123.046875 84.400 163.5200
123.413086 84.391 163.4685
123.779297 84.381 163.3975
124.145508 84.368 163.3146
124.511719 84.351 163.2388
124.877930 84.332 163.1888
125.244141 84.315 163.1692
125.610352 84.302 163.1647
125.976562 84.294 163.1479
126.342773 84.289 163.0982
126.708984 84.281 163.0164
127.075195 84.268 162.9257
127.441406 84.252 162.8531
127.807617 84.236 162.8084
128.173828 84.224 162.7746
128.540039 84.215 162.7230
128.906250 84.204 162.6399
129.272461 84.189 162.5433
129.638672 84.167 162.4717
130.004883 84.145 162.4526
130.371094 84.130 162.4744
130.737305 84.124 162.4890
131.103516 84.124 162.4467
131.469727 84.120 162.3362
131.835938 84.106 162.1962
132.202148 84.082 162.0886
132.568359 84.055 162.0541
132.934570 84.033 162.0834
133.300781 84.022 162.1262
133.666992 84.019 162.1299
134.033203 84.017 162.0765
134.399414 84.009 161.9886
134.765625 83.995 161.9066
135.131836 83.978 161.8571
135.498047 83.963 161.8383
135.864258 83.952 161.8279
136.230469 83.944 161.8025
136.596680 83.938 161.7518
136.962891 83.929 161.6812
137.329102 83.917 161.6038
137.695312 83.902 161.5336
138.061523 83.885 161.4797
138.427734 83.867 161.4440
138.793945 83.851 161.4214
139.160156 83.836 161.4038
139.526367 83.822 161.3867
139.892578 83.808 161.3734
140.258789 83.794 161.3694
140.625000 83.783 161.3712
140.991211 83.775 161.3607
141.357422 83.769 161.3173
141.723633 83.758 161.2403
142.089844 83.739 161.1633
142.456055 83.713 161.1387
142.822266 83.690 161.1965
143.188477 83.679 161.3077
143.554688 83.686 161.3883
143.920898 83.702 161.3533
144.287109 83.713 161.1817
144.653320 83.703 160.9402
145.019531 83.671 160.7434
145.385742 83.630 160.6788
145.751953 83.596 160.7467
146.118164 83.581 160.8627
146.484375 83.581 160.9225
146.850586 83.585 160.8783
147.216797 83.578 160.7649
147.583008 83.560 160.6608
147.949219 83.535 160.6240
148.315430 83.515 160.6518
148.681641 83.504 160.6932
