* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 30/07/2022 1:11:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: VR3000 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 59.097 69.2060
1.015000 59.084 67.3854
1.030000 59.076 65.6083
1.044000 59.070 63.9803
1.060000 59.068 62.1541
1.075000 59.069 60.4732
1.090000 59.072 58.8204
1.106000 59.078 57.0864
1.120000 59.086 55.5917
1.138000 59.099 53.6984
1.150000 59.109 52.4525
1.172000 59.131 50.1982
1.180000 59.139 49.3871
1.206000 59.170 46.7781
1.220000 59.187 45.3879
1.241000 59.215 43.3175
1.250000 59.227 42.4344
1.265000 59.248 40.9669
1.280000 59.269 39.5030
1.315000 59.317 36.0902
1.320000 59.324 35.6019
1.340000 59.351 33.6442
1.360000 59.377 31.6732
1.380000 59.405 29.6833
1.400000 59.435 27.6807
1.430000 59.483 24.6678
1.450000 59.518 22.6629
1.475000 59.562 20.1728
1.500000 59.608 17.7130
1.525000 59.654 15.2964
1.550000 59.702 12.9364
1.575000 59.749 10.6459
1.600000 59.796 8.4383
1.625000 59.841 6.3267
1.650000 59.886 4.3242
1.675000 59.928 2.4440
1.700000 59.969 0.6876
1.725000 60.008 -0.9730
1.750000 60.047 -2.5433
1.775000 60.084 -4.0267
1.800000 60.121 -5.4271
1.825000 60.158 -6.7481
1.850000 60.194 -7.9933
1.875000 60.231 -9.1663
1.900000 60.268 -10.2709
1.925000 60.305 -11.3107
1.950000 60.344 -12.2894
1.975000 60.383 -13.2105
2.000000 60.424 -14.0778
2.030000 60.474 -15.0486
2.060000 60.520 -15.9076
2.090000 60.562 -16.6525
2.120000 60.603 -17.2928
2.140000 60.630 -17.6661
2.180000 60.686 -18.2967
2.200000 60.717 -18.5595
2.240000 60.787 -18.9941
2.270000 60.848 -19.2513
2.300000 60.919 -19.4598
2.330000 61.002 -19.6292
2.360000 61.100 -19.7673
2.400000 61.246 -19.8136
2.430000 61.366 -19.7313
2.470000 61.539 -19.5005
2.500000 61.678 -19.2604
2.540000 61.876 -18.8860
2.580000 62.089 -18.4895
2.620000 62.315 -18.1146
2.650000 62.493 -17.8737
2.690000 62.742 -17.6414
2.720000 62.941 -17.5104
2.760000 63.227 -17.3163
2.800000 63.531 -17.1196
2.850000 63.932 -16.9029
2.900000 64.344 -16.7579
2.950000 64.760 -16.7268
3.000000 65.168 -16.8518
3.040000 65.484 -17.0915
3.070000 65.722 -17.3518
3.110000 66.042 -17.7920
3.150000 66.364 -18.3248
3.200000 66.764 -19.0987
3.250000 67.159 -19.9654
3.300000 67.542 -20.8961
3.350000 67.908 -21.8620
3.400000 68.256 -22.8610
3.450000 68.593 -23.9453
3.500000 68.919 -25.1017
3.550000 69.233 -26.3125
3.600000 69.534 -27.5599
3.650000 69.820 -28.8264
3.700000 70.092 -30.0941
3.750000 70.349 -31.3871
3.820000 70.683 -33.2768
3.870000 70.906 -34.6540
3.950000 71.236 -36.8453
4.000000 71.426 -38.1736
4.060000 71.640 -39.6969
4.120000 71.834 -41.1905
4.180000 72.009 -42.6560
4.250000 72.193 -44.3072
4.310000 72.337 -45.6523
4.370000 72.471 -46.9142
4.440000 72.610 -48.2935
4.500000 72.713 -49.4123
4.550000 72.790 -50.2900
4.620000 72.889 -51.4203
4.680000 72.970 -52.2837
4.750000 73.064 -53.1514
4.820000 73.147 -53.8737
4.870000 73.202 -54.3102
4.940000 73.279 -54.8243
5.000000 73.351 -55.1870
5.080000 73.461 -55.5677
5.150000 73.564 -55.7557
5.220000 73.673 -55.8390
5.300000 73.810 -55.8689
5.380000 73.966 -55.8996
5.450000 74.121 -55.9158
5.520000 74.290 -55.8831
5.600000 74.498 -55.8437
5.700000 74.771 -55.8898
5.800000 75.060 -56.0960
5.900000 75.369 -56.4018
6.000000 75.680 -56.8386
6.080000 75.920 -57.3061
6.150000 76.129 -57.8130
6.220000 76.336 -58.3964
6.300000 76.566 -59.1330
6.400000 76.834 -60.1179
6.500000 77.080 -61.2023
6.600000 77.308 -62.3756
6.700000 77.515 -63.5610
6.800000 77.699 -64.7219
6.900000 77.860 -65.9014
7.000000 78.003 -67.0429
7.100000 78.133 -68.0891
7.200000 78.244 -69.0615
7.300000 78.341 -69.9576
7.400000 78.436 -70.7572
7.500000 78.527 -71.4427
7.620000 78.630 -72.1376
7.750000 78.750 -72.7891
7.880000 78.882 -73.3157
8.000000 79.013 -73.7329
8.120000 79.157 -74.1754
8.250000 79.329 -74.6506
8.380000 79.508 -75.1778
8.500000 79.676 -75.7680
8.620000 79.849 -76.4350
8.750000 80.027 -77.2397
8.850000 80.156 -77.9312
9.000000 80.336 -79.0583
9.120000 80.462 -79.9704
9.250000 80.579 -80.9910
9.380000 80.680 -81.9869
9.500000 80.759 -82.8249
9.620000 80.824 -83.6089
9.750000 80.889 -84.3581
9.880000 80.952 -84.9721
10.000000 81.008 -85.4407
10.150000 81.092 -85.9264
10.300000 81.192 -86.2794
10.440000 81.303 -86.5919
10.600000 81.458 -86.9503
10.750000 81.619 -87.3412
10.900000 81.794 -87.8640
11.060000 81.991 -88.5448
11.200000 82.156 -89.2746
11.380000 82.362 -90.3756
11.500000 82.485 -91.1602
11.720000 82.683 -92.7109
11.800000 82.745 -93.2581
12.060000 82.915 -94.9795
12.200000 82.996 -95.7936
12.410000 83.107 -96.8643
12.500000 83.159 -97.2712
12.650000 83.248 -97.8682
12.800000 83.347 -98.4347
13.150000 83.623 -99.7490
13.200000 83.666 -99.9608
13.400000 83.843 -100.8736
13.600000 84.010 -101.9406
13.800000 84.161 -103.1223
14.000000 84.281 -104.3770
14.300000 84.401 -106.1650
14.500000 84.446 -107.1868
14.750000 84.478 -108.1553
15.000000 84.513 -108.7587
15.250000 84.572 -109.0998
15.500000 84.667 -109.3049
15.750000 84.797 -109.5578
16.000000 84.939 -109.9916
16.250000 85.072 -110.6020
16.500000 85.178 -111.3416
16.750000 85.246 -112.0798
17.000000 85.283 -112.6591
17.250000 85.307 -113.0165
17.500000 85.335 -113.1307
17.750000 85.391 -113.0682
18.000000 85.484 -112.9939
18.250000 85.609 -113.0326
18.500000 85.754 -113.2924
18.750000 85.898 -113.8343
19.000000 86.020 -114.6058
19.250000 86.113 -115.5275
19.500000 86.169 -116.5027
19.750000 86.194 -117.4062
20.000000 86.202 -118.1699
20.299999 86.205 -118.8713
20.600000 86.226 -119.3725
20.900000 86.280 -119.7866
21.200001 86.372 -120.2617
21.400000 86.450 -120.6811
21.799999 86.616 -121.8385
22.000000 86.692 -122.5700
22.400000 86.810 -124.2293
22.700001 86.860 -125.4921
23.000000 86.880 -126.6364
23.299999 86.883 -127.5728
23.600000 86.883 -128.2637
24.000000 86.904 -128.8408
24.299999 86.948 -129.0987
24.700001 87.049 -129.3515
25.000000 87.151 -129.5620
25.400000 87.310 -129.9629
25.799999 87.474 -130.5587
26.200001 87.620 -131.3351
26.500000 87.705 -131.9750
26.900000 87.784 -132.7717
27.200001 87.826 -133.2472
27.600000 87.880 -133.6882
28.000000 87.954 -134.0097
28.500000 88.080 -134.5473
29.000000 88.201 -135.4756
29.500000 88.266 -136.6861
30.000000 88.265 -137.8254
30.400000 88.237 -138.5173
30.700001 88.216 -138.8920
31.100000 88.204 -139.2431
31.500000 88.218 -139.5088
32.000000 88.279 -139.8771
32.500000 88.377 -140.4589
33.000000 88.479 -141.3582
33.500000 88.551 -142.4954
34.000000 88.578 -143.6278
34.500000 88.577 -144.5482
35.000000 88.578 -145.2301
35.500000 88.601 -145.7980
36.000000 88.638 -146.3942
36.500000 88.671 -147.0686
37.000000 88.686 -147.7431
37.500000 88.684 -148.2619
38.200001 88.707 -148.5985
38.700001 88.783 -148.7972
39.500000 88.953 -149.8065
40.000000 89.011 -150.8318
40.599998 89.009 -151.9116
41.200001 88.995 -152.5558
41.799999 89.021 -153.0589
42.500000 89.056 -153.8724
43.099998 89.046 -154.5453
43.700001 89.029 -154.9180
44.400002 89.060 -155.2586
45.000000 89.104 -155.8588
45.500000 89.110 -156.5382
46.200001 89.061 -157.3523
46.799999 89.011 -157.7096
47.500000 89.001 -157.9060
48.200001 89.053 -158.1772
48.700001 89.119 -158.5464
49.400002 89.222 -159.4618
50.000000 89.274 -160.5663
50.799999 89.260 -161.9603
51.500000 89.221 -162.7498
52.200001 89.201 -163.3066
53.000000 89.188 -163.8400
53.799999 89.186 -164.2360
54.500000 89.196 -164.6524
55.200001 89.182 -165.1382
56.000000 89.147 -165.4971
57.000000 89.137 -165.8820
58.000000 89.116 -166.4960
59.000000 89.086 -166.9666
60.000000 89.087 -167.4926
60.799999 89.087 -168.0173
61.500000 89.081 -168.4692
62.200001 89.075 -168.8944
63.000000 89.066 -169.3578
64.000000 89.044 -169.9094
65.000000 89.005 -170.3091
66.000000 88.980 -170.5494
67.000000 88.974 -170.9301
68.000000 88.956 -171.4798
69.000000 88.933 -172.1035
70.000000 88.925 -172.7954
71.000000 88.940 -173.7638
72.000000 88.906 -175.0072
73.000000 88.818 -175.7853
74.000000 88.773 -176.0820
75.000000 88.759 -176.2983
76.199997 88.747 -176.4082
77.500000 88.736 -176.4539
78.800003 88.718 -176.5695
80.000000 88.682 -176.8032
81.199997 88.640 -177.0614
82.500000 88.611 -177.4755
83.800003 88.573 -178.0006
85.000000 88.541 -178.4288
86.199997 88.507 -178.8609
87.500000 88.461 -179.1978
88.500000 88.432 -179.3621
90.000000 88.397 -179.6130
91.199997 88.363 -179.8276
92.500000 88.319 179.9187
93.800003 88.262 179.6359
95.000000 88.210 179.3318
96.199997 88.153 178.9148
97.500000 88.085 178.5314
98.800003 88.043 178.2768
100.000000 88.033 178.0931
101.500000 88.035 177.7188
103.000000 87.987 177.3509
104.400002 87.928 177.1961
106.000000 87.876 176.9279
107.500000 87.827 176.5309
109.000000 87.801 176.1951
110.599998 87.779 175.6889
112.000000 87.729 175.5098
113.800003 87.692 175.5390
115.000000 87.671 175.4565
117.199997 87.600 175.1831
118.000000 87.573 175.1103
120.599998 87.506 174.8966
122.000000 87.469 174.8470
124.099998 87.429 174.8701
125.000000 87.415 174.8097
126.500000 87.377 174.6279
128.000000 87.327 174.4496
131.500000 87.215 174.0725
132.000000 87.199 174.0226
134.000000 87.141 173.8648
136.000000 87.087 173.7800
138.000000 87.035 173.7030
140.000000 86.978 173.5857
143.000000 86.912 173.3577
145.000000 86.888 173.1100
147.500000 86.829 172.8737
150.000000 86.737 172.9562
152.500000 86.651 173.0821
155.000000 86.575 173.0046
157.500000 86.495 172.8901
160.000000 86.417 172.9156
162.500000 86.344 172.9543
165.000000 86.267 172.9473
167.500000 86.180 172.9473
170.000000 86.086 173.0522
172.500000 85.997 173.2302
175.000000 85.914 173.4098
177.500000 85.827 173.7448
180.000000 85.735 174.2903
182.500000 85.622 175.0351
185.000000 85.526 176.0439
187.500000 85.520 177.2298
190.000000 85.608 178.3178
192.500000 85.748 179.0701
195.000000 85.922 179.2132
197.500000 86.109 178.7211
200.000000 86.220 177.8607
203.000000 86.193 177.2558
206.000000 86.116 176.9162
209.000000 86.048 176.5089
212.000000 86.004 176.1689
214.000000 85.968 176.0065
218.000000 85.888 175.8330
220.000000 85.850 175.7832
224.000000 85.782 175.7192
227.000000 85.726 175.6966
230.000000 85.665 175.7482
233.000000 85.609 175.8581
236.000000 85.561 175.9622
240.000000 85.492 176.0341
243.000000 85.439 176.0842
247.000000 85.382 176.2056
250.000000 85.346 176.3033
254.000000 85.296 176.4737
258.000000 85.245 176.7141
262.000000 85.188 176.9148
265.000000 85.149 177.0339
269.000000 85.101 177.2090
272.000000 85.063 177.3872
276.000000 85.016 177.5988
280.000000 84.969 177.7594
285.000000 84.911 178.0435
290.000000 84.855 178.3315
295.000000 84.800 178.6641
300.000000 84.746 178.9797
