* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 30/07/2022 1:09:42 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: VR3000 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 38.257 169.2658
1.015000 38.268 165.6983
1.030000 38.312 161.8124
1.044000 38.378 157.8826
1.060000 38.483 153.0699
1.075000 38.607 148.2824
1.090000 38.755 143.2635
1.106000 38.937 137.6939
1.120000 39.117 132.6698
1.138000 39.372 126.0508
1.150000 39.557 121.5655
1.172000 39.923 113.2579
1.180000 40.064 110.2271
1.206000 40.548 100.4250
1.220000 40.823 95.2233
1.241000 41.252 87.5976
1.250000 41.441 84.4146
1.265000 41.761 79.2510
1.280000 42.087 74.2940
1.315000 42.861 63.7252
1.320000 42.973 62.3481
1.340000 43.418 57.2232
1.360000 43.873 52.6766
1.380000 44.368 48.4707
1.400000 44.899 44.5728
1.430000 45.753 39.2650
1.450000 46.352 36.0598
1.475000 47.124 32.3970
1.500000 47.913 29.0839
1.525000 48.709 26.0858
1.550000 49.501 23.3679
1.575000 50.278 20.8958
1.600000 51.029 18.6345
1.625000 51.745 16.5496
1.650000 52.415 14.6063
1.675000 53.028 12.7700
1.700000 53.582 11.1137
1.725000 54.101 9.8928
1.750000 54.589 9.0632
1.775000 55.048 8.5626
1.800000 55.481 8.3282
1.825000 55.892 8.2976
1.850000 56.284 8.4083
1.875000 56.659 8.5977
1.900000 57.020 8.8033
1.925000 57.371 8.9626
1.950000 57.714 9.0131
1.975000 58.053 8.8922
2.000000 58.390 8.5374
2.030000 58.794 7.7340
2.060000 59.184 6.6611
2.090000 59.557 5.4027
2.120000 59.913 3.9989
2.140000 60.142 3.0021
2.180000 60.582 0.9164
2.200000 60.794 -0.1487
2.240000 61.205 -2.2638
2.270000 61.504 -3.7898
2.300000 61.796 -5.2192
2.330000 62.082 -6.5118
2.360000 62.365 -7.6287
2.400000 62.729 -8.9042
2.430000 62.991 -9.7482
2.470000 63.326 -10.7526
2.500000 63.567 -11.4351
2.540000 63.878 -12.2802
2.580000 64.178 -13.0845
2.620000 64.468 -13.8845
2.650000 64.682 -14.5038
2.690000 64.961 -15.3845
2.720000 65.166 -16.0801
2.760000 65.428 -17.0084
2.800000 65.681 -17.9352
2.850000 65.983 -19.0870
2.900000 66.274 -20.2267
2.950000 66.555 -21.3486
3.000000 66.828 -22.4476
3.040000 67.043 -23.3078
3.070000 67.201 -23.9523
3.110000 67.404 -24.8121
3.150000 67.602 -25.6653
3.200000 67.840 -26.7109
3.250000 68.073 -27.7191
3.300000 68.299 -28.6748
3.350000 68.522 -29.5631
3.400000 68.742 -30.3634
3.450000 68.955 -31.0674
3.500000 69.163 -31.7026
3.550000 69.365 -32.2983
3.600000 69.564 -32.8835
3.650000 69.760 -33.4874
3.700000 69.954 -34.1393
3.750000 70.145 -34.8482
3.820000 70.407 -35.8942
3.870000 70.590 -36.6559
3.950000 70.877 -37.8520
4.000000 71.053 -38.5585
4.060000 71.262 -39.3361
4.120000 71.468 -40.0339
4.180000 71.670 -40.6789
4.250000 71.900 -41.4039
4.310000 72.094 -42.0355
4.370000 72.284 -42.7075
4.440000 72.501 -43.5566
4.500000 72.683 -44.3171
4.550000 72.832 -44.9614
4.620000 73.036 -45.8607
4.680000 73.206 -46.6112
4.750000 73.400 -47.4457
4.820000 73.587 -48.2502
4.870000 73.718 -48.8128
4.940000 73.897 -49.5903
5.000000 74.046 -50.2537
5.080000 74.239 -51.1433
5.150000 74.402 -51.9261
5.220000 74.560 -52.7056
5.300000 74.735 -53.5833
5.380000 74.905 -54.4364
5.450000 75.050 -55.1610
5.520000 75.190 -55.8703
5.600000 75.345 -56.6613
5.700000 75.534 -57.6196
5.800000 75.718 -58.5402
5.900000 75.896 -59.4235
6.000000 76.069 -60.2806
6.080000 76.205 -60.9547
6.150000 76.322 -61.5354
6.220000 76.437 -62.1058
6.300000 76.566 -62.7444
6.400000 76.724 -63.5209
6.500000 76.879 -64.2704
6.600000 77.031 -64.9962
6.700000 77.178 -65.7041
6.800000 77.322 -66.4005
6.900000 77.463 -67.0840
7.000000 77.600 -67.7450
7.100000 77.734 -68.3749
7.200000 77.864 -68.9762
7.300000 77.992 -69.5496
7.400000 78.118 -70.0929
7.500000 78.243 -70.6044
7.620000 78.392 -71.1783
7.750000 78.556 -71.7577
7.880000 78.722 -72.2840
8.000000 78.879 -72.7378
8.120000 79.042 -73.1874
8.250000 79.225 -73.6541
8.380000 79.413 -74.1357
8.500000 79.593 -74.6205
8.620000 79.778 -75.1317
8.750000 79.978 -75.7472
8.850000 80.133 -76.2735
9.000000 80.363 -77.1386
9.120000 80.539 -77.9012
9.250000 80.723 -78.8080
9.380000 80.896 -79.7717
9.500000 81.040 -80.6949
9.620000 81.172 -81.6613
9.750000 81.299 -82.7063
9.880000 81.408 -83.7380
10.000000 81.493 -84.6762
10.150000 81.583 -85.7579
10.300000 81.651 -86.7488
10.440000 81.706 -87.5564
10.600000 81.759 -88.3160
10.750000 81.806 -88.8882
10.900000 81.862 -89.3149
11.060000 81.929 -89.6419
11.200000 82.006 -89.8717
11.380000 82.125 -90.0922
11.500000 82.218 -90.2712
11.720000 82.417 -90.6531
11.800000 82.492 -90.8447
12.060000 82.751 -91.6656
12.200000 82.885 -92.2370
12.410000 83.074 -93.2512
12.500000 83.146 -93.7119
12.650000 83.254 -94.5316
12.800000 83.348 -95.3416
13.150000 83.515 -97.0800
13.200000 83.536 -97.2937
13.400000 83.611 -98.0644
13.600000 83.694 -98.6887
13.800000 83.790 -99.2104
14.000000 83.909 -99.6885
14.300000 84.123 -100.5240
14.500000 84.279 -101.2378
14.750000 84.473 -102.3795
15.000000 84.637 -103.7548
15.250000 84.758 -105.2420
15.500000 84.830 -106.7078
15.750000 84.855 -107.9796
16.000000 84.855 -108.9205
16.250000 84.854 -109.5153
16.500000 84.873 -109.7941
16.750000 84.933 -109.8726
17.000000 85.035 -109.9323
17.250000 85.170 -110.0798
17.500000 85.324 -110.3923
17.750000 85.479 -110.8882
18.000000 85.621 -111.5059
18.250000 85.749 -112.1915
18.500000 85.862 -112.8944
18.750000 85.966 -113.5825
19.000000 86.063 -114.2694
19.250000 86.154 -114.9708
19.500000 86.237 -115.7029
19.750000 86.307 -116.4661
20.000000 86.359 -117.2231
20.299999 86.397 -118.0654
20.600000 86.417 -118.7623
20.900000 86.432 -119.2734
21.200001 86.456 -119.6186
21.400000 86.484 -119.7935
21.799999 86.567 -120.1343
22.000000 86.620 -120.3425
22.400000 86.736 -120.8685
22.700001 86.825 -121.3464
23.000000 86.914 -121.8678
23.299999 87.003 -122.4161
23.600000 87.095 -122.9915
24.000000 87.222 -123.8208
24.299999 87.317 -124.4973
24.700001 87.442 -125.4611
25.000000 87.531 -126.2145
25.400000 87.645 -127.2476
25.799999 87.750 -128.3141
26.200001 87.841 -129.4006
26.500000 87.895 -130.1957
26.900000 87.951 -131.1584
27.200001 87.985 -131.7690
27.600000 88.033 -132.4290
28.000000 88.094 -132.9720
28.500000 88.189 -133.6300
29.000000 88.289 -134.3627
29.500000 88.375 -135.1412
30.000000 88.446 -135.8875
30.400000 88.495 -136.4348
30.700001 88.530 -136.8113
31.100000 88.578 -137.2645
31.500000 88.632 -137.6700
32.000000 88.719 -138.1801
32.500000 88.826 -138.8310
33.000000 88.930 -139.7270
33.500000 89.004 -140.8078
34.000000 89.039 -141.8764
34.500000 89.052 -142.7834
35.000000 89.066 -143.5424
35.500000 89.089 -144.2616
36.000000 89.107 -144.9885
36.500000 89.114 -145.6556
37.000000 89.120 -146.1827
37.500000 89.143 -146.6011
38.200001 89.211 -147.2509
38.700001 89.267 -147.8672
39.500000 89.337 -149.0148
40.000000 89.368 -149.7674
40.599998 89.389 -150.6893
41.200001 89.385 -151.5205
41.799999 89.375 -152.1113
42.500000 89.398 -152.5835
43.099998 89.446 -153.0634
43.700001 89.487 -153.6641
44.400002 89.517 -154.3212
45.000000 89.544 -154.8188
45.500000 89.570 -155.2713
46.200001 89.597 -156.0120
46.799999 89.602 -156.6946
47.500000 89.591 -157.4665
48.200001 89.580 -158.1732
48.700001 89.586 -158.7005
49.400002 89.601 -159.6470
50.000000 89.592 -160.6053
50.799999 89.547 -161.7042
51.500000 89.524 -162.4482
52.200001 89.520 -163.1432
53.000000 89.545 -163.7771
53.799999 89.640 -164.7476
54.500000 89.656 -166.3622
55.200001 89.495 -167.7131
56.000000 89.284 -167.7638
57.000000 89.255 -168.0156
58.000000 89.003 -169.2529
59.000000 88.667 -167.6048
60.000000 88.863 -165.5363
60.799999 89.171 -165.8690
61.500000 89.374 -167.2537
62.200001 89.468 -169.1985
63.000000 89.395 -171.2978
64.000000 89.171 -172.1394
65.000000 89.147 -171.4509
66.000000 89.324 -171.3124
67.000000 89.481 -171.9199
68.000000 89.586 -172.6277
69.000000 89.643 -173.3912
70.000000 89.637 -174.0112
71.000000 89.601 -174.3726
72.000000 89.560 -174.6644
73.000000 89.491 -175.0430
74.000000 89.401 -175.0988
75.000000 89.409 -175.1457
76.199997 89.414 -176.2603
77.500000 89.297 -177.1145
78.800003 89.247 -177.5042
80.000000 89.234 -177.8514
81.199997 89.225 -178.3567
82.500000 89.173 -178.8839
83.800003 89.133 -179.2831
85.000000 89.114 -179.8031
86.199997 89.091 179.6677
87.500000 89.090 179.1552
88.500000 89.084 178.6633
90.000000 89.028 178.1198
91.199997 88.977 177.7938
92.500000 88.904 177.4592
93.800003 88.851 177.2203
95.000000 88.833 176.8287
96.199997 88.808 176.3343
97.500000 88.781 175.9717
98.800003 88.772 175.6863
100.000000 88.758 175.4542
101.500000 88.747 175.2991
103.000000 88.736 175.0087
104.400002 88.672 174.7314
106.000000 88.552 174.7876
107.500000 88.462 174.8178
109.000000 88.365 174.3904
110.599998 88.257 173.5848
112.000000 88.168 172.8116
113.800003 88.068 172.4949
115.000000 88.046 172.8248
117.199997 88.056 173.5865
118.000000 88.055 173.6926
120.599998 87.998 172.9268
122.000000 87.929 171.9266
124.099998 87.807 171.3320
125.000000 87.810 171.4579
126.500000 87.868 171.6757
128.000000 87.909 171.5310
131.500000 87.620 171.4114
132.000000 87.576 171.6077
134.000000 87.512 172.3902
136.000000 87.537 172.3088
138.000000 87.524 171.4493
140.000000 87.432 170.5043
143.000000 87.398 170.3602
145.000000 87.456 170.3519
147.500000 87.466 170.2241
150.000000 87.415 170.0879
152.500000 87.353 169.8965
155.000000 87.289 169.6615
157.500000 87.231 169.3621
160.000000 87.180 169.0535
162.500000 87.136 168.9986
165.000000 87.092 169.0386
167.500000 87.018 168.9176
170.000000 86.931 168.7007
172.500000 86.865 168.5266
175.000000 86.819 168.4127
177.500000 86.770 168.2849
180.000000 86.710 168.1570
182.500000 86.650 168.0881
185.000000 86.590 168.0481
187.500000 86.530 168.0522
190.000000 86.485 168.0618
192.500000 86.439 168.0281
195.000000 86.372 168.1143
197.500000 86.311 168.2815
200.000000 86.260 168.4005
203.000000 86.207 168.5442
206.000000 86.151 168.6226
209.000000 86.075 168.5863
212.000000 86.008 168.6396
214.000000 85.983 168.8023
218.000000 85.946 169.2661
220.000000 85.928 169.4830
224.000000 85.902 169.8644
227.000000 85.888 170.1425
230.000000 85.860 170.2038
233.000000 85.854 170.0378
236.000000 85.870 169.8508
240.000000 85.864 169.7542
243.000000 85.836 169.5425
247.000000 85.817 169.3511
250.000000 85.788 169.5046
254.000000 85.720 169.8330
258.000000 85.679 169.9951
262.000000 85.629 170.0123
265.000000 85.572 169.9623
269.000000 85.494 169.8166
272.000000 85.451 169.7653
276.000000 85.413 169.9413
280.000000 85.356 170.1548
285.000000 85.277 170.1808
290.000000 85.221 170.3041
295.000000 85.172 170.4971
300.000000 85.130 170.7177
304.000000 85.084 170.8373
307.000000 85.059 170.9435
