* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -24.9 dBFS, measurement signal peak level -22.3 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27/08/2023 5:27:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0196 ms (-6.7 mm, -0.26 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Variations L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.323 -77.7056
1.015000 66.258 -79.6302
1.030000 66.200 -81.5421
1.044000 66.154 -83.3112
1.060000 66.111 -85.3101
1.075000 66.080 -87.1570
1.090000 66.059 -88.9732
1.106000 66.049 -90.8777
1.120000 66.048 -92.5484
1.138000 66.056 -94.7100
1.150000 66.067 -96.1581
1.172000 66.098 -98.8242
1.180000 66.113 -99.7965
1.206000 66.172 -102.9623
1.220000 66.211 -104.6685
1.241000 66.279 -107.2256
1.250000 66.310 -108.3198
1.265000 66.367 -110.1396
1.280000 66.429 -111.9533
1.315000 66.587 -116.1514
1.320000 66.612 -116.7463
1.340000 66.713 -119.1113
1.360000 66.819 -121.4497
1.380000 66.930 -123.7575
1.400000 67.045 -126.0305
1.430000 67.223 -129.3657
1.450000 67.345 -131.5336
1.475000 67.500 -134.1792
1.500000 67.669 -136.7964
1.525000 67.852 -139.3912
1.550000 68.048 -141.9579
1.575000 68.254 -144.4907
1.600000 68.469 -146.9840
1.625000 68.692 -149.4318
1.650000 68.920 -151.8286
1.675000 69.152 -154.1686
1.700000 69.386 -156.4460
1.725000 69.621 -158.6550
1.750000 69.854 -160.7900
1.775000 70.083 -162.8452
1.800000 70.308 -164.8148
1.825000 70.526 -166.6932
1.850000 70.739 -168.4709
1.875000 70.953 -170.1415
1.900000 71.168 -171.7134
1.925000 71.385 -173.1957
1.950000 71.601 -174.5975
1.975000 71.817 -175.9278
2.000000 72.032 -177.1955
2.030000 72.289 -178.6471
2.060000 72.543 179.9626
2.090000 72.793 178.6180
2.120000 73.039 177.3036
2.140000 73.200 176.4362
2.180000 73.514 174.7024
2.200000 73.667 173.8269
2.240000 73.965 172.1198
2.270000 74.183 170.8958
2.300000 74.398 169.7158
2.330000 74.608 168.5760
2.360000 74.814 167.4727
2.400000 75.083 166.0517
2.430000 75.281 165.0187
2.470000 75.539 163.6777
2.500000 75.729 162.6945
2.540000 75.978 161.4061
2.580000 76.222 160.1392
2.620000 76.460 158.9173
2.650000 76.634 158.0323
2.690000 76.860 156.8904
2.720000 77.026 156.0601
2.760000 77.242 154.9840
2.800000 77.454 153.9390
2.850000 77.713 152.6694
2.900000 77.965 151.4319
2.950000 78.212 150.2212
3.000000 78.451 149.0611
3.040000 78.637 148.1689
3.070000 78.774 147.5178
3.110000 78.952 146.6697
3.150000 79.127 145.8404
3.200000 79.340 144.8230
3.250000 79.549 143.8186
3.300000 79.754 142.8181
3.350000 79.954 141.8254
3.400000 80.149 140.8487
3.450000 80.338 139.8891
3.500000 80.522 138.9481
3.550000 80.703 138.0271
3.600000 80.880 137.1273
3.650000 81.055 136.2502
3.700000 81.227 135.4002
3.750000 81.394 134.5822
3.820000 81.623 133.4785
3.870000 81.783 132.7106
3.950000 82.032 131.4989
4.000000 82.186 130.7417
4.060000 82.367 129.8253
4.120000 82.544 128.9121
4.180000 82.718 128.0052
4.250000 82.916 126.9561
4.310000 83.083 126.0652
4.370000 83.246 125.1828
4.440000 83.433 124.1669
4.500000 83.590 123.3107
4.550000 83.719 122.6045
4.620000 83.895 121.6217
4.680000 84.042 120.7800
4.750000 84.209 119.7923
4.820000 84.372 118.7945
4.870000 84.485 118.0780
4.940000 84.639 117.0734
5.000000 84.768 116.2139
5.080000 84.933 115.0756
5.150000 85.072 114.0909
5.220000 85.206 113.1100
5.300000 85.352 111.9950
5.380000 85.491 110.8929
5.450000 85.608 109.9444
5.520000 85.720 109.0141
5.600000 85.842 107.9639
5.700000 85.984 106.6766
5.800000 86.118 105.4313
5.900000 86.247 104.2410
6.000000 86.367 103.0988
6.080000 86.458 102.2197
6.150000 86.536 101.4774
6.220000 86.614 100.7618
6.300000 86.701 99.9804
6.400000 86.807 99.0558
6.500000 86.912 98.1767
6.600000 87.019 97.3295
6.700000 87.128 96.5225
6.800000 87.238 95.7540
6.900000 87.350 95.0052
7.000000 87.465 94.2606
7.100000 87.583 93.5340
7.200000 87.703 92.8170
7.300000 87.823 92.0948
7.400000 87.943 91.3587
7.500000 88.064 90.6166
7.620000 88.208 89.7184
7.750000 88.360 88.7344
7.880000 88.508 87.7348
8.000000 88.640 86.8115
8.120000 88.767 85.8987
8.250000 88.899 84.9138
8.380000 89.026 83.9460
8.500000 89.139 83.0798
8.620000 89.249 82.2352
8.750000 89.365 81.3424
8.850000 89.453 80.6719
9.000000 89.584 79.6968
9.120000 89.688 78.9272
9.250000 89.800 78.0947
9.380000 89.912 77.2694
9.500000 90.013 76.5002
9.620000 90.112 75.7158
9.750000 90.217 74.8548
9.880000 90.316 73.9839
10.000000 90.402 73.1660
10.150000 90.501 72.1321
10.300000 90.589 71.1149
10.440000 90.660 70.1732
10.600000 90.730 69.1362
10.750000 90.786 68.2253
10.900000 90.834 67.3682
11.060000 90.881 66.5376
11.200000 90.919 65.8829
11.380000 90.972 65.1143
11.500000 91.010 64.6536
11.720000 91.090 63.8625
11.800000 91.124 63.5777
12.060000 91.247 62.6559
12.200000 91.320 62.1090
12.410000 91.435 61.2245
12.500000 91.484 60.8100
12.650000 91.564 60.0708
12.800000 91.640 59.2888
13.150000 91.788 57.3280
13.200000 91.805 57.0454
13.400000 91.867 55.9061
13.600000 91.919 54.7988
13.800000 91.962 53.7436
14.000000 92.004 52.7356
14.300000 92.071 51.2961
14.500000 92.123 50.3430
14.750000 92.188 49.1057
15.000000 92.252 47.7983
15.250000 92.299 46.4178
15.500000 92.321 45.0523
15.750000 92.317 43.7744
16.000000 92.287 42.7198
16.250000 92.253 41.9800
16.500000 92.234 41.5609
16.750000 92.255 41.4408
17.000000 92.336 41.4148
17.250000 92.474 41.3383
17.500000 92.664 41.0222
17.750000 92.870 40.3310
18.000000 93.069 39.2805
18.250000 93.236 37.8945
18.500000 93.353 36.3467
18.750000 93.419 34.7657
19.000000 93.435 33.2723
19.250000 93.418 31.9965
19.500000 93.381 30.9494
19.750000 93.338 30.1367
20.000000 93.304 29.4963
20.299999 93.277 28.8575
20.600000 93.266 28.2768
20.900000 93.262 27.6990
21.200001 93.261 27.1200
21.400000 93.259 26.7476
21.799999 93.262 26.0398
22.000000 93.268 25.6945
22.400000 93.293 24.9689
22.700001 93.319 24.3455
23.000000 93.342 23.6351
23.299999 93.354 22.8741
23.600000 93.354 22.1212
24.000000 93.341 21.2212
24.299999 93.334 20.6516
24.700001 93.342 19.9753
25.000000 93.360 19.4484
25.400000 93.385 18.6492
25.799999 93.386 17.8174
26.200001 93.359 17.1745
26.500000 93.342 16.9092
26.900000 93.357 16.7579
27.200001 93.406 16.5800
27.600000 93.494 15.9443
28.000000 93.529 14.7979
28.500000 93.412 13.3866
29.000000 93.206 13.1812
29.500000 93.165 13.9946
30.000000 93.368 13.7783
30.400000 93.502 11.8065
30.700001 93.454 9.5270
31.100000 93.111 6.8412
31.500000 92.528 6.2394
32.000000 91.937 9.3438
32.500000 92.103 13.6995
33.000000 92.784 14.6009
33.500000 93.287 11.2609
34.000000 93.318 6.7314
34.500000 93.049 4.0403
35.000000 92.833 3.5956
35.500000 92.868 3.6058
36.000000 93.023 2.9072
36.500000 93.127 1.6559
37.000000 93.170 0.6418
37.500000 93.223 -0.0253
38.200001 93.319 -1.0597
38.700001 93.336 -1.8971
39.500000 93.288 -2.6693
40.000000 93.273 -2.9014
40.599998 93.270 -3.3214
41.200001 93.241 -3.9342
41.799999 93.183 -4.5510
42.500000 93.109 -5.2018
43.099998 93.058 -5.7740
43.700001 93.020 -6.4293
44.400002 92.983 -7.3185
45.000000 92.949 -8.0998
45.500000 92.924 -8.7022
46.200001 92.903 -9.5154
46.799999 92.885 -10.2274
47.500000 92.851 -10.9440
48.200001 92.826 -11.4628
48.700001 92.824 -11.8378
49.400002 92.815 -12.5468
50.000000 92.771 -13.2190
50.799999 92.670 -13.8378
51.500000 92.597 -14.1055
52.200001 92.555 -14.4017
53.000000 92.513 -14.9104
53.799999 92.463 -15.4532
54.500000 92.427 -15.9351
55.200001 92.395 -16.4919
56.000000 92.351 -17.2039
57.000000 92.282 -18.1140
58.000000 92.201 -18.9745
59.000000 92.129 -19.7118
60.000000 92.084 -20.5524
60.799999 92.034 -21.3368
61.500000 91.976 -21.9418
62.200001 91.918 -22.4321
63.000000 91.859 -22.9135
64.000000 91.789 -23.3997
65.000000 91.735 -23.7708
66.000000 91.710 -24.1761
67.000000 91.692 -24.9652
68.000000 91.595 -25.9358
69.000000 91.460 -26.4257
70.000000 91.379 -26.7221
71.000000 91.319 -27.2338
72.000000 91.241 -27.8354
73.000000 91.147 -28.3499
74.000000 91.063 -28.8007
75.000000 90.980 -29.2906
76.199997 90.889 -29.7910
77.500000 90.830 -30.5111
78.800003 90.737 -31.4120
80.000000 90.628 -31.9830
81.199997 90.525 -32.3425
82.500000 90.432 -32.6234
83.800003 90.341 -33.1190
85.000000 90.222 -33.5824
86.199997 90.118 -33.9205
87.500000 90.037 -34.3735
88.500000 89.982 -34.7483
90.000000 89.915 -35.2647
91.199997 89.856 -35.7087
92.500000 89.748 -36.1434
93.800003 89.611 -36.3200
95.000000 89.502 -36.4671
96.199997 89.404 -36.8867
97.500000 89.279 -37.6057
98.800003 89.143 -38.3293
100.000000 89.016 -38.8547
101.500000 88.897 -39.0510
103.000000 88.843 -39.1978
104.400002 88.784 -39.3622
106.000000 88.711 -39.4794
107.500000 88.625 -39.8441
109.000000 88.479 -40.2297
110.599998 88.313 -40.3637
112.000000 88.202 -40.4441
113.800003 88.078 -40.8018
115.000000 87.986 -41.1309
117.199997 87.783 -41.6774
118.000000 87.701 -41.7719
120.599998 87.483 -41.7610
122.000000 87.397 -41.8176
124.099998 87.274 -42.1154
125.000000 87.214 -42.3014
126.500000 87.097 -42.5658
128.000000 86.972 -42.7225
131.500000 86.659 -42.9075
132.000000 86.613 -42.9184
134.000000 86.438 -42.8698
136.000000 86.310 -42.6414
138.000000 86.221 -42.4794
140.000000 86.107 -42.4280
143.000000 85.882 -42.4369
145.000000 85.740 -42.4574
147.500000 85.600 -42.3306
150.000000 85.473 -42.1785
152.500000 85.277 -42.1024
155.000000 85.063 -41.8511
157.500000 84.882 -41.5870
160.000000 84.711 -41.3574
162.500000 84.551 -41.1183
165.000000 84.423 -40.7242
167.500000 84.313 -40.2481
170.000000 84.149 -39.8912
172.500000 83.951 -39.5546
175.000000 83.781 -39.2256
177.500000 83.641 -38.8070
180.000000 83.509 -38.3136
182.500000 83.374 -37.8282
185.000000 83.236 -37.3402
187.500000 83.096 -36.9023
190.000000 82.969 -36.5245
192.500000 82.868 -36.0417
195.000000 82.758 -35.3376
197.500000 82.593 -34.5386
200.000000 82.404 -33.8207
203.000000 82.271 -33.1067
206.000000 82.216 -32.5052
209.000000 82.128 -31.7668
212.000000 82.025 -30.8983
214.000000 81.963 -30.3129
218.000000 81.823 -29.1885
220.000000 81.752 -28.6114
224.000000 81.642 -27.4022
227.000000 81.579 -26.4414
230.000000 81.523 -25.4050
233.000000 81.469 -24.2327
236.000000 81.430 -23.2347
240.000000 81.374 -22.4632
243.000000 81.327 -21.7372
247.000000 81.259 -20.6689
250.000000 81.215 -20.0298
254.000000 81.201 -19.1641
258.000000 81.182 -18.2149
262.000000 81.146 -17.3738
265.000000 81.115 -16.8154
269.000000 81.072 -15.9282
272.000000 81.064 -15.1558
276.000000 81.074 -14.2345
280.000000 81.069 -13.4997
285.000000 81.032 -12.5740
290.000000 81.009 -11.4620
295.000000 81.003 -10.5045
300.000000 80.993 -9.6042
