* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.800. Timing signal peak level -23.7 dBFS, measurement signal peak level -22.4 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 27/08/2023 5:26:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0141 ms (-4.8 mm, -0.19 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Variations R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 60.356 -94.3764
1.015000 60.600 -96.2947
1.030000 60.843 -98.1617
1.044000 61.068 -99.8520
1.060000 61.321 -101.7145
1.075000 61.555 -103.3865
1.090000 61.785 -104.9797
1.106000 62.025 -106.5877
1.120000 62.236 -107.9336
1.138000 62.508 -109.5899
1.150000 62.690 -110.6506
1.172000 63.024 -112.5122
1.180000 63.146 -113.1642
1.206000 63.542 -115.2009
1.220000 63.755 -116.2501
1.241000 64.075 -117.7698
1.250000 64.211 -118.4034
1.265000 64.438 -119.4386
1.280000 64.665 -120.4512
1.315000 65.188 -122.7465
1.320000 65.263 -123.0686
1.340000 65.558 -124.3485
1.360000 65.850 -125.6207
1.380000 66.138 -126.8940
1.400000 66.423 -128.1771
1.430000 66.841 -130.1392
1.450000 67.113 -131.4850
1.475000 67.446 -133.2193
1.500000 67.773 -134.9707
1.525000 68.096 -136.7248
1.550000 68.413 -138.4779
1.575000 68.725 -140.2265
1.600000 69.032 -141.9667
1.625000 69.334 -143.6950
1.650000 69.631 -145.4077
1.675000 69.924 -147.1012
1.700000 70.211 -148.7718
1.725000 70.493 -150.4158
1.750000 70.770 -152.0296
1.775000 71.042 -153.6095
1.800000 71.309 -155.1519
1.825000 71.571 -156.6530
1.850000 71.828 -158.1097
1.875000 72.079 -159.5229
1.900000 72.325 -160.8964
1.925000 72.565 -162.2339
1.950000 72.800 -163.5393
1.975000 73.030 -164.8164
2.000000 73.256 -166.0689
2.030000 73.520 -167.5448
2.060000 73.777 -168.9973
2.090000 74.029 -170.4331
2.120000 74.274 -171.8587
2.140000 74.434 -172.8066
2.180000 74.748 -174.7053
2.200000 74.902 -175.6599
2.240000 75.200 -177.5631
2.270000 75.416 -178.9779
2.300000 75.625 179.6192
2.330000 75.828 178.2291
2.360000 76.026 176.8528
2.400000 76.280 175.0409
2.430000 76.464 173.7006
2.470000 76.702 171.9403
2.500000 76.875 170.6414
2.540000 77.099 168.9399
2.580000 77.315 167.2736
2.620000 77.522 165.6326
2.650000 77.670 164.4185
2.690000 77.860 162.8246
2.720000 77.996 161.6495
2.760000 78.171 160.1127
2.800000 78.338 158.6130
2.850000 78.538 156.7956
2.900000 78.728 155.0479
2.950000 78.910 153.3754
3.000000 79.079 151.7737
3.040000 79.206 150.5408
3.070000 79.296 149.6433
3.110000 79.411 148.4820
3.150000 79.521 147.3598
3.200000 79.652 146.0100
3.250000 79.778 144.7166
3.300000 79.902 143.4770
3.350000 80.018 142.2883
3.400000 80.126 141.1525
3.450000 80.226 140.0731
3.500000 80.323 139.0538
3.550000 80.417 138.0982
3.600000 80.513 137.2101
3.650000 80.611 136.3929
3.700000 80.711 135.6588
3.750000 80.809 135.0205
3.820000 80.945 134.2554
3.870000 81.043 133.7764
3.950000 81.208 133.0771
4.000000 81.319 132.6541
4.060000 81.462 132.1462
4.120000 81.613 131.6942
4.180000 81.770 131.2869
4.250000 81.963 130.8372
4.310000 82.135 130.4472
4.370000 82.312 130.0285
4.440000 82.527 129.4971
4.500000 82.723 129.0459
4.550000 82.891 128.6635
4.620000 83.131 128.0978
4.680000 83.337 127.5656
4.750000 83.574 126.8643
4.820000 83.810 126.0648
4.870000 83.980 125.4450
4.940000 84.218 124.5179
5.000000 84.419 123.6754
5.080000 84.678 122.4953
5.150000 84.891 121.4180
5.220000 85.096 120.2740
5.300000 85.322 118.8961
5.380000 85.535 117.4731
5.450000 85.709 116.2156
5.520000 85.870 114.9631
5.600000 86.039 113.4959
5.700000 86.229 111.6328
5.800000 86.397 109.7983
5.900000 86.545 108.0468
6.000000 86.669 106.3351
6.080000 86.753 105.0078
6.150000 86.820 103.8967
6.220000 86.882 102.8486
6.300000 86.946 101.7296
6.400000 87.011 100.4283
6.500000 87.070 99.2344
6.600000 87.131 98.1476
6.700000 87.194 97.1887
6.800000 87.255 96.3428
6.900000 87.322 95.5674
7.000000 87.402 94.8308
7.100000 87.491 94.1747
7.200000 87.589 93.5625
7.300000 87.695 92.9362
7.400000 87.810 92.2701
7.500000 87.936 91.5981
7.620000 88.092 90.7504
7.750000 88.258 89.7350
7.880000 88.427 88.6229
8.000000 88.578 87.5378
8.120000 88.716 86.4094
8.250000 88.854 85.1163
8.380000 88.979 83.8114
8.500000 89.080 82.6390
8.620000 89.168 81.4715
8.750000 89.253 80.2565
8.850000 89.314 79.3851
9.000000 89.393 78.1600
9.120000 89.455 77.2474
9.250000 89.527 76.3358
9.380000 89.599 75.5033
9.500000 89.671 74.7623
9.620000 89.751 74.0349
9.750000 89.845 73.2748
9.880000 89.943 72.4907
10.000000 90.037 71.7260
10.150000 90.161 70.7327
10.300000 90.278 69.6770
10.440000 90.383 68.6229
10.600000 90.493 67.3809
10.750000 90.581 66.1964
10.900000 90.655 64.9993
11.060000 90.720 63.7828
11.200000 90.764 62.7594
11.380000 90.812 61.5431
11.500000 90.839 60.8101
11.720000 90.886 59.5942
11.800000 90.906 59.1930
12.060000 90.979 58.0117
12.200000 91.027 57.4014
12.410000 91.110 56.5105
12.500000 91.147 56.1113
12.650000 91.212 55.4289
12.800000 91.276 54.7259
13.150000 91.407 52.9941
13.200000 91.422 52.7502
13.400000 91.476 51.7761
13.600000 91.521 50.8696
13.800000 91.556 50.0559
14.000000 91.593 49.3428
14.300000 91.658 48.4469
14.500000 91.717 47.9201
14.750000 91.807 47.2500
15.000000 91.913 46.5217
15.250000 92.024 45.6696
15.500000 92.127 44.7118
15.750000 92.218 43.6693
16.000000 92.290 42.6003
16.250000 92.345 41.5612
16.500000 92.389 40.5747
16.750000 92.425 39.6611
17.000000 92.460 38.7985
17.250000 92.495 37.9698
17.500000 92.530 37.1508
17.750000 92.561 36.3302
18.000000 92.588 35.5165
18.250000 92.607 34.7202
18.500000 92.621 33.9688
18.750000 92.633 33.2678
19.000000 92.646 32.6216
19.250000 92.665 32.0093
19.500000 92.690 31.4019
19.750000 92.721 30.7763
20.000000 92.755 30.1020
20.299999 92.790 29.2322
20.600000 92.815 28.3201
20.900000 92.827 27.4130
21.200001 92.827 26.5693
21.400000 92.825 26.0618
21.799999 92.825 25.1641
22.000000 92.832 24.7529
22.400000 92.861 23.9323
22.700001 92.891 23.2668
23.000000 92.919 22.5447
23.299999 92.937 21.8035
23.600000 92.946 21.0935
24.000000 92.949 20.2631
24.299999 92.956 19.7376
24.700001 92.979 19.1093
25.000000 93.007 18.6252
25.400000 93.049 17.8996
25.799999 93.081 17.0932
26.200001 93.095 16.2853
26.500000 93.096 15.7209
26.900000 93.095 15.0266
27.200001 93.094 14.5163
27.600000 93.090 13.7987
28.000000 93.073 13.0288
28.500000 93.025 12.0883
29.000000 92.965 11.2775
29.500000 92.925 10.4776
30.000000 92.896 9.3549
30.400000 92.839 8.1177
30.700001 92.750 7.0892
31.100000 92.554 5.9331
31.500000 92.297 5.4403
32.000000 92.015 6.1022
32.500000 91.956 7.6329
33.000000 92.166 8.6313
33.500000 92.488 8.1288
34.000000 92.726 6.2983
34.500000 92.809 4.1125
35.000000 92.782 2.3698
35.500000 92.740 1.2722
36.000000 92.736 0.5299
36.500000 92.763 -0.1591
37.000000 92.793 -0.8827
37.500000 92.812 -1.5841
38.200001 92.820 -2.4474
38.700001 92.815 -2.9783
39.500000 92.802 -3.7668
40.000000 92.786 -4.3033
40.599998 92.746 -4.9918
41.200001 92.683 -5.6013
41.799999 92.623 -6.0905
42.500000 92.574 -6.6807
43.099998 92.534 -7.2830
43.700001 92.488 -7.8455
44.400002 92.453 -8.3609
45.000000 92.455 -8.8208
45.500000 92.466 -9.3407
46.200001 92.460 -10.2594
46.799999 92.413 -11.0237
47.500000 92.328 -11.6085
48.200001 92.257 -11.8583
48.700001 92.233 -11.9785
49.400002 92.233 -12.3065
50.000000 92.242 -12.8964
50.799999 92.204 -14.1311
51.500000 92.086 -15.1758
52.200001 91.946 -15.7544
53.000000 91.842 -16.1474
53.799999 91.765 -16.6120
54.500000 91.711 -16.8067
55.200001 91.723 -16.9603
56.000000 91.765 -17.6215
57.000000 91.738 -18.5674
58.000000 91.730 -19.2198
59.000000 91.712 -20.2607
60.000000 91.623 -21.1837
60.799999 91.552 -21.7257
61.500000 91.497 -22.2395
62.200001 91.427 -22.8352
63.000000 91.313 -23.3810
64.000000 91.196 -23.7070
65.000000 91.108 -24.3077
66.000000 90.960 -24.6441
67.000000 90.918 -24.5220
68.000000 90.944 -25.2704
69.000000 90.862 -26.3306
70.000000 90.744 -26.8719
71.000000 90.671 -27.2019
72.000000 90.619 -27.7453
73.000000 90.525 -28.4161
74.000000 90.412 -28.8232
75.000000 90.347 -29.2012
76.199997 90.286 -30.1194
77.500000 90.165 -31.0532
78.800003 90.097 -31.3900
80.000000 90.093 -31.8003
81.199997 90.042 -32.1958
82.500000 89.927 -32.3989
83.800003 89.761 -32.2422
85.000000 89.659 -32.2842
86.199997 89.539 -33.1301
87.500000 89.359 -34.1493
88.500000 89.258 -34.7404
90.000000 89.179 -35.4603
91.199997 89.138 -35.6284
92.500000 89.105 -35.4219
93.800003 89.072 -35.1544
95.000000 89.003 -35.4847
96.199997 88.813 -36.2767
97.500000 88.532 -36.9641
98.800003 88.290 -37.5702
100.000000 88.083 -37.8176
101.500000 87.993 -37.0400
103.000000 88.102 -36.9221
104.400002 88.102 -37.5861
106.000000 87.964 -38.1909
107.500000 87.819 -38.5817
109.000000 87.699 -39.0653
110.599998 87.581 -39.4176
112.000000 87.488 -39.4489
113.800003 87.359 -39.3133
115.000000 87.260 -39.2589
117.199997 87.080 -39.3518
118.000000 87.029 -39.4144
120.599998 86.929 -39.6638
122.000000 86.855 -39.8157
124.099998 86.661 -39.8206
125.000000 86.573 -39.7725
126.500000 86.447 -39.7728
128.000000 86.340 -39.7745
131.500000 86.055 -38.5735
132.000000 86.000 -38.1861
134.000000 85.851 -36.5449
136.000000 85.791 -36.9631
138.000000 85.582 -38.5535
140.000000 85.405 -39.3665
143.000000 85.265 -39.3747
145.000000 85.143 -39.0923
147.500000 84.974 -38.6318
150.000000 84.861 -38.2919
152.500000 84.700 -38.1702
155.000000 84.494 -37.8397
157.500000 84.324 -37.5361
160.000000 84.185 -37.3142
162.500000 84.045 -37.0454
165.000000 83.920 -36.5668
167.500000 83.818 -35.9955
170.000000 83.677 -35.4462
172.500000 83.520 -34.8524
175.000000 83.387 -34.3729
177.500000 83.260 -33.9699
180.000000 83.132 -33.5347
182.500000 83.024 -32.9824
185.000000 82.924 -32.2711
187.500000 82.801 -31.6326
190.000000 82.670 -31.1665
192.500000 82.579 -30.5211
195.000000 82.433 -29.6936
197.500000 82.054 -29.0189
200.000000 81.565 -27.9614
203.000000 81.568 -26.8262
206.000000 81.925 -26.9779
209.000000 82.035 -26.4092
212.000000 81.974 -25.5113
214.000000 81.918 -25.0056
218.000000 81.831 -23.7103
220.000000 81.788 -23.0322
224.000000 81.717 -22.0610
227.000000 81.661 -21.3774
230.000000 81.578 -20.9967
233.000000 81.447 -21.2635
236.000000 81.344 -20.8688
240.000000 81.447 -19.0219
243.000000 81.512 -18.0046
247.000000 81.486 -17.1261
250.000000 81.471 -16.4311
254.000000 81.498 -15.4438
258.000000 81.481 -14.5655
262.000000 81.406 -13.6365
265.000000 81.320 -13.2868
269.000000 81.213 -12.9548
272.000000 81.247 -12.3208
276.000000 81.340 -11.2621
280.000000 81.338 -10.1790
285.000000 81.310 -9.2520
290.000000 81.316 -8.4751
295.000000 81.318 -7.8091
