* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13/10/2024 1:10:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Voltage 00 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 38.849 119.9535
0.732422 43.884 70.4175
1.098633 49.510 40.6757
1.464844 54.172 20.9996
1.831055 57.857 5.7389
2.197266 60.748 -7.0646
2.563477 63.018 -18.0328
2.929688 64.820 -27.3653
3.295898 66.287 -35.2068
3.662109 67.533 -41.7999
4.028320 68.632 -47.4891
4.394531 69.621 -52.6136
4.760742 70.508 -57.3868
5.126953 71.291 -61.8619
5.493164 71.977 -65.9935
5.859375 72.584 -69.7290
6.225586 73.134 -73.0670
6.591797 73.646 -76.0580
6.958008 74.135 -78.7727
7.324219 74.609 -81.2836
7.690430 75.075 -83.6748
8.056641 75.534 -86.0516
8.422852 75.976 -88.5099
8.789062 76.380 -91.0726
9.155273 76.729 -93.6484
9.521484 77.019 -96.0612
9.887695 77.270 -98.1507
10.253906 77.517 -99.8929
10.620117 77.787 -101.4479
10.986328 78.083 -103.0682
11.352539 78.375 -104.9173
11.718750 78.628 -106.9507
12.084961 78.824 -108.9528
12.451172 78.977 -110.6897
12.817383 79.126 -112.0810
13.183594 79.308 -113.2749
13.549805 79.527 -114.5526
13.916016 79.753 -116.1180
14.282227 79.945 -117.9528
14.648438 80.075 -119.8365
15.014648 80.149 -121.4869
15.380859 80.202 -122.7239
15.747070 80.277 -123.5745
16.113281 80.402 -124.2555
16.479492 80.573 -125.0350
16.845703 80.764 -126.0767
17.211914 80.941 -127.3778
17.578125 81.083 -128.8148
17.944336 81.188 -130.2340
18.310547 81.265 -131.5268
18.676758 81.330 -132.6653
19.042969 81.396 -133.6906
19.409180 81.464 -134.6685
19.775391 81.530 -135.6386
20.141602 81.588 -136.5942
20.507812 81.640 -137.5043
20.874023 81.692 -138.3579
21.240234 81.748 -139.1910
21.606445 81.808 -140.0632
21.972656 81.862 -140.9987
22.338867 81.901 -141.9463
22.705078 81.928 -142.8079
23.071289 81.959 -143.5262
23.437500 82.015 -144.1646
23.803711 82.100 -144.8912
24.169922 82.197 -145.8522
24.536133 82.273 -147.0397
24.902344 82.307 -148.2734
25.268555 82.306 -149.3205
25.634766 82.304 -150.0714
26.000977 82.334 -150.6387
26.367188 82.400 -151.2714
26.733398 82.471 -152.1298
27.099609 82.511 -153.1327
27.465820 82.508 -154.0192
27.832031 82.492 -154.5722
28.198242 82.509 -154.8367
28.564453 82.584 -155.1306
28.930664 82.687 -155.7836
29.296875 82.760 -156.8382
29.663086 82.759 -157.9970
30.029297 82.695 -158.8365
30.395508 82.629 -159.1336
30.761719 82.631 -159.0921
31.127930 82.717 -159.2292
31.494141 82.834 -159.9458
31.860352 82.900 -161.1977
32.226562 82.870 -162.5460
32.592773 82.765 -163.4669
32.958984 82.662 -163.7128
33.325195 82.642 -163.5298
33.691406 82.725 -163.4997
34.057617 82.853 -164.0658
34.423828 82.942 -165.2073
34.790039 82.943 -166.5153
35.156250 82.867 -167.4960
35.522461 82.775 -167.8807
35.888672 82.737 -167.7967
36.254883 82.782 -167.6677
36.621094 82.879 -167.8811
36.987305 82.970 -168.5235
37.353516 83.013 -169.3928
37.719727 83.003 -170.1967
38.085938 82.969 -170.7561
38.452148 82.943 -171.0961
38.818359 82.938 -171.3813
39.184570 82.943 -171.7541
39.550781 82.937 -172.2154
39.916992 82.912 -172.6434
40.283203 82.882 -172.9198
40.649414 82.873 -173.0587
41.015625 82.902 -173.2330
41.381836 82.959 -173.6594
41.748047 83.009 -174.4311
42.114258 83.015 -175.4370
42.480469 82.965 -176.4173
42.846680 82.875 -177.1074
43.212891 82.786 -177.3911
43.579102 82.740 -177.3764
43.945312 82.753 -177.3250
44.311523 82.807 -177.4713
44.677734 82.869 -177.8788
45.043945 82.913 -178.4428
45.410156 82.936 -179.0069
45.776367 82.952 -179.4880
46.142578 82.974 -179.9267
46.508789 83.003 179.5681
46.875000 83.021 178.9324
47.241211 83.007 178.2249
47.607422 82.949 177.6156
47.973633 82.861 177.2957
48.339844 82.776 177.3578
48.706055 82.733 177.7122
49.072266 82.752 178.1062
49.438477 82.821 178.2570
49.804688 82.906 178.0086
50.170898 82.966 177.3993
50.537109 82.980 176.6141
50.903320 82.947 175.8752
51.269531 82.890 175.3295
51.635742 82.838 174.9844
52.001953 82.807 174.7240
52.368164 82.798 174.4023
52.734375 82.794 173.9478
53.100586 82.779 173.4001
53.466797 82.747 172.8651
53.833008 82.706 172.4312
54.199219 82.671 172.1111
54.565430 82.651 171.8472
54.931641 82.643 171.5692
55.297852 82.640 171.2515
55.664062 82.634 170.9207
56.030273 82.626 170.6170
56.396484 82.621 170.3511
56.762695 82.622 170.0959
57.128906 82.625 169.8175
57.495117 82.624 169.5127
57.861328 82.616 169.2134
58.227539 82.603 168.9578
58.593750 82.591 168.7547
58.959961 82.585 168.5753
59.326172 82.584 168.3791
59.692383 82.585 168.1457
60.058594 82.583 167.8833
60.424805 82.580 167.6074
60.791016 82.576 167.3167
61.157227 82.571 166.9940
61.523438 82.561 166.6329
61.889648 82.541 166.2632
62.255859 82.511 165.9427
62.622070 82.480 165.7159
62.988281 82.459 165.5705
63.354492 82.457 165.4325
63.720703 82.468 165.2129
64.086914 82.479 164.8724
64.453125 82.478 164.4509
64.819336 82.458 164.0391
65.185547 82.427 163.7178
65.551758 82.397 163.5065
65.917969 82.379 163.3591
66.284180 82.373 163.2048
66.650391 82.372 162.9998
67.016602 82.368 162.7489
67.382812 82.359 162.4864
67.749023 82.347 162.2411
68.115234 82.334 162.0162
68.481445 82.323 161.7963
68.847656 82.312 161.5686
69.213867 82.299 161.3360
69.580078 82.285 161.1110
69.946289 82.272 160.8990
70.312500 82.261 160.6905
70.678711 82.251 160.4690
71.044922 82.242 160.2279
71.411133 82.229 159.9788
71.777344 82.213 159.7426
72.143555 82.197 159.5327
72.509766 82.185 159.3428
72.875977 82.176 159.1515
73.242188 82.171 158.9390
73.608398 82.165 158.7012
73.974609 82.155 158.4511
74.340820 82.142 158.2081
74.707031 82.127 157.9850
75.073242 82.113 157.7827
75.439453 82.101 157.5926
75.805664 82.090 157.4040
76.171875 82.082 157.2090
76.538086 82.074 157.0022
76.904297 82.066 156.7815
77.270508 82.055 156.5493
77.636719 82.041 156.3157
78.002930 82.024 156.0969
78.369141 82.005 155.9076
78.735352 81.988 155.7509
79.101562 81.976 155.6122
79.467773 81.969 155.4650
79.833984 81.966 155.2856
80.200195 81.962 155.0682
80.566406 81.952 154.8296
80.932617 81.937 154.6000
81.298828 81.917 154.4053
81.665039 81.899 154.2527
82.031250 81.885 154.1272
82.397461 81.876 154.0016
82.763672 81.871 153.8532
83.129883 81.867 153.6742
83.496094 81.859 153.4729
83.862305 81.848 153.2658
84.228516 81.833 153.0672
84.594727 81.817 152.8834
84.960938 81.801 152.7126
85.327148 81.786 152.5493
85.693359 81.772 152.3872
86.059570 81.758 152.2223
86.425781 81.745 152.0521
86.791992 81.733 151.8755
87.158203 81.720 151.6930
87.524414 81.706 151.5068
87.890625 81.692 151.3203
88.256836 81.677 151.1378
88.623047 81.662 150.9629
88.989258 81.649 150.7959
89.355469 81.638 150.6321
89.721680 81.629 150.4620
90.087891 81.622 150.2757
90.454102 81.614 150.0710
90.820312 81.602 149.8589
91.186523 81.587 149.6608
91.552734 81.570 149.4957
91.918945 81.556 149.3654
92.285156 81.546 149.2495
92.651367 81.542 149.1176
93.017578 81.539 148.9516
93.383789 81.531 148.7616
93.750000 81.517 148.5794
94.116211 81.500 148.4341
94.482422 81.486 148.3273
94.848633 81.477 148.2293
95.214844 81.472 148.1029
95.581055 81.466 147.9346
95.947266 81.453 147.7471
96.313477 81.434 147.5812
96.679688 81.414 147.4598
97.045898 81.399 147.3656
97.412109 81.390 147.2522
97.778320 81.383 147.0834
98.144531 81.369 146.8678
98.510742 81.344 146.6589
98.876953 81.312 146.5200
99.243164 81.282 146.4758
99.609375 81.267 146.4884
99.975586 81.270 146.4769
100.341797 81.282 146.3690
100.708008 81.293 146.1477
101.074219 81.291 145.8599
101.440430 81.274 145.5853
101.806641 81.250 145.3864
102.172852 81.229 145.2720
102.539062 81.220 145.1939
102.905273 81.221 145.0813
103.271484 81.226 144.8896
103.637695 81.223 144.6315
104.003906 81.205 144.3694
104.370117 81.177 144.1755
104.736328 81.148 144.0844
105.102539 81.130 144.0685
105.468750 81.126 144.0547
105.834961 81.132 143.9747
106.201172 81.136 143.8102
106.567383 81.130 143.6014
106.933594 81.113 143.4134
107.299805 81.092 143.2877
107.666016 81.077 143.2138
108.032227 81.069 143.1412
108.398438 81.067 143.0218
108.764648 81.062 142.8470
109.130859 81.048 142.6515
109.497070 81.028 142.4832
109.863281 81.005 142.3664
110.229492 80.988 142.2867
110.595703 80.978 142.2064
110.961914 80.971 142.0959
111.328125 80.964 141.9534
111.694336 80.954 141.7998
112.060547 80.941 141.6569
112.426758 80.929 141.5290
112.792969 80.919 141.4033
113.159180 80.910 141.2654
113.525391 80.899 141.1149
113.891602 80.885 140.9682
114.257812 80.869 140.8458
114.624023 80.855 140.7554
114.990234 80.845 140.6842
115.356445 80.840 140.6055
115.722656 80.838 140.4968
116.088867 80.835 140.3547
116.455078 80.827 140.1985
116.821289 80.814 140.0575
117.187500 80.799 139.9524
117.553711 80.787 139.8801
117.919922 80.782 139.8146
118.286133 80.781 139.7241
118.652344 80.781 139.5921
119.018555 80.777 139.4285
119.384766 80.768 139.2609
119.750977 80.756 139.1138
120.117188 80.743 138.9907
120.483398 80.733 138.8742
120.849609 80.725 138.7429
121.215820 80.715 138.5919
121.582031 80.700 138.4392
121.948242 80.680 138.3126
122.314453 80.661 138.2280
122.680664 80.645 138.1772
123.046875 80.635 138.1336
123.413086 80.630 138.0714
123.779297 80.626 137.9812
124.145508 80.621 137.8708
124.511719 80.614 137.7543
124.877930 80.605 137.6398
125.244141 80.596 137.5268
125.610352 80.587 137.4117
125.976562 80.578 137.2942
126.342773 80.568 137.1768
126.708984 80.558 137.0609
127.075195 80.549 136.9439
127.441406 80.539 136.8226
127.807617 80.529 136.6987
128.173828 80.518 136.5796
128.540039 80.507 136.4717
128.906250 80.498 136.3716
129.272461 80.492 136.2648
129.638672 80.488 136.1362
130.004883 80.481 135.9846
130.371094 80.469 135.8286
130.737305 80.453 135.6968
131.103516 80.436 135.6083
131.469727 80.423 135.5577
131.835938 80.416 135.5172
132.202148 80.413 135.4556
132.568359 80.411 135.3616
132.934570 80.405 135.2500
133.300781 80.395 135.1487
133.666992 80.384 135.0747
134.033203 80.376 135.0187
134.399414 80.373 134.9508
134.765625 80.371 134.8440
135.131836 80.365 134.6970
135.498047 80.351 134.5378
135.864258 80.331 134.4047
136.230469 80.308 134.3193
136.596680 80.291 134.2708
136.962891 80.280 134.2248
137.329102 80.273 134.1487
137.695312 80.268 134.0328
138.061523 80.259 133.8936
138.427734 80.246 133.7571
138.793945 80.232 133.6406
139.160156 80.219 133.5445
139.526367 80.211 133.4574
139.892578 80.205 133.3670
140.258789 80.202 133.2661
140.625000 80.199 133.1529
140.991211 80.196 133.0312
141.357422 80.191 132.9113
141.723633 80.183 132.8080
142.089844 80.177 132.7304
142.456055 80.173 132.6702
142.822266 80.173 132.6008
143.188477 80.174 132.4983
143.554688 80.169 132.3673
143.920898 80.156 132.2480
144.287109 80.138 132.1855
144.653320 80.124 132.1825
145.019531 80.122 132.1781
145.385742 80.128 132.0862
145.751953 80.127 131.8743
146.118164 80.103 131.6111
146.484375 80.058 131.4325
146.850586 80.009 131.4346
147.216797 79.983 131.5703
147.583008 79.992 131.6498
147.949219 80.018 131.4782
148.315430 80.023 131.0253
148.681641 79.975 130.4821
149.047852 79.876 130.1592
149.414062 79.765 130.2880
149.780273 79.699 130.8359
150.146484 79.713 131.4834
150.512695 79.796 131.8337
