* Measurement data measured by REW V5.31.3
* Source: A [plughw:4,0], Headset (Headset), 0, volume: 0.229
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 13/10/2024 1:04:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Voltage 11 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 39.985 31.1945
0.732422 45.879 41.3851
1.098633 51.576 36.5854
1.464844 56.301 25.9769
1.831055 60.089 13.6747
2.197266 63.092 1.3729
2.563477 65.462 -10.1380
2.929688 67.339 -20.4472
3.295898 68.849 -29.3736
3.662109 70.105 -36.9364
4.028320 71.199 -43.3328
4.394531 72.188 -48.8662
4.760742 73.099 -53.8360
5.126953 73.939 -58.4523
5.493164 74.701 -62.8156
5.859375 75.385 -66.9463
6.225586 75.990 -70.8194
6.591797 76.521 -74.3858
6.958008 76.992 -77.5894
7.324219 77.420 -80.3960
7.690430 77.829 -82.8340
8.056641 78.240 -85.0163
8.422852 78.660 -87.1137
8.789062 79.079 -89.2792
9.155273 79.476 -91.5752
9.521484 79.832 -93.9530
9.887695 80.141 -96.2947
10.253906 80.409 -98.4846
10.620117 80.654 -100.4698
10.986328 80.891 -102.2809
11.352539 81.129 -104.0032
11.718750 81.366 -105.7204
12.084961 81.592 -107.4677
12.451172 81.799 -109.2222
12.817383 81.985 -110.9281
13.183594 82.154 -112.5359
13.549805 82.315 -114.0342
13.916016 82.475 -115.4547
14.282227 82.636 -116.8493
14.648438 82.793 -118.2546
15.014648 82.939 -119.6679
15.380859 83.072 -121.0531
15.747070 83.194 -122.3723
16.113281 83.311 -123.6178
16.479492 83.429 -124.8191
16.845703 83.547 -126.0168
17.211914 83.659 -127.2266
17.578125 83.762 -128.4271
17.944336 83.856 -129.5843
18.310547 83.947 -130.6891
18.676758 84.039 -131.7707
19.042969 84.129 -132.8658
19.409180 84.209 -133.9728
19.775391 84.277 -135.0388
20.141602 84.339 -136.0039
20.507812 84.407 -136.8703
20.874023 84.490 -137.7273
21.240234 84.582 -138.6893
21.606445 84.660 -139.7868
21.972656 84.705 -140.9094
22.338867 84.719 -141.8618
22.705078 84.730 -142.5105
23.071289 84.775 -142.9217
23.437500 84.875 -143.3617
23.803711 85.009 -144.1180
24.169922 85.129 -145.2826
24.536133 85.193 -146.6857
24.902344 85.189 -148.0096
25.268555 85.146 -148.9858
25.634766 85.111 -149.5615
26.000977 85.120 -149.9304
26.367188 85.176 -150.3825
26.733398 85.247 -151.0907
27.099609 85.301 -152.0187
27.465820 85.321 -152.9958
27.832031 85.318 -153.8623
28.198242 85.309 -154.5692
28.564453 85.312 -155.1758
28.930664 85.327 -155.7692
29.296875 85.347 -156.3869
29.663086 85.366 -157.0080
30.029297 85.386 -157.6027
30.395508 85.412 -158.1795
30.761719 85.446 -158.7822
31.127930 85.481 -159.4462
31.494141 85.508 -160.1599
31.860352 85.523 -160.8697
32.226562 85.528 -161.5200
32.592773 85.534 -162.0937
32.958984 85.544 -162.6189
33.325195 85.562 -163.1421
33.691406 85.582 -163.6939
34.057617 85.599 -164.2751
34.423828 85.610 -164.8670
34.790039 85.616 -165.4488
35.156250 85.618 -166.0072
35.522461 85.617 -166.5350
35.888672 85.615 -167.0304
36.254883 85.617 -167.5003
36.621094 85.623 -167.9636
36.987305 85.632 -168.4445
37.353516 85.642 -168.9575
37.719727 85.648 -169.4945
38.085938 85.648 -170.0289
38.452148 85.645 -170.5346
38.818359 85.641 -171.0040
39.184570 85.641 -171.4510
39.550781 85.644 -171.8957
39.916992 85.648 -172.3464
40.283203 85.650 -172.7953
40.649414 85.653 -173.2314
41.015625 85.656 -173.6548
41.381836 85.661 -174.0787
41.748047 85.666 -174.5158
42.114258 85.669 -174.9649
42.480469 85.669 -175.4128
42.846680 85.666 -175.8490
43.212891 85.663 -176.2782
43.579102 85.659 -176.7145
43.945312 85.653 -177.1619
44.311523 85.641 -177.6029
44.677734 85.626 -178.0113
45.043945 85.615 -178.3827
45.410156 85.610 -178.7506
45.776367 85.611 -179.1649
46.142578 85.608 -179.6440
46.508789 85.595 179.8564
46.875000 85.571 179.4200
47.241211 85.550 179.0975
47.607422 85.549 178.8430
47.973633 85.572 178.5209
48.339844 85.606 178.0022
48.706055 85.621 177.2766
49.072266 85.595 176.4892
49.438477 85.528 175.8677
49.804688 85.448 175.5833
50.170898 85.393 175.6253
50.537109 85.390 175.7874
50.903320 85.433 175.8018
51.269531 85.491 175.5219
51.635742 85.527 175.0016
52.001953 85.527 174.4266
52.368164 85.499 173.9767
52.734375 85.466 173.7153
53.100586 85.450 173.5699
53.466797 85.453 173.4089
53.833008 85.463 173.1466
54.199219 85.466 172.7927
54.565430 85.454 172.4199
54.931641 85.433 172.0952
55.297852 85.412 171.8325
55.664062 85.397 171.5960
56.030273 85.388 171.3386
56.396484 85.381 171.0389
56.762695 85.370 170.7086
57.128906 85.354 170.3741
57.495117 85.335 170.0560
57.861328 85.316 169.7618
58.227539 85.299 169.4898
58.593750 85.286 169.2335
58.959961 85.278 168.9803
59.326172 85.274 168.7108
59.692383 85.274 168.4054
60.058594 85.271 168.0598
60.424805 85.261 167.6948
60.791016 85.243 167.3506
61.157227 85.221 167.0639
61.523438 85.200 166.8435
61.889648 85.188 166.6628
62.255859 85.184 166.4761
62.622070 85.185 166.2483
62.988281 85.184 165.9751
63.354492 85.177 165.6796
63.720703 85.166 165.3918
64.086914 85.151 165.1266
64.453125 85.137 164.8782
64.819336 85.123 164.6313
65.185547 85.109 164.3785
65.551758 85.093 164.1263
65.917969 85.075 163.8881
66.284180 85.058 163.6682
66.650391 85.043 163.4559
67.016602 85.032 163.2330
67.382812 85.021 162.9896
67.749023 85.008 162.7335
68.115234 84.992 162.4842
68.481445 84.975 162.2562
68.847656 84.961 162.0467
69.213867 84.951 161.8371
69.580078 84.943 161.6088
69.946289 84.935 161.3581
70.312500 84.923 161.0992
70.678711 84.908 160.8523
71.044922 84.893 160.6285
71.411133 84.879 160.4227
71.777344 84.868 160.2205
72.143555 84.858 160.0107
72.509766 84.847 159.7930
72.875977 84.835 159.5753
73.242188 84.822 159.3647
73.608398 84.809 159.1609
73.974609 84.796 158.9585
74.340820 84.783 158.7535
74.707031 84.770 158.5475
75.073242 84.756 158.3454
75.439453 84.742 158.1498
75.805664 84.728 157.9572
76.171875 84.715 157.7610
76.538086 84.703 157.5571
76.904297 84.689 157.3478
77.270508 84.674 157.1396
77.636719 84.659 156.9370
78.002930 84.644 156.7390
78.369141 84.629 156.5406
78.735352 84.615 156.3383
79.101562 84.599 156.1347
79.467773 84.583 155.9376
79.833984 84.566 155.7543
80.200195 84.550 155.5853
80.566406 84.537 155.4222
80.932617 84.526 155.2522
81.298828 84.517 155.0660
81.665039 84.506 154.8638
82.031250 84.493 154.6562
82.397461 84.477 154.4583
82.763672 84.460 154.2813
83.129883 84.444 154.1259
83.496094 84.432 153.9810
83.862305 84.422 153.8299
84.228516 84.414 153.6595
84.594727 84.406 153.4681
84.960938 84.394 153.2668
85.327148 84.379 153.0722
85.693359 84.362 152.8961
86.059570 84.346 152.7389
86.425781 84.332 152.5897
86.791992 84.320 152.4351
87.158203 84.308 152.2693
87.524414 84.295 152.0980
87.890625 84.281 151.9323
88.256836 84.266 151.7787
88.623047 84.254 151.6318
88.989258 84.243 151.4773
89.355469 84.234 151.3037
89.721680 84.222 151.1130
90.087891 84.206 150.9218
90.454102 84.187 150.7507
90.820312 84.169 150.6093
91.186523 84.153 150.4887
91.552734 84.142 150.3677
91.918945 84.133 150.2283
92.285156 84.124 150.0681
92.651367 84.113 149.8998
93.017578 84.100 149.7388
93.383789 84.087 149.5895
93.750000 84.075 149.4421
94.116211 84.065 149.2816
94.482422 84.053 149.1036
94.848633 84.038 148.9203
95.214844 84.019 148.7531
95.581055 83.999 148.6170
95.947266 83.981 148.5089
96.313477 83.968 148.4091
96.679688 83.958 148.2963
97.045898 83.950 148.1616
97.412109 83.941 148.0114
97.778320 83.930 147.8578
98.144531 83.920 147.7053
98.510742 83.910 147.5464
98.876953 83.900 147.3704
99.243164 83.888 147.1772
99.609375 83.870 146.9834
99.975586 83.849 146.8145
100.341797 83.826 146.6872
100.708008 83.807 146.5961
101.074219 83.794 146.5155
101.440430 83.786 146.4165
101.806641 83.780 146.2855
102.172852 83.770 146.1316
102.539062 83.757 145.9777
102.905273 83.741 145.8427
103.271484 83.726 145.7300
103.637695 83.713 145.6281
104.003906 83.702 145.5217
104.370117 83.693 145.4031
104.736328 83.682 145.2756
105.102539 83.670 145.1472
105.468750 83.657 145.0223
105.834961 83.645 144.8988
106.201172 83.633 144.7706
106.567383 83.621 144.6351
106.933594 83.607 144.4956
107.299805 83.592 144.3602
107.666016 83.576 144.2357
108.032227 83.561 144.1227
108.398438 83.548 144.0150
108.764648 83.537 143.9023
109.130859 83.527 143.7766
109.497070 83.518 143.6365
109.863281 83.506 143.4888
110.229492 83.493 143.3444
110.595703 83.478 143.2123
110.961914 83.465 143.0931
111.328125 83.453 142.9797
111.694336 83.443 142.8625
112.060547 83.432 142.7388
112.426758 83.420 142.6154
112.792969 83.407 142.5036
113.159180 83.395 142.4083
113.525391 83.386 142.3204
113.891602 83.379 142.2220
114.257812 83.372 142.0999
114.624023 83.362 141.9592
114.990234 83.347 141.8228
115.356445 83.329 141.7161
115.722656 83.312 141.6471
116.088867 83.300 141.5968
116.455078 83.295 141.5300
116.821289 83.291 141.4192
117.187500 83.284 141.2645
117.553711 83.270 141.0940
117.919922 83.250 140.9450
118.286133 83.227 140.8393
118.652344 83.208 140.7692
119.018555 83.195 140.7053
119.384766 83.186 140.6179
119.750977 83.178 140.4965
120.117188 83.166 140.3539
120.483398 83.150 140.2139
120.849609 83.133 140.0938
121.215820 83.116 139.9961
121.582031 83.101 139.9115
121.948242 83.089 139.8304
122.314453 83.078 139.7498
122.680664 83.070 139.6698
123.046875 83.066 139.5845
123.413086 83.064 139.4785
123.779297 83.063 139.3353
124.145508 83.059 139.1532
124.511719 83.047 138.9545
124.877930 83.026 138.7790
125.244141 83.001 138.6610
125.610352 82.979 138.6074
125.976562 82.965 138.5899
126.342773 82.960 138.5623
126.708984 82.960 138.4886
127.075195 82.958 138.3639
127.441406 82.951 138.2132
127.807617 82.938 138.0712
128.173828 82.921 137.9595
128.540039 82.905 137.8766
128.906250 82.893 137.8040
129.272461 82.882 137.7231
129.638672 82.871 137.6287
130.004883 82.858 137.5299
130.371094 82.843 137.4427
130.737305 82.828 137.3776
131.103516 82.815 137.3319
131.469727 82.807 137.2903
131.835938 82.804 137.2304
132.202148 82.803 137.1339
132.568359 82.800 136.9955
132.934570 82.793 136.8279
133.300781 82.778 136.6576
133.666992 82.758 136.5138
134.033203 82.736 136.4144
134.399414 82.717 136.3575
134.765625 82.704 136.3233
135.131836 82.697 136.2854
135.498047 82.694 136.2238
135.864258 82.693 136.1330
136.230469 82.690 136.0200
136.596680 82.684 135.8977
136.962891 82.676 135.7776
137.329102 82.666 135.6670
137.695312 82.655 135.5697
138.061523 82.644 135.4862
138.427734 82.633 135.4132
138.793945 82.625 135.3429
139.160156 82.617 135.2652
139.526367 82.609 135.1736
139.892578 82.599 135.0719
140.258789 82.585 134.9741
140.625000 82.569 134.8957
140.991211 82.554 134.8400
141.357422 82.543 134.7900
141.723633 82.537 134.7162
142.089844 82.531 134.5980
142.456055 82.520 134.4436
142.822266 82.501 134.2890
143.188477 82.478 134.1737
143.554688 82.457 134.1084
143.920898 82.444 134.0632
144.287109 82.439 133.9911
144.653320 82.435 133.8696
145.019531 82.426 133.7241
145.385742 82.412 133.6069
145.751953 82.400 133.5462
146.118164 82.398 133.5110
146.484375 82.405 133.4330
146.850586 82.412 133.2751
147.216797 82.404 133.0862
147.583008 82.381 132.9818
147.949219 82.360 133.0519
148.315430 82.364 133.2582
148.681641 82.408 133.4184
149.047852 82.476 133.3198
149.414062 82.533 132.8822
149.780273 82.541 132.2318
150.146484 82.489 131.6365
150.512695 82.396 131.3514
