* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/08/2025 9:03:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vulkan 2 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 34.467 149.1951
0.732422 38.087 101.2182
1.098633 44.755 65.4381
1.464844 50.636 43.8324
1.831055 55.195 27.9926
2.197266 58.697 15.0632
2.563477 61.404 4.2934
2.929688 63.533 -4.4597
3.295898 65.279 -11.2715
3.662109 66.811 -16.4318
4.028320 68.253 -20.5286
4.394531 69.650 -24.2574
4.760742 70.982 -28.1005
5.126953 72.208 -32.1747
5.493164 73.303 -36.3292
5.859375 74.274 -40.3480
6.225586 75.149 -44.1076
6.591797 75.959 -47.6308
6.958008 76.719 -51.0313
7.324219 77.428 -54.4051
7.690430 78.075 -57.7568
8.056641 78.656 -61.0088
8.422852 79.180 -64.0720
8.789062 79.665 -66.9160
9.155273 80.125 -69.5885
9.521484 80.564 -72.1721
9.887695 80.979 -74.7183
10.253906 81.362 -77.2150
10.620117 81.713 -79.6118
10.986328 82.040 -81.8744
11.352539 82.353 -84.0224
11.718750 82.657 -86.1167
12.084961 82.946 -88.2098
12.451172 83.212 -90.3023
12.817383 83.450 -92.3414
13.183594 83.665 -94.2625
13.549805 83.866 -96.0384
13.916016 84.064 -97.6997
14.282227 84.264 -99.3117
14.648438 84.462 -100.9284
15.014648 84.651 -102.5622
15.380859 84.826 -104.1899
15.747070 84.988 -105.7829
16.113281 85.141 -107.3316
16.479492 85.286 -108.8470
16.845703 85.422 -110.3393
17.211914 85.548 -111.8007
17.578125 85.664 -113.2062
17.944336 85.773 -114.5350
18.310547 85.882 -115.7923
18.676758 85.994 -117.0120
19.042969 86.108 -118.2364
19.409180 86.220 -119.4891
19.775391 86.324 -120.7627
20.141602 86.416 -122.0281
20.507812 86.499 -123.2560
20.874023 86.574 -124.4339
21.240234 86.646 -125.5661
21.606445 86.714 -126.6619
21.972656 86.779 -127.7239
22.338867 86.840 -128.7472
22.705078 86.901 -129.7307
23.071289 86.963 -130.6871
23.437500 87.026 -131.6408
23.803711 87.089 -132.6143
24.169922 87.146 -133.6095
24.536133 87.193 -134.6031
24.902344 87.231 -135.5578
25.268555 87.263 -136.4462
25.634766 87.298 -137.2698
26.000977 87.338 -138.0614
26.367188 87.384 -138.8656
26.733398 87.431 -139.7123
27.099609 87.473 -140.5987
27.465820 87.504 -141.4931
27.832031 87.527 -142.3555
28.198242 87.545 -143.1616
28.564453 87.563 -143.9137
28.930664 87.585 -144.6352
29.296875 87.610 -145.3522
29.663086 87.636 -146.0775
30.029297 87.660 -146.8080
30.395508 87.681 -147.5334
30.761719 87.701 -148.2471
31.127930 87.720 -148.9509
31.494141 87.736 -149.6495
31.860352 87.751 -150.3416
32.226562 87.762 -151.0181
32.592773 87.770 -151.6680
32.958984 87.778 -152.2881
33.325195 87.788 -152.8874
33.691406 87.799 -153.4828
34.057617 87.811 -154.0877
34.423828 87.821 -154.7044
34.790039 87.827 -155.3232
35.156250 87.830 -155.9311
35.522461 87.829 -156.5198
35.888672 87.827 -157.0890
36.254883 87.825 -157.6432
36.621094 87.823 -158.1859
36.987305 87.820 -158.7174
37.353516 87.817 -159.2374
37.719727 87.816 -159.7490
38.085938 87.816 -160.2600
38.452148 87.816 -160.7786
38.818359 87.816 -161.3078
39.184570 87.814 -161.8423
39.550781 87.808 -162.3710
39.916992 87.801 -162.8834
40.283203 87.792 -163.3751
40.649414 87.783 -163.8483
41.015625 87.776 -164.3090
41.381836 87.768 -164.7615
41.748047 87.760 -165.2073
42.114258 87.752 -165.6459
42.480469 87.743 -166.0772
42.846680 87.734 -166.5017
43.212891 87.723 -166.9194
43.579102 87.711 -167.3278
43.945312 87.698 -167.7244
44.311523 87.685 -168.1105
44.677734 87.672 -168.4933
45.043945 87.659 -168.8822
45.410156 87.645 -169.2803
45.776367 87.627 -169.6786
46.142578 87.606 -170.0594
46.508789 87.586 -170.4112
46.875000 87.570 -170.7447
47.241211 87.560 -171.0948
47.607422 87.553 -171.5007
47.973633 87.541 -171.9748
48.339844 87.516 -172.4810
48.706055 87.476 -172.9444
49.072266 87.426 -173.2909
49.438477 87.382 -173.4967
49.804688 87.357 -173.6143
50.170898 87.356 -173.7499
50.537109 87.369 -173.9998
50.903320 87.380 -174.3908
51.269531 87.376 -174.8661
51.635742 87.352 -175.3242
52.001953 87.316 -175.6838
52.368164 87.284 -175.9330
52.734375 87.266 -176.1324
53.100586 87.260 -176.3690
53.466797 87.256 -176.6941
53.833008 87.243 -177.0907
54.199219 87.216 -177.4899
54.565430 87.178 -177.8210
54.931641 87.139 -178.0580
55.297852 87.111 -178.2343
55.664062 87.095 -178.4165
56.030273 87.086 -178.6564
56.396484 87.074 -178.9592
56.762695 87.055 -179.2853
57.128906 87.029 -179.5837
57.495117 87.002 -179.8276
57.861328 86.980 179.9688
58.227539 86.966 179.7645
58.593750 86.957 179.5225
58.959961 86.944 179.2365
59.326172 86.924 178.9343
59.692383 86.896 178.6600
60.058594 86.862 178.4479
60.424805 86.830 178.3038
60.791016 86.806 178.2029
61.157227 86.789 178.1011
61.523438 86.778 177.9560
61.889648 86.766 177.7463
62.255859 86.744 177.4836
62.622070 86.710 177.2119
62.988281 86.662 176.9896
63.354492 86.610 176.8588
63.720703 86.564 176.8145
64.086914 86.533 176.7968
64.453125 86.516 176.7212
64.819336 86.502 176.5329
65.185547 86.477 176.2492
65.551758 86.436 175.9548
65.917969 86.382 175.7484
66.284180 86.332 175.6729
66.650391 86.302 175.6756
67.016602 86.297 175.6371
67.382812 86.306 175.4529
67.749023 86.309 175.1076
68.115234 86.292 174.6864
68.481445 86.252 174.3184
68.847656 86.203 174.0956
69.213867 86.164 174.0182
69.580078 86.145 174.0011
69.946289 86.145 173.9359
70.312500 86.152 173.7604
70.678711 86.152 173.4860
71.044922 86.137 173.1742
71.411133 86.107 172.8911
71.777344 86.069 172.6752
72.143555 86.029 172.5314
72.509766 85.990 172.4448
72.875977 85.956 172.3959
73.242188 85.927 172.3661
73.608398 85.904 172.3346
73.974609 85.886 172.2789
74.340820 85.870 172.1816
74.707031 85.852 172.0400
75.073242 85.830 171.8686
75.439453 85.801 171.6915
75.805664 85.768 171.5308
76.171875 85.733 171.3981
76.538086 85.699 171.2924
76.904297 85.667 171.2057
77.270508 85.638 171.1283
77.636719 85.611 171.0529
78.002930 85.586 170.9762
78.369141 85.563 170.8983
78.735352 85.540 170.8207
79.101562 85.518 170.7438
79.467773 85.496 170.6645
79.833984 85.475 170.5780
80.200195 85.452 170.4830
80.566406 85.426 170.3869
80.932617 85.396 170.3047
81.298828 85.365 170.2510
81.665039 85.335 170.2288
82.031250 85.310 170.2242
82.397461 85.289 170.2133
82.763672 85.272 170.1759
83.129883 85.255 170.1075
83.496094 85.236 170.0172
83.862305 85.214 169.9178
84.228516 85.191 169.8145
84.594727 85.166 169.7054
84.960938 85.139 169.5903
85.327148 85.108 169.4803
85.693359 85.072 169.3960
86.059570 85.036 169.3541
86.425781 85.003 169.3533
86.791992 84.975 169.3726
87.158203 84.954 169.3835
87.524414 84.934 169.3685
87.890625 84.914 169.3282
88.256836 84.890 169.2769
88.623047 84.864 169.2292
88.989258 84.834 169.1941
89.355469 84.804 169.1766
89.721680 84.773 169.1811
90.087891 84.745 169.2083
90.454102 84.722 169.2467
90.820312 84.706 169.2697
91.186523 84.693 169.2477
91.552734 84.680 169.1697
91.918945 84.659 169.0566
92.285156 84.629 168.9520
92.651367 84.595 168.8954
93.017578 84.561 168.8983
93.383789 84.533 168.9410
93.750000 84.512 168.9927
94.116211 84.494 169.0370
94.482422 84.477 169.0795
94.848633 84.461 169.1346
95.214844 84.447 169.2074
95.581055 84.436 169.2878
95.947266 84.428 169.3600
96.313477 84.422 169.4153
96.679688 84.414 169.4547
97.045898 84.403 169.4830
97.412109 84.389 169.5050
97.778320 84.371 169.5298
98.144531 84.349 169.5737
98.510742 84.327 169.6495
98.876953 84.311 169.7447
99.243164 84.305 169.8110
99.609375 84.305 169.7863
99.975586 84.300 169.6402
100.341797 84.280 169.4059
100.708008 84.241 169.1664
101.074219 84.187 169.0003
101.440430 84.133 168.9293
101.806641 84.085 168.9144
102.172852 84.045 168.9050
102.539062 84.007 168.8960
102.905273 83.969 168.9293
103.271484 83.942 169.0326
103.637695 83.936 169.1526
104.003906 83.953 169.1614
104.370117 83.975 168.9518
104.736328 83.971 168.5453
105.102539 83.922 168.1146
105.468750 83.833 167.8953
105.834961 83.734 168.0412
106.201172 83.664 168.5122
106.567383 83.647 169.0891
106.933594 83.673 169.5228
107.299805 83.713 169.6973
107.666016 83.738 169.6686
108.032227 83.737 169.5793
108.398438 83.718 169.5428
108.764648 83.695 169.5833
109.130859 83.675 169.6559
109.497070 83.658 169.7119
109.863281 83.637 169.7432
110.229492 83.611 169.7761
110.595703 83.581 169.8367
110.961914 83.553 169.9266
111.328125 83.529 170.0283
111.694336 83.509 170.1237
112.060547 83.492 170.2050
112.426758 83.477 170.2699
112.792969 83.463 170.3149
113.159180 83.448 170.3398
113.525391 83.431 170.3568
113.891602 83.410 170.3887
114.257812 83.389 170.4521
114.624023 83.371 170.5416
114.990234 83.358 170.6321
115.356445 83.347 170.7037
115.722656 83.333 170.7627
116.088867 83.315 170.8386
116.455078 83.297 170.9557
116.821289 83.283 171.1059
117.187500 83.278 171.2494
117.553711 83.277 171.3450
117.919922 83.274 171.3824
118.286133 83.263 171.3874
118.652344 83.245 171.3977
119.018555 83.221 171.4357
119.384766 83.196 171.5015
119.750977 83.170 171.5897
120.117188 83.144 171.7060
120.483398 83.121 171.8621
120.849609 83.105 172.0521
121.215820 83.101 172.2367
121.582031 83.107 172.3589
121.948242 83.115 172.3841
122.314453 83.115 172.3298
122.680664 83.101 172.2580
123.046875 83.076 172.2335
123.413086 83.049 172.2827
123.779297 83.028 172.3819
124.145508 83.013 172.4860
124.511719 83.002 172.5676
124.877930 82.990 172.6346
125.244141 82.976 172.7125
125.610352 82.963 172.8125
125.976562 82.955 172.9166
126.342773 82.952 172.9921
126.708984 82.949 173.0225
127.075195 82.939 173.0241
127.441406 82.923 173.0345
127.807617 82.903 173.0848
128.173828 82.884 173.1776
128.540039 82.871 173.2899
128.906250 82.863 173.3949
129.272461 82.856 173.4828
129.638672 82.849 173.5628
130.004883 82.842 173.6481
130.371094 82.838 173.7388
130.737305 82.836 173.8198
131.103516 82.836 173.8744
131.469727 82.834 173.9010
131.835938 82.826 173.9189
132.202148 82.812 173.9570
132.568359 82.797 174.0353
132.934570 82.784 174.1514
133.300781 82.777 174.2820
133.666992 82.775 174.3970
134.033203 82.776 174.4764
134.399414 82.774 174.5205
134.765625 82.768 174.5457
135.131836 82.758 174.5729
135.498047 82.745 174.6155
135.864258 82.731 174.6740
136.230469 82.717 174.7420
136.596680 82.704 174.8164
136.962891 82.691 174.9026
137.329102 82.678 175.0092
137.695312 82.670 175.1349
138.061523 82.668 175.2610
138.427734 82.670 175.3596
138.793945 82.674 175.4168
139.160156 82.672 175.4488
139.526367 82.665 175.4955
139.892578 82.656 175.5904
140.258789 82.652 175.7285
140.625000 82.657 175.8635
140.991211 82.667 175.9438
141.357422 82.671 175.9622
141.723633 82.663 175.9738
142.089844 82.646 176.0592
142.456055 82.631 176.2552
142.822266 82.636 176.5047
143.188477 82.661 176.6800
143.554688 82.692 176.6730
143.920898 82.705 176.4850
144.287109 82.684 176.2430
144.653320 82.628 176.1302
145.019531 82.563 176.2715
145.385742 82.517 176.6464
145.751953 82.509 177.0926
146.118164 82.536 177.4122
146.484375 82.573 177.5031
146.850586 82.593 177.4117
147.216797 82.586 177.2831
147.583008 82.560 177.2578
147.949219 82.535 177.3849
148.315430 82.529 177.5999
148.681641 82.545 177.7783
149.047852 82.572 177.8254
149.414062 82.591 177.7347
