* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.200
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 18/08/2025 9:02:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vulkan 2 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 35.101 112.5235
0.732422 41.528 69.9247
1.098633 47.560 47.2640
1.464844 52.477 32.6432
1.831055 56.457 21.4176
2.197266 59.718 12.0159
2.563477 62.431 3.8615
2.929688 64.734 -3.3320
3.295898 66.730 -9.7964
3.662109 68.489 -15.7570
4.028320 70.050 -21.3976
4.394531 71.435 -26.8142
4.760742 72.655 -32.0035
5.126953 73.727 -36.8970
5.493164 74.675 -41.4216
5.859375 75.529 -45.5532
6.225586 76.314 -49.3403
6.591797 77.048 -52.8813
6.958008 77.736 -56.2740
7.324219 78.378 -59.5706
7.690430 78.968 -62.7690
8.056641 79.510 -65.8391
8.422852 80.011 -68.7588
8.789062 80.477 -71.5336
9.155273 80.914 -74.1893
9.521484 81.324 -76.7490
9.887695 81.706 -79.2159
10.253906 82.063 -81.5786
10.620117 82.399 -83.8317
10.986328 82.721 -85.9940
11.352539 83.031 -88.1058
11.718750 83.326 -90.2069
12.084961 83.601 -92.3101
12.451172 83.852 -94.3923
12.817383 84.076 -96.4078
13.183594 84.279 -98.3147
13.549805 84.468 -100.0968
13.916016 84.649 -101.7680
14.282227 84.828 -103.3610
14.648438 85.006 -104.9096
15.014648 85.180 -106.4380
15.380859 85.350 -107.9600
15.747070 85.514 -109.4834
16.113281 85.668 -111.0103
16.479492 85.812 -112.5346
16.845703 85.943 -114.0390
17.211914 86.061 -115.5003
17.578125 86.170 -116.8990
17.944336 86.273 -118.2308
18.310547 86.374 -119.5091
18.676758 86.474 -120.7562
19.042969 86.572 -121.9902
19.409180 86.665 -123.2152
19.775391 86.753 -124.4233
20.141602 86.835 -125.6038
20.507812 86.914 -126.7536
20.874023 86.990 -127.8797
21.240234 87.063 -128.9923
21.606445 87.132 -130.0956
21.972656 87.196 -131.1837
22.338867 87.254 -132.2449
22.705078 87.308 -133.2716
23.071289 87.360 -134.2668
23.437500 87.411 -135.2414
23.803711 87.460 -136.2043
24.169922 87.504 -137.1541
24.536133 87.545 -138.0789
24.902344 87.582 -138.9670
25.268555 87.620 -139.8193
25.634766 87.660 -140.6535
26.000977 87.701 -141.4945
26.367188 87.741 -142.3571
26.733398 87.774 -143.2337
27.099609 87.799 -144.0971
27.465820 87.819 -144.9180
27.832031 87.836 -145.6845
28.198242 87.857 -146.4117
28.564453 87.882 -147.1320
28.930664 87.909 -147.8740
29.296875 87.934 -148.6443
29.663086 87.953 -149.4243
30.029297 87.965 -150.1847
30.395508 87.973 -150.9048
30.761719 87.982 -151.5854
31.127930 87.994 -152.2465
31.494141 88.008 -152.9120
31.860352 88.022 -153.5937
32.226562 88.033 -154.2845
32.592773 88.038 -154.9651
32.958984 88.040 -155.6166
33.325195 88.041 -156.2331
33.691406 88.044 -156.8232
34.057617 88.049 -157.4039
34.423828 88.055 -157.9890
34.790039 88.060 -158.5816
35.156250 88.063 -159.1749
35.522461 88.062 -159.7586
35.888672 88.059 -160.3258
36.254883 88.056 -160.8763
36.621094 88.051 -161.4138
36.987305 88.047 -161.9421
37.353516 88.041 -162.4622
37.719727 88.036 -162.9749
38.085938 88.031 -163.4834
38.452148 88.025 -163.9937
38.818359 88.019 -164.5101
39.184570 88.010 -165.0291
39.550781 87.998 -165.5388
39.916992 87.983 -166.0255
40.283203 87.969 -166.4840
40.649414 87.957 -166.9234
41.015625 87.949 -167.3621
41.381836 87.943 -167.8153
41.748047 87.935 -168.2838
42.114258 87.924 -168.7546
42.480469 87.910 -169.2121
42.846680 87.896 -169.6510
43.212891 87.882 -170.0780
43.579102 87.868 -170.5024
43.945312 87.853 -170.9236
44.311523 87.835 -171.3296
44.677734 87.817 -171.7089
45.043945 87.801 -172.0665
45.410156 87.789 -172.4245
45.776367 87.779 -172.8050
46.142578 87.766 -173.2085
46.508789 87.748 -173.6091
46.875000 87.728 -173.9780
47.241211 87.712 -174.3170
47.607422 87.704 -174.6706
47.973633 87.700 -175.0972
48.339844 87.689 -175.6152
48.706055 87.658 -176.1694
49.072266 87.607 -176.6502
49.438477 87.547 -176.9630
49.804688 87.500 -177.1023
50.170898 87.480 -177.1726
50.537109 87.487 -177.3242
50.903320 87.503 -177.6476
51.269531 87.504 -178.1116
51.635742 87.482 -178.5925
52.001953 87.444 -178.9664
52.368164 87.408 -179.1976
52.734375 87.389 -179.3577
53.100586 87.386 -179.5620
53.466797 87.386 -179.8736
53.833008 87.373 179.7408
54.199219 87.343 179.3748
54.565430 87.305 179.1027
54.931641 87.271 178.9233
55.297852 87.248 178.7692
55.664062 87.233 178.5693
56.030273 87.215 178.3078
56.396484 87.188 178.0282
56.762695 87.153 177.7872
57.128906 87.119 177.6039
57.495117 87.093 177.4461
57.861328 87.075 177.2607
58.227539 87.060 177.0169
58.593750 87.040 176.7232
58.959961 87.015 176.4106
59.326172 86.984 176.1064
59.692383 86.950 175.8244
60.058594 86.914 175.5721
60.424805 86.880 175.3588
60.791016 86.850 175.1871
61.157227 86.830 175.0359
61.523438 86.819 174.8612
61.889648 86.813 174.6253
62.255859 86.801 174.3347
62.622070 86.777 174.0469
62.988281 86.747 173.8311
63.354492 86.721 173.7075
63.720703 86.710 173.6172
64.086914 86.712 173.4591
64.453125 86.713 173.1724
64.819336 86.694 172.7964
65.185547 86.649 172.4543
65.551758 86.586 172.2701
65.917969 86.528 172.2761
66.284180 86.494 172.3803
66.650391 86.484 172.4285
67.016602 86.484 172.3152
67.382812 86.471 172.0531
67.749023 86.434 171.7498
68.115234 86.378 171.5243
68.481445 86.317 171.4279
68.847656 86.267 171.4228
69.213867 86.231 171.4261
69.580078 86.206 171.3771
69.946289 86.181 171.2698
70.312500 86.154 171.1335
70.678711 86.127 170.9914
71.044922 86.102 170.8392
71.411133 86.079 170.6595
71.777344 86.053 170.4511
72.143555 86.021 170.2394
72.509766 85.987 170.0578
72.875977 85.953 169.9171
73.242188 85.925 169.7952
73.608398 85.902 169.6590
73.974609 85.877 169.4991
74.340820 85.846 169.3444
74.707031 85.811 169.2390
75.073242 85.779 169.2014
75.439453 85.757 169.1993
75.805664 85.747 169.1685
76.171875 85.740 169.0606
76.538086 85.726 168.8831
76.904297 85.700 168.6942
77.270508 85.663 168.5589
77.636719 85.627 168.4991
78.002930 85.598 168.4787
78.369141 85.578 168.4349
78.735352 85.559 168.3320
79.101562 85.532 168.1893
79.467773 85.496 168.0630
79.833984 85.455 167.9977
80.200195 85.420 167.9895
80.566406 85.394 167.9907
80.932617 85.374 167.9520
81.298828 85.353 167.8640
81.665039 85.325 167.7618
82.031250 85.291 167.6913
82.397461 85.260 167.6671
82.763672 85.235 167.6611
83.129883 85.217 167.6283
83.496094 85.199 167.5475
83.862305 85.175 167.4386
84.228516 85.144 167.3421
84.594727 85.111 167.2828
84.960938 85.080 167.2504
85.327148 85.052 167.2145
85.693359 85.024 167.1586
86.059570 84.991 167.0992
86.425781 84.954 167.0728
86.791992 84.918 167.1009
87.158203 84.889 167.1667
87.524414 84.870 167.2239
87.890625 84.857 167.2305
88.256836 84.844 167.1783
88.623047 84.824 167.0931
88.989258 84.799 167.0112
89.355469 84.770 166.9537
89.721680 84.742 166.9205
90.087891 84.715 166.9012
90.454102 84.689 166.8896
90.820312 84.665 166.8853
91.186523 84.642 166.8865
91.552734 84.621 166.8851
91.918945 84.601 166.8738
92.285156 84.580 166.8555
92.651367 84.556 166.8434
93.017578 84.531 166.8496
93.383789 84.508 166.8718
93.750000 84.487 166.8956
94.116211 84.466 166.9105
94.482422 84.443 166.9242
94.848633 84.418 166.9566
95.214844 84.396 167.0171
95.581055 84.379 167.0869
95.947266 84.367 167.1288
96.313477 84.357 167.1190
96.679688 84.342 167.0707
97.045898 84.320 167.0233
97.412109 84.297 167.0016
97.778320 84.278 166.9843
98.144531 84.263 166.9176
98.510742 84.241 166.7722
98.876953 84.200 166.5947
99.243164 84.137 166.5007
99.609375 84.067 166.6006
99.975586 84.013 166.9047
100.341797 83.995 167.2842
100.708008 84.013 167.5427
101.074219 84.042 167.5531
101.440430 84.053 167.3472
101.806641 84.029 167.0883
102.172852 83.979 166.9543
102.539062 83.928 167.0154
102.905273 83.898 167.1890
103.271484 83.892 167.3111
103.637695 83.892 167.2727
104.003906 83.876 167.1046
104.370117 83.832 166.9489
104.736328 83.771 166.9499
105.102539 83.716 167.1472
105.468750 83.687 167.4471
105.834961 83.686 167.6956
106.201172 83.697 167.7933
106.567383 83.701 167.7553
106.933594 83.687 167.6780
107.299805 83.662 167.6548
107.666016 83.638 167.7105
108.032227 83.622 167.7986
108.398438 83.615 167.8549
108.764648 83.607 167.8553
109.130859 83.592 167.8299
109.497070 83.570 167.8289
109.863281 83.547 167.8775
110.229492 83.528 167.9583
110.595703 83.514 168.0333
110.961914 83.502 168.0813
111.328125 83.485 168.1147
111.694336 83.464 168.1644
112.060547 83.443 168.2507
112.426758 83.425 168.3663
112.792969 83.412 168.4846
113.159180 83.404 168.5806
113.525391 83.398 168.6445
113.891602 83.390 168.6773
114.257812 83.381 168.6807
114.624023 83.367 168.6564
114.990234 83.345 168.6176
115.356445 83.314 168.5975
115.722656 83.276 168.6396
116.088867 83.239 168.7699
116.455078 83.213 168.9701
116.821289 83.201 169.1786
117.187500 83.202 169.3259
117.553711 83.205 169.3790
117.919922 83.201 169.3618
118.286133 83.185 169.3363
118.652344 83.161 169.3601
119.018555 83.138 169.4503
119.384766 83.122 169.5784
119.750977 83.114 169.6967
120.117188 83.111 169.7732
120.483398 83.106 169.8090
120.849609 83.095 169.8300
121.215820 83.080 169.8639
121.582031 83.064 169.9228
121.948242 83.049 170.0011
122.314453 83.036 170.0853
122.680664 83.025 170.1649
123.046875 83.013 170.2374
123.413086 83.001 170.3050
123.779297 82.988 170.3719
124.145508 82.974 170.4418
124.511719 82.960 170.5188
124.877930 82.946 170.6046
125.244141 82.933 170.6966
125.610352 82.921 170.7871
125.976562 82.911 170.8673
126.342773 82.900 170.9349
126.708984 82.887 170.9986
127.075195 82.872 171.0740
127.441406 82.857 171.1727
127.807617 82.845 171.2918
128.173828 82.838 171.4119
128.540039 82.835 171.5087
128.906250 82.833 171.5689
129.272461 82.826 171.6008
129.638672 82.815 171.6299
130.004883 82.799 171.6843
130.371094 82.782 171.7768
130.737305 82.769 171.8982
131.103516 82.761 172.0240
131.469727 82.757 172.1299
131.835938 82.753 172.2072
132.202148 82.746 172.2656
132.568359 82.736 172.3265
132.934570 82.723 172.4089
133.300781 82.711 172.5179
133.666992 82.703 172.6411
134.033203 82.699 172.7558
134.399414 82.698 172.8415
134.765625 82.697 172.8919
135.131836 82.691 172.9189
135.498047 82.681 172.9453
135.864258 82.668 172.9914
136.230469 82.654 173.0626
136.596680 82.643 173.1485
136.962891 82.634 173.2328
137.329102 82.626 173.3078
137.695312 82.618 173.3793
138.061523 82.609 173.4590
138.427734 82.601 173.5514
138.793945 82.596 173.6470
139.160156 82.592 173.7324
139.526367 82.588 173.8057
139.892578 82.581 173.8831
140.258789 82.573 173.9865
140.625000 82.568 174.1199
140.991211 82.570 174.2592
141.357422 82.575 174.3673
141.723633 82.579 174.4285
142.089844 82.575 174.4702
142.456055 82.562 174.5509
142.822266 82.547 174.7170
143.188477 82.541 174.9588
143.554688 82.554 175.2038
143.920898 82.580 175.3590
144.287109 82.607 175.3728
144.653320 82.621 175.2692
145.019531 82.612 175.1324
145.385742 82.584 175.0563
145.751953 82.548 175.0955
146.118164 82.517 175.2443
146.484375 82.497 175.4508
146.850586 82.491 175.6518
147.216797 82.493 175.8008
147.583008 82.499 175.8805
147.949219 82.500 175.8999
148.315430 82.494 175.8892
148.681641 82.478 175.8909
149.047852 82.458 175.9456
149.414062 82.438 176.0717
149.780273 82.429 176.2509
