* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/07/2022 10:33:02 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vulkan L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 67.697 33.2926
1.015000 67.892 31.4544
1.030000 68.089 29.7460
1.044000 68.276 28.2570
1.060000 68.492 26.6711
1.075000 68.698 25.2881
1.090000 68.905 23.9971
1.106000 69.129 22.7123
1.120000 69.326 21.6585
1.138000 69.580 20.3890
1.150000 69.750 19.5896
1.172000 70.062 18.2058
1.180000 70.175 17.7247
1.206000 70.542 16.2227
1.220000 70.738 15.4420
1.241000 71.029 14.2896
1.250000 71.153 13.7977
1.265000 71.357 12.9741
1.280000 71.558 12.1385
1.315000 72.016 10.0964
1.320000 72.079 9.7896
1.340000 72.329 8.5128
1.360000 72.572 7.1661
1.380000 72.810 5.8094
1.400000 73.045 4.4498
1.430000 73.390 2.4116
1.450000 73.616 1.0583
1.475000 73.893 -0.6218
1.500000 74.164 -2.2832
1.525000 74.431 -3.9199
1.550000 74.693 -5.5256
1.575000 74.950 -7.0942
1.600000 75.203 -8.6196
1.625000 75.452 -10.0956
1.650000 75.697 -11.5161
1.675000 75.938 -12.8750
1.700000 76.175 -14.1651
1.725000 76.406 -15.3845
1.750000 76.633 -16.5405
1.775000 76.854 -17.6408
1.800000 77.071 -18.6930
1.825000 77.284 -19.7050
1.850000 77.493 -20.6843
1.875000 77.697 -21.6388
1.900000 77.898 -22.5760
1.925000 78.095 -23.5037
1.950000 78.290 -24.4296
1.975000 78.481 -25.3613
2.000000 78.670 -26.3066
2.030000 78.893 -27.4662
2.060000 79.110 -28.6248
2.090000 79.322 -29.7732
2.120000 79.529 -30.9111
2.140000 79.664 -31.6638
2.180000 79.928 -33.1547
2.200000 80.057 -33.8927
2.240000 80.309 -35.3535
2.270000 80.494 -36.4355
2.300000 80.676 -37.5056
2.330000 80.854 -38.5636
2.360000 81.030 -39.6093
2.400000 81.258 -40.9872
2.430000 81.425 -42.0088
2.470000 81.641 -43.3538
2.500000 81.798 -44.3489
2.540000 82.003 -45.6564
2.580000 82.202 -46.9404
2.620000 82.396 -48.1994
2.650000 82.539 -49.1263
2.690000 82.725 -50.3378
2.720000 82.862 -51.2239
2.760000 83.039 -52.3712
2.800000 83.211 -53.4856
2.850000 83.419 -54.8433
2.900000 83.620 -56.1748
2.950000 83.814 -57.4938
3.000000 84.002 -58.8142
3.040000 84.150 -59.8805
3.070000 84.257 -60.6865
3.110000 84.397 -61.7647
3.150000 84.532 -62.8419
3.200000 84.696 -64.1786
3.250000 84.855 -65.4945
3.300000 85.008 -66.7788
3.350000 85.158 -68.0209
3.400000 85.303 -69.2113
3.450000 85.443 -70.3537
3.500000 85.577 -71.4584
3.550000 85.707 -72.5359
3.600000 85.833 -73.5967
3.650000 85.956 -74.6512
3.700000 86.075 -75.7100
3.750000 86.191 -76.7759
3.820000 86.346 -78.2643
3.870000 86.452 -79.3172
3.950000 86.616 -80.9684
4.000000 86.714 -81.9707
4.060000 86.829 -83.1342
4.120000 86.940 -84.2550
4.180000 87.046 -85.3412
4.250000 87.165 -86.5757
4.310000 87.264 -87.6152
4.370000 87.359 -88.6463
4.440000 87.467 -89.8403
4.500000 87.556 -90.8493
4.550000 87.627 -91.6783
4.620000 87.724 -92.8184
4.680000 87.805 -93.7742
4.750000 87.896 -94.8616
4.820000 87.983 -95.9195
4.870000 88.044 -96.6590
4.940000 88.126 -97.6743
5.000000 88.194 -98.5287
5.080000 88.282 -99.6482
5.150000 88.356 -100.6057
5.220000 88.428 -101.5429
5.300000 88.507 -102.5911
5.380000 88.584 -103.6170
5.450000 88.649 -104.4964
5.520000 88.712 -105.3577
5.600000 88.782 -106.3208
5.700000 88.867 -107.4938
5.800000 88.949 -108.6315
5.900000 89.027 -109.7328
6.000000 89.104 -110.8053
6.080000 89.164 -111.6478
6.150000 89.215 -112.3721
6.220000 89.265 -113.0840
6.300000 89.321 -113.8830
6.400000 89.390 -114.8616
6.500000 89.457 -115.8151
6.600000 89.523 -116.7454
6.700000 89.587 -117.6582
6.800000 89.649 -118.5574
6.900000 89.710 -119.4399
7.000000 89.770 -120.3067
7.100000 89.828 -121.1586
7.200000 89.884 -121.9946
7.300000 89.939 -122.8158
7.400000 89.992 -123.6233
7.500000 90.044 -124.4178
7.620000 90.103 -125.3530
7.750000 90.166 -126.3434
7.880000 90.225 -127.3096
8.000000 90.278 -128.1804
8.120000 90.328 -129.0312
8.250000 90.381 -129.9294
8.380000 90.432 -130.8055
8.500000 90.478 -131.5959
8.620000 90.522 -132.3680
8.750000 90.569 -133.1871
8.850000 90.603 -133.8052
9.000000 90.654 -134.7130
9.120000 90.693 -135.4264
9.250000 90.733 -136.1865
9.380000 90.772 -136.9332
9.500000 90.805 -137.6114
9.620000 90.837 -138.2791
9.750000 90.870 -138.9886
9.880000 90.900 -139.6842
10.000000 90.925 -140.3131
10.150000 90.955 -141.0770
10.300000 90.981 -141.8166
10.440000 91.003 -142.4828
10.600000 91.027 -143.2137
10.750000 91.047 -143.8716
10.900000 91.068 -144.5024
11.060000 91.089 -145.1489
11.200000 91.109 -145.6983
11.380000 91.134 -146.3828
11.500000 91.152 -146.8345
11.720000 91.186 -147.6519
11.800000 91.199 -147.9508
12.060000 91.239 -148.9281
12.200000 91.259 -149.4615
12.410000 91.286 -150.2697
12.500000 91.296 -150.6159
12.650000 91.310 -151.1948
12.800000 91.321 -151.7655
13.150000 91.335 -153.0489
13.200000 91.336 -153.2237
13.400000 91.338 -153.9009
13.600000 91.340 -154.5379
13.800000 91.343 -155.1406
14.000000 91.349 -155.7157
14.300000 91.366 -156.5623
14.500000 91.381 -157.1334
14.750000 91.403 -157.8743
15.000000 91.423 -158.6524
15.250000 91.439 -159.4559
15.500000 91.449 -160.2685
15.750000 91.451 -161.0637
16.000000 91.448 -161.8172
16.250000 91.443 -162.5242
16.500000 91.440 -163.1877
16.750000 91.442 -163.8246
17.000000 91.447 -164.4617
17.250000 91.453 -165.1124
17.500000 91.458 -165.7833
17.750000 91.458 -166.4663
18.000000 91.451 -167.1328
18.250000 91.438 -167.7592
18.500000 91.421 -168.3252
18.750000 91.406 -168.8199
19.000000 91.397 -169.2628
19.250000 91.397 -169.6822
19.500000 91.407 -170.1113
19.750000 91.423 -170.5914
20.000000 91.439 -171.1367
20.299999 91.450 -171.8683
20.600000 91.445 -172.6416
20.900000 91.420 -173.3855
21.200001 91.380 -174.0279
21.400000 91.349 -174.3747
21.799999 91.297 -174.8858
22.000000 91.280 -175.0786
22.400000 91.273 -175.4359
22.700001 91.284 -175.7705
23.000000 91.300 -176.2033
23.299999 91.309 -176.7251
23.600000 91.304 -177.2873
24.000000 91.275 -177.9818
24.299999 91.244 -178.4001
24.700001 91.209 -178.8144
25.000000 91.195 -179.0775
25.400000 91.191 -179.4723
25.799999 91.188 -179.9795
26.200001 91.168 179.4590
26.500000 91.140 179.0812
26.900000 91.100 178.7015
27.200001 91.080 178.4926
27.600000 91.076 178.1915
28.000000 91.086 177.7261
28.500000 91.082 176.8579
29.000000 91.027 175.9153
29.500000 90.938 175.1975
30.000000 90.864 174.7347
30.400000 90.831 174.3950
30.700001 90.817 174.0768
31.100000 90.800 173.5417
31.500000 90.770 172.9361
32.000000 90.715 172.2227
32.500000 90.651 171.6606
33.000000 90.597 171.2394
33.500000 90.560 170.8809
34.000000 90.533 170.5234
34.500000 90.509 170.1697
35.000000 90.488 169.8298
35.500000 90.473 169.4254
36.000000 90.442 168.8505
36.500000 90.358 168.2192
37.000000 90.216 167.9378
37.500000 90.093 168.2556
38.200001 90.092 168.7432
38.700001 90.135 168.1462
39.500000 89.922 166.5785
40.000000 89.686 166.9729
40.599998 89.671 168.5815
41.200001 89.967 168.7188
41.799999 90.153 166.3947
42.500000 89.934 163.7307
43.099998 89.671 163.8029
43.700001 89.705 164.7504
44.400002 89.959 164.1133
45.000000 90.035 162.2593
45.500000 89.955 160.8692
46.200001 89.740 159.9735
46.799999 89.566 160.1207
47.500000 89.454 160.9302
48.200001 89.464 161.7287
48.700001 89.507 161.9700
49.400002 89.558 161.8701
50.000000 89.577 161.4784
50.799999 89.530 160.5724
51.500000 89.389 159.8814
52.200001 89.225 159.7269
53.000000 89.105 159.7657
53.799999 89.018 159.5501
54.500000 88.945 159.3174
55.200001 88.895 158.9870
56.000000 88.828 158.3837
57.000000 88.722 157.8929
58.000000 88.690 157.4553
59.000000 88.606 156.5935
60.000000 88.417 156.7676
60.799999 88.396 157.8506
61.500000 88.526 158.3218
62.200001 88.639 157.6580
63.000000 88.560 156.4023
64.000000 88.276 156.3815
65.000000 88.187 157.3484
66.000000 88.210 157.0786
67.000000 88.109 156.2627
68.000000 87.963 156.0512
69.000000 87.896 156.2065
70.000000 87.898 156.1656
71.000000 87.882 155.7297
72.000000 87.775 155.3833
73.000000 87.638 155.6118
74.000000 87.551 156.0277
75.000000 87.503 156.1415
76.199997 87.438 155.7601
77.500000 87.335 155.2325
78.800003 87.277 154.8277
80.000000 87.250 154.4008
81.199997 87.221 154.0268
82.500000 87.132 153.8317
83.800003 87.041 154.2428
85.000000 86.984 154.5004
86.199997 86.908 154.7765
87.500000 86.868 154.9191
88.500000 86.824 154.7327
90.000000 86.717 154.6591
91.199997 86.667 154.8064
92.500000 86.631 154.7348
93.800003 86.556 154.5923
95.000000 86.466 154.6240
96.199997 86.386 154.7943
97.500000 86.324 154.9585
98.800003 86.284 155.0476
100.000000 86.262 154.9584
101.500000 86.200 154.7000
103.000000 86.107 154.7076
104.400002 86.025 154.9177
106.000000 85.948 155.2625
107.500000 85.894 155.4661
109.000000 85.823 155.5193
110.599998 85.724 155.7932
112.000000 85.673 156.2337
113.800003 85.628 156.5404
115.000000 85.590 156.6302
117.199997 85.495 156.3311
118.000000 85.457 156.2039
120.599998 85.356 155.4950
122.000000 85.297 155.3079
124.099998 85.192 155.3975
125.000000 85.148 155.6271
126.500000 85.101 156.0182
128.000000 85.068 156.1841
131.500000 84.982 156.2694
132.000000 84.967 156.3189
134.000000 84.922 156.7185
136.000000 84.892 157.0336
138.000000 84.842 157.2358
140.000000 84.764 157.3716
143.000000 84.665 157.7239
145.000000 84.581 157.7278
147.500000 84.520 158.0992
150.000000 84.495 158.2737
152.500000 84.426 158.6985
155.000000 84.389 159.0775
157.500000 84.352 159.0689
160.000000 84.320 159.1503
162.500000 84.281 159.1217
165.000000 84.176 159.3817
167.500000 84.077 159.9922
170.000000 84.022 160.3878
172.500000 84.008 160.3288
175.000000 83.960 160.2677
177.500000 83.865 160.9980
180.000000 83.856 161.9579
182.500000 83.905 162.1192
185.000000 83.891 162.0218
187.500000 83.835 162.0639
190.000000 83.768 162.3424
192.500000 83.715 163.4215
195.000000 83.632 164.8484
197.500000 83.505 165.2120
200.000000 83.423 164.5598
203.000000 83.396 165.3549
206.000000 83.273 167.2390
209.000000 83.102 165.5580
212.000000 83.410 162.5489
214.000000 83.763 162.3398
218.000000 83.970 165.4385
220.000000 83.812 166.3344
224.000000 83.549 167.1606
227.000000 83.409 166.5608
230.000000 83.215 165.9104
233.000000 83.169 165.6029
236.000000 83.179 165.7558
240.000000 83.192 167.9521
243.000000 82.981 173.5108
247.000000 82.963 -178.8694
250.000000 83.222 178.3739
254.000000 83.222 171.9709
258.000000 83.004 169.2818
262.000000 82.958 168.3596
265.000000 82.993 168.3328
269.000000 82.978 168.3738
272.000000 82.961 168.4705
276.000000 82.936 168.7394
280.000000 82.931 168.8368
285.000000 82.891 169.0176
290.000000 82.829 169.5209
295.000000 82.778 170.2932
300.000000 82.784 170.5995
304.000000 82.758 170.5042
307.000000 82.715 170.4173
311.000000 82.685 170.5215
315.000000 82.688 170.9474
320.000000 82.705 171.5215
325.000000 82.675 171.7902
