* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 23/07/2022 10:31:55 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Vulkan R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 64.653 30.9455
1.015000 64.901 29.3984
1.030000 65.146 27.9961
1.044000 65.375 26.8088
1.060000 65.634 25.5843
1.075000 65.877 24.5540
1.090000 66.119 23.6267
1.106000 66.375 22.7395
1.120000 66.598 22.0398
1.138000 66.882 21.2310
1.150000 67.071 20.7403
1.172000 67.414 19.9216
1.180000 67.537 19.6447
1.206000 67.935 18.7956
1.220000 68.147 18.3569
1.241000 68.461 17.7000
1.250000 68.594 17.4128
1.265000 68.814 16.9182
1.280000 69.032 16.3946
1.315000 69.529 15.0018
1.320000 69.599 14.7776
1.340000 69.875 13.8023
1.360000 70.146 12.7099
1.380000 70.411 11.5674
1.400000 70.672 10.3856
1.430000 71.055 8.5542
1.450000 71.305 7.3040
1.475000 71.612 5.7202
1.500000 71.912 4.1257
1.525000 72.207 2.5334
1.550000 72.496 0.9569
1.575000 72.780 -0.5907
1.600000 73.059 -2.0960
1.625000 73.334 -3.5459
1.650000 73.604 -4.9269
1.675000 73.871 -6.2259
1.700000 74.133 -7.4359
1.725000 74.389 -8.5724
1.750000 74.640 -9.6448
1.775000 74.885 -10.6620
1.800000 75.126 -11.6328
1.825000 75.361 -12.5659
1.850000 75.592 -13.4700
1.875000 75.818 -14.3540
1.900000 76.040 -15.2266
1.925000 76.258 -16.0967
1.950000 76.473 -16.9728
1.975000 76.684 -17.8640
2.000000 76.892 -18.7788
2.030000 77.138 -19.9167
2.060000 77.377 -21.0709
2.090000 77.610 -22.2303
2.120000 77.838 -23.3925
2.140000 77.986 -24.1677
2.180000 78.276 -25.7159
2.200000 78.417 -26.4875
2.240000 78.694 -28.0220
2.270000 78.896 -29.1625
2.300000 79.094 -30.2915
2.330000 79.288 -31.4065
2.360000 79.479 -32.5055
2.400000 79.726 -33.9583
2.430000 79.905 -35.0417
2.470000 80.137 -36.4746
2.500000 80.306 -37.5384
2.540000 80.525 -38.9390
2.580000 80.737 -40.3156
2.620000 80.943 -41.6641
2.650000 81.094 -42.6545
2.690000 81.291 -43.9441
2.720000 81.435 -44.8838
2.760000 81.620 -46.0985
2.800000 81.799 -47.2768
2.850000 82.013 -48.7100
2.900000 82.219 -50.1134
2.950000 82.417 -51.5020
3.000000 82.609 -52.8911
3.040000 82.758 -54.0128
3.070000 82.867 -54.8627
3.110000 83.007 -56.0023
3.150000 83.141 -57.1416
3.200000 83.304 -58.5532
3.250000 83.460 -59.9360
3.300000 83.611 -61.2744
3.350000 83.757 -62.5526
3.400000 83.900 -63.7574
3.450000 84.036 -64.8950
3.500000 84.167 -65.9799
3.550000 84.293 -67.0261
3.600000 84.415 -68.0480
3.650000 84.534 -69.0599
3.700000 84.651 -70.0759
3.750000 84.765 -71.0981
3.820000 84.919 -72.5184
3.870000 85.024 -73.5169
3.950000 85.189 -75.0704
4.000000 85.290 -76.0046
4.060000 85.409 -77.0778
4.120000 85.526 -78.0930
4.180000 85.641 -79.0626
4.250000 85.771 -80.1560
4.310000 85.881 -81.0782
4.370000 85.990 -82.0025
4.440000 86.116 -83.0832
4.500000 86.222 -83.9987
4.550000 86.309 -84.7540
4.620000 86.429 -85.7993
4.680000 86.530 -86.6841
4.750000 86.646 -87.7019
4.820000 86.760 -88.7009
4.870000 86.840 -89.4054
4.940000 86.950 -90.3833
5.000000 87.042 -91.2172
5.080000 87.161 -92.3285
5.150000 87.263 -93.2978
5.220000 87.361 -94.2617
5.300000 87.469 -95.3554
5.380000 87.573 -96.4384
5.450000 87.660 -97.3796
5.520000 87.743 -98.3160
5.600000 87.834 -99.3749
5.700000 87.942 -100.6720
5.800000 88.042 -101.9344
5.900000 88.136 -103.1678
6.000000 88.223 -104.3696
6.080000 88.290 -105.3066
6.150000 88.346 -106.1100
6.220000 88.398 -106.8977
6.300000 88.456 -107.7768
6.400000 88.526 -108.8405
6.500000 88.593 -109.8609
6.600000 88.657 -110.8430
6.700000 88.720 -111.7958
6.800000 88.782 -112.7236
6.900000 88.842 -113.6213
7.000000 88.902 -114.4956
7.100000 88.962 -115.3528
7.200000 89.021 -116.1881
7.300000 89.080 -117.0057
7.400000 89.138 -117.8134
7.500000 89.195 -118.6131
7.620000 89.262 -119.5584
7.750000 89.333 -120.5683
7.880000 89.401 -121.5658
8.000000 89.462 -122.4728
8.120000 89.520 -123.3637
8.250000 89.579 -124.3123
8.380000 89.636 -125.2401
8.500000 89.685 -126.0749
8.620000 89.733 -126.8904
8.750000 89.782 -127.7504
8.850000 89.819 -128.3938
9.000000 89.873 -129.3320
9.120000 89.916 -130.0640
9.250000 89.961 -130.8364
9.380000 90.006 -131.5925
9.500000 90.048 -132.2801
9.620000 90.089 -132.9559
9.750000 90.133 -133.6808
9.880000 90.177 -134.4008
10.000000 90.216 -135.0603
10.150000 90.264 -135.8809
10.300000 90.310 -136.6976
10.440000 90.350 -137.4553
10.600000 90.394 -138.3168
10.750000 90.431 -139.1171
10.900000 90.465 -139.9083
11.060000 90.498 -140.7410
11.200000 90.523 -141.4561
11.380000 90.550 -142.3570
11.500000 90.566 -142.9414
11.720000 90.590 -143.9799
11.800000 90.598 -144.3444
12.060000 90.617 -145.4806
12.200000 90.626 -146.0599
12.410000 90.638 -146.8872
12.500000 90.643 -147.2290
12.650000 90.653 -147.7797
12.800000 90.663 -148.3170
13.150000 90.692 -149.5352
13.200000 90.697 -149.7089
13.400000 90.715 -150.4034
13.600000 90.732 -151.1072
13.800000 90.747 -151.8139
14.000000 90.756 -152.5181
14.300000 90.762 -153.5267
14.500000 90.762 -154.1479
14.750000 90.761 -154.8451
15.000000 90.769 -155.4602
15.250000 90.791 -156.0337
15.500000 90.829 -156.6138
15.750000 90.883 -157.2693
16.000000 90.944 -158.0564
16.250000 90.999 -158.9780
16.500000 91.041 -160.0155
16.750000 91.059 -161.1107
17.000000 91.054 -162.1711
17.250000 91.030 -163.1382
17.500000 90.997 -163.9699
17.750000 90.965 -164.6557
18.000000 90.944 -165.2482
18.250000 90.937 -165.8034
18.500000 90.942 -166.3771
18.750000 90.951 -167.0183
19.000000 90.955 -167.7169
19.250000 90.948 -168.4392
19.500000 90.926 -169.1404
19.750000 90.893 -169.7576
20.000000 90.856 -170.2677
20.299999 90.816 -170.7455
20.600000 90.790 -171.1248
20.900000 90.778 -171.4787
21.200001 90.776 -171.8611
21.400000 90.776 -172.1372
21.799999 90.770 -172.6912
22.000000 90.767 -172.9462
22.400000 90.767 -173.4008
22.700001 90.780 -173.7360
23.000000 90.806 -174.1369
23.299999 90.836 -174.6594
23.600000 90.858 -175.3173
24.000000 90.856 -176.3206
24.299999 90.827 -177.0499
24.700001 90.764 -177.8383
25.000000 90.718 -178.2637
25.400000 90.680 -178.6960
25.799999 90.673 -179.1669
26.200001 90.673 -179.8147
26.500000 90.663 179.6039
26.900000 90.620 178.8564
27.200001 90.572 178.4293
27.600000 90.515 178.1031
28.000000 90.491 177.9488
28.500000 90.512 177.6440
29.000000 90.530 176.9980
29.500000 90.486 176.3027
30.000000 90.407 176.0664
30.400000 90.377 176.2313
30.700001 90.395 176.3696
31.100000 90.459 176.2781
31.500000 90.517 175.7142
32.000000 90.505 174.6089
32.500000 90.388 173.6785
33.000000 90.239 173.2778
33.500000 90.129 173.1631
34.000000 90.056 172.9341
34.500000 89.983 172.5294
35.000000 89.907 172.0895
35.500000 89.846 171.5834
36.000000 89.788 170.8868
36.500000 89.700 170.1414
37.000000 89.599 169.7004
37.500000 89.555 169.6094
38.200001 89.630 169.1649
38.700001 89.682 168.2334
39.500000 89.604 167.0083
40.000000 89.565 167.1710
40.599998 89.697 167.5789
41.200001 89.934 166.7849
41.799999 90.022 164.5980
42.500000 89.762 162.2354
43.099998 89.364 162.0868
43.700001 89.077 163.5779
44.400002 89.034 165.3804
45.000000 89.099 165.8646
45.500000 89.120 165.6999
46.200001 89.084 165.2570
46.799999 89.035 164.8762
47.500000 88.980 164.3822
48.200001 88.935 163.8444
48.700001 88.912 163.3934
49.400002 88.870 162.6652
50.000000 88.815 162.1398
50.799999 88.749 161.7427
51.500000 88.714 161.4734
52.200001 88.674 161.2170
53.000000 88.626 161.0361
53.799999 88.582 160.7719
54.500000 88.516 160.4637
55.200001 88.431 160.2768
56.000000 88.350 160.1202
57.000000 88.255 159.7939
58.000000 88.173 159.4869
59.000000 88.089 158.9480
60.000000 87.944 158.9454
60.799999 87.932 159.4794
61.500000 88.002 159.3421
62.200001 87.996 158.5051
63.000000 87.838 157.8664
64.000000 87.659 158.2280
65.000000 87.614 158.3080
66.000000 87.541 157.8270
67.000000 87.457 157.4718
68.000000 87.420 157.0547
69.000000 87.379 156.4875
70.000000 87.323 156.2615
71.000000 87.306 156.3519
72.000000 87.300 156.4456
73.000000 87.275 156.6464
74.000000 87.243 156.7969
75.000000 87.165 156.7507
76.199997 87.006 156.7567
77.500000 86.832 156.8378
78.800003 86.697 156.7976
80.000000 86.610 156.5528
81.199997 86.539 156.2679
82.500000 86.465 156.1206
83.800003 86.423 156.2774
85.000000 86.388 156.2477
86.199997 86.313 156.2935
87.500000 86.218 156.3050
88.500000 86.131 156.4125
90.000000 86.037 156.4653
91.199997 85.949 156.5583
92.500000 85.907 156.7115
93.800003 85.854 156.6769
95.000000 85.807 156.7462
96.199997 85.757 156.6857
97.500000 85.677 156.6630
98.800003 85.597 156.7147
100.000000 85.531 156.8275
101.500000 85.480 157.0257
103.000000 85.454 157.0686
104.400002 85.409 157.0857
106.000000 85.359 157.2546
107.500000 85.302 157.4277
109.000000 85.260 157.6697
110.599998 85.220 157.4951
112.000000 85.121 157.2845
113.800003 85.010 157.7643
115.000000 85.041 158.0784
117.199997 84.997 157.3392
118.000000 84.896 157.3923
120.599998 84.779 158.9592
122.000000 84.818 158.9177
124.099998 84.732 158.2637
125.000000 84.665 158.1990
126.500000 84.571 158.4471
128.000000 84.521 158.9487
131.500000 84.517 159.5387
132.000000 84.507 159.5001
134.000000 84.428 159.3828
136.000000 84.340 159.5485
138.000000 84.278 159.8949
140.000000 84.233 160.3488
143.000000 84.202 160.8949
145.000000 84.171 161.0000
147.500000 84.115 161.1235
150.000000 84.056 161.2992
152.500000 83.988 161.4973
155.000000 83.933 161.7944
157.500000 83.889 162.0678
160.000000 83.838 162.2915
162.500000 83.793 162.3818
165.000000 83.756 162.5290
167.500000 83.728 163.0191
170.000000 83.700 163.5657
172.500000 83.630 163.6105
175.000000 83.526 163.3832
177.500000 83.492 163.2416
180.000000 83.524 162.9494
182.500000 83.474 162.5103
185.000000 83.343 162.7301
187.500000 83.298 163.5647
190.000000 83.318 164.6240
192.500000 83.319 166.0312
195.000000 83.316 167.1529
197.500000 83.282 167.2721
200.000000 83.216 167.1970
203.000000 83.224 167.5717
206.000000 83.256 167.8344
209.000000 83.210 168.0809
212.000000 83.103 168.2989
214.000000 83.018 168.4053
218.000000 82.867 169.2534
220.000000 82.868 169.7491
224.000000 82.978 169.3203
227.000000 83.074 168.9279
230.000000 83.118 169.0077
233.000000 83.096 169.1379
236.000000 83.034 169.1937
240.000000 82.755 169.4052
243.000000 82.549 169.8521
247.000000 82.863 171.0830
250.000000 83.035 170.8096
254.000000 82.961 170.4648
258.000000 82.882 170.5599
262.000000 82.850 170.8212
265.000000 82.810 170.9377
269.000000 82.788 171.2442
272.000000 82.770 171.4999
276.000000 82.758 171.8686
280.000000 82.744 171.9524
285.000000 82.707 172.3731
290.000000 82.817 172.6237
295.000000 82.885 172.8973
300.000000 82.764 173.4983
304.000000 82.682 173.7834
307.000000 82.647 173.9821
311.000000 82.621 174.3098
315.000000 82.612 174.6071
320.000000 82.596 175.0081
325.000000 82.501 174.8677
