* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -24.2 dBFS, measurement signal peak level -24.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/09/2024 11:55:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.9369 ms (-321 mm, -(1 ft 0.65 in)) using estimated IR delay relative to Acoustic reference on HEADPHONE L with no timing offset
* Measurement: Xeno v0.06 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 35.879 172.4701
1.015000 35.877 171.9850
1.030000 35.876 171.4773
1.044000 35.876 170.9823
1.060000 35.876 170.3905
1.075000 35.877 169.8094
1.090000 35.878 169.2018
1.106000 35.879 168.5242
1.120000 35.880 167.9090
1.138000 35.884 167.0891
1.150000 35.887 166.5246
1.172000 35.894 165.4536
1.180000 35.898 165.0527
1.206000 35.909 163.7088
1.220000 35.917 162.9597
1.241000 35.928 161.8033
1.250000 35.933 161.2961
1.265000 35.942 160.4353
1.280000 35.951 159.5557
1.315000 35.972 157.4326
1.320000 35.975 157.1214
1.340000 35.986 155.8576
1.360000 35.997 154.5640
1.380000 36.006 153.2415
1.400000 36.014 151.8911
1.430000 36.022 149.8154
1.450000 36.025 148.3994
1.475000 36.049 146.5900
1.500000 36.108 144.6963
1.525000 36.173 142.7181
1.550000 36.243 140.6663
1.575000 36.318 138.5517
1.600000 36.400 136.3857
1.625000 36.488 134.1789
1.650000 36.583 131.9426
1.675000 36.685 129.6876
1.700000 36.794 127.4250
1.725000 36.910 125.1657
1.750000 37.034 122.9208
1.775000 37.167 120.7013
1.800000 37.308 118.5181
1.825000 37.457 116.3822
1.850000 37.617 114.2796
1.875000 37.790 112.1594
1.900000 37.975 110.0258
1.925000 38.170 107.8852
1.950000 38.374 105.7445
1.975000 38.586 103.6103
2.000000 38.805 101.4892
2.030000 39.074 98.9706
2.060000 39.348 96.4920
2.090000 39.626 94.0649
2.120000 39.904 91.7009
2.140000 40.089 90.1656
2.180000 40.454 87.2079
2.200000 40.633 85.7922
2.240000 40.996 83.0629
2.270000 41.274 81.0923
2.300000 41.556 79.1841
2.330000 41.841 77.3351
2.360000 42.128 75.5424
2.400000 42.510 73.2345
2.430000 42.795 71.5615
2.470000 43.171 69.4023
2.500000 43.447 67.8327
2.540000 43.807 65.8006
2.580000 44.155 63.8357
2.620000 44.496 61.9680
2.650000 44.748 60.6312
2.690000 45.079 58.9259
2.720000 45.324 57.6995
2.760000 45.645 56.1264
2.800000 45.960 54.6153
2.850000 46.345 52.7984
2.900000 46.719 51.0436
2.950000 47.082 49.3376
3.000000 47.433 47.7178
3.040000 47.705 46.4862
3.070000 47.905 45.5967
3.110000 48.167 44.4523
3.150000 48.422 43.3507
3.200000 48.735 42.0263
3.250000 49.040 40.7512
3.300000 49.339 39.5157
3.350000 49.630 38.3350
3.400000 49.912 37.2195
3.450000 50.186 36.1611
3.500000 50.453 35.1522
3.550000 50.714 34.1848
3.600000 50.970 33.2513
3.650000 51.223 32.3437
3.700000 51.472 31.4641
3.750000 51.716 30.6287
3.820000 52.047 29.5241
3.870000 52.279 28.7734
3.950000 52.642 27.6222
4.000000 52.866 26.9248
4.060000 53.131 26.1056
4.120000 53.392 25.3246
4.180000 53.648 24.5778
4.250000 53.942 23.7390
4.310000 54.190 23.0388
4.370000 54.434 22.3475
4.440000 54.716 21.5485
4.500000 54.954 20.8824
4.550000 55.149 20.3389
4.620000 55.419 19.5911
4.680000 55.647 18.9584
4.750000 55.909 18.2247
4.820000 56.167 17.4954
4.870000 56.348 16.9804
4.940000 56.598 16.2670
5.000000 56.809 15.6613
5.080000 57.086 14.8602
5.150000 57.324 14.1639
5.220000 57.558 13.4728
5.300000 57.821 12.6901
5.380000 58.078 11.9150
5.450000 58.300 11.2431
5.520000 58.519 10.5773
5.600000 58.765 9.8236
5.700000 59.066 8.8926
5.800000 59.361 7.9733
5.900000 59.651 7.0657
6.000000 59.935 6.1697
6.080000 60.158 5.4613
6.150000 60.351 4.8477
6.220000 60.542 4.2397
6.300000 60.758 3.5514
6.400000 61.023 2.7005
6.500000 61.284 1.8629
6.600000 61.541 1.0414
6.700000 61.794 0.2346
6.800000 62.042 -0.5573
6.900000 62.288 -1.3309
7.000000 62.532 -2.0830
7.100000 62.773 -2.8140
7.200000 63.012 -3.5258
7.300000 63.250 -4.2200
7.400000 63.488 -4.8950
7.500000 63.725 -5.5482
7.620000 64.009 -6.3171
7.750000 64.319 -7.1462
7.880000 64.631 -7.9603
8.000000 64.918 -8.7166
8.120000 65.204 -9.4954
8.250000 65.514 -10.3559
8.380000 65.820 -11.2391
8.500000 66.095 -12.0838
8.620000 66.366 -12.9573
8.750000 66.649 -13.9141
8.850000 66.858 -14.6495
9.000000 67.159 -15.7693
9.120000 67.388 -16.6388
9.250000 67.622 -17.5283
9.380000 67.844 -18.3794
9.500000 68.042 -19.0979
9.620000 68.234 -19.7317
9.750000 68.434 -20.3375
9.880000 68.636 -20.8641
10.000000 68.826 -21.2673
10.150000 69.067 -21.6771
10.300000 69.320 -22.0597
10.440000 69.569 -22.3729
10.600000 69.863 -22.7566
10.750000 70.148 -23.2029
10.900000 70.437 -23.7169
11.060000 70.736 -24.3950
11.200000 70.993 -25.1023
11.380000 71.298 -26.1020
11.500000 71.482 -26.8369
11.720000 71.782 -28.2054
11.800000 71.876 -28.6768
12.060000 72.136 -30.0980
12.200000 72.255 -30.6735
12.410000 72.414 -31.3000
12.500000 72.487 -31.4628
12.650000 72.608 -31.5771
12.800000 72.745 -31.5834
13.150000 73.165 -31.3412
13.200000 73.236 -31.3324
13.400000 73.550 -31.3525
13.600000 73.884 -31.6450
13.800000 74.232 -32.2911
14.000000 74.558 -33.2665
14.300000 74.988 -35.2857
14.500000 75.212 -36.8541
14.750000 75.424 -38.8123
15.000000 75.562 -40.6309
15.250000 75.651 -42.0831
15.500000 75.726 -43.1340
15.750000 75.809 -43.7975
16.000000 75.932 -44.1815
16.250000 76.102 -44.4999
16.500000 76.313 -44.8692
16.750000 76.553 -45.4398
17.000000 76.794 -46.2324
17.250000 77.025 -47.2101
17.500000 77.233 -48.3104
17.750000 77.416 -49.4103
18.000000 77.580 -50.4593
18.250000 77.732 -51.4041
18.500000 77.881 -52.2419
18.750000 78.034 -53.0033
19.000000 78.191 -53.7165
19.250000 78.353 -54.4309
19.500000 78.513 -55.1550
19.750000 78.668 -55.8939
20.000000 78.814 -56.6266
20.299999 78.980 -57.4634
20.600000 79.137 -58.2304
20.900000 79.292 -58.9230
21.200001 79.449 -59.5675
21.400000 79.556 -59.9963
21.799999 79.771 -60.8870
22.000000 79.876 -61.3586
22.400000 80.074 -62.3447
22.700001 80.212 -63.0913
23.000000 80.344 -63.8184
23.299999 80.474 -64.5269
23.600000 80.604 -65.2340
24.000000 80.781 -66.2111
24.299999 80.913 -66.9891
24.700001 81.082 -68.0851
25.000000 81.204 -68.9362
25.400000 81.358 -70.0900
25.799999 81.500 -71.2476
26.200001 81.626 -72.3668
26.500000 81.711 -73.1261
26.900000 81.816 -73.9510
27.200001 81.904 -74.4020
27.600000 82.052 -74.8356
28.000000 82.247 -75.2721
28.500000 82.524 -76.1544
29.000000 82.762 -77.4779
29.500000 82.911 -78.8588
30.000000 82.996 -79.7869
30.400000 83.069 -80.1180
30.700001 83.147 -80.2288
31.100000 83.283 -80.4050
31.500000 83.434 -80.7588
32.000000 83.605 -81.4584
32.500000 83.738 -82.2515
33.000000 83.847 -82.9720
33.500000 83.951 -83.6296
34.000000 84.056 -84.3044
34.500000 84.156 -85.0229
35.000000 84.252 -85.7599
35.500000 84.345 -86.4983
36.000000 84.439 -87.2407
36.500000 84.530 -87.9811
37.000000 84.621 -88.6990
37.500000 84.713 -89.3824
38.200001 84.846 -90.2972
38.700001 84.944 -90.9413
39.500000 85.093 -91.9691
40.000000 85.178 -92.5889
40.599998 85.272 -93.2749
41.200001 85.365 -93.8978
41.799999 85.459 -94.5035
42.500000 85.566 -95.2319
43.099998 85.652 -95.8569
43.700001 85.736 -96.4709
44.400002 85.832 -97.1981
45.000000 85.909 -97.8287
45.500000 85.969 -98.3351
46.200001 86.052 -99.0025
46.799999 86.123 -99.5494
47.500000 86.208 -100.1647
48.200001 86.297 -100.7886
48.700001 86.360 -101.2829
49.400002 86.435 -102.0436
50.000000 86.482 -102.6709
50.799999 86.537 -103.3784
51.500000 86.594 -103.9369
52.200001 86.655 -104.4809
53.000000 86.735 -105.0800
53.799999 86.822 -105.7385
54.500000 86.884 -106.3390
55.200001 86.935 -106.8237
56.000000 87.004 -107.2618
57.000000 87.091 -107.8336
58.000000 87.168 -108.3657
59.000000 87.243 -109.0161
60.000000 87.281 -109.7263
60.799999 87.307 -110.2009
61.500000 87.336 -110.6329
62.200001 87.363 -111.0828
63.000000 87.396 -111.5699
64.000000 87.444 -112.1626
65.000000 87.494 -112.6708
66.000000 87.556 -113.1422
67.000000 87.610 -113.6051
68.000000 87.661 -113.9778
69.000000 87.711 -114.3803
70.000000 87.748 -114.7847
71.000000 87.786 -115.1641
72.000000 87.825 -115.6101
73.000000 87.853 -116.1030
74.000000 87.872 -116.5259
75.000000 87.900 -116.8770
76.199997 87.941 -117.3448
77.500000 87.974 -117.8488
78.800003 88.003 -118.2612
80.000000 88.033 -118.6185
81.199997 88.061 -118.9536
82.500000 88.092 -119.3158
83.800003 88.115 -119.6591
85.000000 88.138 -119.9272
86.199997 88.161 -120.2286
87.500000 88.179 -120.5432
88.500000 88.194 -120.7748
90.000000 88.214 -121.1292
91.199997 88.232 -121.3805
92.500000 88.251 -121.6617
93.800003 88.264 -121.9182
95.000000 88.274 -122.1183
96.199997 88.282 -122.2977
97.500000 88.290 -122.4856
98.800003 88.296 -122.6895
100.000000 88.298 -122.8521
101.500000 88.305 -123.0152
103.000000 88.316 -123.1769
104.400002 88.325 -123.3254
106.000000 88.336 -123.4937
107.500000 88.340 -123.6960
109.000000 88.333 -123.8840
110.599998 88.323 -124.0074
112.000000 88.322 -124.0912
113.800003 88.321 -124.2319
115.000000 88.316 -124.3158
117.199997 88.301 -124.4113
118.000000 88.297 -124.4154
120.599998 88.294 -124.4167
122.000000 88.291 -124.4265
124.099998 88.282 -124.4006
125.000000 88.280 -124.3707
126.500000 88.281 -124.3183
128.000000 88.289 -124.3026
131.500000 88.289 -124.4241
132.000000 88.283 -124.4225
134.000000 88.262 -124.3112
136.000000 88.248 -124.1731
138.000000 88.226 -124.0663
140.000000 88.200 -123.9172
143.000000 88.169 -123.7433
145.000000 88.145 -123.6355
147.500000 88.117 -123.4540
150.000000 88.093 -123.2599
152.500000 88.065 -123.0579
155.000000 88.036 -122.8167
157.500000 88.008 -122.5433
160.000000 87.979 -122.2592
162.500000 87.952 -121.9718
165.000000 87.926 -121.6826
167.500000 87.891 -121.3500
170.000000 87.854 -120.9644
172.500000 87.820 -120.6132
175.000000 87.785 -120.2578
177.500000 87.754 -119.8731
180.000000 87.722 -119.4932
182.500000 87.687 -119.1196
185.000000 87.653 -118.7408
187.500000 87.616 -118.3475
190.000000 87.578 -117.9215
192.500000 87.540 -117.4739
195.000000 87.502 -117.0246
197.500000 87.465 -116.5836
200.000000 87.428 -116.1248
203.000000 87.387 -115.5316
206.000000 87.343 -114.9072
209.000000 87.299 -114.2885
212.000000 87.255 -113.6820
214.000000 87.224 -113.2667
218.000000 87.164 -112.4111
220.000000 87.134 -111.9833
224.000000 87.075 -111.1031
227.000000 87.029 -110.4316
230.000000 86.983 -109.7504
233.000000 86.939 -109.0415
236.000000 86.895 -108.3224
240.000000 86.834 -107.3644
243.000000 86.785 -106.6309
247.000000 86.724 -105.6509
250.000000 86.680 -104.9176
254.000000 86.619 -103.9103
258.000000 86.559 -102.8738
262.000000 86.499 -101.8179
265.000000 86.454 -101.0253
269.000000 86.395 -99.9641
272.000000 86.352 -99.1493
