* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -19.8 dBFS, measurement signal peak level -20.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/09/2024 11:53:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -1.2053 ms (-413 mm, -(1 ft 4.28 in)) using IR start time relative to Acoustic reference on HEADPHONE R with no timing offset
* Measurement: Xeno v0.06 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 41.157 90.6281
1.015000 41.189 89.1810
1.030000 41.221 87.7719
1.044000 41.251 86.4957
1.060000 41.284 85.0883
1.075000 41.316 83.8238
1.090000 41.347 82.6175
1.106000 41.379 81.3980
1.120000 41.408 80.3761
1.138000 41.445 79.1170
1.150000 41.470 78.3097
1.172000 41.516 76.8914
1.180000 41.533 76.3941
1.206000 41.587 74.8396
1.220000 41.617 74.0381
1.241000 41.661 72.8766
1.250000 41.680 72.3922
1.265000 41.712 71.6008
1.280000 41.744 70.8268
1.315000 41.819 69.0740
1.320000 41.830 68.8282
1.340000 41.873 67.8529
1.360000 41.916 66.8851
1.380000 41.959 65.9186
1.400000 42.001 64.9472
1.430000 42.066 63.4672
1.450000 42.108 62.4561
1.475000 42.162 61.1559
1.500000 42.215 59.8294
1.525000 42.268 58.4873
1.550000 42.320 57.1372
1.575000 42.373 55.7865
1.600000 42.425 54.4428
1.625000 42.478 53.1134
1.650000 42.531 51.8060
1.675000 42.584 50.5280
1.700000 42.637 49.2869
1.725000 42.691 48.0901
1.750000 42.745 46.9452
1.775000 42.800 45.8596
1.800000 42.856 44.8409
1.825000 42.912 43.8964
1.850000 42.969 43.0289
1.875000 43.024 42.2279
1.900000 43.079 41.4884
1.925000 43.134 40.8058
1.950000 43.189 40.1754
1.975000 43.244 39.5927
2.000000 43.300 39.0530
2.030000 43.368 38.4556
2.060000 43.439 37.9055
2.090000 43.513 37.3946
2.120000 43.590 36.9151
2.140000 43.644 36.6088
2.180000 43.758 36.0179
2.200000 43.819 35.7287
2.240000 43.944 35.2067
2.270000 44.041 34.8740
2.300000 44.141 34.5855
2.330000 44.243 34.3358
2.360000 44.349 34.1193
2.400000 44.497 33.8730
2.430000 44.612 33.7129
2.470000 44.771 33.5218
2.500000 44.896 33.3882
2.540000 45.071 33.2125
2.580000 45.254 33.0343
2.620000 45.449 32.8968
2.650000 45.601 32.8219
2.690000 45.811 32.7503
2.720000 45.974 32.7115
2.760000 46.197 32.6702
2.800000 46.425 32.6303
2.850000 46.715 32.5644
2.900000 47.010 32.4596
2.950000 47.306 32.2998
3.000000 47.612 32.1264
3.040000 47.863 31.9812
3.070000 48.055 31.8652
3.110000 48.312 31.6972
3.150000 48.572 31.5096
3.200000 48.895 31.2398
3.250000 49.216 30.9221
3.300000 49.530 30.5466
3.350000 49.841 30.1032
3.400000 50.153 29.5981
3.450000 50.464 29.0451
3.500000 50.772 28.4579
3.550000 51.076 27.8500
3.600000 51.376 27.2352
3.650000 51.669 26.6270
3.700000 51.955 26.0274
3.750000 52.236 25.4155
3.820000 52.622 24.5406
3.870000 52.892 23.9056
3.950000 53.313 22.8780
4.000000 53.570 22.2319
4.060000 53.872 21.4521
4.120000 54.166 20.6520
4.180000 54.453 19.8396
4.250000 54.779 18.8918
4.310000 55.053 18.0929
4.370000 55.322 17.3186
4.440000 55.630 16.4562
4.500000 55.887 15.7418
4.550000 56.098 15.1606
4.620000 56.387 14.3646
4.680000 56.631 13.6950
4.750000 56.912 12.9238
4.820000 57.189 12.1625
4.870000 57.384 11.6278
4.940000 57.652 10.8914
5.000000 57.879 10.2711
5.080000 58.177 9.4586
5.150000 58.435 8.7611
5.220000 58.689 8.0795
5.300000 58.976 7.3180
5.380000 59.257 6.5698
5.450000 59.500 5.9221
5.520000 59.739 5.2774
5.600000 60.007 4.5471
5.700000 60.337 3.6464
5.800000 60.658 2.7605
5.900000 60.972 1.8898
6.000000 61.278 1.0312
6.080000 61.518 0.3558
6.150000 61.723 -0.2242
6.220000 61.926 -0.7916
6.300000 62.154 -1.4242
6.400000 62.431 -2.1943
6.500000 62.703 -2.9420
6.600000 62.970 -3.6681
6.700000 63.232 -4.3706
6.800000 63.489 -5.0507
6.900000 63.741 -5.7125
7.000000 63.991 -6.3588
7.100000 64.237 -6.9841
7.200000 64.479 -7.5942
7.300000 64.718 -8.1976
7.400000 64.954 -8.7985
7.500000 65.186 -9.3922
7.620000 65.460 -10.0980
7.750000 65.749 -10.8588
7.880000 66.032 -11.6160
8.000000 66.285 -12.3073
8.120000 66.532 -12.9889
8.250000 66.792 -13.7193
8.380000 67.044 -14.4339
8.500000 67.271 -15.0737
8.620000 67.492 -15.6967
8.750000 67.725 -16.3529
8.850000 67.901 -16.8433
9.000000 68.160 -17.5544
9.120000 68.363 -18.1096
9.250000 68.579 -18.7021
9.380000 68.791 -19.2824
9.500000 68.983 -19.8123
9.620000 69.171 -20.3406
9.750000 69.370 -20.9086
9.880000 69.564 -21.4661
10.000000 69.738 -21.9725
10.150000 69.949 -22.5920
10.300000 70.154 -23.1758
10.440000 70.340 -23.6884
10.600000 70.549 -24.2349
10.750000 70.746 -24.6980
10.900000 70.944 -25.1243
11.060000 71.161 -25.5694
11.200000 71.357 -25.9398
11.380000 71.616 -26.4633
11.500000 71.794 -26.8495
11.720000 72.124 -27.6665
11.800000 72.242 -28.0175
12.060000 72.619 -29.3248
12.200000 72.804 -30.1335
12.410000 73.058 -31.4522
12.500000 73.154 -32.0154
12.650000 73.297 -32.9808
12.800000 73.422 -33.8941
13.150000 73.650 -35.6311
13.200000 73.681 -35.8178
13.400000 73.794 -36.3883
13.600000 73.925 -36.7361
13.800000 74.085 -36.8511
14.000000 74.285 -36.9325
14.300000 74.662 -37.1251
14.500000 74.952 -37.5145
14.750000 75.318 -38.3679
15.000000 75.667 -39.6405
15.250000 75.963 -41.2073
15.500000 76.198 -42.8411
15.750000 76.375 -44.3934
16.000000 76.508 -45.6509
16.250000 76.629 -46.5570
16.500000 76.759 -47.1351
16.750000 76.923 -47.4670
17.000000 77.127 -47.7597
17.250000 77.363 -48.1134
17.500000 77.617 -48.6496
17.750000 77.866 -49.3779
18.000000 78.099 -50.2475
18.250000 78.307 -51.1973
18.500000 78.492 -52.1177
18.750000 78.660 -52.9757
19.000000 78.819 -53.7412
19.250000 78.976 -54.4315
19.500000 79.135 -55.0790
19.750000 79.295 -55.7079
20.000000 79.455 -56.3450
20.299999 79.642 -57.1129
20.600000 79.823 -57.8732
20.900000 80.002 -58.6131
21.200001 80.181 -59.3383
21.400000 80.303 -59.8335
21.799999 80.546 -60.8911
22.000000 80.664 -61.4656
22.400000 80.884 -62.6979
22.700001 81.030 -63.6458
23.000000 81.161 -64.5538
23.299999 81.283 -65.3905
23.600000 81.403 -66.1604
24.000000 81.567 -67.1299
24.299999 81.691 -67.8637
24.700001 81.847 -68.8782
25.000000 81.951 -69.6366
25.400000 82.071 -70.5585
25.799999 82.179 -71.2855
26.200001 82.298 -71.8105
26.500000 82.404 -72.1370
26.900000 82.571 -72.6072
27.200001 82.706 -73.0658
27.600000 82.882 -73.8644
28.000000 83.031 -74.8269
28.500000 83.165 -76.0588
29.000000 83.257 -77.0719
29.500000 83.344 -77.7749
30.000000 83.463 -78.3155
30.400000 83.586 -78.8133
30.700001 83.685 -79.2951
31.100000 83.811 -80.0923
31.500000 83.916 -80.9957
32.000000 84.017 -82.0993
32.500000 84.106 -83.0498
33.000000 84.209 -83.9024
33.500000 84.324 -84.7966
34.000000 84.429 -85.7598
34.500000 84.512 -86.6454
35.000000 84.591 -87.3069
35.500000 84.695 -87.7710
36.000000 84.835 -88.2342
36.500000 84.990 -88.8695
37.000000 85.128 -89.6814
37.500000 85.233 -90.5225
38.200001 85.339 -91.4557
38.700001 85.416 -91.9083
39.500000 85.575 -92.5825
40.000000 85.679 -93.1525
40.599998 85.781 -93.9709
41.200001 85.850 -94.7422
41.799999 85.912 -95.3590
42.500000 86.006 -96.0209
43.099998 86.093 -96.7043
43.700001 86.166 -97.4625
44.400002 86.233 -98.2689
45.000000 86.294 -98.8410
45.500000 86.356 -99.2905
46.200001 86.451 -99.9673
46.799999 86.528 -100.5953
47.500000 86.605 -101.3051
48.200001 86.674 -101.9306
48.700001 86.723 -102.3284
49.400002 86.794 -102.8448
50.000000 86.855 -103.2717
50.799999 86.933 -103.8375
51.500000 86.997 -104.3189
52.200001 87.059 -104.7788
53.000000 87.131 -105.3288
53.799999 87.196 -105.9462
54.500000 87.238 -106.4912
55.200001 87.272 -106.9791
56.000000 87.312 -107.4543
57.000000 87.379 -108.0235
58.000000 87.450 -108.6824
59.000000 87.511 -109.3512
60.000000 87.566 -109.9710
60.799999 87.605 -110.4306
61.500000 87.638 -110.7796
62.200001 87.675 -111.0913
63.000000 87.722 -111.4549
64.000000 87.778 -111.9702
65.000000 87.820 -112.5158
66.000000 87.849 -113.0062
67.000000 87.879 -113.4088
68.000000 87.917 -113.7796
69.000000 87.959 -114.1688
70.000000 88.000 -114.5460
71.000000 88.043 -114.9479
72.000000 88.073 -115.3912
73.000000 88.088 -115.7647
74.000000 88.105 -116.0527
75.000000 88.129 -116.3465
76.199997 88.154 -116.7094
77.500000 88.183 -117.0830
78.800003 88.210 -117.4391
80.000000 88.238 -117.7243
81.199997 88.267 -118.0166
82.500000 88.292 -118.3266
83.800003 88.314 -118.6259
85.000000 88.329 -118.9050
86.199997 88.338 -119.1445
87.500000 88.351 -119.3651
88.500000 88.363 -119.5403
90.000000 88.376 -119.7983
91.199997 88.386 -119.9807
92.500000 88.397 -120.1800
93.800003 88.405 -120.3649
95.000000 88.411 -120.5047
96.199997 88.419 -120.6336
97.500000 88.427 -120.7738
98.800003 88.431 -120.9230
100.000000 88.430 -121.0408
101.500000 88.429 -121.1396
103.000000 88.433 -121.2199
104.400002 88.436 -121.3037
106.000000 88.436 -121.3879
107.500000 88.432 -121.4375
109.000000 88.428 -121.4596
110.599998 88.426 -121.5010
112.000000 88.420 -121.5518
113.800003 88.407 -121.5821
115.000000 88.398 -121.5623
117.199997 88.390 -121.4981
118.000000 88.388 -121.4804
120.599998 88.377 -121.4127
122.000000 88.368 -121.3608
124.099998 88.353 -121.2766
125.000000 88.345 -121.2325
126.500000 88.332 -121.1471
128.000000 88.324 -121.0587
131.500000 88.308 -120.9029
132.000000 88.305 -120.8750
134.000000 88.286 -120.7360
136.000000 88.258 -120.5425
138.000000 88.230 -120.3063
140.000000 88.204 -120.0818
143.000000 88.168 -119.7191
145.000000 88.148 -119.4751
147.500000 88.120 -119.1632
150.000000 88.090 -118.8315
152.500000 88.057 -118.4777
155.000000 88.024 -118.1022
157.500000 87.991 -117.7160
160.000000 87.958 -117.3147
162.500000 87.927 -116.9083
165.000000 87.892 -116.5048
167.500000 87.854 -116.0745
170.000000 87.815 -115.6072
172.500000 87.778 -115.1181
175.000000 87.742 -114.6224
177.500000 87.706 -114.1212
180.000000 87.669 -113.6006
182.500000 87.632 -113.0664
185.000000 87.593 -112.5276
187.500000 87.553 -111.9815
190.000000 87.513 -111.4223
192.500000 87.475 -110.8545
195.000000 87.438 -110.2940
197.500000 87.400 -109.7296
200.000000 87.360 -109.1430
203.000000 87.313 -108.4100
206.000000 87.264 -107.6495
209.000000 87.214 -106.8682
212.000000 87.165 -106.0903
214.000000 87.133 -105.5767
218.000000 87.070 -104.5322
220.000000 87.038 -103.9945
224.000000 86.973 -102.9141
227.000000 86.925 -102.0937
230.000000 86.878 -101.2627
233.000000 86.829 -100.4166
236.000000 86.777 -99.5435
240.000000 86.711 -98.3751
243.000000 86.663 -97.4979
247.000000 86.597 -96.3011
250.000000 86.549 -95.4007
254.000000 86.483 -94.1900
258.000000 86.419 -92.9547
262.000000 86.357 -91.6997
265.000000 86.310 -90.7514
269.000000 86.244 -89.4834
272.000000 86.196 -88.5208
