* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -31.7 dBFS, measurement signal peak level -24.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/09/2024 12:02:28 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay 0.0172 ms (5.9 mm, 0.23 in) using estimated IR delay relative to Acoustic reference on HEADPHONE L with no timing offset
* Measurement: Xeno v0.08 L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 33.303 150.2657
1.015000 33.248 149.5926
1.030000 33.196 148.9121
1.044000 33.151 148.2706
1.060000 33.103 147.5304
1.075000 33.061 146.8299
1.090000 33.024 146.1233
1.106000 32.989 145.3637
1.120000 32.960 144.6957
1.138000 32.923 143.8318
1.150000 32.900 143.2523
1.172000 32.858 142.1811
1.180000 32.844 141.7884
1.206000 32.800 140.4991
1.220000 32.779 139.7957
1.241000 32.750 138.7271
1.250000 32.739 138.2638
1.265000 32.722 137.4840
1.280000 32.708 136.6941
1.315000 32.685 134.8080
1.320000 32.683 134.5334
1.340000 32.678 133.4205
1.360000 32.679 132.2838
1.380000 32.687 131.1219
1.400000 32.700 129.9331
1.430000 32.734 128.0964
1.450000 32.766 126.8338
1.475000 32.817 125.2072
1.500000 32.878 123.5021
1.525000 32.948 121.7222
1.550000 33.028 119.8781
1.575000 33.117 117.9808
1.600000 33.215 116.0408
1.625000 33.322 114.0691
1.650000 33.438 112.0764
1.675000 33.563 110.0734
1.700000 33.696 108.0709
1.725000 33.838 106.0797
1.750000 33.989 104.1105
1.775000 34.148 102.1741
1.800000 34.316 100.2813
1.825000 34.491 98.4429
1.850000 34.677 96.6498
1.875000 34.878 94.8618
1.900000 35.093 93.0799
1.925000 35.320 91.3070
1.950000 35.557 89.5459
1.975000 35.803 87.7996
2.000000 36.056 86.0710
2.030000 36.367 84.0241
2.060000 36.683 82.0119
2.090000 37.001 80.0393
2.120000 37.320 78.1114
2.140000 37.530 76.8534
2.180000 37.944 74.4097
2.200000 38.146 73.2269
2.240000 38.551 70.9340
2.270000 38.860 69.2727
2.300000 39.172 67.6582
2.330000 39.486 66.0877
2.360000 39.800 64.5584
2.400000 40.218 62.5786
2.430000 40.529 61.1345
2.470000 40.939 59.2581
2.500000 41.242 57.8838
2.540000 41.635 56.0903
2.580000 42.017 54.3381
2.620000 42.392 52.6478
2.650000 42.669 51.4217
2.690000 43.033 49.8383
2.720000 43.301 48.6865
2.760000 43.654 47.1945
2.800000 44.000 45.7476
2.850000 44.421 43.9949
2.900000 44.831 42.2949
2.950000 45.229 40.6410
3.000000 45.613 39.0532
3.040000 45.912 37.8316
3.070000 46.131 36.9418
3.110000 46.417 35.7883
3.150000 46.696 34.6697
3.200000 47.037 33.3161
3.250000 47.369 32.0069
3.300000 47.693 30.7362
3.350000 48.008 29.5093
3.400000 48.311 28.3313
3.450000 48.605 27.2010
3.500000 48.891 26.1172
3.550000 49.170 25.0787
3.600000 49.443 24.0842
3.650000 49.712 23.1325
3.700000 49.976 22.2269
3.750000 50.233 21.3750
3.820000 50.581 20.2621
3.870000 50.824 19.5162
3.950000 51.205 18.3915
4.000000 51.440 17.7224
4.060000 51.720 16.9494
4.120000 51.996 16.2288
4.180000 52.267 15.5558
4.250000 52.578 14.8190
4.310000 52.842 14.2186
4.370000 53.105 13.6376
4.440000 53.411 12.9827
4.500000 53.671 12.4593
4.550000 53.887 12.0446
4.620000 54.186 11.4857
4.680000 54.440 11.0166
4.750000 54.735 10.4677
4.820000 55.027 9.9159
4.870000 55.235 9.5290
4.940000 55.523 8.9942
5.000000 55.768 8.5395
5.080000 56.090 7.9334
5.150000 56.367 7.3991
5.220000 56.641 6.8624
5.300000 56.949 6.2488
5.380000 57.252 5.6371
5.450000 57.512 5.1049
5.520000 57.768 4.5765
5.600000 58.054 3.9737
5.700000 58.405 3.2247
5.800000 58.747 2.4874
5.900000 59.082 1.7682
6.000000 59.410 1.0658
6.080000 59.667 0.5139
6.150000 59.889 0.0374
6.220000 60.108 -0.4339
6.300000 60.357 -0.9633
6.400000 60.663 -1.6107
6.500000 60.964 -2.2523
6.600000 61.261 -2.8992
6.700000 61.554 -3.5490
6.800000 61.844 -4.1999
6.900000 62.128 -4.8590
7.000000 62.406 -5.5329
7.100000 62.679 -6.2212
7.200000 62.946 -6.9194
7.300000 63.205 -7.6230
7.400000 63.457 -8.3337
7.500000 63.700 -9.0559
7.620000 63.982 -9.9175
7.750000 64.275 -10.8223
7.880000 64.553 -11.7106
8.000000 64.801 -12.4980
8.120000 65.041 -13.2341
8.250000 65.291 -13.9809
8.380000 65.536 -14.6783
8.500000 65.762 -15.2740
8.620000 65.986 -15.8193
8.750000 66.228 -16.3838
8.850000 66.418 -16.8133
9.000000 66.705 -17.4290
9.120000 66.936 -17.9332
9.250000 67.187 -18.5181
9.380000 67.440 -19.1285
9.500000 67.669 -19.7275
9.620000 67.894 -20.3731
9.750000 68.132 -21.1174
9.880000 68.362 -21.8853
10.000000 68.563 -22.6162
10.150000 68.803 -23.5545
10.300000 69.030 -24.4613
10.440000 69.228 -25.2841
10.600000 69.445 -26.1736
10.750000 69.643 -26.9275
10.900000 69.837 -27.6203
11.060000 70.049 -28.3099
11.200000 70.238 -28.8603
11.380000 70.489 -29.5790
11.500000 70.664 -30.0715
11.720000 70.989 -31.0489
11.800000 71.107 -31.4517
12.060000 71.487 -32.9029
12.200000 71.676 -33.7849
12.410000 71.938 -35.2082
12.500000 72.038 -35.8174
12.650000 72.188 -36.8600
12.800000 72.321 -37.8526
13.150000 72.564 -39.7881
13.200000 72.596 -40.0033
13.400000 72.713 -40.6923
13.600000 72.843 -41.1432
13.800000 72.996 -41.3416
14.000000 73.185 -41.4549
14.300000 73.541 -41.5828
14.500000 73.819 -41.8321
14.750000 74.183 -42.4239
15.000000 74.548 -43.3591
15.250000 74.882 -44.5790
15.500000 75.176 -45.9352
15.750000 75.430 -47.3308
16.000000 75.648 -48.6252
16.250000 75.846 -49.7672
16.500000 76.034 -50.7518
16.750000 76.224 -51.5995
17.000000 76.421 -52.3853
17.250000 76.623 -53.1463
17.500000 76.828 -53.9273
17.750000 77.028 -54.7377
18.000000 77.223 -55.5675
18.250000 77.408 -56.4035
18.500000 77.586 -57.2247
18.750000 77.757 -58.0288
19.000000 77.923 -58.8136
19.250000 78.085 -59.5872
19.500000 78.242 -60.3530
19.750000 78.394 -61.1130
20.000000 78.542 -61.8633
20.299999 78.713 -62.7443
20.600000 78.879 -63.6018
20.900000 79.043 -64.4399
21.200001 79.206 -65.2708
21.400000 79.313 -65.8283
21.799999 79.524 -66.9546
22.000000 79.627 -67.5218
22.400000 79.826 -68.6525
22.700001 79.973 -69.4893
23.000000 80.118 -70.3171
23.299999 80.261 -71.1452
23.600000 80.403 -71.9809
24.000000 80.585 -73.1076
24.299999 80.716 -73.9492
24.700001 80.881 -75.0403
25.000000 80.999 -75.8199
25.400000 81.155 -76.8039
25.799999 81.311 -77.7406
26.200001 81.467 -78.6542
26.500000 81.583 -79.3361
26.900000 81.736 -80.2498
27.200001 81.848 -80.9418
27.600000 81.990 -81.8710
28.000000 82.122 -82.7920
28.500000 82.274 -83.8887
29.000000 82.424 -84.8994
29.500000 82.581 -85.8785
30.000000 82.742 -86.9352
30.400000 82.862 -87.8620
30.700001 82.942 -88.5763
31.100000 83.034 -89.4827
31.500000 83.119 -90.2815
32.000000 83.236 -91.1354
32.500000 83.376 -91.9551
33.000000 83.530 -92.8757
33.500000 83.676 -93.9037
34.000000 83.808 -94.9482
34.500000 83.930 -95.9389
35.000000 84.049 -96.8787
35.500000 84.164 -97.7941
36.000000 84.274 -98.6830
36.500000 84.378 -99.5291
37.000000 84.480 -100.3403
37.500000 84.581 -101.1464
38.200001 84.712 -102.2887
38.700001 84.795 -103.0853
39.500000 84.921 -104.2723
40.000000 85.001 -104.9840
40.599998 85.101 -105.8566
41.200001 85.199 -106.7693
41.799999 85.291 -107.6984
42.500000 85.391 -108.7593
43.099998 85.476 -109.6387
43.700001 85.561 -110.5024
44.400002 85.659 -111.4997
45.000000 85.740 -112.3463
45.500000 85.805 -113.0440
46.200001 85.891 -113.9956
46.799999 85.961 -114.7762
47.500000 86.041 -115.6553
48.200001 86.120 -116.5163
48.700001 86.176 -117.1217
49.400002 86.256 -117.9740
50.000000 86.321 -118.7358
50.799999 86.394 -119.7560
51.500000 86.447 -120.5523
52.200001 86.508 -121.2603
53.000000 86.589 -122.0873
53.799999 86.668 -122.9829
54.500000 86.729 -123.7736
55.200001 86.784 -124.5371
56.000000 86.845 -125.3762
57.000000 86.923 -126.4026
58.000000 87.002 -127.4091
59.000000 87.084 -128.4423
60.000000 87.152 -129.5102
60.799999 87.196 -130.2968
61.500000 87.232 -130.9275
62.200001 87.269 -131.5251
63.000000 87.310 -132.1673
64.000000 87.366 -132.9564
65.000000 87.419 -133.7941
66.000000 87.463 -134.6375
67.000000 87.505 -135.4651
68.000000 87.549 -136.2841
69.000000 87.595 -137.1176
70.000000 87.637 -137.9708
71.000000 87.671 -138.7918
72.000000 87.703 -139.5525
73.000000 87.735 -140.2713
74.000000 87.769 -140.9875
75.000000 87.798 -141.7040
76.199997 87.830 -142.5345
77.500000 87.868 -143.4300
78.800003 87.903 -144.3305
80.000000 87.932 -145.1262
81.199997 87.960 -145.8932
82.500000 87.986 -146.6951
83.800003 88.011 -147.4492
85.000000 88.036 -148.1482
86.199997 88.059 -148.8814
87.500000 88.077 -149.6720
88.500000 88.090 -150.2530
90.000000 88.111 -151.0963
91.199997 88.129 -151.7631
92.500000 88.145 -152.4681
93.800003 88.160 -153.1465
95.000000 88.172 -153.7608
96.199997 88.182 -154.3635
97.500000 88.193 -155.0100
98.800003 88.201 -155.6474
100.000000 88.208 -156.2213
101.500000 88.216 -156.9365
103.000000 88.222 -157.6254
104.400002 88.228 -158.2546
106.000000 88.235 -158.9764
107.500000 88.239 -159.6529
109.000000 88.240 -160.3021
110.599998 88.243 -160.9776
112.000000 88.242 -161.5585
113.800003 88.237 -162.2536
115.000000 88.234 -162.7015
117.199997 88.229 -163.5220
118.000000 88.229 -163.8291
120.599998 88.222 -164.8250
122.000000 88.216 -165.3247
124.099998 88.207 -166.0540
125.000000 88.201 -166.3635
126.500000 88.191 -166.8873
128.000000 88.181 -167.4231
131.500000 88.159 -168.5978
132.000000 88.157 -168.7490
134.000000 88.151 -169.3232
136.000000 88.142 -169.9070
138.000000 88.123 -170.4904
140.000000 88.104 -171.0450
143.000000 88.079 -171.8904
145.000000 88.061 -172.4394
147.500000 88.035 -173.1020
150.000000 88.008 -173.7503
152.500000 87.981 -174.3985
155.000000 87.953 -175.0300
157.500000 87.924 -175.6213
160.000000 87.896 -176.1793
162.500000 87.867 -176.7270
165.000000 87.838 -177.2938
167.500000 87.808 -177.8503
170.000000 87.778 -178.3714
172.500000 87.747 -178.8697
175.000000 87.712 -179.3543
177.500000 87.677 -179.8352
180.000000 87.643 179.6886
182.500000 87.610 179.2345
185.000000 87.576 178.8017
187.500000 87.539 178.3737
190.000000 87.502 177.9442
192.500000 87.470 177.5166
195.000000 87.438 177.1102
197.500000 87.402 176.7292
200.000000 87.364 176.3513
203.000000 87.319 175.8898
206.000000 87.275 175.4428
209.000000 87.230 175.0359
212.000000 87.185 174.6429
214.000000 87.154 174.3844
218.000000 87.093 173.8836
220.000000 87.065 173.6379
224.000000 87.008 173.1555
227.000000 86.963 172.8114
230.000000 86.919 172.4825
233.000000 86.874 172.1671
236.000000 86.828 171.8544
240.000000 86.766 171.4387
243.000000 86.721 171.1392
247.000000 86.660 170.7515
250.000000 86.616 170.4792
254.000000 86.558 170.1389
258.000000 86.498 169.8064
262.000000 86.436 169.4852
265.000000 86.389 169.2541
269.000000 86.328 168.9718
272.000000 86.282 168.7750
276.000000 86.223 168.5053
280.000000 86.164 168.2396
285.000000 86.091 167.9250
