* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -21.9 dBFS, measurement signal peak level -22.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/09/2024 12:40:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0859 ms (-29 mm, -1.16 in) using estimated IR delay relative to Acoustic reference on  R with no timing offset
* Measurement: Xeno v0.09 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 37.991 124.1899
1.015000 37.965 123.1145
1.030000 37.941 122.0551
1.044000 37.921 121.0831
1.060000 37.901 119.9954
1.075000 37.886 119.0010
1.090000 37.874 118.0340
1.106000 37.865 117.0342
1.120000 37.859 116.1769
1.138000 37.853 115.0946
1.150000 37.851 114.3846
1.172000 37.849 113.1051
1.180000 37.849 112.6464
1.206000 37.853 111.1769
1.220000 37.857 110.3979
1.241000 37.867 109.2430
1.250000 37.872 108.7525
1.265000 37.881 107.9399
1.280000 37.893 107.1327
1.315000 37.927 105.2640
1.320000 37.933 104.9982
1.340000 37.958 103.9361
1.360000 37.987 102.8741
1.380000 38.018 101.8096
1.400000 38.054 100.7401
1.430000 38.113 99.1211
1.450000 38.158 98.0283
1.475000 38.218 96.6423
1.500000 38.285 95.2321
1.525000 38.358 93.8020
1.550000 38.437 92.3578
1.575000 38.521 90.9050
1.600000 38.611 89.4490
1.625000 38.706 87.9956
1.650000 38.806 86.5501
1.675000 38.910 85.1182
1.700000 39.019 83.7055
1.725000 39.133 82.3174
1.750000 39.250 80.9596
1.775000 39.372 79.6376
1.800000 39.497 78.3568
1.825000 39.625 77.1230
1.850000 39.758 75.9370
1.875000 39.897 74.7891
1.900000 40.042 73.6762
1.925000 40.193 72.5956
1.950000 40.349 71.5447
1.975000 40.510 70.5208
2.000000 40.674 69.5213
2.030000 40.874 68.3502
2.060000 41.078 67.2057
2.090000 41.284 66.0832
2.120000 41.490 64.9781
2.140000 41.628 64.2487
2.180000 41.903 62.8016
2.200000 42.038 62.0812
2.240000 42.313 60.6655
2.270000 42.522 59.6310
2.300000 42.734 58.6184
2.330000 42.948 57.6264
2.360000 43.164 56.6535
2.400000 43.452 55.3838
2.430000 43.668 54.4504
2.470000 43.954 53.2284
2.500000 44.167 52.3272
2.540000 44.448 51.1432
2.580000 44.724 49.9777
2.620000 44.999 48.8386
2.650000 45.204 48.0022
2.690000 45.477 46.9101
2.720000 45.680 46.1075
2.760000 45.949 45.0583
2.800000 46.216 44.0318
2.850000 46.544 42.7786
2.900000 46.866 41.5561
2.950000 47.181 40.3633
3.000000 47.490 39.2098
3.040000 47.733 38.3146
3.070000 47.913 37.6576
3.110000 48.151 36.7990
3.150000 48.385 35.9580
3.200000 48.672 34.9276
3.250000 48.954 33.9162
3.300000 49.231 32.9189
3.350000 49.502 31.9357
3.400000 49.767 30.9704
3.450000 50.026 30.0255
3.500000 50.280 29.1037
3.550000 50.529 28.2074
3.600000 50.775 27.3393
3.650000 51.016 26.5018
3.700000 51.254 25.6982
3.750000 51.487 24.9296
3.820000 51.805 23.9040
3.870000 52.027 23.2014
3.950000 52.376 22.1171
4.000000 52.591 21.4574
4.060000 52.846 20.6790
4.120000 53.096 19.9238
4.180000 53.341 19.1929
4.250000 53.623 18.3706
4.310000 53.861 17.6913
4.370000 54.097 17.0352
4.440000 54.370 16.3020
4.500000 54.600 15.7070
4.550000 54.790 15.2306
4.620000 55.053 14.5862
4.680000 55.277 14.0479
4.750000 55.536 13.4275
4.820000 55.793 12.8156
4.870000 55.976 12.3902
4.940000 56.229 11.8075
5.000000 56.445 11.3167
5.080000 56.731 10.6690
5.150000 56.980 10.1045
5.220000 57.227 9.5501
5.300000 57.508 8.9266
5.380000 57.786 8.3055
5.450000 58.028 7.7572
5.520000 58.267 7.1993
5.600000 58.539 6.5574
5.700000 58.875 5.7480
5.800000 59.206 4.9246
5.900000 59.530 4.0808
6.000000 59.849 3.2158
6.080000 60.099 2.5125
6.150000 60.314 1.8916
6.220000 60.525 1.2678
6.300000 60.760 0.5475
6.400000 61.047 -0.3662
6.500000 61.326 -1.2809
6.600000 61.595 -2.1815
6.700000 61.855 -3.0760
6.800000 62.105 -3.9635
6.900000 62.348 -4.8252
7.000000 62.585 -5.6452
7.100000 62.813 -6.4330
7.200000 63.035 -7.1870
7.300000 63.255 -7.9009
7.400000 63.473 -8.5675
7.500000 63.687 -9.1883
7.620000 63.944 -9.8900
7.750000 64.228 -10.6126
7.880000 64.514 -11.2768
8.000000 64.783 -11.8789
8.120000 65.057 -12.5067
8.250000 65.360 -13.1908
8.380000 65.665 -13.9170
8.500000 65.945 -14.6573
8.620000 66.226 -15.4515
8.750000 66.524 -16.3733
8.850000 66.745 -17.1317
9.000000 67.066 -18.3560
9.120000 67.310 -19.3715
9.250000 67.555 -20.4899
9.380000 67.784 -21.6413
9.500000 67.980 -22.6778
9.620000 68.161 -23.6674
9.750000 68.340 -24.7057
9.880000 68.509 -25.6599
10.000000 68.656 -26.4459
10.150000 68.828 -27.3200
10.300000 69.003 -28.0678
10.440000 69.165 -28.6350
10.600000 69.358 -29.1905
10.750000 69.553 -29.6493
10.900000 69.758 -30.0543
11.060000 69.986 -30.5239
11.200000 70.197 -30.9548
11.380000 70.468 -31.5810
11.500000 70.648 -32.0633
11.720000 70.969 -33.0306
11.800000 71.078 -33.4051
12.060000 71.414 -34.6743
12.200000 71.578 -35.3215
12.410000 71.805 -36.2356
12.500000 71.900 -36.5751
12.650000 72.052 -37.0760
12.800000 72.205 -37.5064
13.150000 72.591 -38.2384
13.200000 72.651 -38.3368
13.400000 72.906 -38.7006
13.600000 73.176 -39.1447
13.800000 73.463 -39.7140
14.000000 73.747 -40.4536
14.300000 74.158 -41.8821
14.500000 74.405 -43.0118
14.750000 74.676 -44.4995
15.000000 74.905 -46.0016
15.250000 75.097 -47.3850
15.500000 75.268 -48.6061
15.750000 75.427 -49.6507
16.000000 75.588 -50.5402
16.250000 75.757 -51.3479
16.500000 75.934 -52.1147
16.750000 76.116 -52.8955
17.000000 76.297 -53.7006
17.250000 76.473 -54.5200
17.500000 76.641 -55.3340
17.750000 76.804 -56.1114
18.000000 76.965 -56.8490
18.250000 77.127 -57.5440
18.500000 77.293 -58.2248
18.750000 77.464 -58.9141
19.000000 77.636 -59.6333
19.250000 77.807 -60.3987
19.500000 77.972 -61.2000
19.750000 78.129 -62.0278
20.000000 78.276 -62.8529
20.299999 78.443 -63.8118
20.600000 78.602 -64.7184
20.900000 78.759 -65.5702
21.200001 78.917 -66.3856
21.400000 79.024 -66.9258
21.799999 79.239 -68.0212
22.000000 79.344 -68.5834
22.400000 79.547 -69.7324
22.700001 79.691 -70.5949
23.000000 79.828 -71.4351
23.299999 79.960 -72.2414
23.600000 80.091 -73.0159
24.000000 80.266 -74.0180
24.299999 80.397 -74.7687
24.700001 80.571 -75.7897
25.000000 80.696 -76.5707
25.400000 80.854 -77.6124
25.799999 81.001 -78.6199
26.200001 81.142 -79.5693
26.500000 81.247 -80.2462
26.900000 81.389 -81.1224
27.200001 81.497 -81.7790
27.600000 81.639 -82.6705
28.000000 81.775 -83.5772
28.500000 81.932 -84.6950
29.000000 82.081 -85.7491
29.500000 82.227 -86.7350
30.000000 82.377 -87.6977
30.400000 82.496 -88.4838
30.700001 82.583 -89.0874
31.100000 82.693 -89.8983
31.500000 82.795 -90.6946
32.000000 82.917 -91.6441
32.500000 83.036 -92.5480
33.000000 83.155 -93.4407
33.500000 83.271 -94.3443
34.000000 83.381 -95.2499
34.500000 83.485 -96.1364
35.000000 83.584 -97.0018
35.500000 83.681 -97.8589
36.000000 83.771 -98.7042
36.500000 83.856 -99.5075
37.000000 83.941 -100.2449
37.500000 84.034 -100.9407
38.200001 84.178 -101.9716
38.700001 84.280 -102.8020
39.500000 84.416 -104.1887
40.000000 84.487 -104.9947
40.599998 84.570 -105.8752
41.200001 84.657 -106.7165
41.799999 84.744 -107.5641
42.500000 84.837 -108.5450
43.099998 84.909 -109.3359
43.700001 84.982 -110.0758
44.400002 85.070 -110.9183
45.000000 85.146 -111.6540
45.500000 85.207 -112.2753
46.200001 85.291 -113.1534
46.799999 85.359 -113.9287
47.500000 85.429 -114.8543
48.200001 85.485 -115.7236
48.700001 85.525 -116.2744
49.400002 85.591 -116.9898
50.000000 85.655 -117.6293
50.799999 85.737 -118.5452
51.500000 85.797 -119.3264
52.200001 85.853 -120.0462
53.000000 85.919 -120.8353
53.799999 85.981 -121.6173
54.500000 86.031 -122.2789
55.200001 86.080 -122.9203
56.000000 86.133 -123.6521
57.000000 86.194 -124.5645
58.000000 86.250 -125.4465
59.000000 86.308 -126.3022
60.000000 86.369 -127.1438
60.799999 86.422 -127.8430
61.500000 86.465 -128.4949
62.200001 86.497 -129.1485
63.000000 86.524 -129.8206
64.000000 86.562 -130.5433
65.000000 86.608 -131.2580
66.000000 86.649 -131.9771
67.000000 86.688 -132.6672
68.000000 86.725 -133.3457
69.000000 86.763 -134.0075
70.000000 86.802 -134.6787
71.000000 86.837 -135.3675
72.000000 86.868 -136.0542
73.000000 86.893 -136.7203
74.000000 86.917 -137.3429
75.000000 86.942 -137.9424
76.199997 86.972 -138.6558
77.500000 87.001 -139.4074
78.800003 87.027 -140.1321
80.000000 87.049 -140.7786
81.199997 87.071 -141.4088
82.500000 87.096 -142.0973
83.800003 87.113 -142.7874
85.000000 87.126 -143.3631
86.199997 87.143 -143.9164
87.500000 87.161 -144.5313
88.500000 87.172 -145.0022
90.000000 87.185 -145.6914
91.199997 87.195 -146.2324
92.500000 87.203 -146.7925
93.800003 87.214 -147.3248
95.000000 87.224 -147.8060
96.199997 87.233 -148.2678
97.500000 87.241 -148.7536
98.800003 87.246 -149.2334
100.000000 87.249 -149.6685
101.500000 87.251 -150.2209
103.000000 87.251 -150.7632
104.400002 87.251 -151.2545
106.000000 87.250 -151.7949
107.500000 87.248 -152.2746
109.000000 87.245 -152.7345
110.599998 87.240 -153.2069
112.000000 87.237 -153.6255
113.800003 87.232 -154.1851
115.000000 87.226 -154.5530
117.199997 87.212 -155.1454
118.000000 87.209 -155.3383
120.599998 87.199 -155.9820
122.000000 87.190 -156.3234
124.099998 87.175 -156.8281
125.000000 87.170 -157.0469
126.500000 87.159 -157.4118
128.000000 87.148 -157.7575
131.500000 87.122 -158.4985
132.000000 87.118 -158.6014
134.000000 87.102 -159.0074
136.000000 87.084 -159.4113
138.000000 87.062 -159.7973
140.000000 87.040 -160.1562
143.000000 87.008 -160.6494
145.000000 86.990 -160.9696
147.500000 86.964 -161.3568
150.000000 86.937 -161.7307
152.500000 86.905 -162.1009
155.000000 86.874 -162.4492
157.500000 86.845 -162.7832
160.000000 86.814 -163.1040
162.500000 86.780 -163.4021
165.000000 86.747 -163.6878
167.500000 86.714 -163.9586
170.000000 86.680 -164.2091
172.500000 86.647 -164.4431
175.000000 86.614 -164.6678
177.500000 86.580 -164.8810
180.000000 86.546 -165.0837
182.500000 86.511 -165.2757
185.000000 86.478 -165.4511
187.500000 86.444 -165.6097
190.000000 86.409 -165.7674
192.500000 86.370 -165.9235
195.000000 86.332 -166.0639
197.500000 86.295 -166.1875
200.000000 86.259 -166.3007
203.000000 86.215 -166.4396
206.000000 86.173 -166.5666
209.000000 86.132 -166.6648
212.000000 86.089 -166.7457
214.000000 86.060 -166.7968
218.000000 86.001 -166.8878
220.000000 85.971 -166.9259
224.000000 85.912 -166.9938
227.000000 85.868 -167.0359
230.000000 85.826 -167.0647
233.000000 85.783 -167.0766
236.000000 85.740 -167.0754
240.000000 85.683 -167.0652
243.000000 85.640 -167.0496
247.000000 85.584 -167.0138
250.000000 85.544 -166.9750
254.000000 85.489 -166.9147
258.000000 85.428 -166.8451
262.000000 85.370 -166.7567
265.000000 85.327 -166.6797
269.000000 85.272 -166.5711
272.000000 85.231 -166.4883
276.000000 85.178 -166.3680
