* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 02/09/2022 9:42:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: YD30 R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 50.857 5.9674
1.015000 50.954 5.4172
1.030000 51.048 4.8426
1.044000 51.133 4.2839
1.060000 51.228 3.6203
1.075000 51.314 2.9757
1.090000 51.399 2.3110
1.106000 51.486 1.5817
1.120000 51.561 0.9278
1.138000 51.654 0.0678
1.150000 51.714 -0.5163
1.172000 51.822 -1.6065
1.180000 51.861 -2.0083
1.206000 51.982 -3.3301
1.220000 52.045 -4.0498
1.241000 52.137 -5.1360
1.250000 52.176 -5.6030
1.265000 52.239 -6.3821
1.280000 52.301 -7.1608
1.315000 52.441 -8.9666
1.320000 52.460 -9.2225
1.340000 52.537 -10.2380
1.360000 52.612 -11.2411
1.380000 52.686 -12.2383
1.400000 52.757 -13.2324
1.430000 52.860 -14.7221
1.450000 52.926 -15.7176
1.475000 53.005 -16.9682
1.500000 53.079 -18.2297
1.525000 53.149 -19.5064
1.550000 53.213 -20.8024
1.575000 53.272 -22.1220
1.600000 53.325 -23.4693
1.625000 53.373 -24.8485
1.650000 53.413 -26.2639
1.675000 53.447 -27.7197
1.700000 53.474 -29.2212
1.725000 53.497 -30.7712
1.750000 53.516 -32.3644
1.775000 53.529 -33.9947
1.800000 53.537 -35.6565
1.825000 53.539 -37.3440
1.850000 53.535 -39.0512
1.875000 53.524 -40.7725
1.900000 53.506 -42.5019
1.925000 53.481 -44.2338
1.950000 53.448 -45.9622
1.975000 53.407 -47.6813
2.000000 53.358 -49.3854
2.030000 53.288 -51.3965
2.060000 53.211 -53.3153
2.090000 53.127 -55.1563
2.120000 53.035 -56.9531
2.140000 52.969 -58.1428
2.180000 52.820 -60.5473
2.200000 52.736 -61.7819
2.240000 52.549 -64.3651
2.270000 52.389 -66.4414
2.300000 52.210 -68.6737
2.330000 52.010 -71.0956
2.360000 51.788 -73.7362
2.400000 51.450 -77.3182
2.430000 51.167 -80.0032
2.470000 50.757 -83.6840
2.500000 50.429 -86.5903
2.540000 49.970 -90.7624
2.580000 49.496 -95.3913
2.620000 49.012 -100.6051
2.650000 48.648 -104.9765
2.690000 48.167 -111.5222
2.720000 47.772 -117.0858
2.760000 47.136 -125.4072
2.800000 46.428 -134.5566
2.850000 45.529 -146.8174
2.900000 44.721 -159.5865
2.950000 44.113 -172.4276
3.000000 43.820 175.0956
3.040000 43.887 165.6192
3.070000 44.133 158.4392
3.110000 44.684 148.6367
3.150000 45.433 138.7392
3.200000 46.555 126.5117
3.250000 47.772 114.7767
3.300000 48.965 103.8903
3.350000 50.014 94.2083
3.400000 50.879 85.9904
3.450000 51.713 79.0276
3.500000 52.521 73.0633
3.550000 53.296 67.8489
3.600000 54.030 63.1356
3.650000 54.717 58.6747
3.700000 55.350 54.2175
3.750000 55.922 49.9421
3.820000 56.632 44.7216
3.870000 57.084 41.3616
3.950000 57.734 36.2623
4.000000 58.105 33.0444
4.060000 58.526 28.9595
4.120000 58.904 24.7762
4.180000 59.238 20.5930
4.250000 59.579 15.7693
4.310000 59.837 11.7322
4.370000 60.068 7.8300
4.440000 60.302 3.4636
4.500000 60.468 -0.1534
4.550000 60.582 -3.0931
4.620000 60.710 -7.1168
4.680000 60.792 -10.5002
4.750000 60.857 -14.3995
4.820000 60.885 -18.2534
4.870000 60.883 -20.9550
4.940000 60.852 -24.6293
5.000000 60.799 -27.6468
5.080000 60.693 -31.4492
5.150000 60.563 -34.6564
5.220000 60.399 -37.7090
5.300000 60.179 -40.9108
5.380000 59.930 -43.6975
5.450000 59.680 -45.8140
5.520000 59.394 -47.6899
5.600000 59.047 -49.4486
5.700000 58.625 -50.9131
5.800000 58.217 -51.3732
5.900000 57.794 -50.9169
6.000000 57.454 -49.8618
6.080000 57.306 -48.7699
6.150000 57.258 -47.3982
6.220000 57.273 -45.7372
6.300000 57.364 -43.8032
6.400000 57.584 -41.8723
6.500000 57.963 -40.4405
6.600000 58.468 -39.3513
6.700000 58.997 -38.8531
6.800000 59.498 -39.1642
6.900000 60.021 -40.2075
7.000000 60.525 -41.7410
7.100000 60.967 -43.5540
7.200000 61.361 -45.8048
7.300000 61.709 -48.3585
7.400000 62.004 -50.9588
7.500000 62.243 -53.5917
7.620000 62.459 -56.8633
7.750000 62.616 -60.2298
7.880000 62.687 -63.4105
8.000000 62.686 -66.1135
8.120000 62.635 -68.3557
8.250000 62.510 -70.3529
8.380000 62.351 -71.7441
8.500000 62.193 -72.3218
8.620000 62.013 -72.2840
8.750000 61.870 -71.6294
8.850000 61.808 -70.6083
9.000000 61.790 -68.4100
9.120000 61.892 -66.5542
9.250000 62.137 -64.3096
9.380000 62.479 -62.1832
9.500000 62.861 -60.7197
9.620000 63.321 -59.5895
9.750000 63.833 -58.8719
9.880000 64.334 -58.8129
10.000000 64.793 -59.2433
10.150000 65.303 -60.2261
10.300000 65.748 -61.7714
10.440000 66.092 -63.4241
10.600000 66.390 -65.5018
10.750000 66.586 -67.4585
10.900000 66.697 -69.2256
11.060000 66.737 -70.8624
11.200000 66.724 -71.8273
11.380000 66.646 -72.4850
11.500000 66.603 -72.4550
11.720000 66.535 -71.4524
11.800000 66.550 -70.9252
12.060000 66.745 -68.5413
12.200000 66.957 -67.4314
12.410000 67.403 -66.1166
12.500000 67.605 -65.9030
12.650000 67.973 -65.9819
12.800000 68.315 -66.5684
13.150000 68.917 -69.8245
13.200000 68.969 -70.4187
13.400000 69.098 -72.9900
13.600000 69.081 -75.3183
13.800000 68.943 -77.1823
14.000000 68.706 -78.1047
14.300000 68.357 -77.4686
14.500000 68.237 -75.9438
14.750000 68.352 -73.3250
15.000000 68.764 -71.3969
15.250000 69.331 -70.9079
15.500000 69.916 -72.2239
15.750000 70.368 -75.1902
16.000000 70.614 -79.0097
16.250000 70.642 -82.9904
16.500000 70.463 -86.4688
16.750000 70.119 -88.7229
17.000000 69.727 -89.3224
17.250000 69.411 -88.4229
17.500000 69.283 -86.4078
17.750000 69.429 -84.2137
18.000000 69.764 -82.7443
18.250000 70.187 -82.2975
18.500000 70.597 -82.9577
18.750000 70.915 -84.3375
19.000000 71.133 -85.9183
19.250000 71.270 -87.3855
19.500000 71.355 -88.4980
19.750000 71.439 -89.2164
20.000000 71.547 -89.7356
20.299999 71.714 -90.3568
20.600000 71.894 -91.2617
20.900000 72.035 -92.5243
21.200001 72.093 -93.9441
21.400000 72.077 -94.7866
21.799999 71.955 -95.7568
22.000000 71.882 -95.7758
22.400000 71.791 -95.0184
22.700001 71.819 -94.1553
23.000000 71.921 -93.4407
23.299999 72.053 -93.0844
23.600000 72.168 -93.0516
24.000000 72.254 -93.0635
24.299999 72.292 -92.7504
24.700001 72.394 -91.7109
25.000000 72.570 -90.7228
25.400000 72.955 -89.7939
25.799999 73.422 -89.9749
26.200001 73.837 -91.3571
26.500000 74.060 -92.8796
26.900000 74.230 -94.9518
27.200001 74.290 -96.2137
27.600000 74.345 -97.3553
28.000000 74.433 -98.1069
28.500000 74.592 -99.1635
29.000000 74.697 -100.6652
29.500000 74.660 -102.0068
30.000000 74.541 -102.2239
30.400000 74.505 -101.4833
30.700001 74.564 -100.7054
31.100000 74.760 -99.9280
31.500000 75.018 -99.9058
32.000000 75.289 -100.9711
32.500000 75.416 -102.6341
33.000000 75.406 -104.0952
33.500000 75.317 -104.8680
34.000000 75.237 -104.7843
34.500000 75.262 -104.0262
35.000000 75.451 -103.2284
35.500000 75.761 -103.1547
36.000000 76.069 -104.0950
36.500000 76.274 -105.6298
37.000000 76.375 -107.0439
37.500000 76.440 -107.9645
38.200001 76.568 -108.7821
38.700001 76.670 -109.3752
39.500000 76.784 -110.1480
40.000000 76.851 -110.2887
40.599998 76.974 -110.2419
41.200001 77.147 -110.2940
41.799999 77.338 -110.6819
42.500000 77.529 -111.5930
43.099998 77.632 -112.5150
43.700001 77.696 -113.2557
44.400002 77.779 -113.8805
45.000000 77.864 -114.4316
45.500000 77.926 -114.9066
46.200001 78.006 -115.4171
46.799999 78.094 -115.7434
47.500000 78.204 -116.1958
48.200001 78.292 -116.5469
48.700001 78.368 -116.5874
49.400002 78.542 -116.6881
50.000000 78.712 -117.2893
50.799999 78.827 -118.6718
51.500000 78.814 -119.5375
52.200001 78.807 -119.7642
53.000000 78.882 -119.8368
53.799999 79.007 -120.1812
54.500000 79.125 -120.7022
55.200001 79.236 -121.3950
56.000000 79.332 -122.2704
57.000000 79.411 -123.1122
58.000000 79.505 -123.5499
59.000000 79.632 -124.0613
60.000000 79.701 -124.7231
60.799999 79.735 -124.9029
61.500000 79.809 -125.0054
62.200001 79.897 -125.4322
63.000000 79.950 -126.1486
64.000000 79.989 -126.7239
65.000000 80.100 -127.2306
66.000000 80.230 -128.2122
67.000000 80.301 -129.2802
68.000000 80.360 -129.8977
69.000000 80.477 -130.3989
70.000000 80.587 -131.2405
71.000000 80.625 -132.0558
72.000000 80.644 -132.4396
73.000000 80.712 -132.6899
74.000000 80.801 -133.2417
75.000000 80.862 -134.0078
76.199997 80.906 -134.8767
77.500000 80.952 -135.6843
78.800003 81.019 -136.3350
80.000000 81.114 -136.9745
81.199997 81.206 -137.7604
82.500000 81.278 -138.6405
83.800003 81.316 -139.3707
85.000000 81.346 -139.8434
86.199997 81.384 -140.2630
87.500000 81.430 -140.7202
88.500000 81.472 -141.1186
90.000000 81.538 -141.8614
91.199997 81.584 -142.5485
92.500000 81.630 -143.3063
93.800003 81.674 -144.0463
95.000000 81.712 -144.6870
96.199997 81.747 -145.2382
97.500000 81.788 -145.7382
98.800003 81.834 -146.2159
100.000000 81.868 -146.7462
101.500000 81.879 -147.4380
103.000000 81.885 -148.0522
104.400002 81.903 -148.6465
106.000000 81.938 -149.3505
107.500000 81.967 -150.0090
109.000000 81.970 -150.5186
110.599998 81.969 -150.8843
112.000000 81.966 -151.2834
113.800003 81.961 -151.9128
115.000000 81.972 -152.4095
117.199997 82.015 -153.3853
118.000000 82.032 -153.7067
120.599998 82.062 -154.5020
122.000000 82.062 -154.8247
124.099998 82.055 -155.3710
125.000000 82.051 -155.6484
126.500000 82.046 -156.0903
128.000000 82.055 -156.4690
131.500000 82.077 -157.4011
132.000000 82.074 -157.5280
134.000000 82.061 -158.0211
136.000000 82.050 -158.5085
138.000000 82.049 -158.9146
140.000000 82.059 -159.3172
143.000000 82.053 -159.9862
145.000000 82.039 -160.4474
147.500000 82.021 -161.0373
150.000000 82.005 -161.5701
152.500000 81.997 -162.0438
155.000000 81.985 -162.5100
157.500000 81.967 -162.9086
160.000000 81.946 -163.2659
162.500000 81.919 -163.5974
165.000000 81.890 -163.9025
167.500000 81.864 -164.2487
170.000000 81.839 -164.5881
172.500000 81.817 -164.8997
175.000000 81.798 -165.1941
177.500000 81.782 -165.4960
180.000000 81.769 -165.8060
182.500000 81.757 -166.1005
185.000000 81.749 -166.3787
187.500000 81.744 -166.6750
190.000000 81.733 -166.9684
192.500000 81.723 -167.2293
195.000000 81.719 -167.4945
197.500000 81.718 -167.7844
200.000000 81.711 -168.0720
203.000000 81.689 -168.3271
206.000000 81.668 -168.5162
209.000000 81.649 -168.7125
212.000000 81.630 -168.8683
214.000000 81.618 -168.9509
218.000000 81.598 -169.1271
220.000000 81.588 -169.2568
224.000000 81.564 -169.5345
227.000000 81.547 -169.7299
230.000000 81.532 -169.9314
233.000000 81.518 -170.1318
236.000000 81.506 -170.3171
240.000000 81.491 -170.5634
243.000000 81.480 -170.7490
247.000000 81.461 -170.9018
250.000000 81.443 -170.9581
254.000000 81.419 -171.0919
258.000000 81.397 -171.2236
262.000000 81.374 -171.3410
265.000000 81.358 -171.4475
269.000000 81.339 -171.6116
272.000000 81.328 -171.7519
276.000000 81.320 -171.9391
