* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.100
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 20/04/2025 4:35:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yacht10 L
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 44.359 158.9932
0.732422 42.290 129.6422
1.098633 41.765 83.6454
1.464844 45.525 47.5005
1.831055 50.091 31.5044
2.197266 54.198 22.7926
2.563477 57.725 15.4510
2.929688 60.647 8.1074
3.295898 63.006 0.9387
3.662109 64.902 -5.5747
4.028320 66.464 -11.1082
4.394531 67.822 -15.6690
4.760742 69.072 -19.5851
5.126953 70.252 -23.2961
5.493164 71.351 -27.0858
5.859375 72.343 -30.9703
6.225586 73.222 -34.7855
6.591797 74.005 -38.3535
6.958008 74.724 -41.6085
7.324219 75.408 -44.6214
7.690430 76.067 -47.5288
8.056641 76.696 -50.4296
8.422852 77.282 -53.3336
8.789062 77.820 -56.1840
9.155273 78.313 -58.9182
9.521484 78.768 -61.5094
9.887695 79.192 -63.9648
10.253906 79.585 -66.2912
10.620117 79.949 -68.4666
10.986328 80.288 -70.4492
11.352539 80.618 -72.2208
11.718750 80.954 -73.8331
12.084961 81.306 -75.4125
12.451172 81.671 -77.1104
12.817383 82.029 -79.0260
13.183594 82.358 -81.1579
13.549805 82.640 -83.4103
13.916016 82.870 -85.6419
14.282227 83.056 -87.7251
14.648438 83.216 -89.5899
15.014648 83.366 -91.2360
15.380859 83.520 -92.7141
15.747070 83.683 -94.0925
16.113281 83.855 -95.4318
16.479492 84.035 -96.7764
16.845703 84.217 -98.1579
17.211914 84.395 -99.5941
17.578125 84.562 -101.0809
17.944336 84.711 -102.5847
18.310547 84.840 -104.0484
18.676758 84.952 -105.4119
19.042969 85.055 -106.6414
19.409180 85.160 -107.7469
19.775391 85.272 -108.7780
20.141602 85.391 -109.7978
20.507812 85.513 -110.8506
20.874023 85.629 -111.9433
21.240234 85.734 -113.0495
21.606445 85.826 -114.1280
21.972656 85.909 -115.1474
22.338867 85.990 -116.1024
22.705078 86.073 -117.0172
23.071289 86.159 -117.9320
23.437500 86.245 -118.8810
23.803711 86.324 -119.8699
24.169922 86.392 -120.8698
24.536133 86.447 -121.8317
24.902344 86.496 -122.7168
25.268555 86.547 -123.5237
25.634766 86.607 -124.2942
26.000977 86.674 -125.0884
26.367188 86.743 -125.9444
26.733398 86.803 -126.8518
27.099609 86.851 -127.7591
27.465820 86.888 -128.6083
27.832031 86.923 -129.3736
28.198242 86.963 -130.0764
28.564453 87.012 -130.7669
28.930664 87.065 -131.4877
29.296875 87.115 -132.2474
29.663086 87.159 -133.0220
30.029297 87.195 -133.7771
30.395508 87.225 -134.4899
30.761719 87.254 -135.1558
31.127930 87.284 -135.7805
31.494141 87.316 -136.3716
31.860352 87.352 -136.9404
32.226562 87.394 -137.5086
32.592773 87.440 -138.1072
32.958984 87.485 -138.7594
33.325195 87.523 -139.4587
33.691406 87.547 -140.1630
34.057617 87.560 -140.8158
34.423828 87.570 -141.3834
34.790039 87.584 -141.8809
35.156250 87.607 -142.3624
35.522461 87.635 -142.8802
35.888672 87.660 -143.4432
36.254883 87.676 -144.0113
36.621094 87.685 -144.5300
36.987305 87.695 -144.9789
37.353516 87.715 -145.3933
37.719727 87.744 -145.8396
38.085938 87.776 -146.3628
38.452148 87.799 -146.9490
38.818359 87.808 -147.5345
39.184570 87.808 -148.0527
39.550781 87.808 -148.4814
39.916992 87.819 -148.8572
40.283203 87.840 -149.2451
40.649414 87.866 -149.6908
41.015625 87.889 -150.1940
41.381836 87.904 -150.7179
41.748047 87.910 -151.2210
42.114258 87.912 -151.6809
42.480469 87.913 -152.0966
42.846680 87.915 -152.4758
43.212891 87.920 -152.8261
43.579102 87.931 -153.1599
43.945312 87.947 -153.5014
44.311523 87.967 -153.8819
44.677734 87.985 -154.3180
45.043945 87.995 -154.7926
45.410156 87.994 -155.2585
45.776367 87.986 -155.6697
46.142578 87.978 -156.0158
46.508789 87.978 -156.3324
46.875000 87.983 -156.6708
47.241211 87.988 -157.0526
47.607422 87.985 -157.4469
47.973633 87.976 -157.7948
48.339844 87.969 -158.0617
48.706055 87.975 -158.2782
49.072266 87.998 -158.5276
49.438477 88.029 -158.8867
49.804688 88.054 -159.3654
50.170898 88.061 -159.8960
50.537109 88.050 -160.3782
50.903320 88.033 -160.7474
51.269531 88.022 -161.0158
51.635742 88.025 -161.2562
52.001953 88.037 -161.5409
52.368164 88.046 -161.8865
52.734375 88.046 -162.2487
53.100586 88.038 -162.5661
53.466797 88.030 -162.8127
53.833008 88.029 -163.0185
54.199219 88.036 -163.2415
54.565430 88.045 -163.5171
54.931641 88.048 -163.8311
55.297852 88.042 -164.1360
55.664062 88.033 -164.3958
56.030273 88.027 -164.6187
56.396484 88.029 -164.8517
56.762695 88.033 -165.1389
57.128906 88.032 -165.4820
57.495117 88.020 -165.8367
57.861328 87.999 -166.1456
58.227539 87.978 -166.3835
58.593750 87.964 -166.5757
58.959961 87.960 -166.7755
59.326172 87.959 -167.0192
59.692383 87.955 -167.2960
60.058594 87.946 -167.5603
60.424805 87.937 -167.7742
60.791016 87.936 -167.9452
61.157227 87.946 -168.1280
61.523438 87.965 -168.3836
61.889648 87.980 -168.7296
62.255859 87.983 -169.1229
62.622070 87.971 -169.4875
62.988281 87.953 -169.7678
63.354492 87.939 -169.9678
63.720703 87.936 -170.1448
64.086914 87.939 -170.3608
64.453125 87.939 -170.6316
64.819336 87.930 -170.9147
65.185547 87.912 -171.1462
65.551758 87.894 -171.2966
65.917969 87.887 -171.4004
66.284180 87.892 -171.5323
66.650391 87.900 -171.7475
67.016602 87.899 -172.0343
67.382812 87.884 -172.3212
67.749023 87.860 -172.5308
68.115234 87.838 -172.6413
68.481445 87.831 -172.7070
68.847656 87.838 -172.8174
69.213867 87.849 -173.0276
69.580078 87.850 -173.3156
69.946289 87.838 -173.6020
70.312500 87.817 -173.8130
70.678711 87.802 -173.9387
71.044922 87.800 -174.0421
71.411133 87.810 -174.2095
71.777344 87.820 -174.4811
72.143555 87.816 -174.8186
72.509766 87.795 -175.1320
72.875977 87.765 -175.3437
73.242188 87.740 -175.4435
73.608398 87.731 -175.4957
73.974609 87.737 -175.5918
74.340820 87.747 -175.7842
74.707031 87.748 -176.0534
75.073242 87.736 -176.3276
75.439453 87.714 -176.5365
75.805664 87.693 -176.6598
76.171875 87.682 -176.7374
76.538086 87.682 -176.8359
76.904297 87.686 -176.9979
77.270508 87.685 -177.2145
77.636719 87.675 -177.4377
78.002930 87.659 -177.6203
78.369141 87.644 -177.7514
78.735352 87.636 -177.8605
79.101562 87.633 -177.9906
79.467773 87.631 -178.1622
79.833984 87.624 -178.3586
80.200195 87.612 -178.5425
80.566406 87.598 -178.6888
80.932617 87.588 -178.8063
81.298828 87.584 -178.9304
81.665039 87.583 -179.0934
82.031250 87.579 -179.2980
82.397461 87.568 -179.5134
82.763672 87.550 -179.6985
83.129883 87.531 -179.8323
83.496094 87.518 -179.9281
83.862305 87.511 179.9781
84.228516 87.508 179.8546
84.594727 87.504 179.6956
84.960938 87.497 179.5211
85.327148 87.485 179.3576
85.693359 87.472 179.2176
86.059570 87.462 179.0926
86.425781 87.453 178.9646
86.791992 87.444 178.8237
87.158203 87.432 178.6783
87.524414 87.418 178.5480
87.890625 87.403 178.4467
88.256836 87.392 178.3692
88.623047 87.386 178.2924
88.989258 87.384 178.1895
89.355469 87.383 178.0482
89.721680 87.377 177.8777
90.087891 87.367 177.7022
90.454102 87.351 177.5454
90.820312 87.335 177.4182
91.186523 87.320 177.3156
91.552734 87.308 177.2238
91.918945 87.299 177.1291
92.285156 87.292 177.0239
92.651367 87.285 176.9078
93.017578 87.278 176.7839
93.383789 87.270 176.6563
93.750000 87.261 176.5280
94.116211 87.252 176.3996
94.482422 87.243 176.2707
94.848633 87.232 176.1414
95.214844 87.221 176.0148
95.581055 87.209 175.8970
95.947266 87.196 175.7927
96.313477 87.185 175.6987
96.679688 87.177 175.6026
97.045898 87.169 175.4892
97.412109 87.160 175.3549
97.778320 87.145 175.2169
98.144531 87.125 175.1073
98.510742 87.105 175.0519
98.876953 87.090 175.0472
99.243164 87.086 175.0539
99.609375 87.092 175.0164
99.975586 87.102 174.8980
100.341797 87.105 174.7051
100.708008 87.097 174.4835
101.074219 87.078 174.2896
101.440430 87.054 174.1578
101.806641 87.033 174.0839
102.172852 87.018 174.0350
102.539062 87.009 173.9759
102.905273 87.002 173.8907
103.271484 86.993 173.7871
103.637695 86.982 173.6834
104.003906 86.970 173.5925
104.370117 86.960 173.5137
104.736328 86.951 173.4361
105.102539 86.944 173.3477
105.468750 86.937 173.2433
105.834961 86.928 173.1267
106.201172 86.917 173.0078
106.567383 86.903 172.8974
106.933594 86.888 172.8019
107.299805 86.874 172.7210
107.666016 86.861 172.6489
108.032227 86.849 172.5789
108.398438 86.838 172.5076
108.764648 86.828 172.4358
109.130859 86.818 172.3648
109.497070 86.810 172.2923
109.863281 86.803 172.2118
110.229492 86.796 172.1176
110.595703 86.788 172.0115
110.961914 86.777 171.9033
111.328125 86.764 171.8052
111.694336 86.751 171.7233
112.060547 86.738 171.6547
112.426758 86.727 171.5918
112.792969 86.717 171.5302
113.159180 86.707 171.4707
113.525391 86.699 171.4135
113.891602 86.694 171.3509
114.257812 86.690 171.2683
114.624023 86.685 171.1553
114.990234 86.676 171.0187
115.356445 86.661 170.8836
115.722656 86.640 170.7791
116.088867 86.620 170.7180
116.455078 86.603 170.6870
116.821289 86.592 170.6567
117.187500 86.583 170.6043
117.553711 86.573 170.5302
117.919922 86.561 170.4549
118.286133 86.546 170.3996
118.652344 86.535 170.3666
119.018555 86.527 170.3370
119.384766 86.524 170.2869
119.750977 86.520 170.2078
120.117188 86.513 170.1132
120.483398 86.503 170.0266
120.849609 86.492 169.9620
121.215820 86.484 169.9128
121.582031 86.478 169.8588
121.948242 86.474 169.7845
122.314453 86.467 169.6929
122.680664 86.457 169.6039
123.046875 86.444 169.5392
123.413086 86.431 169.5056
123.779297 86.424 169.4891
124.145508 86.421 169.4635
124.511719 86.422 169.4059
124.877930 86.422 169.3086
125.244141 86.418 169.1805
125.610352 86.408 169.0406
125.976562 86.391 168.9098
126.342773 86.371 168.8049
126.708984 86.349 168.7365
127.075195 86.328 168.7062
127.441406 86.311 168.7042
127.807617 86.300 168.7085
128.173828 86.295 168.6923
128.540039 86.293 168.6359
128.906250 86.287 168.5405
129.272461 86.276 168.4295
129.638672 86.260 168.3375
130.004883 86.241 168.2881
130.371094 86.226 168.2781
130.737305 86.219 168.2775
131.103516 86.217 168.2495
131.469727 86.216 168.1754
131.835938 86.211 168.0668
132.202148 86.199 167.9564
132.568359 86.183 167.8745
132.934570 86.166 167.8300
133.300781 86.153 167.8079
133.666992 86.145 167.7839
134.033203 86.138 167.7429
134.399414 86.130 167.6852
134.765625 86.121 167.6197
135.131836 86.109 167.5537
135.498047 86.097 167.4902
135.864258 86.082 167.4341
136.230469 86.065 167.3972
136.596680 86.049 167.3920
136.962891 86.036 167.4171
137.329102 86.032 167.4475
137.695312 86.035 167.4433
138.061523 86.040 167.3755
138.427734 86.039 167.2491
138.793945 86.029 167.1043
139.160156 86.009 166.9913
139.526367 85.987 166.9384
139.892578 85.969 166.9338
140.258789 85.959 166.9377
140.625000 85.953 166.9135
140.991211 85.946 166.8534
141.357422 85.934 166.7811
141.723633 85.917 166.7294
142.089844 85.900 166.7145
142.456055 85.888 166.7250
142.822266 85.880 166.7321
143.188477 85.876 166.7112
143.554688 85.872 166.6579
143.920898 85.863 166.5880
144.287109 85.851 166.5248
144.653320 85.837 166.4832
145.019531 85.826 166.4604
145.385742 85.818 166.4385
145.751953 85.813 166.3963
146.118164 85.807 166.3243
146.484375 85.797 166.2336
146.850586 85.782 166.1522
147.216797 85.764 166.1079
147.583008 85.749 166.1072
147.949219 85.741 166.1250
