* Measurement data measured by REW V5.31.3
* Source: A [plughw:5,0], Headset (Headset), 0, volume: 0.100
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 20/04/2025 4:39:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Yacht10 R
* Smoothing: None
* Frequency Step: 0.36621094 Hz
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 31.348 142.5008
0.732422 34.044 93.8851
1.098633 39.970 62.1864
1.464844 45.603 45.9642
1.831055 50.346 34.8727
2.197266 54.290 25.1134
2.563477 57.533 15.6658
2.929688 60.151 6.5229
3.295898 62.223 -1.9297
3.662109 63.848 -9.1724
4.028320 65.162 -14.7622
4.394531 66.333 -18.6253
4.760742 67.515 -21.3123
5.126953 68.763 -23.8228
5.493164 70.014 -26.9475
5.859375 71.159 -30.7980
6.225586 72.129 -34.9260
6.591797 72.934 -38.7301
6.958008 73.648 -41.8556
7.324219 74.360 -44.4409
7.690430 75.104 -47.0200
8.056641 75.837 -50.0625
8.422852 76.473 -53.5702
8.789062 76.961 -57.0732
9.155273 77.323 -59.9464
9.521484 77.659 -61.8514
9.887695 78.082 -63.1012
10.253906 78.628 -64.5428
10.620117 79.212 -66.8736
10.986328 79.703 -70.0935
11.352539 80.015 -73.5685
11.718750 80.156 -76.4312
12.084961 80.232 -78.0575
12.451172 80.396 -78.5380
12.817383 80.742 -78.7647
13.183594 81.221 -79.7554
13.549805 81.697 -81.8549
13.916016 82.055 -84.6667
14.282227 82.268 -87.4944
14.648438 82.383 -89.7858
15.014648 82.483 -91.4091
15.380859 82.630 -92.6639
15.747070 82.823 -93.9784
16.113281 83.015 -95.5401
16.479492 83.167 -97.2044
16.845703 83.279 -98.6960
17.211914 83.385 -99.8782
17.578125 83.523 -100.8772
17.944336 83.696 -101.9639
18.310547 83.873 -103.3062
18.676758 84.016 -104.8311
19.042969 84.113 -106.3006
19.409180 84.185 -107.5053
19.775391 84.270 -108.4276
20.141602 84.394 -109.2576
20.507812 84.551 -110.2446
20.874023 84.707 -111.5084
21.240234 84.828 -112.9675
21.606445 84.901 -114.4109
21.972656 84.938 -115.6304
22.338867 84.970 -116.5363
22.705078 85.026 -117.2005
23.071289 85.120 -117.8083
23.437500 85.243 -118.5473
23.803711 85.371 -119.5066
24.169922 85.478 -120.6446
24.536133 85.550 -121.8277
24.902344 85.592 -122.9078
25.268555 85.620 -123.8001
25.634766 85.654 -124.5269
26.000977 85.704 -125.1961
26.367188 85.764 -125.9188
26.733398 85.817 -126.7206
27.099609 85.847 -127.5130
27.465820 85.859 -128.1500
27.832031 85.876 -128.5399
28.198242 85.929 -128.7432
28.564453 86.035 -128.9769
28.930664 86.183 -129.4979
29.296875 86.335 -130.4448
29.663086 86.449 -131.7600
30.029297 86.501 -133.2307
30.395508 86.491 -134.5997
30.761719 86.442 -135.6798
31.127930 86.385 -136.4267
31.494141 86.347 -136.9318
31.860352 86.333 -137.3408
32.226562 86.335 -137.7543
32.592773 86.343 -138.1855
32.958984 86.349 -138.5920
33.325195 86.360 -138.9388
33.691406 86.379 -139.2349
34.057617 86.411 -139.5210
34.423828 86.453 -139.8304
34.790039 86.501 -140.1676
35.156250 86.554 -140.5241
35.522461 86.617 -140.9125
35.888672 86.688 -141.3789
36.254883 86.763 -141.9749
36.621094 86.827 -142.7107
36.987305 86.870 -143.5312
37.353516 86.887 -144.3356
37.719727 86.885 -145.0303
38.085938 86.880 -145.5806
38.452148 86.884 -146.0258
38.818359 86.903 -146.4462
39.184570 86.929 -146.9064
39.550781 86.955 -147.4152
39.916992 86.972 -147.9317
40.283203 86.984 -148.4039
40.649414 86.997 -148.8124
41.015625 87.017 -149.1864
41.381836 87.045 -149.5821
41.748047 87.074 -150.0388
42.114258 87.094 -150.5471
42.480469 87.098 -151.0503
42.846680 87.090 -151.4798
43.212891 87.080 -151.8009
43.579102 87.078 -152.0382
43.945312 87.088 -152.2618
44.311523 87.108 -152.5411
44.677734 87.126 -152.9017
45.043945 87.135 -153.3172
45.410156 87.134 -153.7369
45.776367 87.125 -154.1277
46.142578 87.117 -154.4950
46.508789 87.110 -154.8695
46.875000 87.101 -155.2745
47.241211 87.086 -155.7014
47.607422 87.065 -156.1155
47.973633 87.040 -156.4838
48.339844 87.018 -156.8013
48.706055 87.005 -157.0953
49.072266 87.001 -157.4055
49.438477 87.003 -157.7594
49.804688 87.006 -158.1591
50.170898 87.006 -158.5858
50.537109 87.002 -159.0124
50.903320 86.996 -159.4147
51.269531 86.991 -159.7795
51.635742 86.990 -160.1104
52.001953 86.996 -160.4279
52.368164 87.007 -160.7597
52.734375 87.018 -161.1209
53.100586 87.025 -161.4967
53.466797 87.024 -161.8468
53.833008 87.021 -162.1327
54.199219 87.022 -162.3515
54.565430 87.033 -162.5476
54.931641 87.052 -162.7840
55.297852 87.070 -163.0936
55.664062 87.077 -163.4503
56.030273 87.070 -163.7850
56.396484 87.054 -164.0365
56.762695 87.041 -164.1978
57.128906 87.039 -164.3226
57.495117 87.048 -164.4835
57.861328 87.058 -164.7184
58.227539 87.061 -165.0089
58.593750 87.054 -165.3024
58.959961 87.041 -165.5557
59.326172 87.028 -165.7627
59.692383 87.021 -165.9496
60.058594 87.019 -166.1477
60.424805 87.019 -166.3723
60.791016 87.019 -166.6223
61.157227 87.018 -166.8919
61.523438 87.015 -167.1770
61.889648 87.008 -167.4695
62.255859 86.996 -167.7487
62.622070 86.981 -167.9884
62.988281 86.968 -168.1759
63.354492 86.963 -168.3300
63.720703 86.966 -168.4953
64.086914 86.975 -168.7131
64.453125 86.981 -168.9895
64.819336 86.978 -169.2899
65.185547 86.966 -169.5628
65.551758 86.951 -169.7764
65.917969 86.940 -169.9404
66.284180 86.937 -170.0962
66.650391 86.939 -170.2855
67.016602 86.939 -170.5210
67.382812 86.932 -170.7808
67.749023 86.917 -171.0253
68.115234 86.897 -171.2219
68.481445 86.878 -171.3610
68.847656 86.865 -171.4580
69.213867 86.860 -171.5440
69.580078 86.863 -171.6532
69.946289 86.871 -171.8109
70.312500 86.878 -172.0252
70.678711 86.881 -172.2828
71.044922 86.875 -172.5535
71.411133 86.863 -172.8032
71.777344 86.847 -173.0109
72.143555 86.834 -173.1797
72.509766 86.825 -173.3336
72.875977 86.820 -173.5001
73.242188 86.815 -173.6900
73.608398 86.806 -173.8890
73.974609 86.793 -174.0682
74.340820 86.778 -174.2047
74.707031 86.767 -174.3009
75.073242 86.764 -174.3856
75.439453 86.767 -174.4975
75.805664 86.772 -174.6607
76.171875 86.773 -174.8693
76.538086 86.766 -175.0919
76.904297 86.752 -175.2915
77.270508 86.735 -175.4478
77.636719 86.721 -175.5667
78.002930 86.711 -175.6732
78.369141 86.705 -175.7909
78.735352 86.699 -175.9280
79.101562 86.693 -176.0777
79.467773 86.687 -176.2314
79.833984 86.682 -176.3920
80.200195 86.677 -176.5733
80.566406 86.671 -176.7855
80.932617 86.658 -177.0179
81.298828 86.637 -177.2367
81.665039 86.611 -177.4026
82.031250 86.586 -177.4978
82.397461 86.570 -177.5428
82.763672 86.566 -177.5871
83.129883 86.569 -177.6792
83.496094 86.573 -177.8359
83.862305 86.572 -178.0340
84.228516 86.563 -178.2288
84.594727 86.550 -178.3862
84.960938 86.538 -178.5034
85.327148 86.533 -178.6078
85.693359 86.531 -178.7333
86.059570 86.530 -178.8946
86.425781 86.523 -179.0779
86.791992 86.510 -179.2514
87.158203 86.494 -179.3881
87.524414 86.478 -179.4816
87.890625 86.466 -179.5477
88.256836 86.460 -179.6126
88.623047 86.458 -179.6977
88.989258 86.457 -179.8112
89.355469 86.453 -179.9496
89.721680 86.447 179.8974
90.087891 86.436 179.7435
90.454102 86.421 179.6036
90.820312 86.405 179.4900
91.186523 86.389 179.4064
91.552734 86.377 179.3425
91.918945 86.370 179.2760
92.285156 86.367 179.1856
92.651367 86.363 179.0649
93.017578 86.356 178.9278
93.383789 86.345 178.7979
93.750000 86.333 178.6896
94.116211 86.323 178.5970
94.482422 86.317 178.4993
94.848633 86.311 178.3816
95.214844 86.302 178.2503
95.581055 86.289 178.1296
95.947266 86.275 178.0396
96.313477 86.264 177.9758
96.679688 86.258 177.9094
97.045898 86.255 177.8121
97.412109 86.247 177.6844
97.778320 86.233 177.5624
98.144531 86.213 177.4913
98.510742 86.197 177.4868
98.876953 86.193 177.5139
99.243164 86.201 177.5045
99.609375 86.213 177.4048
99.975586 86.220 177.2136
100.341797 86.213 176.9832
100.708008 86.193 176.7832
101.074219 86.168 176.6551
101.440430 86.145 176.5904
101.806641 86.131 176.5458
102.172852 86.121 176.4809
102.539062 86.112 176.3862
102.905273 86.099 176.2817
103.271484 86.085 176.1917
103.637695 86.073 176.1203
104.003906 86.065 176.0485
104.370117 86.059 175.9529
104.736328 86.052 175.8275
105.102539 86.042 175.6899
105.468750 86.027 175.5671
105.834961 86.011 175.4747
106.201172 85.999 175.4064
106.567383 85.990 175.3416
106.933594 85.984 175.2628
107.299805 85.977 175.1680
107.666016 85.968 175.0701
108.032227 85.958 174.9838
108.398438 85.948 174.9145
108.764648 85.940 174.8557
109.130859 85.934 174.7958
109.497070 85.928 174.7282
109.863281 85.922 174.6545
110.229492 85.914 174.5819
110.595703 85.905 174.5167
110.961914 85.897 174.4598
111.328125 85.889 174.4072
111.694336 85.882 174.3535
112.060547 85.875 174.2946
112.426758 85.868 174.2290
112.792969 85.861 174.1568
113.159180 85.852 174.0790
113.525391 85.842 173.9976
113.891602 85.830 173.9164
114.257812 85.816 173.8411
114.624023 85.802 173.7767
114.990234 85.788 173.7249
115.356445 85.776 173.6824
115.722656 85.766 173.6414
116.088867 85.758 173.5925
116.455078 85.752 173.5283
116.821289 85.746 173.4465
117.187500 85.739 173.3496
117.553711 85.729 173.2448
117.919922 85.717 173.1416
118.286133 85.703 173.0511
118.652344 85.687 172.9838
119.018555 85.673 172.9451
119.384766 85.663 172.9301
119.750977 85.659 172.9203
120.117188 85.661 172.8879
120.483398 85.666 172.8084
120.849609 85.668 172.6757
121.215820 85.664 172.5092
121.582031 85.649 172.3474
121.948242 85.628 172.2281
122.314453 85.604 172.1689
122.680664 85.584 172.1599
123.046875 85.571 172.1738
123.413086 85.562 172.1847
123.779297 85.556 172.1819
124.145508 85.553 172.1672
124.511719 85.550 172.1420
124.877930 85.550 172.0987
125.244141 85.549 172.0254
125.610352 85.546 171.9207
125.976562 85.537 171.8024
126.342773 85.522 171.6989
126.708984 85.505 171.6300
127.075195 85.489 171.5914
127.441406 85.476 171.5608
127.807617 85.465 171.5200
128.173828 85.452 171.4747
128.540039 85.436 171.4500
128.906250 85.421 171.4651
129.272461 85.413 171.5078
129.638672 85.415 171.5352
130.004883 85.420 171.5048
130.371094 85.423 171.4102
130.737305 85.416 171.2903
131.103516 85.400 171.2010
131.469727 85.382 171.1728
131.835938 85.371 171.1865
132.202148 85.367 171.1906
132.568359 85.366 171.1454
132.934570 85.361 171.0550
133.300781 85.348 170.9610
133.666992 85.331 170.9044
134.033203 85.315 170.8898
134.399414 85.304 170.8841
134.765625 85.297 170.8490
135.131836 85.288 170.7792
135.498047 85.272 170.7088
135.864258 85.252 170.6812
136.230469 85.237 170.7070
136.596680 85.232 170.7481
136.962891 85.236 170.7425
137.329102 85.243 170.6521
137.695312 85.242 170.4927
138.061523 85.227 170.3238
138.427734 85.204 170.2081
138.793945 85.179 170.1713
139.160156 85.161 170.1904
139.526367 85.154 170.2147
139.892578 85.152 170.2032
140.258789 85.151 170.1477
140.625000 85.146 170.0701
140.991211 85.135 170.0009
141.357422 85.123 169.9582
141.723633 85.113 169.9397
142.089844 85.105 169.9303
142.456055 85.100 169.9153
142.822266 85.094 169.8898
143.188477 85.089 169.8582
143.554688 85.082 169.8273
143.920898 85.075 169.7990
144.287109 85.068 169.7684
144.653320 85.061 169.7296
145.019531 85.051 169.6839
145.385742 85.039 169.6436
145.751953 85.025 169.6246
146.118164 85.012 169.6329
146.484375 85.003 169.6538
146.850586 85.001 169.6565
147.216797 85.000 169.6147
