* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -32.3 dBFS, measurement signal peak level -25.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/02/2024 12:33:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0622 ms (-21 mm, -0.84 in) using estimated IR delay relative to Acoustic reference on SPEAKER L with no timing offset
* Measurement: Yvain L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 63.305 -49.5377
1.015000 63.185 -50.2024
1.030000 63.064 -50.8809
1.044000 62.949 -51.5279
1.060000 62.817 -52.2855
1.075000 62.693 -53.0151
1.090000 62.567 -53.7651
1.106000 62.432 -54.5935
1.120000 62.317 -55.3644
1.138000 62.171 -56.4177
1.150000 62.076 -57.1541
1.172000 61.902 -58.5639
1.180000 61.839 -59.0928
1.206000 61.634 -60.8569
1.220000 61.523 -61.8276
1.241000 61.353 -63.2979
1.250000 61.279 -63.9297
1.265000 61.153 -64.9804
1.280000 61.023 -66.0230
1.315000 60.705 -68.3906
1.320000 60.658 -68.7182
1.340000 60.461 -69.9931
1.360000 60.253 -71.2010
1.380000 60.032 -72.3277
1.400000 59.797 -73.3591
1.430000 59.416 -74.6972
1.450000 59.140 -75.4292
1.475000 58.768 -76.1685
1.500000 58.366 -76.9369
1.525000 57.936 -77.7525
1.550000 57.481 -78.5705
1.575000 57.004 -79.3465
1.600000 56.507 -80.0358
1.625000 55.995 -80.5938
1.650000 55.469 -80.9760
1.675000 54.932 -81.1377
1.700000 54.388 -81.0343
1.725000 53.839 -80.6213
1.750000 53.288 -79.8540
1.775000 52.738 -78.6878
1.800000 52.193 -77.0782
1.825000 51.654 -74.9806
1.850000 51.099 -72.2870
1.875000 50.477 -68.8751
1.900000 49.802 -64.8341
1.925000 49.089 -60.2611
1.950000 48.354 -55.2531
1.975000 47.613 -49.9074
2.000000 46.883 -44.3210
2.030000 46.043 -37.4361
2.060000 45.268 -30.5122
2.090000 44.587 -23.7170
2.120000 44.026 -17.2181
2.140000 43.733 -13.1331
2.180000 43.379 -5.7808
2.200000 43.334 -2.6097
2.240000 43.545 3.3299
2.270000 43.939 7.6226
2.300000 44.496 11.7463
2.330000 45.183 15.6738
2.360000 45.965 19.3780
2.400000 47.096 23.9228
2.430000 47.966 27.0004
2.470000 49.091 30.6112
2.500000 49.864 32.9146
2.540000 50.733 35.3945
2.580000 51.365 37.1066
2.620000 51.879 37.7879
2.650000 52.216 37.6908
2.690000 52.608 36.9139
2.720000 52.865 35.9568
2.760000 53.165 34.3448
2.800000 53.426 32.5354
2.850000 53.713 30.3061
2.900000 53.974 28.4836
2.950000 54.223 27.3764
3.000000 54.423 26.4581
3.040000 54.545 25.7546
3.070000 54.617 25.2534
3.110000 54.693 24.6301
3.150000 54.748 24.0698
3.200000 54.794 23.4769
3.250000 54.825 23.0263
3.300000 54.849 22.7420
3.350000 54.844 22.6091
3.400000 54.798 22.6058
3.450000 54.727 22.7319
3.500000 54.644 22.9875
3.550000 54.564 23.3724
3.600000 54.502 23.8866
3.650000 54.471 24.5300
3.700000 54.472 25.3409
3.750000 54.483 26.3795
3.820000 54.517 28.1070
3.870000 54.562 29.4535
3.950000 54.681 31.6333
4.000000 54.791 32.9164
4.060000 54.966 34.3311
4.120000 55.194 35.8170
4.180000 55.463 37.3232
4.250000 55.813 38.9777
4.310000 56.131 40.1973
4.370000 56.452 41.1320
4.440000 56.830 41.7762
4.500000 57.179 42.0193
4.550000 57.482 42.0399
4.620000 57.909 41.8386
4.680000 58.267 41.4966
4.750000 58.659 40.9572
4.820000 59.020 40.2482
4.870000 59.269 39.5874
4.940000 59.604 38.4924
5.000000 59.877 37.4393
5.080000 60.218 35.9430
5.150000 60.492 34.6038
5.220000 60.742 33.1498
5.300000 61.003 31.3623
5.380000 61.239 29.5203
5.450000 61.429 27.9292
5.520000 61.604 26.4051
5.600000 61.780 24.6714
5.700000 61.969 22.5261
5.800000 62.135 20.4707
5.900000 62.290 18.5660
6.000000 62.421 16.7795
6.080000 62.514 15.4355
6.150000 62.594 14.3298
6.220000 62.679 13.2966
6.300000 62.780 12.2205
6.400000 62.902 11.0218
6.500000 63.033 9.9318
6.600000 63.182 8.8929
6.700000 63.352 7.9421
6.800000 63.538 7.0713
6.900000 63.739 6.1952
7.000000 63.954 5.2425
7.100000 64.191 4.2619
7.200000 64.440 3.2373
7.300000 64.691 2.1282
7.400000 64.942 0.9061
7.500000 65.198 -0.4106
7.620000 65.501 -2.0883
7.750000 65.807 -4.0050
7.880000 66.096 -6.0610
8.000000 66.344 -7.9992
8.120000 66.566 -9.9046
8.250000 66.781 -11.9852
8.380000 66.972 -13.9937
8.500000 67.128 -15.7148
8.620000 67.264 -17.3455
8.750000 67.397 -18.9635
8.850000 67.496 -20.0708
9.000000 67.631 -21.5273
9.120000 67.739 -22.5366
9.250000 67.866 -23.4732
9.380000 67.997 -24.2412
9.500000 68.129 -24.8656
9.620000 68.273 -25.4311
9.750000 68.443 -25.9566
9.880000 68.622 -26.4603
10.000000 68.797 -26.9292
10.150000 69.027 -27.5000
10.300000 69.262 -28.0897
10.440000 69.485 -28.6609
10.600000 69.743 -29.3275
10.750000 69.987 -29.9592
10.900000 70.232 -30.6026
11.060000 70.499 -31.3125
11.200000 70.737 -31.9456
11.380000 71.046 -32.8374
11.500000 71.257 -33.4840
11.720000 71.642 -34.8190
11.800000 71.779 -35.3718
12.060000 72.214 -37.3913
12.200000 72.427 -38.6309
12.410000 72.717 -40.6619
12.500000 72.825 -41.5629
12.650000 72.985 -43.1316
12.800000 73.119 -44.7036
13.150000 73.324 -48.2109
13.200000 73.344 -48.6690
13.400000 73.397 -50.3911
13.600000 73.429 -51.8805
13.800000 73.446 -53.1069
14.000000 73.464 -54.1031
14.300000 73.506 -55.1987
14.500000 73.555 -55.7299
14.750000 73.644 -56.2373
15.000000 73.768 -56.6098
15.250000 73.932 -56.8995
15.500000 74.143 -57.1882
15.750000 74.403 -57.5507
16.000000 74.710 -58.1218
16.250000 75.042 -59.0173
16.500000 75.382 -60.2670
16.750000 75.704 -61.8860
17.000000 75.985 -63.7309
17.250000 76.223 -65.6879
17.500000 76.414 -67.6053
17.750000 76.578 -69.3509
18.000000 76.730 -70.9275
18.250000 76.883 -72.3441
18.500000 77.046 -73.7415
18.750000 77.207 -75.1915
19.000000 77.355 -76.7580
19.250000 77.464 -78.4060
19.500000 77.528 -79.9910
19.750000 77.543 -81.3960
20.000000 77.527 -82.4091
20.299999 77.516 -83.0907
20.600000 77.560 -83.3370
20.900000 77.689 -83.4949
21.200001 77.891 -84.0315
21.400000 78.028 -84.7611
21.799999 78.232 -86.9799
22.000000 78.270 -88.2812
22.400000 78.197 -90.6146
22.700001 78.061 -91.6165
23.000000 77.943 -91.7587
23.299999 77.933 -91.3415
23.600000 78.059 -90.8767
24.000000 78.400 -91.0029
24.299999 78.690 -91.9970
24.700001 79.006 -94.3512
25.000000 79.146 -96.4568
25.400000 79.200 -99.0686
25.799999 79.145 -100.8324
26.200001 79.067 -101.3207
26.500000 79.069 -100.8067
26.900000 79.259 -99.2985
27.200001 79.577 -98.1431
27.600000 80.177 -97.5416
28.000000 80.777 -98.7542
28.500000 81.202 -102.2743
29.000000 81.121 -105.1608
29.500000 80.804 -104.5300
30.000000 80.874 -101.1118
30.400000 81.321 -99.3580
30.700001 81.681 -99.8594
31.100000 81.876 -102.5591
31.500000 81.595 -105.2479
32.000000 80.759 -103.9589
32.500000 80.397 -96.6950
33.000000 81.301 -90.3358
33.500000 82.539 -91.3746
34.000000 83.143 -98.9564
34.500000 82.937 -107.5874
35.000000 82.167 -113.0523
35.500000 81.366 -114.5399
36.000000 80.983 -114.5216
36.500000 80.935 -115.3787
37.000000 80.915 -117.0326
37.500000 80.887 -118.1356
38.200001 81.127 -118.5979
38.700001 81.494 -119.4579
39.500000 82.014 -122.3127
40.000000 82.232 -124.2034
40.599998 82.409 -126.3009
41.200001 82.462 -128.2453
41.799999 82.374 -129.5355
42.500000 82.224 -129.6928
43.099998 82.194 -129.2539
43.700001 82.255 -129.1596
44.400002 82.345 -129.8377
45.000000 82.390 -130.9093
45.500000 82.400 -131.9330
46.200001 82.399 -133.3035
46.799999 82.420 -134.3562
47.500000 82.485 -135.5945
48.200001 82.562 -136.8789
48.700001 82.612 -137.7331
49.400002 82.673 -138.7462
50.000000 82.718 -139.4370
50.799999 82.764 -140.1169
51.500000 82.792 -140.5415
52.200001 82.805 -140.8271
53.000000 82.826 -140.9643
53.799999 82.892 -141.2121
54.500000 82.956 -141.8385
55.200001 82.982 -142.7081
56.000000 82.984 -143.6515
57.000000 82.999 -144.7735
58.000000 83.020 -145.8757
59.000000 83.058 -146.9083
60.000000 83.088 -147.9509
60.799999 83.100 -148.6142
61.500000 83.122 -149.0843
62.200001 83.155 -149.5617
63.000000 83.196 -150.1669
64.000000 83.237 -151.0331
65.000000 83.250 -151.9451
66.000000 83.235 -152.7054
67.000000 83.223 -153.2227
68.000000 83.245 -153.6301
69.000000 83.291 -154.2159
70.000000 83.318 -154.9875
71.000000 83.322 -155.7348
72.000000 83.324 -156.4018
73.000000 83.333 -157.0639
74.000000 83.342 -157.7338
75.000000 83.354 -158.3803
76.199997 83.376 -159.1533
77.500000 83.392 -160.0016
78.800003 83.399 -160.7326
80.000000 83.412 -161.3544
81.199997 83.425 -162.0072
82.500000 83.428 -162.7220
83.800003 83.429 -163.3645
85.000000 83.438 -163.9490
86.199997 83.445 -164.5338
87.500000 83.459 -165.1202
88.500000 83.477 -165.6154
90.000000 83.487 -166.4633
91.199997 83.481 -167.0789
92.500000 83.481 -167.6775
93.800003 83.487 -168.2455
95.000000 83.495 -168.7386
96.199997 83.501 -169.1845
97.500000 83.505 -169.5899
98.800003 83.515 -169.9350
100.000000 83.535 -170.3659
101.500000 83.535 -171.1587
103.000000 83.502 -171.8866
104.400002 83.478 -172.4331
106.000000 83.471 -172.9904
107.500000 83.474 -173.5062
109.000000 83.478 -174.0353
110.599998 83.478 -174.6452
112.000000 83.470 -175.2181
113.800003 83.449 -175.9279
115.000000 83.434 -176.3633
117.199997 83.408 -177.0677
118.000000 83.399 -177.3056
120.599998 83.369 -178.0844
122.000000 83.353 -178.5273
124.099998 83.330 -179.1865
125.000000 83.321 -179.4535
126.500000 83.308 -179.8877
128.000000 83.291 179.7004
131.500000 83.231 178.9038
132.000000 83.222 178.7919
134.000000 83.180 178.3538
136.000000 83.138 177.9677
138.000000 83.092 177.6021
140.000000 83.035 177.3203
143.000000 82.948 177.0820
145.000000 82.898 177.0680
147.500000 82.844 177.3670
150.000000 82.815 178.0911
152.500000 82.873 179.1833
155.000000 83.089 -179.8845
157.500000 83.426 -179.7346
160.000000 83.746 179.2958
162.500000 83.950 177.5124
165.000000 84.054 175.4923
167.500000 84.093 173.6146
170.000000 84.082 172.0958
172.500000 84.041 170.8477
175.000000 83.988 169.7490
177.500000 83.935 168.7761
180.000000 83.885 167.9354
182.500000 83.835 167.1824
185.000000 83.788 166.4860
187.500000 83.750 165.8245
190.000000 83.717 165.1906
192.500000 83.687 164.5828
195.000000 83.655 164.0045
197.500000 83.624 163.4089
200.000000 83.593 162.7683
203.000000 83.556 162.0744
206.000000 83.526 161.5176
209.000000 83.491 160.9441
212.000000 83.450 160.3412
214.000000 83.424 159.9428
218.000000 83.377 159.1938
220.000000 83.354 158.8281
224.000000 83.310 158.0930
227.000000 83.276 157.5656
230.000000 83.242 157.0646
233.000000 83.208 156.5698
236.000000 83.176 156.0743
240.000000 83.135 155.4189
243.000000 83.102 154.9457
247.000000 83.059 154.3589
250.000000 83.029 153.9211
254.000000 82.994 153.3031
258.000000 82.956 152.6984
262.000000 82.914 152.1275
265.000000 82.886 151.7196
269.000000 82.850 151.1989
272.000000 82.818 150.8034
276.000000 82.775 150.2615
280.000000 82.737 149.7213
