* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), L, volume: 0.260. Timing signal peak level -36.5 dBFS, measurement signal peak level -26.1 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 18/02/2024 12:34:14 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0578 ms (-20 mm, -0.78 in) using estimated IR delay relative to Acoustic reference on SPEAKER R with no timing offset
* Measurement: Yvain R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 37.423 -170.6779
1.015000 37.521 -172.7769
1.030000 37.616 -174.8358
1.044000 37.704 -176.7159
1.060000 37.803 -178.8091
1.075000 37.893 179.2885
1.090000 37.982 177.4502
1.106000 38.075 175.5642
1.120000 38.154 173.9639
1.138000 38.250 171.9665
1.150000 38.312 170.6698
1.172000 38.420 168.3586
1.180000 38.458 167.5378
1.206000 38.578 164.9335
1.220000 38.640 163.5671
1.241000 38.730 161.5572
1.250000 38.768 160.7084
1.265000 38.831 159.3079
1.280000 38.893 157.9221
1.315000 39.036 154.7268
1.320000 39.056 154.2729
1.340000 39.138 152.4586
1.360000 39.222 150.6406
1.380000 39.307 148.8110
1.400000 39.394 146.9616
1.430000 39.531 144.1332
1.450000 39.628 142.1998
1.475000 39.754 139.7157
1.500000 39.886 137.1572
1.525000 40.020 134.5388
1.550000 40.158 131.8756
1.575000 40.298 129.1825
1.600000 40.441 126.4747
1.625000 40.585 123.7672
1.650000 40.730 121.0751
1.675000 40.876 118.4135
1.700000 41.023 115.7974
1.725000 41.169 113.2418
1.750000 41.314 110.7620
1.775000 41.459 108.3728
1.800000 41.602 106.0894
1.825000 41.743 103.9268
1.850000 41.882 101.8835
1.875000 42.021 99.9249
1.900000 42.159 98.0452
1.925000 42.297 96.2404
1.950000 42.435 94.5063
1.975000 42.572 92.8386
2.000000 42.709 91.2333
2.030000 42.873 89.3835
2.060000 43.037 87.6103
2.090000 43.200 85.9065
2.120000 43.363 84.2649
2.140000 43.472 83.2016
2.180000 43.689 81.1399
2.200000 43.797 80.1374
2.240000 44.012 78.2255
2.270000 44.170 76.8813
2.300000 44.327 75.6097
2.330000 44.483 74.4065
2.360000 44.639 73.2676
2.400000 44.848 71.8423
2.430000 45.007 70.8378
2.470000 45.222 69.5769
2.500000 45.387 68.6847
2.540000 45.613 67.5588
2.580000 45.847 66.5047
2.620000 46.086 65.5779
2.650000 46.267 64.9646
2.690000 46.513 64.2385
2.720000 46.700 63.7510
2.760000 46.954 63.1601
2.800000 47.213 62.6170
2.850000 47.545 61.9727
2.900000 47.886 61.3280
2.950000 48.239 60.6571
3.000000 48.606 60.0634
3.040000 48.910 59.6433
3.070000 49.141 59.3476
3.110000 49.455 58.9639
3.150000 49.771 58.5747
3.200000 50.168 58.0511
3.250000 50.563 57.4514
3.300000 50.952 56.7385
3.350000 51.342 55.9233
3.400000 51.737 55.0382
3.450000 52.133 54.0930
3.500000 52.528 53.0977
3.550000 52.916 52.0622
3.600000 53.297 50.9964
3.650000 53.665 49.9103
3.700000 54.022 48.8031
3.750000 54.373 47.6567
3.820000 54.851 45.9932
3.870000 55.183 44.7696
3.950000 55.693 42.7636
4.000000 55.997 41.4870
4.060000 56.346 39.9301
4.120000 56.679 38.3093
4.180000 56.997 36.6443
4.250000 57.350 34.6837
4.310000 57.636 33.0201
4.370000 57.909 31.4017
4.440000 58.210 29.5852
4.500000 58.450 28.0499
4.550000 58.639 26.7891
4.620000 58.889 25.0637
4.680000 59.092 23.6317
4.750000 59.318 22.0292
4.820000 59.530 20.4958
4.870000 59.671 19.4316
4.940000 59.855 17.9952
5.000000 60.006 16.8233
5.080000 60.200 15.3616
5.150000 60.368 14.1920
5.220000 60.528 13.1281
5.300000 60.702 12.0259
5.380000 60.873 11.0259
5.450000 61.026 10.2189
5.520000 61.187 9.4666
5.600000 61.373 8.7158
5.700000 61.610 7.9025
5.800000 61.859 7.1493
5.900000 62.124 6.3873
6.000000 62.406 5.6795
6.080000 62.640 5.1275
6.150000 62.850 4.6234
6.220000 63.061 4.0736
6.300000 63.307 3.3921
6.400000 63.624 2.4934
6.500000 63.943 1.5250
6.600000 64.252 0.4675
6.700000 64.556 -0.6973
6.800000 64.854 -1.9499
6.900000 65.141 -3.2566
7.000000 65.412 -4.5920
7.100000 65.668 -5.9890
7.200000 65.911 -7.4189
7.300000 66.139 -8.8365
7.400000 66.350 -10.2261
7.500000 66.546 -11.6169
7.620000 66.763 -13.2384
7.750000 66.984 -14.8768
7.880000 67.184 -16.4139
8.000000 67.358 -17.7332
8.120000 67.531 -18.9373
8.250000 67.711 -20.1108
8.380000 67.892 -21.1810
8.500000 68.066 -22.0917
8.620000 68.245 -22.9111
8.750000 68.446 -23.7535
8.850000 68.609 -24.3990
9.000000 68.863 -25.3268
9.120000 69.073 -26.0809
9.250000 69.304 -26.9460
9.380000 69.542 -27.8419
9.500000 69.760 -28.7097
9.620000 69.975 -29.6287
9.750000 70.206 -30.6740
9.880000 70.430 -31.7549
10.000000 70.628 -32.7852
10.150000 70.866 -34.1130
10.300000 71.090 -35.4427
10.440000 71.287 -36.6919
10.600000 71.498 -38.1021
10.750000 71.683 -39.3855
10.900000 71.857 -40.6360
11.060000 72.033 -41.9088
11.200000 72.179 -42.9727
11.380000 72.360 -44.2705
11.500000 72.477 -45.0883
11.720000 72.688 -46.5045
11.800000 72.765 -46.9954
12.060000 73.013 -48.5092
12.200000 73.149 -49.2932
12.410000 73.354 -50.4346
12.500000 73.443 -50.9241
12.650000 73.592 -51.7344
12.800000 73.741 -52.5505
13.150000 74.084 -54.5098
13.200000 74.131 -54.7955
13.400000 74.318 -55.9579
13.600000 74.496 -57.1306
13.800000 74.665 -58.3104
14.000000 74.824 -59.4688
14.300000 75.046 -61.1505
14.500000 75.186 -62.2128
14.750000 75.359 -63.4799
15.000000 75.531 -64.6868
15.250000 75.706 -65.8668
15.500000 75.883 -67.0544
15.750000 76.060 -68.2682
16.000000 76.231 -69.5265
16.250000 76.391 -70.8118
16.500000 76.539 -72.1058
16.750000 76.672 -73.3763
17.000000 76.794 -74.5877
17.250000 76.908 -75.7280
17.500000 77.017 -76.7854
17.750000 77.127 -77.7739
18.000000 77.240 -78.7099
18.250000 77.356 -79.6119
18.500000 77.475 -80.5042
18.750000 77.596 -81.3951
19.000000 77.717 -82.2922
19.250000 77.837 -83.1973
19.500000 77.954 -84.1094
19.750000 78.069 -85.0276
20.000000 78.179 -85.9503
20.299999 78.305 -87.0581
20.600000 78.423 -88.1575
20.900000 78.533 -89.2352
21.200001 78.636 -90.2751
21.400000 78.702 -90.9410
21.799999 78.832 -92.2102
22.000000 78.897 -92.8196
22.400000 79.029 -94.0107
22.700001 79.130 -94.9008
23.000000 79.229 -95.8001
23.299999 79.324 -96.7057
23.600000 79.415 -97.6068
24.000000 79.528 -98.7800
24.299999 79.610 -99.6261
24.700001 79.719 -100.7114
25.000000 79.803 -101.5118
25.400000 79.918 -102.6030
25.799999 80.030 -103.7695
26.200001 80.127 -105.0220
26.500000 80.181 -105.9805
26.900000 80.227 -107.1924
27.200001 80.245 -107.9758
27.600000 80.267 -108.7937
28.000000 80.312 -109.4001
28.500000 80.420 -110.1313
29.000000 80.559 -111.1743
29.500000 80.669 -112.5621
30.000000 80.716 -113.9409
30.400000 80.731 -114.7825
30.700001 80.751 -115.2374
31.100000 80.813 -115.7522
31.500000 80.913 -116.3808
32.000000 81.047 -117.5547
32.500000 81.129 -119.0410
33.000000 81.141 -120.4037
33.500000 81.126 -121.3308
34.000000 81.140 -121.8856
34.500000 81.205 -122.3943
35.000000 81.293 -123.0807
35.500000 81.369 -123.9194
36.000000 81.425 -124.7564
36.500000 81.474 -125.5162
37.000000 81.526 -126.2372
37.500000 81.579 -126.9732
38.200001 81.643 -128.0236
38.700001 81.682 -128.7512
39.500000 81.736 -129.8277
40.000000 81.770 -130.4250
40.599998 81.822 -131.0930
41.200001 81.882 -131.8026
41.799999 81.932 -132.5603
42.500000 81.971 -133.3208
43.099998 82.012 -133.7837
43.700001 82.080 -134.2183
44.400002 82.177 -134.8851
45.000000 82.253 -135.6235
45.500000 82.301 -136.3259
46.200001 82.340 -137.3491
46.799999 82.353 -138.1504
47.500000 82.369 -139.0270
48.200001 82.375 -139.9963
48.700001 82.354 -140.6454
49.400002 82.315 -141.1686
50.000000 82.335 -141.3342
50.799999 82.449 -141.8530
51.500000 82.536 -142.7562
52.200001 82.582 -143.6409
53.000000 82.637 -144.4736
53.799999 82.695 -145.3824
54.500000 82.721 -146.1873
55.200001 82.732 -146.8684
56.000000 82.745 -147.5511
57.000000 82.757 -148.3502
58.000000 82.771 -149.0804
59.000000 82.795 -149.8263
60.000000 82.820 -150.6243
60.799999 82.835 -151.2581
61.500000 82.850 -151.7825
62.200001 82.866 -152.2870
63.000000 82.887 -152.8508
64.000000 82.915 -153.5338
65.000000 82.942 -154.2207
66.000000 82.960 -154.8730
67.000000 82.981 -155.4678
68.000000 83.002 -156.1061
69.000000 83.009 -156.7244
70.000000 83.020 -157.2689
71.000000 83.035 -157.8661
72.000000 83.041 -158.4519
73.000000 83.057 -159.0137
74.000000 83.068 -159.6833
75.000000 83.061 -160.2274
76.199997 83.087 -160.7541
77.500000 83.110 -161.5148
78.800003 83.123 -162.1245
80.000000 83.140 -162.7955
81.199997 83.129 -163.4393
82.500000 83.123 -164.0157
83.800003 83.133 -164.5993
85.000000 83.146 -165.1909
86.199997 83.153 -165.6868
87.500000 83.190 -166.1534
88.500000 83.214 -166.7033
90.000000 83.179 -167.3705
91.199997 83.184 -167.5752
92.500000 83.221 -168.2841
93.800003 83.173 -169.0862
95.000000 83.149 -169.3019
96.199997 83.201 -169.7356
97.500000 83.215 -170.5891
98.800003 83.184 -171.0871
100.000000 83.191 -171.3278
101.500000 83.218 -171.8349
103.000000 83.222 -172.4351
104.400002 83.209 -172.9784
106.000000 83.189 -173.4673
107.500000 83.192 -173.8541
109.000000 83.208 -174.3672
110.599998 83.208 -175.0018
112.000000 83.194 -175.4850
113.800003 83.186 -176.0007
115.000000 83.189 -176.3601
117.199997 83.191 -177.0777
118.000000 83.189 -177.3333
120.599998 83.179 -178.0639
122.000000 83.178 -178.4207
124.099998 83.181 -179.0191
125.000000 83.181 -179.3102
126.500000 83.174 -179.8112
128.000000 83.160 179.7282
131.500000 83.133 178.9081
132.000000 83.130 178.8066
134.000000 83.124 178.3961
136.000000 83.123 177.8842
138.000000 83.117 177.3005
140.000000 83.109 176.7453
143.000000 83.090 176.0104
145.000000 83.068 175.5660
147.500000 83.040 174.9515
150.000000 83.010 174.3427
152.500000 83.003 173.8490
155.000000 82.999 173.3243
157.500000 82.980 172.7897
160.000000 82.955 172.2581
162.500000 82.928 171.7220
165.000000 82.898 171.2013
167.500000 82.866 170.7369
170.000000 82.837 170.3462
172.500000 82.807 169.9695
175.000000 82.771 169.5952
177.500000 82.731 169.2529
180.000000 82.689 168.9604
182.500000 82.646 168.7202
185.000000 82.604 168.5493
187.500000 82.563 168.4791
190.000000 82.520 168.5379
192.500000 82.483 168.7237
195.000000 82.470 169.0548
197.500000 82.492 169.5377
200.000000 82.558 170.1028
203.000000 82.727 170.5498
206.000000 82.970 170.2982
209.000000 83.198 169.3634
212.000000 83.355 167.9755
214.000000 83.414 166.9380
218.000000 83.446 164.9701
220.000000 83.434 164.1144
224.000000 83.383 162.6411
227.000000 83.336 161.7122
230.000000 83.288 160.9102
233.000000 83.242 160.2043
236.000000 83.196 159.5567
240.000000 83.138 158.7455
243.000000 83.097 158.1848
247.000000 83.046 157.5162
250.000000 83.010 157.0426
254.000000 82.965 156.3833
258.000000 82.924 155.7481
262.000000 82.885 155.1566
265.000000 82.856 154.7263
269.000000 82.819 154.1623
272.000000 82.790 153.7499
276.000000 82.754 153.2148
280.000000 82.721 152.6920
285.000000 82.681 152.0573
290.000000 82.641 151.4330
295.000000 82.601 150.8284
