* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14/08/2022 2:23:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Z1R Gill L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 62.102 56.0707
1.015000 62.325 55.6978
1.030000 62.546 55.2991
1.044000 62.748 54.9034
1.060000 62.977 54.4251
1.075000 63.188 53.9536
1.090000 63.396 53.4615
1.106000 63.616 52.9161
1.120000 63.806 52.4235
1.138000 64.047 51.7713
1.150000 64.205 51.3264
1.172000 64.493 50.4931
1.180000 64.597 50.1854
1.206000 64.929 49.1730
1.220000 65.106 48.6224
1.241000 65.370 47.7938
1.250000 65.482 47.4387
1.265000 65.667 46.8485
1.280000 65.851 46.2620
1.315000 66.277 44.9186
1.320000 66.338 44.7306
1.340000 66.579 43.9911
1.360000 66.819 43.2698
1.380000 67.055 42.5536
1.400000 67.290 41.8405
1.430000 67.636 40.7750
1.450000 67.864 40.0658
1.475000 68.145 39.1791
1.500000 68.421 38.2902
1.525000 68.694 37.3972
1.550000 68.964 36.4984
1.575000 69.229 35.5917
1.600000 69.490 34.6753
1.625000 69.748 33.7473
1.650000 70.003 32.8058
1.675000 70.253 31.8489
1.700000 70.500 30.8747
1.725000 70.743 29.8833
1.750000 70.982 28.8767
1.775000 71.217 27.8570
1.800000 71.449 26.8263
1.825000 71.676 25.7867
1.850000 71.900 24.7404
1.875000 72.120 23.6894
1.900000 72.337 22.6358
1.925000 72.551 21.5817
1.950000 72.761 20.5293
1.975000 72.968 19.4807
2.000000 73.172 18.4379
2.030000 73.413 17.1961
2.060000 73.649 15.9560
2.090000 73.880 14.7151
2.120000 74.106 13.4738
2.140000 74.254 12.6463
2.180000 74.543 10.9917
2.200000 74.685 10.1648
2.240000 74.962 8.5125
2.270000 75.165 7.2750
2.300000 75.363 6.0393
2.330000 75.557 4.8059
2.360000 75.747 3.5751
2.400000 75.994 1.9342
2.430000 76.173 0.7030
2.470000 76.406 -0.9375
2.500000 76.575 -2.1662
2.540000 76.794 -3.8004
2.580000 77.005 -5.4285
2.620000 77.209 -7.0483
2.650000 77.358 -8.2566
2.690000 77.550 -9.8575
2.720000 77.690 -11.0536
2.760000 77.870 -12.6487
2.800000 78.041 -14.2402
2.850000 78.246 -16.2183
2.900000 78.441 -18.1759
2.950000 78.625 -20.1048
3.000000 78.799 -21.9968
3.040000 78.933 -23.4789
3.070000 79.028 -24.5779
3.110000 79.149 -26.0290
3.150000 79.263 -27.4618
3.200000 79.397 -29.2235
3.250000 79.522 -30.9485
3.300000 79.639 -32.6325
3.350000 79.749 -34.2709
3.400000 79.851 -35.8667
3.450000 79.943 -37.4336
3.500000 80.026 -38.9640
3.550000 80.102 -40.4489
3.600000 80.172 -41.8795
3.650000 80.238 -43.2467
3.700000 80.302 -44.5416
3.750000 80.359 -45.7665
3.820000 80.428 -47.3788
3.870000 80.472 -48.4568
3.950000 80.539 -50.0534
4.000000 80.583 -50.9708
4.060000 80.640 -51.9876
4.120000 80.695 -52.8986
4.180000 80.749 -53.7129
4.250000 80.816 -54.5613
4.310000 80.881 -55.2187
4.370000 80.959 -55.8280
4.440000 81.064 -56.4478
4.500000 81.163 -56.8845
4.550000 81.251 -57.2067
4.620000 81.387 -57.6320
4.680000 81.516 -58.0081
4.750000 81.681 -58.4828
4.820000 81.865 -58.9328
4.870000 82.006 -59.2518
4.940000 82.213 -59.7238
5.000000 82.395 -60.1779
5.080000 82.642 -60.8891
5.150000 82.870 -61.5841
5.220000 83.106 -62.3396
5.300000 83.376 -63.2814
5.380000 83.639 -64.3111
5.450000 83.864 -65.2976
5.520000 84.087 -66.3639
5.600000 84.337 -67.6530
5.700000 84.632 -69.3240
5.800000 84.903 -71.0536
5.900000 85.156 -72.8717
6.000000 85.387 -74.6995
6.080000 85.555 -76.1184
6.150000 85.688 -77.3560
6.220000 85.811 -78.5868
6.300000 85.938 -79.9550
6.400000 86.083 -81.5565
6.500000 86.209 -83.0460
6.600000 86.316 -84.4340
6.700000 86.415 -85.6852
6.800000 86.509 -86.7728
6.900000 86.593 -87.7102
7.000000 86.677 -88.5148
7.100000 86.769 -89.1985
7.200000 86.865 -89.7329
7.300000 86.967 -90.1565
7.400000 87.081 -90.5278
7.500000 87.210 -90.8414
7.620000 87.379 -91.1348
7.750000 87.576 -91.4664
7.880000 87.790 -91.8299
8.000000 87.997 -92.1925
8.120000 88.204 -92.6276
8.250000 88.431 -93.1790
8.380000 88.653 -93.7945
8.500000 88.848 -94.4165
8.620000 89.036 -95.0931
8.750000 89.228 -95.8540
8.850000 89.366 -96.4527
9.000000 89.559 -97.3775
9.120000 89.701 -98.1219
9.250000 89.844 -98.9321
9.380000 89.974 -99.7487
9.500000 90.082 -100.5085
9.620000 90.181 -101.2748
9.750000 90.272 -102.1052
9.880000 90.347 -102.9425
10.000000 90.402 -103.7122
10.150000 90.448 -104.6274
10.300000 90.468 -105.5066
10.440000 90.467 -106.2229
10.600000 90.440 -106.8973
10.750000 90.401 -107.3654
10.900000 90.357 -107.6158
11.060000 90.311 -107.6885
11.200000 90.294 -107.6130
11.380000 90.298 -107.3528
11.500000 90.329 -107.2274
11.720000 90.442 -107.0750
11.800000 90.493 -107.1567
12.060000 90.698 -107.9274
12.200000 90.793 -108.7586
12.410000 90.904 -110.5314
12.500000 90.920 -111.4252
12.650000 90.911 -113.1442
12.800000 90.841 -114.8920
13.150000 90.420 -118.6550
13.200000 90.331 -119.0513
13.400000 89.920 -120.1972
13.600000 89.482 -120.1600
13.800000 89.077 -119.0576
14.000000 88.815 -116.8675
14.300000 88.839 -113.1116
14.500000 89.118 -111.0882
14.750000 89.683 -110.0516
15.000000 90.263 -110.9458
15.250000 90.756 -113.3142
15.500000 91.100 -116.6127
15.750000 91.280 -120.0910
16.000000 91.341 -123.1116
16.250000 91.345 -125.4414
16.500000 91.354 -127.0052
16.750000 91.440 -127.9954
17.000000 91.624 -128.9101
17.250000 91.876 -130.0640
17.500000 92.153 -131.6789
17.750000 92.390 -133.7771
18.000000 92.549 -136.0619
18.250000 92.628 -138.2530
18.500000 92.635 -140.0821
18.750000 92.612 -141.3330
19.000000 92.607 -142.0944
19.250000 92.645 -142.5695
19.500000 92.739 -143.0180
19.750000 92.860 -143.7747
20.000000 92.957 -144.9106
20.299999 92.990 -146.6335
20.600000 92.886 -148.3033
20.900000 92.651 -149.2759
21.200001 92.355 -149.0047
21.400000 92.190 -148.0387
21.799999 92.119 -145.0412
22.000000 92.247 -143.5824
22.400000 92.743 -141.9186
22.700001 93.160 -142.3559
23.000000 93.486 -144.0698
23.299999 93.658 -146.5249
23.600000 93.665 -149.0741
24.000000 93.473 -151.6807
24.299999 93.260 -152.7044
24.700001 93.012 -152.9124
25.000000 92.908 -152.5938
25.400000 92.881 -152.1141
25.799999 92.922 -151.8801
26.200001 92.983 -151.7940
26.500000 93.046 -151.7260
26.900000 93.173 -151.7144
27.200001 93.299 -151.9264
27.600000 93.468 -152.7015
28.000000 93.579 -153.9692
28.500000 93.590 -155.6562
29.000000 93.516 -156.7154
29.500000 93.481 -157.1053
30.000000 93.549 -157.5103
30.400000 93.644 -158.2350
30.700001 93.708 -159.0379
31.100000 93.760 -160.3207
31.500000 93.768 -161.6369
32.000000 93.731 -163.0553
32.500000 93.670 -164.0203
33.000000 93.631 -164.4444
33.500000 93.654 -164.4497
34.000000 93.749 -164.3475
34.500000 93.885 -164.3749
35.000000 94.025 -164.5563
35.500000 94.152 -164.8552
36.000000 94.246 -165.3080
36.500000 94.275 -165.8687
37.000000 94.223 -166.2411
37.500000 94.134 -166.1389
38.200001 94.084 -165.6569
38.700001 94.095 -165.8396
39.500000 93.993 -167.1853
40.000000 93.851 -167.9251
40.599998 93.736 -168.6474
41.200001 93.692 -170.0875
41.799999 93.559 -172.2446
42.500000 93.235 -173.7017
43.099998 93.078 -173.1545
43.700001 93.238 -172.3512
44.400002 93.584 -172.9739
45.000000 93.762 -174.3124
45.500000 93.823 -175.1091
46.200001 93.895 -175.4997
46.799999 93.980 -175.7658
47.500000 94.015 -176.4179
48.200001 93.921 -177.0018
48.700001 93.804 -177.1041
49.400002 93.646 -176.9016
50.000000 93.540 -176.6758
50.799999 93.449 -176.4084
51.500000 93.463 -176.2807
52.200001 93.560 -176.6590
53.000000 93.678 -177.5554
53.799999 93.851 -178.2743
54.500000 94.086 -179.3769
55.200001 94.231 178.7162
56.000000 94.207 177.0230
57.000000 94.238 175.8044
58.000000 94.116 173.1019
59.000000 93.564 172.5415
60.000000 93.303 174.7040
60.799999 93.372 175.6938
61.500000 93.477 175.8409
62.200001 93.570 175.4616
63.000000 93.582 174.8262
64.000000 93.545 174.8384
65.000000 93.606 174.6864
66.000000 93.563 173.5210
67.000000 93.370 172.5337
68.000000 93.199 171.8398
69.000000 93.083 170.9139
70.000000 93.049 170.0248
71.000000 93.091 168.4243
72.000000 92.912 166.9011
73.000000 92.677 167.8533
74.000000 92.723 169.3865
75.000000 92.835 169.6331
76.199997 92.895 168.5800
77.500000 92.841 165.6732
78.800003 92.492 162.1226
80.000000 92.048 162.0544
81.199997 92.165 164.1768
82.500000 92.624 164.2685
83.800003 92.832 162.5019
85.000000 92.639 160.5637
86.199997 92.138 161.1834
87.500000 92.057 163.8751
88.500000 92.233 163.9274
90.000000 92.321 163.5543
91.199997 92.462 164.0360
92.500000 92.641 164.7053
93.800003 92.854 164.4887
95.000000 92.828 163.0562
96.199997 92.641 162.1770
97.500000 92.491 161.9047
98.800003 92.446 162.4784
100.000000 92.574 163.3848
101.500000 92.689 163.2205
103.000000 92.425 162.9924
104.400002 92.099 163.0269
106.000000 91.704 161.7803
107.500000 91.361 161.1925
109.000000 91.426 161.1863
110.599998 91.611 159.8023
112.000000 91.536 158.8753
113.800003 91.242 159.3461
115.000000 91.112 160.2095
117.199997 91.147 159.2866
118.000000 91.135 158.3494
120.599998 91.060 156.4417
122.000000 91.034 156.4167
124.099998 91.018 156.5420
125.000000 90.985 156.4189
126.500000 90.876 156.1905
128.000000 90.754 156.4317
131.500000 90.857 157.1215
132.000000 90.848 156.8786
134.000000 90.663 156.3252
136.000000 90.494 155.9059
138.000000 90.346 154.8421
140.000000 90.214 153.9726
143.000000 90.124 153.9215
145.000000 90.127 154.4359
147.500000 90.065 154.4384
150.000000 89.937 154.3353
152.500000 89.857 154.3277
155.000000 89.797 154.4848
157.500000 89.757 154.3483
160.000000 89.625 153.5456
162.500000 89.474 153.2202
165.000000 89.404 153.1136
167.500000 89.365 153.0665
170.000000 89.314 153.1326
172.500000 89.224 153.3806
175.000000 89.127 153.5775
177.500000 89.048 153.4564
180.000000 89.002 153.0157
182.500000 88.927 152.6319
185.000000 88.843 152.7023
187.500000 88.743 152.9985
190.000000 88.645 153.2737
192.500000 88.563 153.2345
195.000000 88.476 153.2246
197.500000 88.379 153.6601
200.000000 88.296 154.2219
203.000000 88.219 154.2662
206.000000 88.189 154.0104
209.000000 88.171 153.9625
212.000000 88.076 154.2183
214.000000 87.983 154.5346
218.000000 87.808 154.7699
220.000000 87.711 154.6525
224.000000 87.596 154.7966
227.000000 87.557 155.0373
230.000000 87.481 155.2860
233.000000 87.418 155.4727
236.000000 87.388 155.4902
240.000000 87.284 155.7177
243.000000 87.180 156.1431
247.000000 87.091 156.5870
250.000000 87.038 156.7106
254.000000 86.954 156.9890
258.000000 86.879 157.2416
262.000000 86.772 157.5568
265.000000 86.699 157.9987
269.000000 86.611 158.5376
272.000000 86.548 158.7201
276.000000 86.494 158.7245
280.000000 86.460 158.9855
285.000000 86.393 159.6559
290.000000 86.350 160.3086
295.000000 86.278 160.8873
300.000000 86.174 161.1618
304.000000 86.133 161.2134
307.000000 86.128 161.3438
311.000000 86.096 161.7415
315.000000 86.035 162.3120
320.000000 85.959 162.9698
