* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14/08/2022 2:22:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Z1R Gill R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 62.589 22.7610
1.015000 62.776 21.9164
1.030000 62.958 21.1581
1.044000 63.125 20.5231
1.060000 63.311 19.8769
1.075000 63.482 19.3415
1.090000 63.649 18.8681
1.106000 63.823 18.4244
1.120000 63.973 18.0822
1.138000 64.162 17.6969
1.150000 64.286 17.4693
1.172000 64.510 17.1011
1.180000 64.590 16.9799
1.206000 64.847 16.6171
1.220000 64.984 16.4334
1.241000 65.187 16.1592
1.250000 65.273 16.0387
1.265000 65.416 15.8286
1.280000 65.559 15.6017
1.315000 65.892 14.9723
1.320000 65.939 14.8676
1.340000 66.130 14.4024
1.360000 66.321 13.8676
1.380000 66.510 13.3007
1.400000 66.695 12.7089
1.430000 66.970 11.7845
1.450000 67.150 11.1507
1.475000 67.373 10.3468
1.500000 67.593 9.5387
1.525000 67.811 8.7353
1.550000 68.028 7.9459
1.575000 68.242 7.1796
1.600000 68.456 6.4456
1.625000 68.669 5.7530
1.650000 68.881 5.1109
1.675000 69.093 4.5284
1.700000 69.306 4.0130
1.725000 69.516 3.5601
1.750000 69.725 3.1612
1.775000 69.933 2.8077
1.800000 70.140 2.4914
1.825000 70.345 2.2036
1.850000 70.549 1.9359
1.875000 70.753 1.6799
1.900000 70.955 1.4270
1.925000 71.157 1.1689
1.950000 71.358 0.8970
1.975000 71.558 0.6029
2.000000 71.758 0.2781
2.030000 71.998 -0.1600
2.060000 72.238 -0.6182
2.090000 72.477 -1.0865
2.120000 72.715 -1.5652
2.140000 72.873 -1.8903
2.180000 73.188 -2.5551
2.200000 73.345 -2.8950
2.240000 73.656 -3.5903
2.270000 73.887 -4.1257
2.300000 74.115 -4.6734
2.330000 74.342 -5.2337
2.360000 74.565 -5.8069
2.400000 74.861 -6.5937
2.430000 75.080 -7.2004
2.470000 75.371 -8.0297
2.500000 75.587 -8.6657
2.540000 75.871 -9.5306
2.580000 76.150 -10.4127
2.620000 76.423 -11.3098
2.650000 76.625 -11.9911
2.690000 76.888 -12.9091
2.720000 77.081 -13.6035
2.760000 77.334 -14.5382
2.800000 77.582 -15.4853
2.850000 77.885 -16.6902
2.900000 78.179 -17.9230
2.950000 78.463 -19.1885
3.000000 78.737 -20.4916
3.040000 78.948 -21.5650
3.070000 79.102 -22.3961
3.110000 79.302 -23.5369
3.150000 79.496 -24.7065
3.200000 79.730 -26.1951
3.250000 79.954 -27.6966
3.300000 80.167 -29.1928
3.350000 80.371 -30.6660
3.400000 80.564 -32.1086
3.450000 80.747 -33.5416
3.500000 80.920 -34.9679
3.550000 81.082 -36.3888
3.600000 81.236 -37.8055
3.650000 81.380 -39.2195
3.700000 81.515 -40.6319
3.750000 81.640 -42.0550
3.820000 81.799 -44.0677
3.870000 81.902 -45.5016
3.950000 82.048 -47.7518
4.000000 82.130 -49.1097
4.060000 82.219 -50.6712
4.120000 82.295 -52.1829
4.180000 82.358 -53.6493
4.250000 82.420 -55.2955
4.310000 82.464 -56.6451
4.370000 82.502 -57.9325
4.440000 82.536 -59.3647
4.500000 82.555 -60.5382
4.550000 82.565 -61.4705
4.620000 82.575 -62.6945
4.680000 82.583 -63.6576
4.750000 82.592 -64.6692
4.820000 82.594 -65.5655
4.870000 82.593 -66.1412
4.940000 82.594 -66.8651
5.000000 82.600 -67.4166
5.080000 82.621 -68.0576
5.150000 82.644 -68.4999
5.220000 82.673 -68.8512
5.300000 82.719 -69.1811
5.380000 82.783 -69.4795
5.450000 82.857 -69.7027
5.520000 82.943 -69.8649
5.600000 83.057 -70.0230
5.700000 83.221 -70.2602
5.800000 83.412 -70.5756
5.900000 83.630 -70.9185
6.000000 83.864 -71.3519
6.080000 84.056 -71.8062
6.150000 84.232 -72.2758
6.220000 84.415 -72.8043
6.300000 84.626 -73.4793
6.400000 84.885 -74.4278
6.500000 85.139 -75.5082
6.600000 85.391 -76.7072
6.700000 85.632 -77.9886
6.800000 85.858 -79.3404
6.900000 86.072 -80.7858
7.000000 86.271 -82.2766
7.100000 86.452 -83.7669
7.200000 86.615 -85.2903
7.300000 86.761 -86.8188
7.400000 86.890 -88.2987
7.500000 87.000 -89.7331
7.620000 87.108 -91.4023
7.750000 87.203 -93.0504
7.880000 87.272 -94.5236
8.000000 87.319 -95.7195
8.120000 87.361 -96.7014
8.250000 87.395 -97.5260
8.380000 87.432 -98.1259
8.500000 87.482 -98.4713
8.620000 87.541 -98.6142
8.750000 87.631 -98.6616
8.850000 87.724 -98.6229
9.000000 87.896 -98.4666
9.120000 88.058 -98.4208
9.250000 88.266 -98.4279
9.380000 88.491 -98.5531
9.500000 88.703 -98.8564
9.620000 88.923 -99.3133
9.750000 89.153 -99.9721
9.880000 89.363 -100.8238
10.000000 89.544 -101.7555
10.150000 89.734 -103.0114
10.300000 89.886 -104.3977
10.440000 89.992 -105.6863
10.600000 90.069 -107.1172
10.750000 90.107 -108.3708
10.900000 90.117 -109.4579
11.060000 90.102 -110.4591
11.200000 90.082 -111.1745
11.380000 90.044 -111.8956
11.500000 90.022 -112.3087
11.720000 89.986 -112.9174
11.800000 89.971 -113.1373
12.060000 89.925 -113.8523
12.200000 89.883 -114.2452
12.410000 89.795 -114.8154
12.500000 89.742 -114.9808
12.650000 89.633 -115.1904
12.800000 89.514 -115.1436
13.150000 89.226 -113.7889
13.200000 89.197 -113.4281
13.400000 89.129 -111.6550
13.600000 89.212 -109.6600
13.800000 89.438 -107.7193
14.000000 89.815 -106.3351
14.300000 90.510 -105.9042
14.500000 90.984 -106.8052
14.750000 91.501 -109.1993
15.000000 91.881 -112.4365
15.250000 92.118 -116.0411
15.500000 92.222 -119.6038
15.750000 92.227 -122.7467
16.000000 92.193 -125.3254
16.250000 92.163 -127.4406
16.500000 92.164 -129.2551
16.750000 92.206 -131.0662
17.000000 92.251 -133.0845
17.250000 92.262 -135.2755
17.500000 92.205 -137.5090
17.750000 92.055 -139.4327
18.000000 91.838 -140.5998
18.250000 91.607 -140.8163
18.500000 91.429 -140.0174
18.750000 91.404 -138.5142
19.000000 91.558 -136.9934
19.250000 91.855 -135.9482
19.500000 92.230 -135.7988
19.750000 92.577 -136.6632
20.000000 92.837 -138.2316
20.299999 92.998 -140.5634
20.600000 92.995 -142.7195
20.900000 92.877 -144.1713
21.200001 92.725 -144.7152
21.400000 92.650 -144.6511
21.799999 92.615 -144.1544
22.000000 92.650 -144.0175
22.400000 92.758 -144.3235
22.700001 92.796 -145.0290
23.000000 92.764 -145.8166
23.299999 92.669 -146.3198
23.600000 92.556 -146.2924
24.000000 92.492 -145.5049
24.299999 92.565 -144.8123
24.700001 92.809 -144.6033
25.000000 93.019 -145.3486
25.400000 93.210 -147.4737
25.799999 93.209 -150.1152
26.200001 93.026 -152.1840
26.500000 92.835 -152.8892
26.900000 92.651 -152.7448
27.200001 92.641 -152.2548
27.600000 92.793 -152.0530
28.000000 93.009 -153.0057
28.500000 93.130 -155.5182
29.000000 92.992 -157.6737
29.500000 92.775 -157.9198
30.000000 92.814 -156.7402
30.400000 93.098 -156.1832
30.700001 93.379 -156.6376
31.100000 93.699 -158.5377
31.500000 93.845 -161.3262
32.000000 93.751 -164.5885
32.500000 93.461 -166.3105
33.000000 93.191 -166.2916
33.500000 93.091 -165.3978
34.000000 93.149 -164.7276
34.500000 93.255 -164.8158
35.000000 93.297 -165.5501
35.500000 93.216 -166.4024
36.000000 93.032 -166.6670
36.500000 92.852 -165.9630
37.000000 92.813 -164.7394
37.500000 92.940 -164.0055
38.200001 93.177 -164.8501
38.700001 93.251 -166.3772
39.500000 93.201 -168.9942
40.000000 93.106 -170.4318
40.599998 92.948 -171.5667
41.200001 92.849 -171.7361
41.799999 92.929 -171.6835
42.500000 93.087 -172.7721
43.099998 93.040 -173.9283
43.700001 92.909 -173.6206
44.400002 93.005 -172.2258
45.000000 93.215 -172.3624
45.500000 93.251 -173.3629
46.200001 93.067 -173.9897
46.799999 92.973 -173.4131
47.500000 93.049 -173.6031
48.200001 93.016 -175.1240
48.700001 92.902 -175.8282
49.400002 92.878 -176.0574
50.000000 93.012 -176.9419
50.799999 93.057 -179.2198
51.500000 92.935 -179.8955
52.200001 92.973 -179.0414
53.000000 93.201 -178.6976
53.799999 93.225 -179.0017
54.500000 93.114 -178.1915
55.200001 93.057 -177.1632
56.000000 92.838 -176.8572
57.000000 92.260 -173.5481
58.000000 92.596 -169.3427
59.000000 93.130 -173.7954
60.000000 92.816 179.4340
60.799999 92.457 176.5297
61.500000 92.300 174.8620
62.200001 92.216 173.7454
63.000000 92.176 173.4814
64.000000 92.226 174.5360
65.000000 92.422 176.0238
66.000000 92.527 176.1407
67.000000 92.359 176.3465
68.000000 92.266 176.4628
69.000000 92.135 175.0402
70.000000 92.039 173.8239
71.000000 92.094 171.1991
72.000000 91.787 169.1560
73.000000 91.583 171.8153
74.000000 91.992 174.6329
75.000000 92.346 174.6898
76.199997 92.422 174.1072
77.500000 92.264 173.0402
78.800003 91.937 172.9854
80.000000 92.022 172.8860
81.199997 92.170 170.4559
82.500000 92.112 168.7547
83.800003 92.143 169.0101
85.000000 92.171 169.4544
86.199997 92.168 170.2479
87.500000 92.195 169.7754
88.500000 92.086 168.4684
90.000000 91.859 166.5627
91.199997 91.724 165.1866
92.500000 91.644 164.3661
93.800003 91.654 164.1884
95.000000 91.704 164.1277
96.199997 91.672 163.8792
97.500000 91.532 164.2364
98.800003 91.465 164.7866
100.000000 91.398 164.6674
101.500000 91.274 164.6861
103.000000 91.269 164.4110
104.400002 91.252 163.5297
106.000000 91.237 163.3817
107.500000 91.449 163.1591
109.000000 91.533 161.6953
110.599998 91.412 160.7939
112.000000 91.253 160.2615
113.800003 90.937 159.3629
115.000000 90.683 159.2821
117.199997 90.542 159.5984
118.000000 90.561 159.4380
120.599998 90.631 158.6443
122.000000 90.624 158.3827
124.099998 90.617 157.7610
125.000000 90.573 157.2489
126.500000 90.417 156.6703
128.000000 90.247 156.8929
131.500000 90.123 157.2635
132.000000 90.094 157.1335
134.000000 89.942 156.9894
136.000000 89.902 157.2514
138.000000 89.940 157.2452
140.000000 89.992 156.9020
143.000000 89.963 156.1721
145.000000 89.867 155.5906
147.500000 89.684 155.1207
150.000000 89.557 154.8582
152.500000 89.513 154.8326
155.000000 89.518 155.1268
157.500000 89.473 155.0717
160.000000 89.307 154.7637
162.500000 89.147 154.6903
165.000000 89.045 154.3660
167.500000 88.923 153.8250
170.000000 88.825 153.6476
172.500000 88.799 153.7212
175.000000 88.757 153.9529
177.500000 88.669 154.3670
180.000000 88.594 154.6766
182.500000 88.524 154.5849
185.000000 88.415 154.4845
187.500000 88.299 154.5666
190.000000 88.198 154.7182
192.500000 88.105 154.7233
195.000000 88.016 154.5739
197.500000 87.969 154.3581
200.000000 87.955 154.4028
203.000000 87.911 154.9276
206.000000 87.806 155.3529
209.000000 87.707 155.2105
212.000000 87.572 155.0430
214.000000 87.462 155.2006
218.000000 87.277 155.3130
220.000000 87.225 155.2679
224.000000 87.189 155.4048
227.000000 87.177 155.5879
230.000000 87.135 155.8298
233.000000 87.039 156.2205
236.000000 86.873 156.7173
240.000000 86.644 157.2466
243.000000 86.566 157.2050
247.000000 86.529 157.1161
250.000000 86.540 157.4328
254.000000 86.590 157.9390
258.000000 86.550 158.7686
262.000000 86.381 159.2772
265.000000 86.278 159.1826
269.000000 86.244 159.3972
272.000000 86.210 159.8260
276.000000 86.123 160.1641
280.000000 86.061 160.3333
285.000000 86.014 160.8412
290.000000 85.952 161.5701
295.000000 85.870 161.8943
300.000000 85.787 162.0785
304.000000 85.706 162.3681
307.000000 85.644 162.7216
311.000000 85.582 163.3333
