* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -16.5 dBFS, measurement signal peak level -16.5 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:39:48 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0844 ms (-29 mm, -1.14 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: ZSN Pro X L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 66.632 -23.4464
1.015000 66.540 -22.9396
1.030000 66.461 -22.4054
1.044000 66.399 -21.8822
1.060000 66.345 -21.2551
1.075000 66.311 -20.6389
1.090000 66.294 -19.9956
1.106000 66.297 -19.2717
1.120000 66.314 -18.5654
1.138000 66.353 -17.5549
1.150000 66.390 -16.8235
1.172000 66.478 -15.3778
1.180000 66.516 -14.8225
1.206000 66.661 -12.9275
1.220000 66.751 -11.8606
1.241000 66.901 -10.2169
1.250000 66.971 -9.5011
1.265000 67.092 -8.2995
1.280000 67.221 -7.0937
1.315000 67.543 -4.3089
1.320000 67.591 -3.9187
1.340000 67.788 -2.3885
1.360000 67.991 -0.9214
1.380000 68.198 0.4637
1.400000 68.408 1.7480
1.430000 68.722 3.4445
1.450000 68.930 4.3948
1.475000 69.187 5.3582
1.500000 69.459 6.1582
1.525000 69.750 6.8259
1.550000 70.056 7.3700
1.575000 70.374 7.7987
1.600000 70.703 8.1205
1.625000 71.039 8.3440
1.650000 71.379 8.4776
1.675000 71.721 8.5297
1.700000 72.062 8.5087
1.725000 72.399 8.4232
1.750000 72.730 8.2817
1.775000 73.051 8.0924
1.800000 73.361 7.8640
1.825000 73.655 7.6049
1.850000 73.936 7.2969
1.875000 74.212 6.8863
1.900000 74.484 6.3809
1.925000 74.751 5.7914
1.950000 75.013 5.1285
1.975000 75.271 4.4027
2.000000 75.524 3.6247
2.030000 75.820 2.6371
2.060000 76.110 1.6081
2.090000 76.392 0.5559
2.120000 76.667 -0.5011
2.140000 76.847 -1.1994
2.180000 77.195 -2.5559
2.200000 77.364 -3.2037
2.240000 77.691 -4.5061
2.270000 77.926 -5.5096
2.300000 78.153 -6.5325
2.330000 78.372 -7.5713
2.360000 78.584 -8.6228
2.400000 78.857 -10.0388
2.430000 79.054 -11.1069
2.470000 79.309 -12.5329
2.500000 79.495 -13.5996
2.540000 79.736 -15.0118
2.580000 79.970 -16.4094
2.620000 80.193 -17.8211
2.650000 80.354 -18.8897
2.690000 80.559 -20.3210
2.720000 80.707 -21.3947
2.760000 80.896 -22.8199
2.800000 81.078 -24.2302
2.850000 81.296 -25.9592
2.900000 81.506 -27.6355
2.950000 81.709 -29.2463
3.000000 81.900 -30.8124
3.040000 82.044 -32.0376
3.070000 82.148 -32.9403
3.110000 82.281 -34.1219
3.150000 82.409 -35.2782
3.200000 82.563 -36.6877
3.250000 82.712 -38.0569
3.300000 82.858 -39.3852
3.350000 82.998 -40.6740
3.400000 83.130 -41.9237
3.450000 83.256 -43.1337
3.500000 83.377 -44.3030
3.550000 83.494 -45.4309
3.600000 83.610 -46.5166
3.650000 83.727 -47.5592
3.700000 83.843 -48.5538
3.750000 83.955 -49.4942
3.820000 84.109 -50.7331
3.870000 84.217 -51.5728
3.950000 84.391 -52.8587
4.000000 84.501 -53.6382
4.060000 84.637 -54.5543
4.120000 84.773 -55.4235
4.180000 84.910 -56.2524
4.250000 85.072 -57.1847
4.310000 85.212 -57.9680
4.370000 85.353 -58.7496
4.440000 85.520 -59.6637
4.500000 85.666 -60.4289
4.550000 85.790 -61.0575
4.620000 85.963 -61.9326
4.680000 86.111 -62.6866
4.750000 86.282 -63.5815
4.820000 86.451 -64.4959
4.870000 86.572 -65.1550
4.940000 86.741 -66.0851
5.000000 86.884 -66.8889
5.080000 87.071 -67.9691
5.150000 87.228 -68.9225
5.220000 87.381 -69.8907
5.300000 87.551 -71.0100
5.380000 87.716 -72.1317
5.450000 87.855 -73.1061
5.520000 87.988 -74.0676
5.600000 88.132 -75.1650
5.700000 88.304 -76.5272
5.800000 88.466 -77.8594
5.900000 88.619 -79.1438
6.000000 88.762 -80.3920
6.080000 88.870 -81.3625
6.150000 88.962 -82.1869
6.220000 89.051 -82.9848
6.300000 89.151 -83.8619
6.400000 89.269 -84.9111
6.500000 89.383 -85.9142
6.600000 89.497 -86.8781
6.700000 89.609 -87.7962
6.800000 89.720 -88.6711
6.900000 89.830 -89.5173
7.000000 89.940 -90.3464
7.100000 90.051 -91.1473
7.200000 90.161 -91.9274
7.300000 90.270 -92.6998
7.400000 90.379 -93.4709
7.500000 90.487 -94.2335
7.620000 90.615 -95.1419
7.750000 90.749 -96.1249
7.880000 90.879 -97.1073
8.000000 90.994 -98.0060
8.120000 91.104 -98.8918
8.250000 91.218 -99.8424
8.380000 91.325 -100.7712
8.500000 91.420 -101.5998
8.620000 91.510 -102.4058
8.750000 91.603 -103.2476
8.850000 91.674 -103.8684
9.000000 91.775 -104.7578
9.120000 91.856 -105.4400
9.250000 91.944 -106.1509
9.380000 92.032 -106.8305
9.500000 92.115 -107.4472
9.620000 92.200 -108.0590
9.750000 92.294 -108.7110
9.880000 92.388 -109.3746
10.000000 92.477 -110.0042
10.150000 92.588 -110.8087
10.300000 92.697 -111.6514
10.440000 92.796 -112.4756
10.600000 92.903 -113.4520
10.750000 92.994 -114.4029
10.900000 93.076 -115.3811
11.060000 93.151 -116.4222
11.200000 93.206 -117.3396
11.380000 93.263 -118.4767
11.500000 93.291 -119.2032
11.720000 93.329 -120.4453
11.800000 93.340 -120.8554
12.060000 93.365 -122.0510
12.200000 93.380 -122.5988
12.410000 93.406 -123.3101
12.500000 93.422 -123.5918
12.650000 93.454 -124.0168
12.800000 93.493 -124.4284
13.150000 93.615 -125.4300
13.200000 93.634 -125.5877
13.400000 93.715 -126.2617
13.600000 93.793 -127.0032
13.800000 93.866 -127.8211
14.000000 93.927 -128.6645
14.300000 93.996 -129.9407
14.500000 94.027 -130.7367
14.750000 94.057 -131.6339
15.000000 94.084 -132.4105
15.250000 94.120 -133.0859
15.500000 94.167 -133.7214
15.750000 94.226 -134.3562
16.000000 94.292 -135.0491
16.250000 94.356 -135.8080
16.500000 94.414 -136.6223
16.750000 94.460 -137.4631
17.000000 94.494 -138.2780
17.250000 94.518 -139.0457
17.500000 94.538 -139.7423
17.750000 94.558 -140.3781
18.000000 94.581 -140.9715
18.250000 94.608 -141.5439
18.500000 94.638 -142.1211
18.750000 94.667 -142.7036
19.000000 94.694 -143.2921
19.250000 94.718 -143.8703
19.500000 94.740 -144.4299
19.750000 94.760 -144.9659
20.000000 94.782 -145.4826
20.299999 94.810 -146.0957
20.600000 94.839 -146.7163
20.900000 94.867 -147.3525
21.200001 94.889 -147.9944
21.400000 94.901 -148.4111
21.799999 94.920 -149.1971
22.000000 94.930 -149.5624
22.400000 94.955 -150.2516
22.700001 94.979 -150.7633
23.000000 95.007 -151.2993
23.299999 95.034 -151.8654
23.600000 95.058 -152.4507
24.000000 95.083 -153.2333
24.299999 95.098 -153.8060
24.700001 95.115 -154.5532
25.000000 95.126 -155.1125
25.400000 95.133 -155.8584
25.799999 95.126 -156.5627
26.200001 95.110 -157.1547
26.500000 95.098 -157.4998
26.900000 95.095 -157.8494
27.200001 95.106 -158.0803
27.600000 95.137 -158.4278
28.000000 95.175 -158.8773
28.500000 95.213 -159.5613
29.000000 95.233 -160.2752
29.500000 95.238 -160.9460
30.000000 95.237 -161.5581
30.400000 95.233 -161.9998
30.700001 95.232 -162.2995
31.100000 95.238 -162.6774
31.500000 95.255 -163.0874
32.000000 95.282 -163.7526
32.500000 95.288 -164.5996
33.000000 95.253 -165.4345
33.500000 95.192 -166.0135
34.000000 95.148 -166.2824
34.500000 95.152 -166.4601
35.000000 95.194 -166.8057
35.500000 95.237 -167.3945
36.000000 95.255 -168.0900
36.500000 95.252 -168.7296
37.000000 95.243 -169.2483
37.500000 95.237 -169.6717
38.200001 95.238 -170.1788
38.700001 95.246 -170.5222
39.500000 95.259 -171.1136
40.000000 95.257 -171.4886
40.599998 95.249 -171.8792
41.200001 95.247 -172.2289
41.799999 95.252 -172.6532
42.500000 95.243 -173.2819
43.099998 95.215 -173.8096
43.700001 95.184 -174.2497
44.400002 95.160 -174.7074
45.000000 95.151 -175.1069
45.500000 95.151 -175.4649
46.200001 95.155 -176.0422
46.799999 95.149 -176.5623
47.500000 95.137 -177.0039
48.200001 95.164 -177.3438
48.700001 95.205 -177.7739
49.400002 95.223 -178.7497
50.000000 95.161 -179.5276
50.799999 95.039 -179.8468
51.500000 94.996 -179.7160
52.200001 95.008 -179.7774
53.000000 95.014 179.8285
53.799999 94.987 179.4046
54.500000 94.956 179.1528
55.200001 94.942 178.9611
56.000000 94.941 178.6197
57.000000 94.912 178.0207
58.000000 94.853 177.6333
59.000000 94.819 177.4078
60.000000 94.809 177.0693
60.799999 94.799 176.6631
61.500000 94.783 176.2785
62.200001 94.769 175.9088
63.000000 94.763 175.4240
64.000000 94.743 174.6400
65.000000 94.679 173.9365
66.000000 94.607 173.6052
67.000000 94.569 173.4589
68.000000 94.549 173.2588
69.000000 94.530 172.9872
70.000000 94.502 172.6134
71.000000 94.450 172.2478
72.000000 94.398 172.0321
73.000000 94.369 171.8850
74.000000 94.370 171.7147
75.000000 94.397 171.3317
76.199997 94.387 170.4734
77.500000 94.281 169.9102
78.800003 94.215 169.9238
80.000000 94.197 169.8531
81.199997 94.210 169.7025
82.500000 94.233 168.8095
83.800003 94.063 167.7399
85.000000 93.880 168.0523
86.199997 93.863 168.2705
87.500000 93.825 167.7921
88.500000 93.791 167.5505
90.000000 93.782 166.9713
91.199997 93.742 166.5880
92.500000 93.727 166.6858
93.800003 93.774 166.6732
95.000000 93.764 166.3651
96.199997 93.697 166.3012
97.500000 93.639 166.3940
98.800003 93.603 166.2669
100.000000 93.563 165.9172
101.500000 93.499 165.4395
103.000000 93.449 165.0739
104.400002 93.416 164.7383
106.000000 93.366 164.3754
107.500000 93.307 164.0893
109.000000 93.240 163.8444
110.599998 93.175 163.6423
112.000000 93.132 163.4521
113.800003 93.082 163.1588
115.000000 93.044 162.9631
117.199997 92.964 162.6738
118.000000 92.935 162.5877
120.599998 92.844 162.2996
122.000000 92.800 162.1458
124.099998 92.733 161.8978
125.000000 92.701 161.8052
126.500000 92.649 161.6691
128.000000 92.599 161.5197
131.500000 92.482 161.1108
132.000000 92.465 161.0562
134.000000 92.395 160.8886
136.000000 92.328 160.7532
138.000000 92.257 160.5693
140.000000 92.185 160.3994
143.000000 92.083 160.2219
145.000000 92.004 160.1065
147.500000 91.878 159.8982
150.000000 91.756 159.8318
152.500000 91.702 159.7893
155.000000 91.651 159.6983
157.500000 91.580 159.6266
160.000000 91.494 159.4946
162.500000 91.402 159.3557
165.000000 91.307 159.2653
167.500000 91.206 159.2234
170.000000 91.099 159.2196
172.500000 90.985 159.2875
175.000000 90.863 159.4818
177.500000 90.740 159.8258
180.000000 90.629 160.3304
182.500000 90.545 160.9805
185.000000 90.502 161.6905
187.500000 90.499 162.3208
190.000000 90.524 162.7559
192.500000 90.557 162.9563
195.000000 90.579 162.9669
197.500000 90.585 162.8496
200.000000 90.578 162.6716
203.000000 90.554 162.4629
206.000000 90.511 162.2716
209.000000 90.450 162.0695
212.000000 90.385 161.8788
214.000000 90.342 161.7896
218.000000 90.256 161.6951
220.000000 90.210 161.6645
224.000000 90.116 161.6424
227.000000 90.042 161.6648
230.000000 89.970 161.7044
233.000000 89.898 161.7577
236.000000 89.825 161.8282
240.000000 89.728 161.9377
243.000000 89.655 162.0411
247.000000 89.552 162.1450
250.000000 89.477 162.2553
254.000000 89.399 162.4988
258.000000 89.322 162.7301
262.000000 89.238 162.9602
265.000000 89.176 163.1431
269.000000 89.096 163.3748
272.000000 89.038 163.5546
276.000000 88.961 163.8168
280.000000 88.883 164.0838
