* Measurement data measured by REW V5.20.9
* Source: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), R, volume: 0.800. Timing signal peak level -47.5 dBFS, measurement signal peak level -17.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS using an acoustic timing reference
* Dated: 13/07/2022 8:39:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Delay -0.0684 ms (-23 mm, -0.92 in) using estimated IR delay relative to Acoustic reference on  L with no timing offset
* Measurement: ZSN Pro X R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 54.778 70.9548
1.015000 55.374 71.8020
1.030000 55.951 72.5203
1.044000 56.469 73.0677
1.060000 57.033 73.5397
1.075000 57.531 73.8257
1.090000 57.994 73.9524
1.106000 58.448 73.8936
1.120000 58.829 73.6231
1.138000 59.303 72.9817
1.150000 59.609 72.3847
1.172000 60.150 70.9730
1.180000 60.341 70.3670
1.206000 60.941 68.0997
1.220000 61.251 66.7144
1.241000 61.703 64.4608
1.250000 61.891 63.4411
1.265000 62.199 61.6841
1.280000 62.500 59.8710
1.315000 63.176 55.5239
1.320000 63.270 54.8994
1.340000 63.642 52.4194
1.360000 64.005 50.0006
1.380000 64.363 47.6859
1.400000 64.716 45.5180
1.430000 65.240 42.6355
1.450000 65.587 41.0226
1.475000 66.020 39.4063
1.500000 66.441 38.0718
1.525000 66.847 36.9467
1.550000 67.238 36.0009
1.575000 67.617 35.2044
1.600000 67.983 34.5271
1.625000 68.339 33.9387
1.650000 68.685 33.4094
1.675000 69.022 32.9088
1.700000 69.351 32.4070
1.725000 69.673 31.8739
1.750000 69.989 31.2793
1.775000 70.301 30.5932
1.800000 70.608 29.7855
1.825000 70.914 28.8260
1.850000 71.215 27.7111
1.875000 71.508 26.4961
1.900000 71.794 25.1967
1.925000 72.072 23.8264
1.950000 72.343 22.3988
1.975000 72.608 20.9274
2.000000 72.867 19.4256
2.030000 73.169 17.6024
2.060000 73.465 15.7782
2.090000 73.753 13.9765
2.120000 74.036 12.2205
2.140000 74.221 11.0868
2.180000 74.585 8.9392
2.200000 74.765 7.9387
2.240000 75.114 6.0331
2.270000 75.368 4.6614
2.300000 75.614 3.3328
2.330000 75.853 2.0420
2.360000 76.087 0.7835
2.400000 76.388 -0.8537
2.430000 76.608 -2.0581
2.470000 76.894 -3.6429
2.500000 77.103 -4.8228
2.540000 77.376 -6.3949
2.580000 77.642 -7.9724
2.620000 77.899 -9.5228
2.650000 78.085 -10.6650
2.690000 78.325 -12.1651
2.720000 78.500 -13.2762
2.760000 78.726 -14.7438
2.800000 78.945 -16.2008
2.850000 79.209 -18.0161
2.900000 79.464 -19.8354
2.950000 79.710 -21.6728
3.000000 79.946 -23.5521
3.040000 80.126 -25.0733
3.070000 80.257 -26.2153
3.110000 80.426 -27.7281
3.150000 80.589 -29.2168
3.200000 80.785 -31.0224
3.250000 80.975 -32.7409
3.300000 81.159 -34.3449
3.350000 81.336 -35.8192
3.400000 81.503 -37.1844
3.450000 81.663 -38.4673
3.500000 81.815 -39.6946
3.550000 81.962 -40.8932
3.600000 82.104 -42.0897
3.650000 82.243 -43.3111
3.700000 82.377 -44.5764
3.750000 82.505 -45.8693
3.820000 82.674 -47.6862
3.870000 82.790 -48.9607
3.950000 82.969 -50.9028
4.000000 83.079 -52.0237
4.060000 83.208 -53.2427
4.120000 83.333 -54.3305
4.180000 83.453 -55.3191
4.250000 83.590 -56.3902
4.310000 83.705 -57.2745
4.370000 83.820 -58.1619
4.440000 83.955 -59.2269
4.500000 84.069 -60.1354
4.550000 84.163 -60.8813
4.620000 84.295 -61.8995
4.680000 84.408 -62.7398
4.750000 84.540 -63.6714
4.820000 84.675 -64.5349
4.870000 84.771 -65.1095
4.940000 84.907 -65.8739
5.000000 85.024 -66.5086
5.080000 85.179 -67.3537
5.150000 85.316 -68.1158
5.220000 85.454 -68.8833
5.300000 85.613 -69.7576
5.380000 85.770 -70.6312
5.450000 85.907 -71.3969
5.520000 86.042 -72.1652
5.600000 86.195 -73.0450
5.700000 86.385 -74.1466
5.800000 86.569 -75.2506
5.900000 86.746 -76.3578
6.000000 86.918 -77.4709
6.080000 87.051 -78.3626
6.150000 87.163 -79.1410
6.220000 87.271 -79.9153
6.300000 87.390 -80.8010
6.400000 87.532 -81.9115
6.500000 87.666 -83.0050
6.600000 87.794 -84.0595
6.700000 87.913 -85.0745
6.800000 88.026 -86.0574
6.900000 88.134 -87.0056
7.000000 88.238 -87.9171
7.100000 88.337 -88.7938
7.200000 88.432 -89.6345
7.300000 88.527 -90.4367
7.400000 88.621 -91.1945
7.500000 88.714 -91.9066
7.620000 88.825 -92.7235
7.750000 88.950 -93.5870
7.880000 89.077 -94.4126
8.000000 89.196 -95.1630
8.120000 89.317 -95.9238
8.250000 89.452 -96.7456
8.380000 89.586 -97.5842
8.500000 89.708 -98.3906
8.620000 89.830 -99.2217
8.750000 89.957 -100.1462
8.850000 90.049 -100.8755
9.000000 90.181 -102.0046
9.120000 90.279 -102.9150
9.250000 90.374 -103.8957
9.380000 90.460 -104.8796
9.500000 90.531 -105.7629
9.620000 90.594 -106.6113
9.750000 90.654 -107.5006
9.880000 90.709 -108.3361
10.000000 90.756 -109.0487
10.150000 90.808 -109.8714
10.300000 90.863 -110.6214
10.440000 90.915 -111.2474
10.600000 90.978 -111.9069
10.750000 91.046 -112.4858
10.900000 91.120 -113.0301
11.060000 91.206 -113.6251
11.200000 91.288 -114.1507
11.380000 91.396 -114.8655
11.500000 91.471 -115.3760
11.720000 91.605 -116.3689
11.800000 91.651 -116.7506
12.060000 91.792 -118.0501
12.200000 91.859 -118.7629
12.410000 91.948 -119.8409
12.500000 91.983 -120.2890
12.650000 92.034 -121.0239
12.800000 92.080 -121.7316
13.150000 92.177 -123.2430
13.200000 92.190 -123.4460
13.400000 92.244 -124.2205
13.600000 92.299 -124.9664
13.800000 92.357 -125.6919
14.000000 92.415 -126.4230
14.300000 92.501 -127.5398
14.500000 92.554 -128.3054
14.750000 92.610 -129.2614
15.000000 92.656 -130.2009
15.250000 92.690 -131.0841
15.500000 92.718 -131.8908
15.750000 92.744 -132.6140
16.000000 92.773 -133.2570
16.250000 92.810 -133.8534
16.500000 92.855 -134.4263
16.750000 92.908 -135.0105
17.000000 92.966 -135.6299
17.250000 93.024 -136.2884
17.500000 93.081 -136.9875
17.750000 93.132 -137.7086
18.000000 93.178 -138.4397
18.250000 93.219 -139.1677
18.500000 93.256 -139.8828
18.750000 93.289 -140.5845
19.000000 93.319 -141.2723
19.250000 93.347 -141.9460
19.500000 93.370 -142.5995
19.750000 93.390 -143.2272
20.000000 93.406 -143.8151
20.299999 93.425 -144.4596
20.600000 93.446 -145.0391
20.900000 93.473 -145.5700
21.200001 93.508 -146.0849
21.400000 93.534 -146.4397
21.799999 93.588 -147.1933
22.000000 93.612 -147.5911
22.400000 93.649 -148.3991
22.700001 93.666 -148.9754
23.000000 93.677 -149.4945
23.299999 93.688 -149.9557
23.600000 93.702 -150.3784
24.000000 93.725 -150.9255
24.299999 93.743 -151.3497
24.700001 93.764 -151.9339
25.000000 93.775 -152.3646
25.400000 93.786 -152.8999
25.799999 93.803 -153.3950
26.200001 93.830 -153.9046
26.500000 93.856 -154.3412
26.900000 93.891 -155.0317
27.200001 93.910 -155.6294
27.600000 93.919 -156.4946
28.000000 93.906 -157.3591
28.500000 93.861 -158.3020
29.000000 93.810 -158.9802
29.500000 93.782 -159.4111
30.000000 93.797 -159.7725
30.400000 93.834 -160.1530
30.700001 93.865 -160.5233
31.100000 93.901 -161.0918
31.500000 93.925 -161.6644
32.000000 93.950 -162.2941
32.500000 93.987 -162.8797
33.000000 94.030 -163.5697
33.500000 94.049 -164.3787
34.000000 94.030 -165.1131
34.500000 93.993 -165.5754
35.000000 93.974 -165.7950
35.500000 93.986 -165.9972
36.000000 94.011 -166.3482
36.500000 94.020 -166.8067
37.000000 94.012 -167.2254
37.500000 94.004 -167.5467
38.200001 94.012 -167.9900
38.700001 94.024 -168.4231
39.500000 94.012 -169.2397
40.000000 93.988 -169.6813
40.599998 93.963 -170.0881
41.200001 93.957 -170.4849
41.799999 93.956 -170.9983
42.500000 93.930 -171.6477
43.099998 93.899 -172.0499
43.700001 93.890 -172.3600
44.400002 93.902 -172.8586
45.000000 93.900 -173.3945
45.500000 93.890 -173.7783
46.200001 93.890 -174.2086
46.799999 93.904 -174.5940
47.500000 93.929 -175.0161
48.200001 93.994 -175.4597
48.700001 94.059 -176.0517
49.400002 94.084 -177.3528
50.000000 93.996 -178.2954
50.799999 93.847 -178.4513
51.500000 93.828 -178.1482
52.200001 93.863 -178.2904
53.000000 93.848 -178.7407
53.799999 93.807 -178.9683
54.500000 93.787 -179.1539
55.200001 93.762 -179.4205
56.000000 93.725 -179.6913
57.000000 93.695 179.9745
58.000000 93.670 179.5518
59.000000 93.647 179.1478
60.000000 93.644 178.7560
60.799999 93.653 178.3157
61.500000 93.651 177.8044
62.200001 93.625 177.2517
63.000000 93.565 176.7265
64.000000 93.484 176.4283
65.000000 93.454 176.3037
66.000000 93.453 175.9373
67.000000 93.432 175.4760
68.000000 93.408 175.1083
69.000000 93.390 174.7478
70.000000 93.368 174.3582
71.000000 93.333 173.9790
72.000000 93.293 173.6710
73.000000 93.261 173.3848
74.000000 93.234 173.0458
75.000000 93.208 172.6642
76.199997 93.173 172.2025
77.500000 93.134 171.7549
78.800003 93.097 171.3374
80.000000 93.057 170.9338
81.199997 93.003 170.5275
82.500000 92.939 170.1895
83.800003 92.890 169.9354
85.000000 92.861 169.6740
86.199997 92.829 169.3815
87.500000 92.787 169.0748
88.500000 92.743 168.8058
90.000000 92.661 168.4388
91.199997 92.603 168.1266
92.500000 92.552 167.8137
93.800003 92.541 167.6143
95.000000 92.556 167.3515
96.199997 92.529 167.1758
97.500000 92.485 167.6321
98.800003 92.527 168.0637
100.000000 92.523 167.6166
101.500000 92.358 166.9788
103.000000 92.194 166.8076
104.400002 92.130 166.6076
106.000000 92.123 166.0871
107.500000 92.115 165.5448
109.000000 92.088 165.1577
110.599998 92.034 164.9268
112.000000 91.985 164.8121
113.800003 91.929 164.5371
115.000000 91.876 164.2733
117.199997 91.732 164.1263
118.000000 91.684 164.2293
120.599998 91.583 164.5424
122.000000 91.546 164.6023
124.099998 91.505 164.5752
125.000000 91.489 164.5167
126.500000 91.457 164.3435
128.000000 91.411 164.0934
131.500000 91.281 163.4678
132.000000 91.263 163.4399
134.000000 91.224 163.5157
136.000000 91.210 163.5874
138.000000 91.179 163.5724
140.000000 91.134 163.4805
143.000000 91.070 163.3352
145.000000 91.028 163.2791
147.500000 90.955 163.1101
150.000000 90.878 162.9708
152.500000 90.862 162.7818
155.000000 90.836 162.5652
157.500000 90.787 162.5132
160.000000 90.741 162.3682
162.500000 90.695 162.0640
165.000000 90.638 161.7669
167.500000 90.569 161.5793
170.000000 90.498 161.4444
172.500000 90.426 161.3087
175.000000 90.351 161.1825
177.500000 90.277 161.0904
180.000000 90.205 161.0321
182.500000 90.132 160.9926
185.000000 90.063 160.9611
187.500000 89.999 160.9505
190.000000 89.937 160.9754
192.500000 89.869 161.0057
195.000000 89.796 161.0072
197.500000 89.725 160.9926
200.000000 89.665 161.0054
203.000000 89.599 161.0554
206.000000 89.529 161.1360
209.000000 89.460 161.2103
212.000000 89.397 161.2919
214.000000 89.357 161.3392
218.000000 89.270 161.3778
220.000000 89.223 161.3953
224.000000 89.130 161.4556
227.000000 89.060 161.5258
230.000000 88.991 161.6225
233.000000 88.926 161.7162
236.000000 88.860 161.7847
240.000000 88.769 161.9033
243.000000 88.695 162.0138
247.000000 88.594 162.1133
250.000000 88.524 162.2089
254.000000 88.447 162.4496
258.000000 88.365 162.6916
262.000000 88.273 162.9018
265.000000 88.204 163.0620
269.000000 88.111 163.3207
272.000000 88.041 163.5778
276.000000 87.954 163.9784
280.000000 87.885 164.3960
285.000000 87.823 164.9125
290.000000 87.775 165.3152
