* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 14/06/2023 9:25:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zero L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 56.319 48.1231
1.015000 56.418 47.3895
1.030000 56.513 46.7068
1.044000 56.596 46.1117
1.060000 56.686 45.4775
1.075000 56.766 44.9239
1.090000 56.841 44.4065
1.106000 56.917 43.8904
1.120000 56.980 43.4660
1.138000 57.057 42.9530
1.150000 57.106 42.6285
1.172000 57.192 42.0638
1.180000 57.222 41.8663
1.206000 57.317 41.2452
1.220000 57.366 40.9192
1.241000 57.439 40.4338
1.250000 57.469 40.2250
1.265000 57.521 39.8732
1.280000 57.572 39.5137
1.315000 57.695 38.6255
1.320000 57.713 38.4911
1.340000 57.786 37.9295
1.360000 57.862 37.3308
1.380000 57.936 36.7128
1.400000 58.008 36.0803
1.430000 58.113 35.1118
1.450000 58.181 34.4581
1.475000 58.265 33.6383
1.500000 58.348 32.8218
1.525000 58.430 32.0156
1.550000 58.511 31.2264
1.575000 58.593 30.4614
1.600000 58.674 29.7272
1.625000 58.757 29.0308
1.650000 58.841 28.3791
1.675000 58.927 27.7790
1.700000 59.013 27.2364
1.725000 59.099 26.7485
1.750000 59.184 26.3088
1.775000 59.268 25.9105
1.800000 59.352 25.5470
1.825000 59.437 25.2116
1.850000 59.523 24.8975
1.875000 59.610 24.5982
1.900000 59.698 24.3069
1.925000 59.789 24.0170
1.950000 59.883 23.7217
1.975000 59.979 23.4143
2.000000 60.079 23.0883
2.030000 60.204 22.6670
2.060000 60.333 22.2464
2.090000 60.467 21.8337
2.120000 60.604 21.4252
2.140000 60.698 21.1535
2.180000 60.889 20.6067
2.200000 60.986 20.3296
2.240000 61.184 19.7625
2.270000 61.335 19.3218
2.300000 61.488 18.8639
2.330000 61.642 18.3854
2.360000 61.798 17.8828
2.400000 62.010 17.1865
2.430000 62.173 16.6493
2.470000 62.394 15.9119
2.500000 62.563 15.3427
2.540000 62.790 14.5613
2.580000 63.018 13.7533
2.620000 63.245 12.9178
2.650000 63.414 12.2725
2.690000 63.637 11.3864
2.720000 63.802 10.7023
2.760000 64.024 9.7646
2.800000 64.246 8.7985
2.850000 64.523 7.5521
2.900000 64.798 6.2642
2.950000 65.067 4.9365
3.000000 65.331 3.5705
3.040000 65.536 2.4501
3.070000 65.687 1.5834
3.110000 65.886 0.3927
3.150000 66.083 -0.8299
3.200000 66.323 -2.3895
3.250000 66.558 -3.9676
3.300000 66.786 -5.5466
3.350000 67.006 -7.1091
3.400000 67.219 -8.6501
3.450000 67.425 -10.1940
3.500000 67.624 -11.7398
3.550000 67.816 -13.2842
3.600000 68.002 -14.8241
3.650000 68.181 -16.3565
3.700000 68.354 -17.8782
3.750000 68.520 -19.3989
3.820000 68.741 -21.5349
3.870000 68.891 -23.0523
3.950000 69.119 -25.4387
4.000000 69.255 -26.8890
4.060000 69.412 -28.5738
4.120000 69.560 -30.2127
4.180000 69.700 -31.8106
4.250000 69.855 -33.6218
4.310000 69.981 -35.1277
4.370000 70.103 -36.5896
4.440000 70.239 -38.2417
4.500000 70.349 -39.6127
4.550000 70.437 -40.7220
4.620000 70.555 -42.2217
4.680000 70.654 -43.4553
4.750000 70.767 -44.8305
4.820000 70.875 -46.1351
4.870000 70.949 -47.0272
4.940000 71.051 -48.2254
5.000000 71.137 -49.2101
5.080000 71.251 -50.4675
5.150000 71.349 -51.5061
5.220000 71.445 -52.4905
5.300000 71.553 -53.5578
5.380000 71.661 -54.5731
5.450000 71.754 -55.4187
5.520000 71.847 -56.2192
5.600000 71.953 -57.0839
5.700000 72.084 -58.0982
5.800000 72.215 -59.0419
5.900000 72.344 -59.9097
6.000000 72.474 -60.7091
6.080000 72.578 -61.3042
6.150000 72.669 -61.7897
6.220000 72.760 -62.2426
6.300000 72.865 -62.7239
6.400000 73.000 -63.2767
6.500000 73.137 -63.7662
6.600000 73.277 -64.1984
6.700000 73.423 -64.5964
6.800000 73.574 -64.9686
6.900000 73.732 -65.3006
7.000000 73.895 -65.6200
7.100000 74.063 -65.9532
7.200000 74.238 -66.2832
7.300000 74.418 -66.6225
7.400000 74.599 -66.9971
7.500000 74.783 -67.4122
7.620000 75.007 -67.9527
7.750000 75.245 -68.6045
7.880000 75.478 -69.3366
8.000000 75.688 -70.0693
8.120000 75.886 -70.8397
8.250000 76.090 -71.7299
8.380000 76.281 -72.6444
8.500000 76.443 -73.4877
8.620000 76.593 -74.3410
8.750000 76.744 -75.2383
8.850000 76.852 -75.9018
9.000000 77.000 -76.8597
9.120000 77.112 -77.5739
9.250000 77.225 -78.2930
9.380000 77.333 -78.9618
9.500000 77.433 -79.5347
9.620000 77.530 -80.0626
9.750000 77.635 -80.6038
9.880000 77.742 -81.1176
10.000000 77.841 -81.5684
10.150000 77.966 -82.1274
10.300000 78.093 -82.6782
10.440000 78.210 -83.1955
10.600000 78.344 -83.7983
10.750000 78.467 -84.3694
10.900000 78.587 -84.9473
11.060000 78.712 -85.5670
11.200000 78.818 -86.1040
11.380000 78.950 -86.7886
11.500000 79.036 -87.2362
11.720000 79.191 -88.0398
11.800000 79.247 -88.3286
12.060000 79.427 -89.2536
12.200000 79.524 -89.7543
12.410000 79.667 -90.5112
12.500000 79.727 -90.8420
12.650000 79.827 -91.4017
12.800000 79.923 -91.9684
13.150000 80.133 -93.3102
13.200000 80.161 -93.5001
13.400000 80.268 -94.2502
13.600000 80.367 -94.9592
13.800000 80.462 -95.6218
14.000000 80.555 -96.2227
14.300000 80.697 -97.0238
14.500000 80.799 -97.5104
14.750000 80.936 -98.0955
15.000000 81.084 -98.7127
15.250000 81.236 -99.3951
15.500000 81.388 -100.1610
15.750000 81.532 -101.0107
16.000000 81.660 -101.9047
16.250000 81.771 -102.7991
16.500000 81.867 -103.6527
16.750000 81.952 -104.4232
17.000000 82.033 -105.0991
17.250000 82.117 -105.6955
17.500000 82.207 -106.2364
17.750000 82.304 -106.7646
18.000000 82.407 -107.3166
18.250000 82.511 -107.9044
18.500000 82.611 -108.5306
18.750000 82.703 -109.1757
19.000000 82.787 -109.8086
19.250000 82.865 -110.4094
19.500000 82.939 -110.9629
19.750000 83.015 -111.4690
20.000000 83.094 -111.9478
20.299999 83.195 -112.5147
20.600000 83.301 -113.1079
20.900000 83.407 -113.7466
21.200001 83.507 -114.4262
21.400000 83.570 -114.8900
21.799999 83.684 -115.8057
22.000000 83.737 -116.2450
22.400000 83.839 -117.0803
22.700001 83.915 -117.6795
23.000000 83.992 -118.2719
23.299999 84.067 -118.8686
23.600000 84.139 -119.4703
24.000000 84.229 -120.2607
24.299999 84.290 -120.8229
24.700001 84.371 -121.5099
25.000000 84.434 -121.9822
25.400000 84.526 -122.5860
25.799999 84.626 -123.2126
26.200001 84.728 -123.8988
26.500000 84.800 -124.4498
26.900000 84.887 -125.1975
27.200001 84.946 -125.7394
27.600000 85.020 -126.4111
28.000000 85.095 -127.0322
28.500000 85.194 -127.7921
29.000000 85.292 -128.5859
29.500000 85.381 -129.3948
30.000000 85.461 -130.1596
30.400000 85.523 -130.7294
30.700001 85.572 -131.1475
31.100000 85.639 -131.7182
31.500000 85.703 -132.3183
32.000000 85.775 -133.0918
32.500000 85.837 -133.8489
33.000000 85.895 -134.5683
33.500000 85.952 -135.2629
34.000000 86.009 -135.9473
34.500000 86.065 -136.6194
35.000000 86.121 -137.2786
35.500000 86.178 -137.9345
36.000000 86.232 -138.5844
36.500000 86.285 -139.2053
37.000000 86.340 -139.7924
37.500000 86.399 -140.3863
38.200001 86.475 -141.2938
38.700001 86.511 -141.9281
39.500000 86.559 -142.6959
40.000000 86.609 -143.0905
40.599998 86.686 -143.7019
41.200001 86.748 -144.4916
41.799999 86.783 -145.2804
42.500000 86.819 -146.0774
43.099998 86.859 -146.7586
43.700001 86.896 -147.4804
44.400002 86.937 -148.2893
45.000000 86.978 -148.9612
45.500000 87.014 -149.5321
46.200001 87.065 -150.3097
46.799999 87.116 -150.9744
47.500000 87.168 -151.8789
48.200001 87.173 -152.7618
48.700001 87.158 -153.1369
49.400002 87.179 -153.3413
50.000000 87.249 -153.6415
50.799999 87.329 -154.5256
51.500000 87.342 -155.3453
52.200001 87.347 -155.9770
53.000000 87.364 -156.7248
53.799999 87.365 -157.5222
54.500000 87.361 -158.1069
55.200001 87.372 -158.6620
56.000000 87.391 -159.3848
57.000000 87.403 -160.2926
58.000000 87.419 -161.1636
59.000000 87.424 -162.0574
60.000000 87.429 -162.7782
60.799999 87.458 -163.3570
61.500000 87.483 -163.9868
62.200001 87.493 -164.6147
63.000000 87.504 -165.2240
64.000000 87.528 -165.9914
65.000000 87.535 -166.7597
66.000000 87.534 -167.4259
67.000000 87.519 -168.0480
68.000000 87.503 -168.5374
69.000000 87.508 -169.1101
70.000000 87.498 -169.8827
71.000000 87.468 -170.5998
72.000000 87.454 -171.2563
73.000000 87.457 -171.9790
74.000000 87.458 -172.7924
75.000000 87.442 -173.5765
76.199997 87.418 -174.3470
77.500000 87.393 -175.0947
78.800003 87.371 -175.8154
80.000000 87.347 -176.5548
81.199997 87.311 -177.2674
82.500000 87.284 -177.9705
83.800003 87.261 -178.7516
85.000000 87.216 -179.4068
86.199997 87.175 -179.8743
87.500000 87.141 179.5276
88.500000 87.090 179.0271
90.000000 87.012 178.4716
91.199997 86.968 177.9828
92.500000 86.933 177.3970
93.800003 86.901 176.6564
95.000000 86.848 175.9772
96.199997 86.787 175.4713
97.500000 86.736 175.0581
98.800003 86.706 174.5835
100.000000 86.673 173.9908
101.500000 86.600 173.2033
103.000000 86.517 172.5688
104.400002 86.454 172.0336
106.000000 86.388 171.4155
107.500000 86.319 170.8874
109.000000 86.238 170.4494
110.599998 86.144 170.0327
112.000000 86.055 169.5713
113.800003 85.921 168.8516
115.000000 85.839 168.3898
117.199997 85.729 167.4781
118.000000 85.684 167.1628
120.599998 85.496 167.1253
122.000000 85.462 167.6146
124.099998 85.444 167.4608
125.000000 85.402 167.2101
126.500000 85.317 166.8279
128.000000 85.240 166.4673
131.500000 85.069 165.6283
132.000000 85.041 165.5206
134.000000 84.920 165.0820
136.000000 84.778 164.6315
138.000000 84.622 164.2583
140.000000 84.455 163.9721
143.000000 84.175 163.7336
145.000000 83.979 163.8157
147.500000 83.743 164.4082
150.000000 83.527 165.3560
152.500000 83.284 166.5159
155.000000 83.115 168.0318
157.500000 83.068 169.4529
160.000000 83.091 170.6041
162.500000 83.137 171.4145
165.000000 83.187 171.8939
167.500000 83.224 172.1418
170.000000 83.234 172.3641
172.500000 83.228 172.6167
175.000000 83.220 172.8760
177.500000 83.220 173.1401
180.000000 83.233 173.3544
182.500000 83.251 173.4734
185.000000 83.261 173.5021
187.500000 83.260 173.4925
190.000000 83.249 173.4749
192.500000 83.227 173.5139
195.000000 83.201 173.6245
197.500000 83.174 173.6954
200.000000 83.142 173.7063
203.000000 83.112 173.7985
206.000000 83.097 173.9430
209.000000 83.069 173.9979
212.000000 83.020 174.0360
214.000000 82.989 174.1271
218.000000 82.954 174.4289
220.000000 82.945 174.5778
224.000000 82.924 174.8372
227.000000 82.901 174.9962
230.000000 82.879 175.1300
233.000000 82.858 175.2672
236.000000 82.834 175.4293
240.000000 82.804 175.6064
243.000000 82.789 175.7036
247.000000 82.774 175.7977
250.000000 82.760 175.9045
254.000000 82.741 176.1669
258.000000 82.722 176.4044
262.000000 82.700 176.5703
265.000000 82.684 176.6962
269.000000 82.660 176.9148
272.000000 82.650 177.1062
276.000000 82.642 177.2386
280.000000 82.618 177.2214
285.000000 82.579 177.3219
290.000000 82.550 177.6283
295.000000 82.516 177.8856
300.000000 82.471 178.0021
304.000000 82.440 178.0956
307.000000 82.422 178.2319
311.000000 82.396 178.4462
315.000000 82.363 178.6288
