* Measurement data measured by REW V5.20.9
* Source: USB-C to 3.5mm Headphone Jack Adapter, USB-C to 3.5mm Headphone Jack Adapter, 0, volume: 0.138
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: 06/04/2023 9:53:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; 
* Measurement: Zeta L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 1.000 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
1.000000 81.447 -31.6725
1.015000 81.550 -32.1289
1.030000 81.653 -32.5696
1.044000 81.749 -32.9683
1.060000 81.859 -33.4104
1.075000 81.963 -33.8132
1.090000 82.066 -34.2060
1.106000 82.176 -34.6154
1.120000 82.273 -34.9669
1.138000 82.397 -35.4113
1.150000 82.480 -35.7039
1.172000 82.632 -36.2353
1.180000 82.687 -36.4276
1.206000 82.866 -37.0522
1.220000 82.962 -37.3901
1.241000 83.106 -37.9020
1.250000 83.168 -38.1240
1.265000 83.270 -38.4986
1.280000 83.373 -38.8801
1.315000 83.611 -39.8043
1.320000 83.645 -39.9409
1.340000 83.780 -40.5011
1.360000 83.915 -41.0827
1.380000 84.051 -41.6794
1.400000 84.187 -42.2893
1.430000 84.391 -43.2256
1.450000 84.526 -43.8618
1.475000 84.696 -44.6680
1.500000 84.865 -45.4835
1.525000 85.033 -46.3054
1.550000 85.200 -47.1306
1.575000 85.366 -47.9562
1.600000 85.529 -48.7791
1.625000 85.691 -49.5965
1.650000 85.851 -50.4053
1.675000 86.008 -51.2025
1.700000 86.162 -51.9879
1.725000 86.316 -52.7676
1.750000 86.467 -53.5429
1.775000 86.617 -54.3146
1.800000 86.766 -55.0837
1.825000 86.913 -55.8509
1.850000 87.058 -56.6172
1.875000 87.201 -57.3833
1.900000 87.342 -58.1501
1.925000 87.482 -58.9185
1.950000 87.620 -59.6893
1.975000 87.755 -60.4634
2.000000 87.889 -61.2416
2.030000 88.046 -62.1820
2.060000 88.201 -63.1298
2.090000 88.353 -64.0834
2.120000 88.502 -65.0416
2.140000 88.600 -65.6822
2.180000 88.792 -66.9658
2.200000 88.886 -67.6080
2.240000 89.071 -68.8911
2.270000 89.206 -69.8506
2.300000 89.338 -70.8061
2.330000 89.467 -71.7562
2.360000 89.594 -72.6996
2.400000 89.757 -73.9551
2.430000 89.877 -74.8967
2.470000 90.031 -76.1501
2.500000 90.143 -77.0870
2.540000 90.289 -78.3298
2.580000 90.429 -79.5628
2.620000 90.565 -80.7831
2.650000 90.664 -81.6883
2.690000 90.792 -82.8798
2.720000 90.884 -83.7629
2.760000 91.003 -84.9306
2.800000 91.117 -86.0865
2.850000 91.252 -87.5136
2.900000 91.381 -88.9197
2.950000 91.503 -90.3033
3.000000 91.619 -91.6629
3.040000 91.708 -92.7328
3.070000 91.772 -93.5283
3.110000 91.853 -94.5798
3.150000 91.929 -95.6188
3.200000 92.020 -96.8955
3.250000 92.105 -98.1431
3.300000 92.185 -99.3563
3.350000 92.262 -100.5300
3.400000 92.335 -101.6614
3.450000 92.402 -102.7554
3.500000 92.463 -103.8140
3.550000 92.521 -104.8387
3.600000 92.576 -105.8312
3.650000 92.628 -106.7931
3.700000 92.680 -107.7261
3.750000 92.729 -108.6287
3.820000 92.792 -109.8381
3.870000 92.834 -110.6648
3.950000 92.899 -111.9265
4.000000 92.939 -112.6787
4.060000 92.988 -113.5449
4.120000 93.036 -114.3605
4.180000 93.082 -115.1305
4.250000 93.137 -115.9842
4.310000 93.184 -116.6889
4.370000 93.232 -117.3787
4.440000 93.291 -118.1580
4.500000 93.342 -118.7952
4.550000 93.386 -119.3098
4.620000 93.447 -120.0138
4.680000 93.500 -120.6098
4.750000 93.563 -121.3018
4.820000 93.628 -121.9770
4.870000 93.675 -122.4512
4.940000 93.740 -123.1089
5.000000 93.796 -123.6717
5.080000 93.868 -124.4270
5.150000 93.931 -125.0891
5.220000 93.993 -125.7497
5.300000 94.062 -126.5018
5.380000 94.128 -127.2497
5.450000 94.182 -127.9032
5.520000 94.234 -128.5568
5.600000 94.290 -129.2979
5.700000 94.356 -130.2050
5.800000 94.415 -131.0867
5.900000 94.468 -131.9496
6.000000 94.516 -132.7838
6.080000 94.552 -133.4237
6.150000 94.580 -133.9652
6.220000 94.607 -134.4904
6.300000 94.635 -135.0703
6.400000 94.670 -135.7635
6.500000 94.703 -136.4173
6.600000 94.734 -137.0358
6.700000 94.765 -137.6293
6.800000 94.797 -138.2016
6.900000 94.829 -138.7465
7.000000 94.862 -139.2752
7.100000 94.895 -139.7985
7.200000 94.929 -140.3108
7.300000 94.963 -140.8150
7.400000 94.996 -141.3183
7.500000 95.028 -141.8234
7.620000 95.066 -142.4275
7.750000 95.105 -143.0777
7.880000 95.139 -143.7265
8.000000 95.169 -144.3192
8.120000 95.195 -144.8978
8.250000 95.219 -145.5114
8.380000 95.241 -146.1062
8.500000 95.259 -146.6330
8.620000 95.276 -147.1405
8.750000 95.292 -147.6707
8.850000 95.305 -148.0631
9.000000 95.325 -148.6301
9.120000 95.340 -149.0744
9.250000 95.359 -149.5441
9.380000 95.377 -150.0078
9.500000 95.395 -150.4375
9.620000 95.413 -150.8663
9.750000 95.431 -151.3320
9.880000 95.449 -151.8019
10.000000 95.464 -152.2371
10.150000 95.481 -152.7770
10.300000 95.495 -153.3145
10.440000 95.507 -153.8051
10.600000 95.517 -154.3498
10.750000 95.525 -154.8428
10.900000 95.533 -155.3132
11.060000 95.540 -155.7935
11.200000 95.548 -156.1967
11.380000 95.559 -156.6931
11.500000 95.568 -157.0177
11.720000 95.587 -157.5982
11.800000 95.595 -157.8097
12.060000 95.623 -158.4984
12.200000 95.638 -158.8750
12.410000 95.661 -159.4472
12.500000 95.670 -159.6938
12.650000 95.684 -160.1078
12.800000 95.696 -160.5191
13.150000 95.719 -161.4572
13.200000 95.722 -161.5866
13.400000 95.730 -162.0916
13.600000 95.737 -162.5695
13.800000 95.743 -163.0211
14.000000 95.750 -163.4457
14.300000 95.762 -164.0436
14.500000 95.772 -164.4242
14.750000 95.787 -164.8896
15.000000 95.803 -165.3569
15.250000 95.820 -165.8313
15.500000 95.835 -166.3144
15.750000 95.846 -166.8028
16.000000 95.853 -167.2851
16.250000 95.857 -167.7519
16.500000 95.857 -168.1955
16.750000 95.855 -168.6108
17.000000 95.853 -169.0020
17.250000 95.853 -169.3769
17.500000 95.854 -169.7435
17.750000 95.855 -170.1119
18.000000 95.857 -170.4858
18.250000 95.857 -170.8636
18.500000 95.856 -171.2419
18.750000 95.853 -171.6135
19.000000 95.849 -171.9740
19.250000 95.845 -172.3228
19.500000 95.841 -172.6614
19.750000 95.838 -172.9948
20.000000 95.836 -173.3273
20.299999 95.835 -173.7274
20.600000 95.832 -174.1277
20.900000 95.829 -174.5228
21.200001 95.826 -174.9070
21.400000 95.824 -175.1559
21.799999 95.820 -175.6417
22.000000 95.820 -175.8819
22.400000 95.818 -176.3623
22.700001 95.816 -176.7216
23.000000 95.812 -177.0740
23.299999 95.807 -177.4123
23.600000 95.802 -177.7328
24.000000 95.796 -178.1370
24.299999 95.793 -178.4342
24.700001 95.790 -178.8389
25.000000 95.786 -179.1512
25.400000 95.777 -179.5674
25.799999 95.762 -179.9569
26.200001 95.745 179.6991
26.500000 95.735 179.4676
26.900000 95.726 179.1687
27.200001 95.724 178.9316
27.600000 95.721 178.5794
28.000000 95.714 178.1917
28.500000 95.696 177.7065
29.000000 95.671 177.2853
29.500000 95.653 176.9353
30.000000 95.646 176.5883
30.400000 95.646 176.2631
30.700001 95.645 175.9850
31.100000 95.637 175.5901
31.500000 95.620 175.2126
32.000000 95.594 174.8196
32.500000 95.574 174.5069
33.000000 95.565 174.2005
33.500000 95.560 173.8465
34.000000 95.550 173.4650
34.500000 95.535 173.1069
35.000000 95.521 172.7801
35.500000 95.512 172.4420
36.000000 95.501 172.0637
36.500000 95.481 171.6731
37.000000 95.454 171.3209
37.500000 95.428 171.0201
38.200001 95.398 170.6252
38.700001 95.378 170.3329
39.500000 95.345 169.8758
40.000000 95.326 169.6022
40.599998 95.307 169.2603
41.200001 95.286 168.8938
41.799999 95.261 168.5209
42.500000 95.226 168.1115
43.099998 95.197 167.7980
43.700001 95.172 167.5034
44.400002 95.147 167.1356
45.000000 95.123 166.7971
45.500000 95.100 166.5275
46.200001 95.070 166.1801
46.799999 95.047 165.8761
47.500000 95.017 165.5170
48.200001 94.987 165.2124
48.700001 94.972 165.0081
49.400002 94.958 164.6495
50.000000 94.936 164.2872
50.799999 94.891 163.8762
51.500000 94.855 163.6116
52.200001 94.826 163.3459
53.000000 94.793 163.0160
53.799999 94.756 162.6968
54.500000 94.724 162.4212
55.200001 94.692 162.1473
56.000000 94.655 161.8359
57.000000 94.609 161.4271
58.000000 94.559 161.0338
59.000000 94.512 160.6754
60.000000 94.467 160.3104
60.799999 94.429 160.0362
61.500000 94.398 159.8162
62.200001 94.369 159.5882
63.000000 94.334 159.3116
64.000000 94.285 158.9765
65.000000 94.237 158.6462
66.000000 94.187 158.3173
67.000000 94.139 157.9922
68.000000 94.091 157.6734
69.000000 94.047 157.3494
70.000000 94.000 157.0256
71.000000 93.952 156.7200
72.000000 93.901 156.4524
73.000000 93.853 156.2167
74.000000 93.806 155.9680
75.000000 93.758 155.7165
76.199997 93.695 155.4018
77.500000 93.629 155.1281
78.800003 93.574 154.8082
80.000000 93.519 154.5112
81.199997 93.463 154.2022
82.500000 93.393 154.0013
83.800003 93.350 153.8228
85.000000 93.302 153.5502
86.199997 93.246 153.2999
87.500000 93.170 153.0203
88.500000 93.111 152.9228
90.000000 93.047 152.6819
91.199997 92.980 152.4619
92.500000 92.921 152.3149
93.800003 92.857 152.0916
95.000000 92.792 152.0962
96.199997 92.765 152.1133
97.500000 92.731 151.9105
98.800003 92.684 151.7781
100.000000 92.654 151.5911
101.500000 92.589 151.2733
103.000000 92.530 151.2165
104.400002 92.508 151.0020
106.000000 92.438 150.5978
107.500000 92.367 150.5060
109.000000 92.331 150.2968
110.599998 92.261 149.8777
112.000000 92.182 149.7147
113.800003 92.121 149.6040
115.000000 92.087 149.3725
117.199997 91.975 148.9424
118.000000 91.929 148.8862
120.599998 91.826 148.7963
122.000000 91.782 148.6045
124.099998 91.687 148.2301
125.000000 91.636 148.1236
126.500000 91.552 148.0671
128.000000 91.481 148.1096
131.500000 91.372 148.0587
132.000000 91.357 148.0064
134.000000 91.287 147.7297
136.000000 91.196 147.4676
138.000000 91.091 147.3368
140.000000 90.984 147.3304
143.000000 90.833 147.4447
145.000000 90.746 147.5817
147.500000 90.652 147.8646
150.000000 90.572 148.1248
152.500000 90.477 148.2185
155.000000 90.393 148.2615
157.500000 90.338 148.2269
160.000000 90.307 148.1306
162.500000 90.293 147.9729
165.000000 90.291 147.8689
167.500000 90.275 147.9283
170.000000 90.217 148.0336
172.500000 90.126 147.9521
175.000000 90.045 147.6727
177.500000 89.986 147.4228
180.000000 89.927 147.3304
182.500000 89.849 147.2876
185.000000 89.767 147.1950
187.500000 89.694 147.1002
190.000000 89.623 147.0585
192.500000 89.547 147.0410
195.000000 89.473 147.0178
197.500000 89.405 147.0129
200.000000 89.336 147.0302
203.000000 89.246 147.0521
206.000000 89.159 147.0708
209.000000 89.075 147.1041
212.000000 88.992 147.1499
214.000000 88.938 147.1851
218.000000 88.834 147.2720
220.000000 88.783 147.3231
224.000000 88.682 147.4254
227.000000 88.607 147.5041
230.000000 88.533 147.5988
233.000000 88.459 147.7007
236.000000 88.386 147.8060
240.000000 88.292 147.9582
243.000000 88.225 148.0631
247.000000 88.143 148.2239
250.000000 88.080 148.3553
254.000000 87.985 148.5073
258.000000 87.892 148.6626
262.000000 87.806 148.8442
265.000000 87.744 148.9863
269.000000 87.663 149.1711
272.000000 87.602 149.3113
276.000000 87.521 149.4979
280.000000 87.441 149.6849
285.000000 87.345 149.9298
290.000000 87.252 150.1882
295.000000 87.160 150.4609
300.000000 87.070 150.7350
304.000000 86.998 150.9577
307.000000 86.945 151.1277
311.000000 86.876 151.3526
315.000000 86.807 151.5773
